Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   580.632893   1681.567888   2444.294342   3967.632752
0.034375   498.130223   1568.145823   2379.522876   3972.688613
0.040625   374.478585   1534.275179   2436.554823   3957.018838
0.046875   1348.488037   1619.702040   2452.074343   3945.547037
0.053125   703.672649   2235.610716   2637.175911   3888.068397
0.059375   443.614773   1709.913258   2274.848685   3855.750477
0.065625   452.216726   1811.949122   2471.235554   3812.648918
0.071875   574.920049   1586.906264   2583.948675   3827.217548
0.078125   754.160461   1641.413510   2603.400792   3891.470749
0.084375   833.021815   1759.626298   2526.109738   3948.439068
0.090625   795.754294   1677.534820   2646.706327   3913.263181
0.096875   954.241891   1259.301006   2565.160153   3631.734625
0.103125   890.811020   1409.288309   2435.216616   3766.936153
0.109375   892.379881   1515.696037   2560.951483   3718.067879
0.115625   862.828002   1389.802422   2563.348619   3595.064282
0.121875   690.204444   1414.968059   2596.804643   3727.130752
0.128125   1248.846739   2611.667280   3733.848226   4936.942196
0.134375   1331.172027   2564.639113   3797.511451   5162.777864
0.140625   691.643659   1626.788063   2573.676182   3877.552791
0.146875   614.209903   1643.264596   2707.257763   4150.652028
0.153125   1267.421914   2377.156515   2635.109489   4033.114778
0.159375   1240.075190   2596.164781   --undefined--   --undefined--
0.165625   931.608511   1411.640648   2569.123482   4113.514379
0.171875   991.786320   1440.027865   2406.457739   4102.000253
0.178125   927.816828   1844.631741   2381.527826   4133.640618
0.184375   1026.411106   2073.581790   2395.147563   4143.258560
0.190625   938.378500   2046.490024   2883.856702   3977.812677
0.196875   847.052462   1698.713377   2487.577187   3810.120750
0.203125   851.427444   1601.196104   2511.587298   3685.678501
0.209375   927.044627   2266.602621   3067.673786   4351.973726
0.215625   1159.489232   2347.823455   3001.168481   4198.665104
0.221875   1246.732155   2569.677699   2819.005213   3885.719816
0.228125   1170.687628   2288.724072   2831.842649   4127.772272
0.234375   1137.739375   2410.575591   3021.817566   4355.387620
0.240625   1328.692000   2553.805086   --undefined--   --undefined--
0.246875   1168.828033   1813.720416   2479.933429   3917.676559
0.253125   1112.985390   2121.758147   2763.431796   3995.761482
0.259375   1201.508262   2249.655452   2959.573220   3986.787656
0.265625   1106.507358   2326.099874   2945.734379   4129.905136
0.271875   1076.611921   2463.559770   2481.841266   4131.203213
0.278125   1295.601044   2118.778563   2568.393145   4046.790463
0.284375   1233.919948   2287.869123   2614.478088   4106.531562
0.290625   786.621799   1839.854104   2609.973177   3991.833203
0.296875   772.571491   1824.683222   2588.314162   3927.503261
0.303125   1180.754133   2428.718458   2449.734696   3969.805223
0.309375   1200.620526   2121.315340   2479.941845   4020.116474
0.315625   904.688404   1876.089640   2595.095857   4084.409510
0.321875   805.978806   1496.437541   2585.387629   4110.284952
0.328125   744.949765   1514.379506   2604.525631   3952.647827
0.334375   1279.884012   1430.130700   2647.510822   3996.761922
0.340625   1346.170252   2377.152119   2551.436978   4114.001581
0.346875   1330.864829   2415.521356   2571.104286   4147.218103
0.353125   1249.820267   2506.423796   2890.117360   3970.503871
0.359375   1152.407884   1733.187934   2561.623257   3933.836623
0.365625   800.085053   1408.976593   2519.795811   3806.469499
0.371875   570.759115   1390.197392   2526.884723   3797.482043
0.378125   647.617318   1474.160752   2515.177015   3886.149650
0.384375   351.315603   1377.358993   2464.747076   3861.878758
0.390625   724.680517   1197.377423   2358.688383   3868.697852
0.396875   994.416182   1916.173515   2719.092313   4235.263926
0.403125   946.899985   1967.954165   3113.821032   4244.806229
0.409375   782.306732   1760.220759   2828.771243   4172.007556
0.415625   784.336517   1484.586246   2700.057235   4065.330919
0.421875   1334.406366   1417.606131   2694.407601   4160.847523
0.428125   808.491195   1432.822349   2599.302703   3932.678743
0.434375   876.427582   1417.365522   2732.288905   4017.226775
0.440625   1374.870119   2435.128645   --undefined--   --undefined--
0.446875   1392.694340   2355.349554   3157.088765   3566.653137
0.453125   1294.961054   2420.451067   3545.793627   3819.355342
0.459375   1371.706117   2466.616567   3618.117730   3818.087216
0.465625   1412.614659   2539.223875   --undefined--   --undefined--
0.471875   1209.423192   2264.255423   3523.185595   4194.206691
0.478125   1018.432487   1135.622542   2552.112776   3726.843185
0.484375   1328.722285   2646.890016   3398.077143   3929.807530
0.490625   1403.790620   2775.379306   --undefined--   --undefined--
0.496875   1356.967414   1852.967767   2802.176664   4141.826838
0.503125   751.392316   1572.647145   2664.547456   4011.492978
0.509375   902.039663   1448.657928   2530.184929   3751.818613
0.515625   859.511355   1686.160986   2441.541540   3762.547224
0.521875   1084.325655   2008.002702   2562.796002   4104.632832
0.528125   1225.877046   2374.776377   2563.180569   4173.739537
0.534375   1071.248018   1166.306940   2541.220000   3904.326221
0.540625   935.220729   1602.845871   2539.236032   3858.773316
0.546875   951.238310   1689.478322   2475.733642   3659.764371
0.553125   1017.231564   1716.914862   2521.949858   3517.356171
0.559375   1252.162570   2032.621429   3426.054915   4095.094788
0.565625   1081.969412   2192.694520   3130.019446   4127.849820
0.571875   1118.779344   2292.313792   3322.962613   4142.686457
0.578125   1072.594109   2201.704407   3324.894528   4119.039973
0.584375   1094.542519   2115.791040   3088.015028   4170.386966
0.590625   811.660485   1813.446566   3063.122475   4073.120836
0.596875   863.941692   1827.222534   3135.867543   4066.961954
0.603125   954.816213   1854.954316   3202.933359   4128.575189
0.609375   996.716317   1914.327172   3151.153175   4028.947093
0.615625   1131.057731   2047.790639   3010.096764   3988.075954
0.621875   1164.688933   1949.663907   2779.794799   3921.144820
0.628125   854.500646   1773.100492   2667.583969   3784.389621
0.634375   808.482388   1763.793821   2609.143440   3825.627593
0.640625   934.872848   2156.291996   3233.690494   3873.836558
0.646875   992.540501   2298.009374   2647.693317   3889.477475
0.653125   812.266437   1677.200641   2524.228259   3759.008985
0.659375   899.059289   1786.339805   2545.134736   3934.114749
0.665625   478.649720   1260.734082   2304.407801   3621.730596
0.671875   1329.551477   2312.815719   3038.518977   3924.211468
0.678125   1379.175723   1853.177631   2594.943286   4089.370075
0.684375   1316.218094   2316.603648   2578.977671   4002.951957
0.690625   1299.197027   2625.532332   2825.333529   3905.655965
0.696875   1211.772596   2447.302833   2807.746916   4110.415507
0.703125   1126.185327   2437.274039   2937.974775   4093.377796
0.709375   1241.338842   2495.688461   --undefined--   --undefined--
0.715625   853.359329   1457.317252   2470.985231   3971.655126
0.721875   831.947288   1280.885022   2455.700472   3921.579626
0.728125   629.039750   1416.600023   2556.291836   3933.846352
0.734375   639.898789   1453.646672   2570.096676   3875.299313
0.740625   667.292073   1380.912897   2537.005356   3974.160800
0.746875   776.151594   1196.499516   2557.302968   4042.281977
0.753125   1115.092851   1393.180466   2549.497192   4001.249723
0.759375   806.594051   1559.557866   2572.690374   3942.405586
0.765625   797.104054   1667.812381   2548.599185   3843.726214
0.771875   677.449458   1488.893026   2527.795484   3799.772324
0.778125   600.292369   1548.230281   2436.169943   3758.021781
0.784375   551.118383   1551.131581   2570.455844   3816.094361
0.790625   457.474523   1475.536897   2549.323390   3824.914233
0.796875   468.862235   1419.273010   2527.647961   3811.790498
0.803125   1180.483570   1661.669291   2537.478234   3811.188108
0.809375   1012.061764   1828.835626   2659.782440   3819.049011
0.815625   962.853428   1595.925852   2511.969607   3824.208860
0.821875   923.326038   1597.193206   2601.230185   3908.288031
0.828125   1181.398633   1311.474941   2666.117072   3804.421480
0.834375   1041.056776   1452.940524   2720.058958   3957.956226
0.840625   635.050273   1294.242496   2457.779483   3967.000435
0.846875   1006.431055   1505.023749   2536.585116   3933.189259
0.853125   734.708910   1600.614254   2567.281356   3900.359513
0.859375   1276.018596   2542.126509   --undefined--   --undefined--
0.865625   969.722774   1464.895655   2637.314035   4068.056497
0.871875   1060.024364   1857.898530   2675.242827   4103.217012
0.878125   1100.909439   2163.204790   2871.737577   4095.907590
0.884375   1270.545307   2460.506484   2875.847628   4053.386930
0.890625   1370.240386   2559.541146   2664.379278   4010.921712
0.896875   845.260374   1971.689391   2592.689739   3869.540536
