Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1336.938115   2176.491578   3714.690301   4591.780357
0.034375   1305.870397   2245.679828   3573.543268   4524.583094
0.040625   1234.963610   2179.848609   3709.872819   4385.982521
0.046875   1261.183239   2191.713809   3718.595525   4504.148025
0.053125   890.341972   1859.452950   2116.280916   3983.616041
0.059375   594.066107   2047.377415   2619.660525   3965.260495
0.065625   426.652762   2155.782758   3371.330396   4775.848781
0.071875   980.997089   1250.371859   2942.535658   4059.525577
0.078125   1028.875623   1357.858424   2894.941820   4063.625634
0.084375   859.017910   1603.664499   2930.470949   3953.991093
0.090625   1456.859737   2969.828053   --undefined--   --undefined--
0.096875   971.236152   1559.651203   2724.882222   4054.571291
0.103125   864.925877   1960.383867   2720.079594   4012.955056
0.109375   550.784835   1874.772391   2911.108293   4209.482261
0.115625   620.163786   1696.049577   2953.128580   4347.564224
0.121875   1215.623639   2538.386796   3717.973209   4461.046010
0.128125   1093.429801   2514.461553   3499.831345   4795.500730
0.134375   951.506915   1457.419712   2902.033509   3648.672984
0.140625   619.423846   1752.622231   2960.366843   3988.276970
0.146875   493.673170   1844.518237   2684.633691   4021.733401
0.153125   751.983711   1513.129175   2812.513326   4111.228718
0.159375   968.633993   1851.382195   2745.104042   4099.342382
0.165625   885.859952   1854.042823   2560.379659   3958.652173
0.171875   1105.604822   2773.587288   3696.848882   4316.326107
0.178125   1021.456115   1977.127667   3121.465082   4213.091656
0.184375   972.424130   2003.683798   3333.437344   4230.484565
0.190625   829.842375   2012.040195   3201.405654   4372.889938
0.196875   926.847852   2233.669333   3309.810308   4303.886200
0.203125   926.199003   2190.032331   3281.618385   4011.278695
0.209375   930.316765   2274.695772   2693.248129   3678.083961
0.215625   934.143447   2198.080424   2515.523617   3856.876122
0.221875   873.000750   1977.387894   3014.134773   3939.160734
0.228125   899.959957   2021.952843   3238.493500   3735.453812
0.234375   1450.072219   2822.268571   3281.029400   4820.575995
0.240625   1376.701998   2708.701245   3483.365604   4880.058214
0.246875   1144.503972   1283.096980   2940.523325   3873.403167
0.253125   848.196192   1810.231451   3393.462205   3440.969858
0.259375   878.693047   1773.276627   2965.261117   3965.611905
0.265625   1122.252350   2094.891993   3240.098013   4340.876471
0.271875   1134.600703   2490.182451   3460.161694   4739.530652
0.278125   878.436806   2389.940456   3378.412296   4773.229478
0.284375   893.103574   1925.595340   3264.715219   4237.990667
0.290625   882.881326   1898.334972   3002.552760   4302.697949
0.296875   788.182643   1792.935556   2866.657962   4234.400222
0.303125   745.576510   1785.437591   2930.723299   4129.857294
0.309375   836.029877   1788.049827   2961.996040   4046.810853
0.315625   886.796507   1903.865943   2849.015438   4046.738957
0.321875   945.329824   1952.188803   2785.977475   4059.003652
0.328125   1045.228711   1520.437171   2752.149947   4170.168008
0.334375   799.083464   1674.702220   2814.614195   4036.903578
0.340625   950.943158   1608.150586   2752.142885   3906.843882
0.346875   1187.524118   1586.272840   2674.469897   3686.534591
0.353125   1147.573636   1222.634776   2584.596249   3639.452125
0.359375   1067.236480   1482.084989   2909.451222   3731.100074
0.365625   921.500678   1805.263832   3049.094985   3736.565845
0.371875   898.241392   1907.251587   2998.672654   3994.202814
0.378125   886.018230   1892.477065   3033.479886   4097.748225
0.384375   910.006875   1852.796339   3215.010025   4143.164118
0.390625   871.166726   1855.617636   3040.235787   3910.999298
0.396875   856.411572   1782.763383   2843.127703   4039.684912
0.403125   885.847461   1851.557090   2757.559010   4092.899633
0.409375   950.928310   2053.458750   2604.440889   4084.530488
0.415625   874.572700   2247.725133   2789.901140   3972.207357
0.421875   950.444767   2315.403075   3771.841640   4969.471456
0.428125   958.215334   2103.161550   3258.222640   3788.843524
0.434375   890.213205   2068.016551   2938.023109   3941.206607
0.440625   929.181169   1712.073305   2762.788840   3829.596319
0.446875   1300.099398   2442.466906   3717.650968   4998.459920
0.453125   1171.197453   2334.655114   3475.699496   4636.754144
0.459375   1103.237425   2313.952045   3439.419064   4580.581724
0.465625   998.357321   2235.273167   3415.232543   4433.048409
0.471875   1125.635991   2224.244925   3264.133662   4262.219805
0.478125   1414.610381   2290.827158   3492.822687   4176.005077
0.484375   1300.734131   1812.027046   3138.171551   4239.947183
0.490625   871.280109   2076.892707   3365.775262   4600.915402
0.496875   833.037919   2095.383136   3023.133913   3741.559979
0.503125   906.101905   2239.029282   2653.188936   3779.277671
0.509375   1112.602981   2369.210933   3799.298708   4933.928170
0.515625   1324.429449   2383.927398   3486.716166   4793.468598
0.521875   822.902249   1949.053861   3202.969305   3778.852431
0.528125   976.661693   1924.721231   2420.624472   3724.790819
0.534375   1401.277475   2316.616925   3757.822828   4331.039415
0.540625   418.111244   1422.010479   2677.343029   4018.502521
0.546875   1114.524958   2483.239807   3707.077335   4821.763194
0.553125   1022.709897   2417.187884   3593.823766   4919.611445
0.559375   1027.357800   2161.959625   2816.986842   3708.415843
0.565625   277.045370   2029.819367   3203.076455   4233.755516
0.571875   875.863406   1746.522611   2989.820810   4061.433168
0.578125   791.883362   1898.933803   3013.990478   3955.938868
0.584375   729.206189   1914.366696   3293.456584   3923.374987
0.590625   651.199408   1806.858622   3223.948106   4502.624594
0.596875   622.414013   1880.120761   3188.835985   4136.342348
0.603125   767.577712   1951.556320   3123.508823   4066.488119
0.609375   1268.658877   2254.804588   3702.762756   4403.746635
0.615625   1243.012886   2391.469163   3660.885420   4823.485381
0.621875   882.998163   1907.790540   2997.135950   3964.948314
0.628125   845.278916   2241.870541   3331.383981   4500.238216
0.634375   759.643133   2284.171378   2293.187511   3808.392771
0.640625   764.139419   1836.110097   2789.658656   3920.198035
0.646875   764.985548   1906.450965   3022.107943   4113.668021
0.653125   830.774314   1917.395887   3142.182738   4313.326336
0.659375   891.826717   2311.967002   3536.204847   3784.769188
0.665625   811.832862   2317.816879   2849.998692   4209.206738
0.671875   1251.397558   2689.948633   3947.455241   4584.119777
0.678125   1338.504865   2458.428762   3743.940317   4575.695688
0.684375   1438.831078   2519.911457   3674.631433   5060.513605
0.690625   1187.944811   2752.678801   3786.772040   5015.840323
0.696875   1184.137408   2631.207814   3703.025449   4730.178793
0.703125   901.990652   1712.967563   2762.496610   3990.641720
0.709375   900.132379   1401.995254   2789.731532   4029.001589
0.715625   1274.738976   2648.841349   3902.679592   5062.439389
0.721875   893.190636   2039.968641   3181.540160   4222.004265
0.728125   993.823282   1949.542423   3375.930899   4657.526002
0.734375   1007.838204   1706.120689   3034.730171   3968.364188
0.740625   986.765253   2013.232697   3061.147588   3952.170386
0.746875   931.230138   1917.535059   3035.997713   3932.499637
0.753125   997.280163   2021.158845   2974.204242   3806.643623
0.759375   950.519394   2009.353668   3132.101417   3997.860304
0.765625   774.535679   1919.187095   3308.003912   4278.123739
0.771875   896.150581   1506.906901   3399.349930   4021.248548
0.778125   1008.637991   1541.009807   3263.865183   4162.081943
0.784375   1074.596285   1911.867914   3490.344620   4605.893542
0.790625   950.182213   1828.376109   2877.855278   3953.907212
0.796875   938.775832   1758.862373   2873.266001   4031.791401
0.803125   956.632958   1812.150670   3038.951535   4175.314464
0.809375   942.978057   2091.250202   3325.445513   4532.087822
0.815625   1055.578451   2341.483681   3042.765268   4604.652393
0.821875   1209.573029   2431.012744   3144.333495   4654.095657
0.828125   1225.963128   2421.046655   3170.589975   4560.629438
0.834375   931.978448   2146.051070   3213.821111   4535.790186
0.840625   969.168835   2409.556350   3440.951792   4710.650145
0.846875   939.832085   2095.527789   3329.870513   3791.675822
0.853125   1144.410544   1958.036912   3238.561636   4472.621094
0.859375   1380.053332   2485.162444   3128.749802   4412.947694
0.865625   1224.285729   2485.521053   3411.031757   4356.061853
0.871875   942.643179   1741.636681   3044.065244   3997.579934
0.878125   987.871631   1347.295447   2888.552515   4001.832269
