Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1023.295742   1182.817378   1928.422188   3353.221554
0.034375   1024.737238   1844.181192   3368.310729   4554.551373
0.040625   1006.132798   1835.864990   3332.003998   4091.275361
0.046875   797.772360   1540.725660   2900.354417   3975.742840
0.053125   473.587019   1621.522728   2583.131990   3965.553520
0.059375   447.646433   1741.154089   2930.368047   4158.373032
0.065625   531.491273   1724.927739   2935.037475   4170.875718
0.071875   526.974409   1698.437768   3156.776560   4240.272725
0.078125   694.642790   1750.167249   3321.368777   3953.154231
0.084375   552.850538   1705.301246   2804.919343   3938.311628
0.090625   1017.157049   1893.071585   3156.228178   4160.628802
0.096875   1041.685220   1967.283652   3283.369757   4049.348574
0.103125   1141.440890   1796.065425   3271.964909   4291.890390
0.109375   1023.675592   1777.374772   3215.977480   4174.731491
0.115625   703.562809   1773.898037   3063.891780   4202.606556
0.121875   1240.096201   1843.569375   2975.014916   4195.501042
0.128125   955.929467   1980.410876   3623.328135   3627.124324
0.134375   662.559215   1710.387415   2648.229615   3948.678134
0.140625   530.299439   1569.773727   2387.356265   3991.172944
0.146875   110.012514   1452.940210   2204.470014   3948.633642
0.153125   313.578989   1615.089652   2260.808090   3795.137834
0.159375   496.382004   1674.263945   2723.904567   3860.860323
0.165625   1307.211664   1678.296597   2927.008469   4007.007767
0.171875   266.619695   1622.773162   2387.227441   3764.091195
0.178125   345.286309   1735.714959   2288.024353   3710.651887
0.184375   356.263235   1808.926607   2565.430304   3884.902879
0.190625   409.166828   1843.662929   2815.062426   4217.974293
0.196875   548.839320   2032.244197   2828.072690   4156.648651
0.203125   1052.705558   2149.593192   3022.131131   4335.235189
0.209375   1092.670855   2136.450700   3170.336902   4396.965635
0.215625   1007.416160   2232.147505   3236.943428   4297.461357
0.221875   893.027005   2056.573706   3190.624724   4274.190818
0.228125   683.159470   1853.137647   3029.715310   4222.775123
0.234375   1030.572371   1880.762695   3294.850412   3733.425645
0.240625   989.973067   2103.871602   3242.127414   4310.303580
0.246875   1057.501571   2106.264355   3119.047349   4412.694478
0.253125   939.974252   1999.122019   2910.058360   4330.878601
0.259375   1032.267220   2053.932932   3174.906834   4281.837406
0.265625   1114.421693   2112.667371   3365.800104   4136.555914
0.271875   980.303314   2082.635463   3082.974440   4098.185223
0.278125   1100.151035   1952.748514   3038.133486   4176.022575
0.284375   1046.885250   2141.371995   3607.146965   3864.005057
0.290625   1110.612746   2324.139120   3680.428065   4428.383791
0.296875   1167.566255   2332.826757   3636.766841   4431.138811
0.303125   928.640173   2163.015786   3367.051472   4342.627046
0.309375   757.654329   2214.958506   3269.667457   4258.447233
0.315625   670.573865   2118.141098   3127.759414   4200.170839
0.321875   836.400551   2252.804833   3129.649510   4222.085613
0.328125   972.124183   2312.935180   3782.320265   3816.658145
0.334375   913.415514   2208.419583   3399.279421   3965.002777
0.340625   859.298454   1907.366896   3189.064894   4211.931519
0.346875   1026.201013   2016.090460   3175.924465   4224.363982
0.353125   940.887183   2053.349503   3211.360184   4221.127836
0.359375   2029.339825   2773.568161   --undefined--   --undefined--
0.365625   1019.529681   2226.183181   2666.574647   4098.175581
0.371875   1268.787706   1496.889041   2991.145829   4473.909052
0.378125   1560.717944   2948.994096   --undefined--   --undefined--
0.384375   73.781648   1594.010264   3048.670791   4445.513773
0.390625   124.753236   1723.002266   3179.183829   4354.580658
0.396875   160.634047   1765.341647   3179.233372   4139.248919
0.403125   78.767589   1824.909133   3217.080060   4074.293072
0.409375   1858.869454   3205.269348   4090.336377   4971.859837
0.415625   1809.151188   3175.726654   4096.423242   4966.506427
0.421875   1712.476377   3186.178096   4192.653730   4919.418290
0.428125   1782.387813   3167.482193   4212.775546   4809.964071
0.434375   131.533984   1825.144187   3144.543078   4179.541660
0.440625   230.564028   1581.926658   3145.686171   4090.954829
0.446875   270.922870   2014.518789   3207.423170   4534.413085
0.453125   306.975400   2054.521656   3214.444887   4479.367387
0.459375   322.681220   2155.548725   3212.916187   4567.353082
0.465625   330.639116   2298.271928   3392.880929   4484.904523
0.471875   344.092127   2441.349321   3337.194494   4404.293623
0.478125   346.332227   2420.372633   3107.626864   4397.987334
0.484375   339.124590   2419.576211   3034.946636   4431.482352
0.490625   314.240486   2427.706630   3049.105451   4385.808317
0.496875   307.283777   2459.502447   2997.221344   4317.053811
0.503125   316.200899   2539.832639   2944.151571   4384.726183
0.509375   309.556141   2643.927351   2996.229067   4474.183961
0.515625   315.964658   2670.651560   3210.235247   4433.609800
0.521875   320.071254   2648.055578   3214.682477   4468.743238
0.528125   328.876317   2627.631999   2967.570372   4627.001813
0.534375   339.182687   2531.615408   2906.320752   4646.717779
0.540625   333.531701   2568.209043   2832.827787   4317.365018
0.546875   324.285879   2430.957234   2853.692816   4297.680285
0.553125   322.981334   2383.323129   2918.208585   4377.149276
0.559375   311.844287   2328.216375   2879.825566   4407.613712
0.565625   296.134895   2194.856164   2879.717504   4379.703721
0.571875   296.221772   2040.492293   3272.091502   4407.341773
0.578125   279.654385   2001.049123   3459.156493   4482.232478
0.584375   266.326942   1941.576769   2577.197620   4352.706748
0.590625   270.178507   1892.104345   2800.572333   4309.313816
0.596875   154.783281   1825.574553   3064.928165   4321.366794
0.603125   1782.054807   3456.641401   4444.079336   5291.338075
0.609375   1747.392405   3712.192811   5073.714547   5180.447081
0.615625   1749.122391   3694.396526   4276.891450   4976.646313
0.621875   1673.402599   3385.546632   4712.950868   4961.096953
0.628125   1662.551652   3458.903100   4685.753171   5216.332855
0.634375   1616.270809   3492.919402   4467.375494   5239.162592
0.640625   1562.899938   3380.652547   4525.009250   5128.651170
0.646875   1594.683788   3380.981166   4511.488987   5011.335051
0.653125   1526.023064   3419.060669   4858.238240   4879.416834
0.659375   1343.300148   3468.179731   4880.018339   5218.843479
0.665625   955.285595   1323.489098   3510.026795   4898.153089
0.671875   971.848966   2255.751493   3740.823270   4814.142852
0.678125   1164.484360   2397.584987   3694.510989   4740.599905
0.684375   1276.002670   2374.470389   3604.951567   4838.037026
0.690625   1273.205822   2335.633012   3510.562138   4891.979999
0.696875   1331.149522   1960.980655   3233.689089   4509.765520
0.703125   1047.291583   1363.368275   2403.226464   4488.516700
0.709375   914.863694   1409.350882   2490.404890   4500.260820
0.715625   764.199796   1437.680316   3006.759819   4554.319903
0.721875   591.051647   1436.291551   3203.242130   4410.644134
0.728125   864.716506   1432.035855   3290.098801   4297.039181
0.734375   879.830721   1493.179011   3205.811678   4042.518423
0.740625   649.782168   1432.115206   2858.512116   4066.344093
0.746875   272.499688   1246.283840   2854.111708   4093.730794
0.753125   285.114169   1181.367758   2867.885595   4181.123024
0.759375   289.290466   1141.423324   2792.015094   4256.485133
0.765625   304.802483   1072.261466   2662.717762   4016.083625
0.771875   783.086783   1145.730929   2656.672001   4338.559082
0.778125   759.913504   1419.431412   2528.344745   4261.027688
0.784375   730.866995   1203.269846   2420.449249   4264.646725
0.790625   553.988735   1073.460859   2287.117307   3791.768743
0.796875   506.220698   1094.044925   2201.773433   3645.789568
0.803125   504.612984   1099.715438   2194.654970   3731.071276
0.809375   598.354289   1042.953509   2340.284085   4301.824491
0.815625   685.428663   970.062629   2522.307276   4519.418559
0.821875   526.100323   986.840380   2424.361257   3248.955179
0.828125   460.421388   1003.541505   2414.573785   3359.368111
0.834375   427.395687   1001.993422   2467.644539   3487.890530
0.840625   395.153638   996.624785   2576.665398   3573.400365
0.846875   362.049926   991.050377   2907.498149   4336.296722
0.853125   329.906132   998.257751   3017.039132   4420.823356
0.859375   304.467429   1014.495981   2764.457253   4405.793446
0.865625   281.618704   1072.529150   2593.760835   4365.424249
0.871875   242.434045   1377.881655   2454.814102   4352.573554
0.878125   790.198016   2257.303759   4271.607296   5203.220801
0.884375   638.278244   2227.661377   4246.888066   5223.016992
0.890625   1967.425680   3710.772869   --undefined--   --undefined--
0.896875   1733.371473   2074.498975   4034.757754   5201.126922
0.903125   1613.236135   2167.068280   4040.563250   5140.646668
0.909375   1684.158021   3889.203090   5058.581053   5147.559848
0.915625   1832.085773   4022.312146   5257.760889   5308.871958
0.921875   2048.820203   4233.956021   --undefined--   --undefined--
0.928125   1795.703414   2067.607736   4376.283085   5140.164389
0.934375   1927.431150   3643.238233   4541.442269   5185.320799
0.940625   1883.121085   3437.322395   4507.516688   5231.699020
0.946875   1718.488750   3322.800016   --undefined--   --undefined--
0.953125   1152.511310   2190.371917   3794.459968   4752.182135
0.959375   1005.382907   2322.686482   3809.405240   4962.261237
0.965625   1303.487272   2455.724580   --undefined--   --undefined--
0.971875   1553.930705   2728.799974   --undefined--   --undefined--
0.978125   1228.145488   2351.669524   3653.710214   4781.895181
0.984375   1405.031095   2330.901051   3760.729354   4606.678546
0.990625   1656.049053   3033.227609   4351.752938   5278.949698
0.996875   631.773348   1733.412276   3040.370373   4396.601098
1.003125   472.108225   1750.856181   3126.432089   4442.074684
1.009375   398.667411   1759.287577   3125.627979   4413.690965
1.015625   456.392159   1692.505956   3070.503806   4490.790730
1.021875   480.510998   1713.145698   3067.200822   4444.116925
1.028125   515.347930   1808.450340   2710.658633   4390.529960
1.034375   543.897085   1813.453983   2632.265362   4430.221768
1.040625   569.561409   1821.327619   2743.431115   4426.161657
1.046875   588.289627   1827.682726   2817.212554   4270.901081
1.053125   612.494568   1802.679360   2919.252690   4257.365244
1.059375   615.673464   1755.959870   3006.906465   4224.835174
1.065625   648.777390   1728.423289   2952.529064   4329.716530
1.071875   642.578491   1709.631312   2964.860337   4336.772254
1.078125   581.924329   1596.517099   2923.508450   4297.272928
1.084375   509.456047   1390.812124   2831.054373   2985.293780
1.090625   473.643756   1388.149954   3016.059078   4368.544393
1.096875   497.123194   1349.339581   3112.089540   4361.417548
1.103125   514.472811   1337.411794   3100.640504   4383.377973
1.109375   510.268142   1323.746120   3228.707005   4442.294321
1.115625   511.710345   1334.783330   3398.836399   4338.695280
1.121875   497.315658   1331.392588   3148.035771   4251.690766
1.128125   502.745147   1319.776291   2978.519734   4264.411939
1.134375   490.801959   1301.957278   3132.966023   4317.322511
1.140625   562.234423   1314.447568   3673.133321   4290.867799
1.146875   676.516089   1340.219060   3263.331812   4208.785871
1.153125   712.071401   1342.087224   3044.699746   4150.477513
1.159375   732.649430   1360.192266   3010.062163   4135.846791
1.165625   743.512510   1394.889810   3076.270412   4128.004148
1.171875   752.885041   1402.365150   3571.101086   4189.844045
1.178125   747.924304   1388.183608   3598.575507   4197.008620
1.184375   757.991786   1378.372448   3314.696607   4199.058307
1.190625   786.763360   1379.598336   3305.786230   4142.920313
1.196875   693.826266   1350.994544   3607.367341   4116.069456
1.203125   536.371219   1281.921850   2474.055017   3896.212606
1.209375   510.916050   1293.907077   2182.561261   3893.722108
1.215625   506.376057   1300.137762   3869.741303   4388.669428
1.221875   674.728759   1319.868191   3176.247389   3978.704214
1.228125   719.872810   1341.771981   3134.053200   4093.647979
1.234375   721.915695   1341.032656   3239.535496   4124.305469
1.240625   407.020020   1338.993084   3807.441759   4541.650497
1.246875   415.427043   1343.255309   3315.947373   4435.079429
1.253125   333.225264   1350.813309   3205.295808   4425.016715
1.259375   222.202523   1338.912402   3117.432040   4395.356474
1.265625   192.157423   1328.804028   3130.962139   4072.176668
1.271875   188.998596   1376.905980   3819.465853   4042.450192
1.278125   191.604162   1382.377474   3077.214895   4086.949336
1.284375   169.147063   1393.218006   2770.219590   4053.147999
1.290625   143.349131   1349.216378   2926.737397   4056.425692
1.296875   165.918677   1394.072974   3038.961549   4080.428570
1.303125   1396.731701   3085.575409   --undefined--   --undefined--
1.309375   339.501917   1385.419705   3019.087416   4140.877893
1.315625   936.049798   1390.094088   2973.041345   4182.824435
1.321875   991.134293   1307.682514   2814.172544   4221.593206
1.328125   1271.764443   1544.580062   2988.512585   4204.979272
1.334375   1378.288612   2859.780063   --undefined--   --undefined--
1.340625   844.407279   1709.620879   2969.076933   4167.912917
1.346875   1117.630201   2031.944434   3214.326600   4055.049491
1.353125   1059.616453   2189.095114   3156.382177   4106.804797
1.359375   1118.935076   2114.555109   3139.826092   3933.046548
1.365625   1217.076114   1938.830026   3236.244000   4019.924022
1.371875   1188.778652   1748.081354   3041.096738   4383.304852
1.378125   1152.702683   1805.695664   3091.519512   4390.338619
1.384375   1179.325192   1702.357281   2848.936631   4127.458615
1.390625   1128.454705   1742.831261   3192.976922   4201.932506
1.396875   1211.963376   1693.928498   3283.402722   3896.002975
1.403125   1156.682699   1659.833403   3333.206425   4020.553382
1.409375   1138.157571   1740.042805   3294.270286   4148.946994
1.415625   1240.866019   1797.796079   3314.047400   4144.978616
1.421875   1140.013632   1765.484433   3336.432327   4222.832134
1.428125   1234.320150   1813.788260   3424.158304   4027.843124
1.434375   1350.815483   1568.857006   3170.339278   3791.447512
1.440625   1326.228452   1379.712348   3377.127402   4049.707962
1.446875   1385.187366   1603.238827   3532.582711   4040.250414
1.453125   1412.244844   1741.182537   3397.567605   3654.367333
1.459375   1377.912623   1471.580074   3325.526491   3807.227426
1.465625   688.265695   1427.970817   3454.325246   3570.110197
1.471875   1401.652908   1665.646480   --undefined--   --undefined--
1.478125   1384.040614   1859.957596   3225.510482   4027.466727
1.484375   1332.210812   1763.508166   3401.258693   3862.406524
1.490625   1272.252795   1701.073297   3406.382993   4144.354519
1.496875   1234.325332   1711.438351   3388.395989   4317.069978
1.503125   1270.792736   1776.788337   3466.563017   4144.886846
1.509375   1123.989902   1596.371840   3480.744945   3910.112015
1.515625   1015.503490   1493.813266   3393.464881   3972.534960
1.521875   1393.078880   1420.262592   3372.912267   3975.842391
1.528125   722.286523   1388.925597   3430.287294   3579.125827
1.534375   939.808073   1407.172758   3421.800541   3961.501036
1.540625   1152.137721   1627.655365   3392.641997   4014.163897
1.546875   1036.042134   1623.594274   3353.426813   4150.544575
1.553125   931.610105   1738.816053   3341.512126   4080.189771
1.559375   982.274433   1722.971574   3259.388534   4041.678868
1.565625   757.666064   1430.365550   3156.336812   3976.692788
1.571875   1390.880482   1759.442300   3549.548855   4108.136029
1.578125   1287.441346   1737.918416   3498.083352   4264.864595
1.584375   1048.142303   1778.350634   3436.551828   4287.841215
1.590625   995.865058   1753.377243   3434.271509   4015.964682
1.596875   868.344035   1721.454449   3419.114973   4015.231104
1.603125   1072.690389   1564.590864   3422.165946   4275.349721
1.609375   1173.716723   1587.010044   3526.604172   4266.294218
1.615625   1385.216497   1496.170628   3615.151770   3862.841678
1.621875   1392.097543   1639.541180   3460.109298   4032.690469
1.628125   912.704666   1613.463060   3323.194387   4102.859970
1.634375   827.883908   1563.834572   3336.258278   4139.914534
1.640625   1076.371892   1639.566143   3462.508941   4182.528943
1.646875   1138.785971   1698.524749   3334.084447   4114.908989
1.653125   1224.853263   1738.957748   3256.277480   4144.062264
1.659375   976.981973   1653.279079   3135.980039   4122.306477
1.665625   869.249913   1639.030950   2375.769139   3979.369788
1.671875   1022.115394   2058.810993   3077.859805   3815.277782
1.678125   1051.846996   1884.550027   2942.556083   4006.641765
1.684375   697.626974   1421.052304   2870.999406   4060.811553
1.690625   640.044466   1615.221850   2561.700451   3947.993923
1.696875   992.076435   1720.456715   3076.583517   4242.624954
1.703125   865.457216   1957.506836   3157.346168   4184.177546
1.709375   1079.772256   1934.532920   2779.789189   4073.295174
1.715625   1093.487498   2199.822541   3064.937158   4224.577167
1.721875   954.812007   2225.639058   3137.813535   4269.433465
1.728125   892.527381   2089.319428   2999.571826   4282.649188
1.734375   851.334454   2015.957864   2943.295112   4240.925578
1.740625   854.559190   2240.203344   2949.978503   4157.014575
1.746875   1320.803111   1893.503739   2979.333431   4142.373072
1.753125   1336.105855   2016.413565   3055.836957   4220.060657
1.759375   1215.459074   1703.122517   3137.271472   4296.774486
1.765625   1006.670520   1837.935847   3189.495388   4241.178836
1.771875   740.370133   1862.852016   3226.847966   4337.536110
1.778125   711.516282   1924.955447   3199.255982   4379.050109
1.784375   386.092753   2015.470098   2924.646444   4081.891527
1.790625   750.652770   2128.582364   2806.996716   3964.235287
1.796875   710.268580   2281.187210   2297.635321   3852.114683
1.803125   699.491342   2119.604175   3130.500194   3945.687292
1.809375   1053.409639   1751.033255   2861.485851   3967.762209
1.815625   1286.740401   2323.236144   2872.813629   3864.562317
1.821875   286.664129   1605.028287   2538.336300   3915.133652
1.828125   513.729637   1765.862887   2856.587167   4184.860195
1.834375   1047.086422   1947.831968   3179.422456   4304.999249
1.840625   1248.813963   1285.328960   3166.476539   4286.131564
1.846875   1041.571946   1347.215770   3164.196351   4315.797542
1.853125   838.027840   1347.149556   3132.984563   4265.535923
1.859375   828.455981   1343.561127   3160.657269   4243.997764
1.865625   893.984237   1358.882478   3181.698871   4253.852882
1.871875   880.461691   1355.247261   3180.152435   4240.719581
1.878125   889.705465   1350.210404   3171.720088   4230.481606
1.884375   866.896216   1352.799698   3178.382714   4222.534687
1.890625   854.950226   1349.704270   3171.271991   4335.956615
1.896875   860.021695   1346.857923   3170.690853   4297.299628
1.903125   847.414636   1323.517553   3207.200685   4297.773564
1.909375   847.403601   1324.231916   3187.783037   4276.372964
1.915625   826.308953   1313.690731   3215.428359   4399.254021
1.921875   800.287182   1311.896311   3163.949004   4439.154726
1.928125   787.613296   1312.402273   3150.777579   4409.367785
1.934375   721.702583   1320.412063   3116.121486   4410.247366
1.940625   679.407712   1322.864617   3052.674152   4437.343056
1.946875   627.781020   1305.721604   3061.793426   4464.435501
1.953125   406.717403   1296.150476   3184.720066   4504.206572
1.959375   248.652398   1171.540817   3304.032585   4515.035512
1.965625   195.759756   1353.002432   2687.291372   4502.319979
