Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1382.636481   2254.311506   3100.496190   4273.031520
0.034375   1460.347702   2544.109602   3233.012417   4730.760415
0.040625   1481.335024   2597.131916   3284.485866   4740.079784
0.046875   1512.811894   2591.192658   3223.927912   4836.834467
0.053125   1445.830110   2497.716483   3213.846650   4840.878324
0.059375   1426.939972   2231.065370   3111.426632   4801.581610
0.065625   1423.307578   2251.982887   3137.820158   4754.692717
0.071875   1561.831168   2453.058523   3211.980380   4781.132109
0.078125   1690.186159   2469.962142   3259.324204   4867.267679
0.084375   1638.737805   2290.722870   3207.222549   4826.263972
0.090625   1474.826243   2325.565156   3213.246695   4812.380897
0.096875   1434.560930   2329.281388   3320.549682   4850.209702
0.103125   1420.457697   2399.447768   3236.703239   4827.156186
0.109375   1434.041094   2647.365809   2789.931035   4717.140934
0.115625   1228.360105   2081.726842   2996.266032   4674.755304
0.121875   1174.409716   2183.761031   3096.585709   4665.716818
0.128125   1253.565896   2307.445771   3204.238280   4625.200483
0.134375   1387.672120   2459.904643   3329.313959   4744.178044
0.140625   1373.856073   2514.348128   3160.546647   4748.068740
0.146875   1691.389837   1896.178846   3051.841730   4650.091944
0.153125   1064.010036   1805.146361   2961.827220   4569.029181
0.159375   1204.343769   2009.323646   3077.273311   4545.113688
0.165625   1230.645289   1897.831432   3016.062012   4496.013245
0.171875   1211.785139   1896.866514   2990.309358   4452.016709
0.178125   1542.419792   2182.962358   3258.315538   4690.625281
0.184375   1615.679809   2432.973571   3366.301147   4743.164149
0.190625   1447.312852   2477.417585   3081.599800   4750.282975
0.196875   1317.674253   2076.805304   3189.881888   4750.967002
0.203125   1379.981124   2102.863522   3241.269053   4791.767298
0.209375   1394.303705   2348.376766   3084.052856   4844.379995
0.215625   1135.974409   2182.478968   3079.976738   4763.334645
0.221875   962.083724   2223.827669   3321.128762   5265.515795
0.228125   1055.444956   2208.475048   3164.365708   4721.021266
0.234375   1162.284013   2199.628177   2934.198697   4707.042169
0.240625   1183.727374   2458.986978   3190.418225   4773.478722
0.246875   916.716795   2631.903267   2701.017338   4059.906330
0.253125   1345.755137   2709.762493   --undefined--   --undefined--
0.259375   1471.249632   1702.728472   2893.108843   4721.944239
0.265625   1528.913180   2263.190218   3122.067898   4804.497751
0.271875   1523.306569   2286.042320   3027.670669   4770.905369
0.278125   1574.877390   2360.312394   3193.870093   4745.262828
0.284375   1570.801559   2232.350649   3202.160098   4776.665945
