Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   672.401378   2204.467946   3353.557822   3765.360534
0.034375   1075.245240   2484.440423   3469.875956   3971.795055
0.040625   1211.719547   2425.036842   3339.420588   4175.227895
0.046875   318.392934   1733.470988   3007.494778   3759.036420
0.053125   856.479250   1837.787541   3405.963200   4219.384755
0.059375   997.734430   2329.676126   3497.818506   4314.088661
0.065625   1008.487014   2321.237715   3570.784572   4399.186353
0.071875   1594.078672   2042.800364   3623.212008   4161.867651
0.078125   1249.647573   2516.244318   3666.429803   4694.604638
0.084375   1423.717785   2838.723072   3873.145361   4704.770899
0.090625   1509.384210   3281.354089   4359.261977   5211.079516
0.096875   1223.121177   3028.671305   3863.451742   4572.462064
0.103125   1096.684913   2788.191021   3889.219720   3980.741369
0.109375   957.129607   2364.284518   3384.593111   4294.233060
0.115625   1014.381685   2328.822710   3339.437087   4246.904207
0.121875   1210.909238   2335.344221   3441.035946   4255.939840
0.128125   1456.114194   2129.008486   3292.218518   4394.233217
0.134375   545.103238   1910.542477   3324.395598   3931.137322
0.140625   521.683472   1921.381754   2870.057130   3879.034303
0.146875   1615.108257   2781.765260   3934.023418   4885.645405
0.153125   1535.015446   2786.385995   3955.203717   4125.774901
0.159375   1560.152328   1868.483405   3363.465638   4222.499622
0.165625   1089.507763   2253.511589   3481.137494   4246.235765
0.171875   682.766311   2225.416109   3493.164545   4238.799571
0.178125   738.083350   2153.046130   3663.786473   4319.915078
0.184375   1730.301514   2519.905043   3846.081043   4720.121458
0.190625   1394.398738   2695.621451   3858.052426   4687.326253
0.196875   1016.545210   2442.276012   3576.680465   4484.820164
0.203125   1250.850677   2427.575803   3542.047316   4311.768325
0.209375   1311.293349   2243.697912   3291.784718   4080.020554
0.215625   1404.713711   2030.689794   3447.576179   4129.637807
0.221875   1333.053842   2302.789617   3616.525899   4426.419010
0.228125   1430.310755   2421.402009   3710.386647   4603.127296
0.234375   1201.616864   2671.768891   3744.941527   4512.652448
0.240625   1279.196063   2659.033548   3752.186649   4423.814163
0.246875   1490.322466   2444.229649   3443.773020   4135.533362
0.253125   1506.257094   2472.133452   3808.931998   3857.178344
0.259375   1231.185135   2479.488648   3676.869457   4323.787076
0.265625   1209.994011   2325.785526   3624.974532   4412.083562
0.271875   1428.978205   2527.910320   3536.419293   4297.606531
0.278125   1274.235280   2551.900853   3263.166504   4304.459405
0.284375   752.954821   1577.546945   3048.557189   3923.335224
0.290625   704.970465   1834.501201   3009.336826   3887.031422
0.296875   638.777552   1680.683684   2995.431773   3930.226407
0.303125   613.992486   1924.736846   2985.200338   4205.924121
0.309375   388.293449   1700.360897   3046.216938   4218.313805
0.315625   486.935675   1752.410045   3104.304774   3932.476490
0.321875   567.034561   2190.031965   3132.502364   3973.867358
0.328125   689.661663   1994.133632   3099.839009   3456.308023
0.334375   715.117537   2086.397849   3003.321825   4043.027512
0.340625   615.334248   2144.773441   3036.085689   4025.130125
0.346875   546.398699   1927.221660   3071.429848   3859.585714
0.353125   490.526052   1807.782235   2978.782476   3762.438018
0.359375   652.875267   1689.754660   2916.620222   3799.709622
0.365625   620.220237   1786.725092   2995.024481   3964.604969
0.371875   583.541215   1931.323701   2969.288000   4013.429776
0.378125   592.835799   1839.510447   2856.949098   3937.273742
0.384375   420.611948   1683.138570   2950.180394   3842.904756
0.390625   510.769328   1829.101157   2921.664309   3929.228729
0.396875   525.295347   1932.969573   2953.904365   4061.778375
0.403125   556.549302   2128.109392   3102.924869   3518.005529
0.409375   1493.988053   3112.072683   3234.316065   4831.404349
0.415625   1407.318755   2666.253574   3414.934302   4774.210027
0.421875   395.127172   1660.296169   3150.142293   3700.561740
0.428125   475.253249   1742.034077   3078.574162   3913.504126
0.434375   332.929689   1669.509759   2939.721510   3838.272975
0.440625   694.827267   2037.307411   3292.797090   4648.401483
0.446875   649.904245   1840.608321   3330.013184   4258.321549
0.453125   561.097900   1670.001364   3110.512165   3944.074775
0.459375   460.357245   1621.978488   3070.844201   4068.243570
0.465625   452.337169   1728.767787   2986.036468   3990.947455
0.471875   550.790476   2019.856715   3102.598194   3870.876515
0.478125   418.833554   2036.561817   3197.310707   3995.183104
0.484375   472.001464   1696.055226   3196.349269   4062.046728
0.490625   533.524011   1653.007133   3042.048494   3919.711039
0.496875   388.322646   1649.618132   2903.965650   3741.875444
0.503125   1264.308665   2675.949719   3741.990478   4816.904305
0.509375   1198.641361   2716.568902   3685.439160   4823.347322
0.515625   485.528067   1812.854398   2900.871418   3960.239291
0.521875   488.007338   1911.283557   2936.181484   3880.757904
0.528125   504.585490   1847.068283   2869.992241   3849.308674
0.534375   498.394122   1638.839013   2775.602162   3840.786741
0.540625   1466.504517   2820.122659   3935.887219   4886.661226
0.546875   1217.119144   2482.860790   3644.377061   4757.516849
0.553125   500.411731   1642.977517   2610.928781   3646.259359
0.559375   399.841936   1604.512574   2812.956633   3724.375946
0.565625   597.243968   1719.468654   2867.014564   3947.946303
0.571875   524.667538   1713.003493   2888.191151   3948.661059
0.578125   369.154419   1827.323066   3033.783136   3803.300967
0.584375   396.421149   1955.693191   3004.667652   3467.314695
0.590625   1232.164732   2363.809912   3484.944802   4864.812352
0.596875   1329.724125   2474.384039   3207.183832   4369.905084
0.603125   1341.030304   2187.897434   3149.159360   4450.579022
0.609375   315.003068   1989.681831   2952.544902   3962.379549
0.615625   348.585877   1807.776804   2770.744305   3692.322558
0.621875   551.946398   2004.429334   3061.510063   4275.082554
0.628125   1054.701102   2176.850508   3134.138844   4308.164933
0.634375   1138.356831   2274.288370   3007.879059   4661.597467
0.640625   488.756182   2221.507148   2542.420501   3662.857980
0.646875   342.979160   1821.275063   2794.719099   3787.068326
0.653125   221.020208   1880.718019   2582.050767   3633.464743
0.659375   192.938101   1817.041670   2736.594688   3741.009242
0.665625   328.806747   1813.092602   2760.965353   3804.693600
0.671875   345.018783   2336.654165   3306.783842   4444.441153
0.678125   972.611470   2332.178612   3811.522918   4335.502679
0.684375   1194.277016   2460.636893   3961.734874   4850.185380
0.690625   1180.452482   2642.399927   3718.917878   4706.829247
