Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1006.526530   2502.663742   --undefined--   --undefined--
0.034375   1007.415090   2478.566010   --undefined--   --undefined--
0.040625   1320.277963   2434.471853   --undefined--   --undefined--
0.046875   1486.412943   2625.770031   --undefined--   --undefined--
0.053125   1481.747204   2759.891585   --undefined--   --undefined--
0.059375   1450.441241   2997.915787   4265.391614   5032.739773
0.065625   1519.286116   2775.055096   4142.503260   5220.426310
0.071875   1611.125027   3303.560157   --undefined--   --undefined--
0.078125   1659.389374   3267.903863   --undefined--   --undefined--
0.084375   1648.859018   2436.018507   4090.302199   5146.885406
0.090625   1821.007383   2879.635607   3868.449164   5122.127712
0.096875   1789.477842   3356.996881   --undefined--   --undefined--
0.103125   1539.183675   2774.904944   4149.162469   5312.905472
0.109375   1355.723221   2428.129943   --undefined--   --undefined--
0.115625   1321.908637   2364.786815   --undefined--   --undefined--
0.121875   1479.046871   2392.711787   --undefined--   --undefined--
0.128125   1529.743113   2191.630540   3995.956260   5035.262714
0.134375   1251.187352   2041.082673   3980.861651   5075.946850
0.140625   1566.729446   1899.785082   3880.294285   5083.707909
0.146875   1560.797202   2469.785568   --undefined--   --undefined--
0.153125   1726.814894   3388.534848   --undefined--   --undefined--
0.159375   1801.541357   3447.028852   --undefined--   --undefined--
0.165625   1601.205545   2782.911133   --undefined--   --undefined--
0.171875   1648.512322   2568.287280   3961.196593   5151.913720
0.178125   1619.437624   2353.669893   3921.392191   5104.149186
0.184375   1427.985537   2366.458502   3961.926693   5074.259377
0.190625   1471.345608   2389.207750   4131.930092   5345.230055
0.196875   1598.821773   2629.590013   --undefined--   --undefined--
0.203125   1591.129116   2542.184285   --undefined--   --undefined--
0.209375   1607.948687   2336.745824   4002.600637   5058.112709
0.215625   1874.509469   1977.702294   --undefined--   --undefined--
0.221875   756.000798   1890.642652   3581.183962   4202.267356
0.228125   681.173681   1843.581791   3485.599030   4316.273555
0.234375   1554.230431   2599.565835   --undefined--   --undefined--
0.240625   1593.548797   2572.666674   --undefined--   --undefined--
0.246875   1735.334732   3312.241489   --undefined--   --undefined--
0.253125   1770.571360   3252.385921   --undefined--   --undefined--
0.259375   1855.539111   3446.147957   --undefined--   --undefined--
0.265625   1595.446614   3870.161863   --undefined--   --undefined--
0.271875   1438.420114   2177.535696   --undefined--   --undefined--
0.278125   1556.347669   2131.125829   --undefined--   --undefined--
0.284375   1038.910760   1847.820138   3645.768864   4075.214837
0.290625   1663.091512   3597.700027   --undefined--   --undefined--
0.296875   1725.656624   2642.537449   --undefined--   --undefined--
0.303125   152.783782   1856.854930   3355.436223   4131.275544
0.309375   466.079738   1804.592879   3850.599050   4013.978169
0.315625   1813.708052   --undefined--   --undefined--   --undefined--
0.321875   1758.865536   2445.636325   --undefined--   --undefined--
0.328125   1636.497868   2371.221613   --undefined--   --undefined--
0.334375   1540.562646   2444.649742   --undefined--   --undefined--
