Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1085.212489   2107.706063   3211.481478   4208.371167
0.034375   1175.774634   2127.025693   3256.351079   4227.611779
0.040625   1207.500035   2156.522269   3267.266315   4217.625124
0.046875   1325.489931   2077.791645   3218.790986   4171.111736
0.053125   1542.944673   2890.986239   --undefined--   --undefined--
0.059375   1618.220200   2929.694696   --undefined--   --undefined--
0.065625   1979.702869   3088.482401   --undefined--   --undefined--
0.071875   1796.888780   3128.539577   --undefined--   --undefined--
0.078125   1898.964401   3176.030763   --undefined--   --undefined--
0.084375   1996.981083   3003.425849   --undefined--   --undefined--
0.090625   1964.840678   3036.491900   --undefined--   --undefined--
0.096875   1936.192960   3091.939545   --undefined--   --undefined--
0.103125   1996.345984   2959.075308   --undefined--   --undefined--
0.109375   1939.604901   2941.016554   --undefined--   --undefined--
0.115625   1949.937869   3192.617267   --undefined--   --undefined--
0.121875   2002.801478   3108.709588   --undefined--   --undefined--
0.128125   1976.635649   3018.900036   --undefined--   --undefined--
0.134375   2028.150692   3014.565540   --undefined--   --undefined--
0.140625   1999.696172   3053.395489   --undefined--   --undefined--
0.146875   2039.208422   2941.280308   --undefined--   --undefined--
0.153125   1991.257326   2989.336943   --undefined--   --undefined--
0.159375   2086.953861   3410.849452   --undefined--   --undefined--
0.165625   2073.282536   3342.616335   --undefined--   --undefined--
0.171875   2145.714176   2915.952375   --undefined--   --undefined--
0.178125   2035.658292   2900.512064   --undefined--   --undefined--
0.184375   2070.686727   2896.850980   --undefined--   --undefined--
0.190625   2058.805380   3031.246416   --undefined--   --undefined--
0.196875   1985.441472   3057.895241   --undefined--   --undefined--
0.203125   2153.849653   3034.742038   --undefined--   --undefined--
0.209375   2285.510172   3086.309389   --undefined--   --undefined--
0.215625   1989.838798   3035.555252   --undefined--   --undefined--
0.221875   1903.777749   2971.969925   --undefined--   --undefined--
0.228125   1960.703337   2970.940349   --undefined--   --undefined--
0.234375   1908.978719   2937.674200   --undefined--   --undefined--
0.240625   1939.039601   2969.330112   --undefined--   --undefined--
0.246875   1982.972596   3004.175325   --undefined--   --undefined--
0.253125   1884.464714   3024.183359   --undefined--   --undefined--
0.259375   1961.219563   3151.542390   --undefined--   --undefined--
0.265625   2007.710017   3262.306660   --undefined--   --undefined--
0.271875   2048.776669   3241.927451   --undefined--   --undefined--
0.278125   2057.681257   3199.378732   --undefined--   --undefined--
0.284375   2022.501536   3037.544494   --undefined--   --undefined--
0.290625   1922.436187   2879.057331   --undefined--   --undefined--
0.296875   1882.322168   3278.500947   --undefined--   --undefined--
0.303125   2113.756933   3304.824504   --undefined--   --undefined--
0.309375   2086.153611   3189.682062   --undefined--   --undefined--
0.315625   1770.496318   3002.487390   --undefined--   --undefined--
0.321875   2079.025952   3022.227200   --undefined--   --undefined--
0.328125   2097.183732   3225.420227   --undefined--   --undefined--
0.334375   2111.990408   3305.338661   --undefined--   --undefined--
0.340625   2142.833687   3026.189448   --undefined--   --undefined--
0.346875   2100.682849   3012.105127   --undefined--   --undefined--
0.353125   2057.659793   2873.465029   --undefined--   --undefined--
0.359375   2145.761031   3036.156107   --undefined--   --undefined--
0.365625   2063.848685   3112.154885   --undefined--   --undefined--
0.371875   1974.593546   3141.141301   --undefined--   --undefined--
0.378125   2075.048747   3188.844874   --undefined--   --undefined--
0.384375   2078.235378   3132.115243   --undefined--   --undefined--
0.390625   2088.857955   3019.483855   --undefined--   --undefined--
0.396875   1997.075458   3091.095443   --undefined--   --undefined--
0.403125   2026.806718   3221.516269   --undefined--   --undefined--
0.409375   1917.603152   3098.879524   --undefined--   --undefined--
0.415625   1860.584213   2870.551204   --undefined--   --undefined--
0.421875   1939.503353   2989.470778   --undefined--   --undefined--
0.428125   2010.923895   3090.923208   --undefined--   --undefined--
0.434375   2142.893580   3014.547532   --undefined--   --undefined--
0.440625   2112.631889   3010.254491   --undefined--   --undefined--
0.446875   2080.631417   3158.656073   --undefined--   --undefined--
0.453125   1978.615819   3041.698992   --undefined--   --undefined--
0.459375   2006.316489   3060.386235   --undefined--   --undefined--
0.465625   2043.672598   3027.333948   --undefined--   --undefined--
0.471875   2086.423840   3050.842053   --undefined--   --undefined--
0.478125   2180.994909   3003.978445   --undefined--   --undefined--
0.484375   2095.711114   2868.496812   --undefined--   --undefined--
0.490625   1997.458955   2954.828222   --undefined--   --undefined--
0.496875   1997.333451   3022.051598   --undefined--   --undefined--
0.503125   1960.882228   3069.197021   --undefined--   --undefined--
0.509375   2047.355821   3051.078210   --undefined--   --undefined--
0.515625   2067.647656   3102.090444   --undefined--   --undefined--
0.521875   1726.604253   2924.950803   --undefined--   --undefined--
0.528125   1220.053305   2283.031478   3648.314720   3953.789199
0.534375   258.699475   1399.006272   2504.940858   3909.151833
0.540625   599.871858   1422.289373   2570.204106   3841.205617
0.546875   1180.204509   1200.042838   2451.001113   3695.870947
0.553125   1046.561786   1957.743100   2776.568120   3705.696936
0.559375   1090.411708   1944.799831   2783.314608   3628.637621
0.565625   1086.254520   1949.823921   2777.199321   3634.878560
0.571875   1104.819365   2032.862255   2758.194025   3736.813644
0.578125   1040.703800   2137.325118   2420.549372   3976.949671
0.584375   1033.860256   2206.094989   2212.054973   3893.577597
0.590625   958.739878   2217.778947   2487.148800   3878.897152
0.596875   829.988013   2184.962145   2724.003677   3877.655837
0.603125   499.753385   2105.256704   3139.440544   3895.934426
0.609375   384.679746   2067.666017   3093.066718   3871.133851
0.615625   399.051538   2083.845971   3043.099829   3686.610685
0.621875   430.182440   2119.472284   2947.095573   3789.115107
0.628125   445.887605   1931.014649   2801.713765   3997.553588
0.634375   453.881365   2028.268492   2818.407758   4401.116148
0.640625   459.212867   2048.110561   2767.966006   3980.745474
0.646875   466.661413   2077.211190   2757.293277   3914.264396
0.653125   470.910246   2185.293079   2791.491273   3650.242721
0.659375   480.704173   2185.579783   2825.932212   3637.671328
0.665625   519.244376   2132.219284   2816.106886   4284.418114
0.671875   571.332571   2158.458706   2813.827449   4282.065971
0.678125   525.811277   2122.423190   2810.439887   4274.374453
0.684375   500.176230   2047.217655   2810.197045   4299.648836
0.690625   487.168902   2026.869671   2804.808217   4023.122512
0.696875   487.568571   2090.405900   2791.388903   4304.045228
0.703125   516.417615   2158.099324   2813.826244   4335.723399
0.709375   536.477067   2158.307121   2805.584655   4341.531213
0.715625   575.629633   2190.806018   2819.193427   4340.593071
0.721875   575.313057   2196.196841   2855.982056   4337.349320
0.728125   635.106875   2199.220955   2877.652106   4336.760056
0.734375   640.461792   2196.396673   2922.908681   4320.372847
0.740625   622.713450   2210.135368   2923.933130   4366.264668
0.746875   626.610059   2212.611453   2959.126913   4363.511067
0.753125   518.431576   2194.409871   3014.200889   4398.058475
0.759375   481.750578   2130.993131   2973.708264   4272.273924
0.765625   466.864259   2083.279183   3009.952721   4340.510325
0.771875   455.146380   2089.415755   3018.125410   4319.191539
0.778125   451.581112   2069.286237   3071.713864   4256.737290
0.784375   445.688173   2035.975612   3125.418014   4239.845477
0.790625   2030.267658   3151.399530   4238.376970   5020.587055
0.796875   1963.025858   3088.123627   4169.580988   5021.059419
0.803125   1902.873268   3113.887925   4266.251970   5022.758813
0.809375   1857.428382   2980.054639   4313.287481   5073.982283
0.815625   1873.747040   2855.234786   4267.465813   5004.154686
0.821875   1778.956571   2470.538133   3867.369119   4971.095210
0.828125   1732.986057   2198.322777   3877.782465   4974.654825
0.834375   355.377023   1882.293862   2933.485760   4325.374330
0.840625   483.533936   1870.815072   2998.562847   4288.825054
0.846875   461.232194   1829.639586   2982.033893   4241.103466
0.853125   498.391859   1796.692744   3092.069085   4379.324436
0.859375   503.046234   1781.094845   2878.665924   4289.939212
0.865625   502.410010   1786.062894   2787.983168   4256.680929
0.871875   555.136229   1820.259738   2838.936681   4205.360643
0.878125   1198.841767   1896.337969   3126.696924   4018.118189
0.884375   1181.661246   1893.536509   3129.306526   4099.419792
0.890625   1192.386061   1907.431267   3515.328416   4188.837817
0.896875   1538.494815   1953.977954   3758.790914   4291.305938
0.903125   1491.984211   1948.980561   3669.508894   4307.736513
0.909375   1358.497909   2089.519322   3257.330386   4325.748135
0.915625   644.818733   1476.859160   2756.877848   4283.120188
0.921875   569.007175   1214.012352   2772.548005   4373.700428
0.928125   539.861260   1194.580504   2879.116449   4319.846795
0.934375   600.051488   1148.805504   2888.064814   4270.460129
0.940625   688.101810   1114.110052   2922.387491   4144.558464
0.946875   670.912238   1124.736030   2962.244530   4011.513723
0.953125   641.882454   1100.486745   3013.350816   3961.873886
0.959375   618.102189   1089.839160   3070.423175   3992.846237
0.965625   617.816533   1089.363625   3096.475640   3949.310583
0.971875   620.558643   1097.192924   3082.280369   3896.395448
0.978125   615.418172   1092.128760   3094.916174   3890.462252
0.984375   602.213179   1082.842509   3147.647987   3937.975761
0.990625   587.302968   1066.478175   3162.970724   3919.796932
0.996875   580.730922   1061.143097   3156.752477   3924.417393
1.003125   581.859346   1066.151286   3149.898863   3946.647879
1.009375   579.859588   1060.758072   3181.951209   3962.579899
1.015625   563.530570   1033.910029   3216.602241   3969.956226
1.021875   551.277578   1008.352438   3231.061132   4113.034710
1.028125   545.574771   986.162915   3247.374475   4130.618032
1.034375   539.425851   959.332082   3283.081298   4138.929301
1.040625   547.270668   945.172620   3297.887611   4120.672229
1.046875   544.462309   932.579738   3277.483667   4029.715853
1.053125   536.611048   931.352218   3235.160098   3956.500555
1.059375   534.782919   942.619506   3233.592532   3874.134981
1.065625   541.586467   965.691704   3189.773419   3974.833300
1.071875   522.154433   969.673790   3191.810237   3996.100960
1.078125   532.214607   958.034797   3170.700976   3963.768898
1.084375   558.918708   977.723144   3105.210587   3774.801191
1.090625   842.244278   2741.963604   3419.596856   5170.991231
1.096875   667.445907   1899.558888   3261.088282   4576.806343
1.103125   685.815008   1910.854544   3301.877997   4484.387481
1.109375   730.876571   2084.391890   3448.973784   4619.747071
1.115625   726.280251   2018.144358   3441.738219   4515.070146
1.121875   687.166222   1850.808598   3128.887549   4396.900939
1.128125   701.138896   1850.838153   3120.007601   4390.209969
1.134375   807.072883   1823.216100   3147.860369   4218.082124
1.140625   1308.521426   1358.552401   3098.286252   4221.775788
1.146875   1204.000031   1955.752311   3010.413415   4174.081169
1.153125   1082.342452   2138.185240   3067.740146   4163.052635
1.159375   1031.729785   2098.383292   3112.296876   4208.075057
1.165625   885.060264   2004.921455   3220.907630   4172.481703
1.171875   1185.425087   2032.613359   3384.645852   4227.587369
1.178125   1201.294981   2016.709521   3193.199414   4203.748437
1.184375   984.877593   2180.968431   3160.325967   4171.845572
1.190625   1090.652154   2081.440417   3176.483649   4157.123532
1.196875   1781.407187   2940.393414   4243.713576   5153.550557
1.203125   852.787804   1824.534662   3106.277338   4250.251310
1.209375   784.718520   1965.396281   3257.538599   4309.990232
1.215625   675.064592   1906.440021   3441.980677   4302.198934
1.221875   659.369218   1974.329128   3336.395460   4260.132233
1.228125   694.199670   2156.790742   3322.143869   4329.703520
1.234375   800.874523   2059.344463   3129.824222   4287.995663
1.240625   1008.301201   2019.133116   3236.412324   4242.206752
1.246875   988.307489   1971.446987   3204.248026   4221.421596
1.253125   912.942878   1973.095098   3090.916317   4181.737491
1.259375   534.821986   1929.916239   3036.255523   4248.303279
1.265625   573.753126   1904.989783   3085.589345   4241.687725
1.271875   620.254726   1893.825765   3090.425408   4234.871514
1.278125   657.103163   1875.601060   3062.871667   4193.206210
1.284375   740.110138   1855.977711   3022.865151   4180.264339
1.290625   797.565427   1808.827334   2907.440006   4124.224958
1.296875   808.234088   1701.795312   2810.055378   4121.388029
1.303125   832.661403   1630.088703   2831.389963   4168.213351
1.309375   883.631300   1505.516705   2826.372527   4163.323751
1.315625   926.793834   1447.286170   2897.102585   4142.964232
1.321875   895.863435   1398.044767   2918.268365   4156.908234
1.328125   839.092996   1337.191571   2914.414336   4085.683734
1.334375   818.962147   1295.245661   2934.606585   4350.828224
1.340625   787.381687   1238.072430   2950.308936   4426.064765
1.346875   763.738737   1184.813337   2894.935628   4376.001987
1.353125   754.688294   1200.946113   2976.794069   4356.246369
1.359375   721.136221   1162.706997   2982.482013   4146.530341
1.365625   650.436463   1125.166407   3348.332564   3902.944870
1.371875   615.646479   1144.918837   3393.134881   3963.948695
1.378125   643.998722   1077.643053   3279.657394   3801.436397
1.384375   693.434332   1115.656964   3224.833159   3949.574721
1.390625   785.662052   1191.134024   3027.195623   4043.676187
1.396875   834.212139   1254.774375   3057.124718   4102.496847
1.403125   858.595143   1288.386904   3110.259898   3753.656564
1.409375   820.792758   1294.644567   2990.064506   4282.129934
1.415625   812.476678   1298.641922   2942.088362   4062.006998
1.421875   798.433110   1321.917277   3008.466608   4132.738901
1.428125   832.038120   1353.910595   2958.894027   3988.579299
1.434375   857.087565   1394.606094   2924.839763   4058.534906
1.440625   787.646339   1410.849804   2927.230963   4040.758274
1.446875   821.423529   1399.570185   2932.107518   4032.783509
1.453125   865.000609   1403.137283   2913.101673   4018.282717
1.459375   997.547314   1577.468482   2909.694494   4040.037139
1.465625   959.833300   1568.149910   3032.831564   4098.551037
1.471875   1003.722746   1114.417470   2927.142439   4095.307676
1.478125   966.177454   1615.907653   3330.534191   4275.346590
1.484375   795.565090   1578.122704   3157.454935   4292.738932
1.490625   737.310817   1547.912509   3005.210749   4184.468397
1.496875   722.604780   1486.689241   2905.659966   4181.135042
1.503125   696.678660   1417.107051   2790.881018   4130.981913
1.509375   675.466865   1421.058324   2823.757208   4168.757049
1.515625   707.154036   1493.243770   3029.932045   4354.483198
1.521875   782.148155   1469.523316   2874.200400   4267.446252
1.528125   772.000000   1612.357050   2868.017603   4145.546374
1.534375   795.533622   1767.523855   3101.938650   4189.522460
1.540625   936.689583   1793.926990   3256.801787   4090.845490
1.546875   1088.138595   1827.174228   3220.228178   4047.860376
1.553125   1141.342413   1879.484778   3223.611351   4083.054003
1.559375   1102.708045   1924.111896   3234.226936   4082.994271
1.565625   1112.184124   1972.185727   3277.922071   4077.442338
1.571875   1073.766364   1896.492536   3262.848505   4109.978856
1.578125   1027.319388   1827.780215   3233.550123   4143.641691
1.584375   1089.966729   1856.467002   3216.401192   4074.712129
1.590625   1166.864700   1885.165893   3183.162825   4104.309456
1.596875   1382.630106   1895.665847   3532.517930   3993.685775
1.603125   1174.006919   1776.408571   3123.839208   4029.658114
1.609375   1107.654754   1863.358267   3124.523082   4036.898349
1.615625   1186.403547   1896.685676   3204.851750   4163.469007
1.621875   1228.409729   1958.344638   3228.250600   4227.663487
1.628125   1161.469929   1935.341303   3234.315066   4192.540155
1.634375   1144.753290   1922.449209   3259.906508   4154.794482
1.640625   1172.075397   1889.142263   3298.636612   4171.294002
1.646875   1147.349223   1850.207841   3207.917887   4071.011350
1.653125   1119.538288   1867.225218   3101.517787   4131.109768
1.659375   1185.867593   1876.720539   3221.669655   4204.030193
1.665625   1322.107634   1874.801598   3278.973851   4183.386421
1.671875   1335.007499   1891.264902   3286.450428   4144.078395
1.678125   1200.030411   1873.300194   3283.160779   4180.102137
1.684375   1266.725137   1841.007479   3154.161418   4044.540649
1.690625   1316.883617   1878.186820   3137.939972   4264.665444
1.696875   1356.974804   1966.062367   3133.066559   4322.141116
1.703125   1261.712037   1936.250920   3076.967783   4105.958247
1.709375   1201.409604   1902.256744   3124.099969   4106.463118
1.715625   1230.220596   1920.187250   3187.186660   4201.271530
1.721875   1137.668168   1939.776131   3274.746787   4232.654789
1.728125   1206.917957   1937.096719   3308.348811   4245.761763
1.734375   1206.906498   1954.727300   3252.548754   4116.459173
1.740625   1189.424353   1968.257953   3253.609875   4139.615099
1.746875   1306.160091   2010.309801   3242.806037   4199.203906
1.753125   1199.852278   1941.128249   3223.352240   4193.308095
1.759375   1171.984479   1926.943633   3180.236665   4054.979196
1.765625   1189.613127   1880.841928   3226.973835   4057.267779
1.771875   1208.040255   1841.738170   3176.763519   4052.063356
1.778125   1156.869243   1867.336006   3169.896729   4175.373972
1.784375   1290.156447   1899.077058   3187.536731   4096.701079
1.790625   1314.066884   1984.807571   3269.270506   4077.385372
1.796875   1215.421853   1993.624327   3277.187595   4185.488979
1.803125   1247.453979   1984.506740   3162.329841   4207.881751
1.809375   1215.145323   1934.005035   3070.618257   4222.338377
1.815625   1315.636509   1919.976382   3227.643754   4107.234945
1.821875   1231.299820   1965.823150   3248.132107   4038.293205
1.828125   1217.542908   1923.621139   3196.681445   4177.691073
1.834375   1184.271426   1933.277061   3076.717349   4163.920609
1.840625   1122.079295   1894.879837   3241.498100   4073.987994
1.846875   1185.063414   1895.479847   3366.729356   4189.268577
1.853125   1171.443850   2005.109688   3231.981013   4226.588088
1.859375   1190.908624   1891.369255   3250.361705   4189.954973
1.865625   1252.535348   1897.169532   3248.626834   4163.957498
1.871875   1228.923296   1908.351949   3188.567637   4096.349404
1.878125   1311.916630   1946.110488   3331.785999   4167.625529
1.884375   1286.234906   1987.311638   3246.088732   4159.479847
1.890625   1314.668198   1902.219665   3072.581773   4033.384220
1.896875   1329.502771   1891.673307   3214.600072   4060.381764
1.903125   1344.794165   1888.188900   3285.917283   4056.654674
1.909375   1321.406493   1920.074756   3358.265361   4247.088598
1.915625   1399.233415   2064.061407   3416.742268   4314.897797
1.921875   1295.483906   2056.884911   3356.057976   4342.501201
1.928125   1131.582917   1971.171415   3243.320710   4089.950926
1.934375   1219.733310   1895.618440   3315.019996   4070.583428
1.940625   1286.379995   1858.237149   3321.598846   4093.588390
1.946875   1372.338523   1937.435520   3282.729891   4118.695644
1.953125   1293.486387   1934.429990   3246.137607   4111.366813
1.959375   1225.516949   1874.223679   3205.213277   4084.601005
1.965625   1308.892819   1886.990611   3168.396782   4005.774007
1.971875   1275.860259   1967.264377   3255.895939   4145.871276
1.978125   1188.106814   1938.406180   3271.463634   4247.593654
1.984375   1101.029759   1918.728533   3237.148869   4167.455615
1.990625   1225.608607   1915.841359   3247.030918   4183.842483
1.996875   1350.577239   1947.172029   3258.362315   4131.391405
2.003125   1341.512246   1908.219773   3306.220649   4006.250628
2.009375   1349.367656   1945.657092   3347.311183   4019.178619
2.015625   1275.559480   1932.063821   3280.181313   4052.694767
2.021875   1147.987851   1929.620323   3197.610642   4221.392468
