Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1173.902692   2110.324299   2958.987911   4158.714859
0.034375   1141.543545   2348.554788   3005.385230   4187.379963
0.040625   1194.025584   2327.008908   3091.504015   4317.591568
0.046875   1408.000813   1785.125700   3149.799225   4488.260866
0.053125   1489.537124   2478.766095   3372.871186   4631.408580
0.059375   1355.264772   2471.117858   3509.367230   4579.926908
0.065625   1366.507223   2686.109856   3500.319852   4599.663468
0.071875   1315.623892   1740.687666   3157.970347   4320.574850
0.078125   1226.275538   2095.079632   3434.749907   4472.436661
0.084375   1333.885307   2105.900702   3223.447500   4437.552814
0.090625   1312.483247   2305.262157   3279.869410   4220.467549
0.096875   1379.838747   2399.448195   3654.590008   4362.700699
0.103125   1286.243932   2320.812082   3655.186496   3767.800101
0.109375   1253.328949   2328.013288   3214.204476   4249.092397
0.115625   1306.801095   2244.885307   3631.488574   4522.946974
0.121875   1227.219659   2436.216443   3720.082262   4014.063151
0.128125   1315.242919   2027.931763   2887.604433   4036.454648
0.134375   1305.936802   2029.712869   2898.237205   4078.124716
0.140625   1254.628956   2150.485947   3064.890602   4131.077486
0.146875   1235.423904   2141.407704   3344.310100   4168.838065
0.153125   1106.257333   1959.653621   2991.454967   4011.890780
0.159375   1270.967391   2005.589819   3344.551472   4406.181706
0.165625   1736.156553   1868.547152   3347.064675   4500.183512
0.171875   1220.292750   2150.770105   3257.939645   4371.165158
0.178125   1198.286189   2381.922742   3394.525438   4390.182162
0.184375   1155.639533   2310.709241   3172.809330   4337.407255
0.190625   1253.591016   1927.154837   3225.525927   4300.455270
0.196875   1175.961827   2052.546783   3143.285315   4191.083892
0.203125   1060.292894   2152.548471   3139.107607   4054.031833
0.209375   1166.186732   2345.707362   3265.132665   4021.752687
0.215625   1277.831295   2416.402742   3648.622770   4432.837871
0.221875   1173.844642   2193.582913   3041.337860   4178.150489
0.228125   1035.636035   2069.930504   3076.899632   4066.677191
0.234375   1415.293223   2326.516955   3468.430036   4572.563591
0.240625   1370.110715   2361.726840   2976.868200   4262.819494
0.246875   1290.114839   1704.386291   2874.844070   4231.915986
0.253125   1364.509881   1795.351571   3147.700883   4237.535947
0.259375   1181.031939   2197.460625   3479.095406   4496.381131
0.265625   1234.714262   2222.391264   3430.982588   3972.723788
0.271875   1335.557964   2315.138252   3605.670146   4517.769817
0.278125   1349.157577   2430.080229   3574.572164   4557.322274
0.284375   1329.940688   2484.143423   3596.578505   4609.349599
0.290625   1219.998760   2391.596702   3535.264769   4363.669942
0.296875   1024.450817   1954.085752   3372.906636   4051.707017
0.303125   995.676465   2150.704415   3294.212298   4015.586152
0.309375   1162.223250   2253.776466   3294.422170   4192.012241
0.315625   1209.879560   2364.202801   3193.409553   4050.620386
0.321875   1155.932552   2253.309225   3615.275714   4298.557333
0.328125   1260.844911   2205.758436   3483.562260   4559.165044
0.334375   1265.969601   2252.786684   3503.281592   4598.544937
0.340625   1067.509799   2140.329561   3071.682811   4200.825337
0.346875   1077.076640   2166.207274   3126.568479   4278.492940
0.353125   1307.910347   2282.277904   3222.605122   4006.928928
0.359375   1334.065268   2588.423643   3703.063471   4793.902353
0.365625   1262.296832   2468.751735   3500.266755   4681.234757
0.371875   1170.168921   2205.650181   3295.750410   4354.034731
0.378125   1152.997379   2147.106787   3351.289704   4355.774645
0.384375   1110.905688   2002.530082   3299.444131   4373.918941
0.390625   1119.008289   2023.873379   3260.710444   4372.862470
0.396875   1631.805977   1968.542417   3397.857342   4313.951864
0.403125   1380.357539   2444.303898   3472.781813   4363.878491
0.409375   1231.993874   2326.987817   3538.416572   4690.531335
0.415625   1123.861952   2005.931853   3445.062725   4418.656727
0.421875   1229.132247   2048.991077   3554.645287   4412.508847
0.428125   1261.061783   2213.100979   3526.568910   4388.321737
0.434375   1082.348472   2207.612580   3110.085475   4271.132348
0.440625   1044.644283   2224.460555   3196.740281   4248.353971
0.446875   1010.347072   2136.595667   3168.582826   4233.439338
0.453125   1304.072384   1581.566404   2986.403505   4040.950388
0.459375   1087.579606   2000.058205   3108.135746   4039.609274
0.465625   1215.869294   2261.168000   3368.920101   4138.965358
0.471875   1146.846686   2198.086409   3196.833322   4385.284351
0.478125   1372.864325   2651.950452   3520.839325   4423.214945
0.484375   1185.197957   2454.678789   3067.570220   3758.537576
0.490625   998.251441   2281.480846   3080.854453   4169.991199
0.496875   1128.631418   2280.551208   3464.561580   3853.165855
0.503125   1062.989592   1937.667183   2949.790138   3976.097195
0.509375   1069.748528   2147.427198   2996.208217   4074.350817
0.515625   1044.986564   2089.379492   3053.491231   4101.762177
0.521875   1507.635876   2751.802826   --undefined--   --undefined--
0.528125   1284.735052   2735.562218   2838.663526   4494.593179
0.534375   1204.483134   2683.504089   3222.341397   4691.494873
0.540625   1216.639138   2670.040390   3715.444509   4860.902432
0.546875   1944.836932   2500.360539   3820.428401   4997.741343
0.553125   1530.306426   2409.361231   3770.739762   5018.277345
0.559375   1145.058604   2503.522711   3686.448066   4919.031373
0.565625   1201.422169   2422.256699   3640.999404   4767.952208
0.571875   1395.874345   2245.498540   3514.166075   4735.965024
0.578125   1203.748598   2409.973706   3798.560174   4674.291334
0.584375   1222.196975   2484.859198   4073.340413   4726.474951
0.590625   1357.724670   2690.041075   4131.354361   4877.949914
0.596875   1272.200246   2746.059351   4145.502919   4768.351407
0.603125   1167.545614   2665.170569   3892.082879   4917.324589
0.609375   1108.959340   2561.167964   3667.615446   4821.100175
0.615625   2351.865535   3135.599420   3537.944961   4467.422106
0.621875   2238.262186   3108.272976   3659.866767   4463.654236
0.628125   2274.083811   3135.448542   3726.521353   4482.142530
0.634375   1234.600737   2900.672558   3377.691253   4512.804527
0.640625   1026.800341   2360.077882   3289.855452   4480.068718
0.646875   1034.482556   2365.899147   3505.587048   4574.715219
0.653125   1045.137805   2258.512739   3603.351799   4622.232933
0.659375   186.194670   2179.483776   3438.243991   4504.297903
0.665625   247.560605   2186.256885   3366.066906   4411.089545
0.671875   556.544180   2161.152073   3398.025722   4183.871279
0.678125   558.678071   2095.070226   3511.013342   3870.152516
0.684375   1722.083180   2423.304006   3312.183309   3867.450445
0.690625   1451.436642   2387.713777   3527.147467   3967.939086
0.696875   1955.351273   2763.496305   --undefined--   --undefined--
0.703125   1449.343201   2273.939475   3014.977550   4069.846229
0.709375   1510.134824   2469.857426   3228.443643   4446.267663
0.715625   1252.186443   1703.249277   2697.890004   3366.802690
0.721875   1029.356048   2250.354063   3093.749991   3251.516249
0.728125   1021.455275   2382.356466   3340.497527   4793.676438
0.734375   918.949271   2071.055032   2546.318111   3712.562326
0.740625   936.245542   1913.965451   2546.617454   3928.490454
0.746875   953.090923   1317.093965   2537.022918   3966.680138
0.753125   1017.985160   1215.933676   2550.633790   4078.298403
0.759375   1021.183810   1583.547558   2617.831323   3969.976504
0.765625   870.107047   1695.773138   3044.860025   3881.817359
0.771875   240.347103   1676.642180   3155.086040   3219.624597
