Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   435.482951   1681.058039   2992.893257   3962.229009
0.034375   384.747061   1743.736562   3012.825023   4012.108838
0.040625   268.804947   1783.031918   2926.389186   4001.544131
0.046875   1662.962628   2493.413638   3073.338913   4382.908116
0.053125   1247.761232   2188.399808   3266.201279   4462.881769
0.059375   1001.377631   2237.774559   3240.676756   4488.416278
0.065625   771.138869   2070.985228   3167.188558   4446.752707
0.071875   708.022827   2262.661686   3271.583526   4412.619902
0.078125   1025.851766   2343.380154   3176.949822   4381.554909
0.084375   906.345820   2564.868484   3000.099526   4497.741162
0.090625   1044.655312   2431.006521   3179.643762   4516.143301
0.096875   1141.895424   2306.711458   3359.252534   4474.683275
0.103125   1049.756954   2326.315279   3289.747431   4301.480062
0.109375   689.218557   2194.971320   3296.537195   4311.061478
0.115625   186.836523   1859.768212   2960.581174   4234.388798
0.121875   304.687811   1826.704491   2811.205186   4169.859040
0.128125   312.550451   1687.399422   2683.274125   3943.720402
0.134375   1091.522868   2340.201313   3750.697551   5023.134122
0.140625   485.471875   2350.206983   3339.799552   4676.092271
0.146875   498.226140   2500.434160   3361.778495   4689.349263
0.153125   584.186765   2451.218733   3246.354605   4704.059431
0.159375   574.639398   2448.995173   3231.977081   4736.987343
0.165625   679.864128   2426.500991   3310.784699   4714.854024
0.171875   840.980291   2411.268460   3363.372820   4679.865519
0.178125   1087.139489   2327.942200   3419.309808   4661.488302
0.184375   1020.360661   2184.780976   3345.483799   4391.851745
0.190625   700.079745   2186.791199   3232.009675   4404.083154
0.196875   509.926496   2325.966527   3191.544343   4399.605200
0.203125   324.813096   2042.006059   3345.883632   4499.823976
0.209375   292.457239   1940.470887   3430.567872   4781.571326
0.215625   906.894821   2154.718587   3433.732322   4436.472831
0.221875   872.115941   2186.122156   3415.936158   4285.776165
0.228125   317.983661   1971.063235   3162.440748   4469.433487
0.234375   1358.188006   1904.874458   3181.870568   4383.416845
0.240625   961.995744   2595.382425   3459.846385   4329.647702
0.246875   821.406534   2432.802581   3203.350287   4437.527940
0.253125   676.422060   2288.312900   3167.359531   4362.496931
0.259375   501.423051   2001.011714   3008.263319   4283.606565
0.265625   667.261980   2017.861704   3301.767614   4720.395579
0.271875   605.286600   1949.868922   3284.529157   4721.490277
0.278125   585.168094   1979.516916   3208.425125   4744.627931
0.284375   392.460116   2077.978866   2730.347524   4697.979166
0.290625   551.264013   2013.659246   2631.719339   4290.011500
0.296875   429.387480   2009.648794   2732.530118   4132.887792
0.303125   277.648778   2125.664133   2679.953720   3973.150989
0.309375   443.869380   1928.446570   2816.454038   4080.640844
0.315625   352.067349   1915.265696   2860.800958   3946.898399
0.321875   1957.313275   3075.069005   --undefined--   --undefined--
0.328125   1910.045243   3021.410730   --undefined--   --undefined--
0.334375   444.422437   1848.216543   3040.043116   4178.554428
0.340625   455.895504   1951.628313   3145.726320   4326.629052
0.346875   365.265040   1800.938598   2960.596168   4194.985464
0.353125   514.204099   1869.055717   3146.828133   4147.400243
0.359375   568.556276   1846.935673   3078.187969   4015.805584
0.365625   334.301283   1845.643250   2893.159498   4388.601294
0.371875   476.097536   1802.904864   3107.678520   4687.644682
0.378125   1606.033028   2641.660994   3483.986709   4669.639952
0.384375   1476.139751   2258.576026   3038.860588   4570.025669
0.390625   609.568616   1921.572255   2972.597415   4131.214301
0.396875   591.667645   1829.357625   2817.149945   4103.245402
0.403125   614.913185   1734.216598   2681.299903   3955.734931
0.409375   174.965169   1621.705665   2651.549917   4030.602293
0.415625   450.563566   1766.783475   2848.060582   4099.616682
0.421875   492.278484   1733.262345   2826.692735   3965.820151
0.428125   531.635750   1677.481545   2819.888958   3886.322446
0.434375   525.256011   1742.679892   2827.911156   3703.238021
0.440625   520.914013   1830.451253   2936.848932   3987.889791
0.446875   375.965670   1739.364829   2822.911137   4059.227357
0.453125   1586.693302   2661.744801   --undefined--   --undefined--
0.459375   1668.412909   2682.017751   --undefined--   --undefined--
0.465625   1704.321076   2726.869152   --undefined--   --undefined--
0.471875   449.666598   1757.859400   2858.036966   4079.038249
0.478125   473.897323   1793.205869   2861.051014   3845.836255
0.484375   153.021111   1846.380794   2889.626234   3549.535463
0.490625   130.455589   1728.133198   2798.477518   3708.391204
0.496875   280.887174   1738.125605   2698.848303   3936.924556
0.503125   1580.994278   2324.659133   2936.432693   4520.681868
0.509375   1549.771791   2311.936309   2966.551742   4444.711389
0.515625   1493.880814   2362.147724   2901.023250   4456.833262
0.521875   1661.879757   2614.363944   3829.361933   5292.628547
0.528125   1582.669747   2665.681744   --undefined--   --undefined--
0.534375   1597.521224   2693.391032   --undefined--   --undefined--
0.540625   1579.357041   2645.479975   3173.053302   4149.239310
0.546875   1665.480987   2658.768719   --undefined--   --undefined--
0.553125   1700.035412   2797.573442   --undefined--   --undefined--
0.559375   1623.223654   2706.264943   3823.063999   4440.848216
0.565625   1702.470408   2801.402547   --undefined--   --undefined--
0.571875   1666.977084   2825.294520   --undefined--   --undefined--
0.578125   1711.889747   2697.884978   --undefined--   --undefined--
0.584375   1930.258911   2311.388447   --undefined--   --undefined--
0.590625   1464.384389   2427.412255   3409.173445   3966.375075
0.596875   1343.145585   2717.690384   3443.445886   4082.913345
0.603125   1218.978867   2161.856292   3269.038760   4259.178953
0.609375   1073.531539   2122.165043   3465.000941   4288.667807
0.615625   914.521220   2129.884753   3473.753777   4358.115104
0.621875   975.810370   2181.505641   3527.537060   4390.957686
0.628125   1041.600818   2387.610371   3490.782294   4187.050320
0.634375   1125.939625   2338.826169   3415.972396   4282.398114
0.640625   1126.259339   2213.891016   3501.534381   4445.649984
0.646875   1026.370219   2219.508131   3490.655914   4361.861540
0.653125   981.625202   2150.357042   3430.263177   4297.662754
0.659375   1249.665132   2254.360144   3592.861610   4146.946664
0.665625   1361.753860   2562.650804   3004.224081   4148.250599
0.671875   482.042809   1953.929289   3383.044713   4456.012611
0.678125   536.555007   1744.737800   3118.493840   4115.880950
0.684375   587.222831   1890.235486   2887.829276   4117.523370
0.690625   565.104030   1864.196663   2800.705508   4051.767406
0.696875   602.889943   1972.868845   2819.472233   4074.239454
0.703125   882.930226   2296.287259   3443.427031   4462.691503
0.709375   801.184555   2203.076989   3409.625700   4476.043280
0.715625   624.148548   2235.809888   3263.422519   4723.557597
0.721875   750.999962   2249.736109   3274.681183   4620.814370
0.728125   792.523729   2490.563865   3347.427620   4486.881591
0.734375   773.379418   2257.031098   3342.781869   4392.354950
0.740625   753.131256   2346.113486   3259.009571   4354.627266
0.746875   1093.296295   2409.815881   2925.931155   4417.789525
0.753125   1110.073731   2575.805719   3644.657808   4491.756604
0.759375   853.095646   2306.004211   3374.542495   4449.280525
0.765625   809.602503   2213.044089   3170.043828   4493.820035
0.771875   800.850075   2091.960258   3145.789912   4488.199846
0.778125   766.835159   2049.913056   3110.092008   4507.713253
0.784375   845.787048   1877.086328   2844.362012   4347.495646
0.790625   1089.229247   2581.058955   4234.853155   4535.925551
