Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1066.797764   2168.090237   2835.807768   3759.649580
0.034375   1106.147711   1824.618738   2347.440704   3712.307303
0.040625   981.331299   1833.911826   2556.793833   3808.435350
0.046875   850.573357   1731.654201   2766.172149   3878.277129
0.053125   889.941664   1875.470597   2726.370540   3725.637886
0.059375   766.456599   1745.643125   2817.195545   4030.970671
0.065625   851.762988   1821.636204   2756.190403   4003.913111
0.071875   873.984759   1761.024835   2855.675797   3924.915822
0.078125   831.262237   1707.333579   2899.679468   3839.952330
0.084375   746.528035   1786.391075   2967.636683   3849.885771
0.090625   848.684627   1814.351383   2868.710404   3934.341035
0.096875   913.306517   1914.834420   2721.978334   3959.156965
0.103125   866.601683   2042.141722   2886.791497   4260.318607
0.109375   987.085308   1798.524322   2893.738210   4287.957533
0.115625   878.570015   1697.528408   2968.635658   3949.872108
0.121875   854.628725   1808.213295   2877.759440   3797.536608
0.128125   874.806079   1929.150047   3040.760913   3855.512902
0.134375   878.301274   1924.122444   2896.863987   3905.023519
0.140625   922.011130   1770.420506   2831.204389   3783.855829
0.146875   890.355659   1859.804178   2750.939744   3915.487850
0.153125   930.620918   1992.337504   3037.723649   3700.145516
0.159375   838.408200   1810.028799   3078.984120   3893.356077
0.165625   826.061120   1772.766295   2826.093138   3861.628287
0.171875   878.313185   1749.156424   2706.672423   3825.853853
0.178125   874.680034   1823.337616   2956.567407   3933.713524
0.184375   896.786156   1787.897801   3040.703717   3928.714880
0.190625   910.873991   1894.191484   2757.734137   3859.437838
0.196875   879.205206   1694.055286   2866.266530   3858.399943
0.203125   809.471562   1781.556510   2819.007214   3823.183503
0.209375   912.143758   1821.484998   2857.760833   3855.118744
0.215625   1030.677454   1763.508365   2902.446568   3625.686513
0.221875   992.260691   1724.069383   2684.806868   3644.025697
0.228125   928.935892   1576.386666   2844.183575   3789.100093
0.234375   996.651786   1705.844991   2941.840839   4103.807096
0.240625   834.631102   1844.710777   2872.903216   3941.744189
0.246875   800.259338   1960.651758   3302.198592   3741.663669
0.253125   1013.056047   1565.814767   2920.185034   3721.600161
0.259375   940.435276   1654.198536   2731.551201   3891.450049
0.265625   768.573627   1918.050553   2727.731778   3950.478495
0.271875   697.523191   1954.175761   2850.197205   3928.204563
0.278125   896.439555   1848.672794   2879.246603   3953.088731
0.284375   909.033879   1719.952909   2917.100089   3804.750629
0.290625   869.998174   1730.277229   2793.274458   3732.847944
0.296875   830.549355   1524.705228   2635.616033   3808.955970
0.303125   986.140963   2024.155164   2707.186295   3639.104123
0.309375   902.668910   1906.108203   2944.128915   3929.142211
0.315625   933.567074   1939.936500   2845.886204   3893.830841
0.321875   878.208009   1856.630942   2660.781798   3742.263857
0.328125   835.755168   1692.740517   2786.342821   3874.974880
0.334375   944.770303   1846.387655   2912.107482   3987.027421
0.340625   894.745873   1783.390601   2892.366325   3990.818453
0.346875   865.526714   1891.414232   3001.263221   3963.406737
0.353125   878.058582   1718.585267   2947.245326   3903.799936
0.359375   870.351898   1819.864430   2796.243394   3706.917044
0.365625   932.172413   1882.999549   2861.582237   3891.111711
0.371875   840.605213   1833.780836   2907.060751   3845.283994
0.378125   927.733955   1546.179418   2818.540176   4000.154515
0.384375   859.660761   1593.219510   2721.263335   3889.047607
0.390625   940.437835   1840.105320   2914.681018   3753.431605
0.396875   1070.138099   2177.986447   3283.894154   4604.543697
0.403125   607.327109   1489.627311   2569.647891   3651.098938
0.409375   933.970306   1759.033151   2965.004885   3671.554110
0.415625   1226.191336   2243.919853   3403.538055   4412.794918
0.421875   926.804892   1835.363629   2886.471417   3917.721261
0.428125   934.741273   1813.506882   2870.023357   3759.086904
0.434375   814.277313   1739.799948   2948.374564   3672.974223
0.440625   1244.184413   1775.188294   3146.457154   4179.646522
0.446875   910.853248   1927.991170   2853.226520   3837.178224
0.453125   860.397695   1789.714084   2815.029827   3835.885113
0.459375   886.553135   1764.192595   2684.025689   3798.138575
0.465625   1105.668943   1666.148608   2813.149017   3869.786801
0.471875   849.149748   1747.321278   2914.265277   4077.037600
0.478125   775.754946   1773.495759   2890.759896   3899.207362
0.484375   790.032355   1754.525380   3003.827217   3855.159380
0.490625   846.625642   1870.676797   2801.985308   3779.580374
0.496875   1015.471541   2036.710179   2961.657837   4301.418477
0.503125   1227.578836   2265.125360   3132.334136   4232.518874
0.509375   1044.434174   1764.279005   2589.338279   3956.253369
0.515625   940.714300   1795.663796   2742.957739   3924.397799
0.521875   768.790834   1864.286423   2938.833082   3844.394957
0.528125   813.093193   1902.477815   2791.595957   3777.836840
0.534375   957.412862   1775.972539   2724.190594   3739.324780
0.540625   822.184636   1801.684617   3102.190512   3780.081697
0.546875   905.904155   1818.911832   2857.510334   3720.917233
0.553125   1026.947859   1747.198333   2928.236172   4134.154149
0.559375   952.072260   1828.208263   2900.101068   4141.813523
0.565625   863.389006   1823.594302   2909.270176   3779.166856
0.571875   832.743772   1825.451827   2859.557175   3921.619388
0.578125   844.729995   1734.945774   2970.829943   3848.087088
0.584375   755.816795   1573.913018   2893.087448   3798.542208
0.590625   704.782751   1537.372043   2892.959699   3797.121552
0.596875   586.235956   1573.971552   2818.331560   3636.410830
0.603125   553.023985   1585.044210   2902.017057   3660.194488
0.609375   547.392774   1597.491852   3183.477495   3592.328708
0.615625   541.901056   1588.881771   2985.065998   3640.032603
0.621875   533.746453   1674.094037   2950.069967   3661.993679
0.628125   455.430204   1643.544602   3057.639808   3539.431265
0.634375   498.972098   2050.522545   3475.973322   4682.294212
0.640625   519.131049   2169.977575   3487.912270   4808.642031
0.646875   515.969460   2074.925627   3505.087662   4648.422004
0.653125   514.848839   2092.049414   3465.702346   4602.984223
0.659375   511.712630   979.149485   2250.383209   3445.233130
0.665625   512.349306   1010.302803   2334.133013   3511.016257
0.671875   516.018499   1081.637810   2378.799847   3568.849013
0.678125   520.495681   1127.220430   2438.914688   3466.692814
0.684375   517.575079   1157.730591   2509.249655   3472.894069
0.690625   512.345343   1122.677924   2531.999441   3467.059302
0.696875   508.562696   1120.286107   2540.813946   3342.515293
0.703125   507.898709   1125.746933   2553.183120   3327.530179
0.709375   508.481560   1202.150617   2556.450321   3339.626229
0.715625   512.550081   1358.520213   2575.154750   3393.072332
0.721875   517.466436   1525.042678   2600.212535   3411.497636
0.728125   520.280921   2617.058699   3409.801442   4530.255275
0.734375   523.768121   2646.546090   3412.286532   4546.419036
0.740625   531.817215   2670.096318   3429.353641   4559.488429
0.746875   538.627050   2680.495353   3406.962844   4583.092622
0.753125   540.941820   2697.960441   3369.955532   4592.866308
0.759375   542.373855   2717.980024   3374.550527   4597.391487
0.765625   538.992746   2721.761394   3363.431106   4609.501926
0.771875   538.226750   2722.458846   3368.434825   4614.784556
0.778125   515.832045   2699.334894   3374.160752   4679.976857
0.784375   507.986822   2616.886773   3396.739548   4739.747042
0.790625   530.880499   2575.150475   3429.800124   4717.947433
0.796875   529.844643   2584.936399   3396.455255   4643.400242
0.803125   517.831927   2636.253597   3348.391708   4571.462508
0.809375   500.319726   2667.670581   3341.672872   4671.550872
0.815625   495.995883   2651.407659   3404.541177   4681.571386
0.821875   462.683054   2490.421009   2498.297523   3439.082203
0.828125   458.578259   2383.082089   2520.067411   3487.946395
0.834375   497.476311   1924.486025   2698.317451   3431.090214
0.840625   397.076713   2019.158479   2972.192852   3428.388872
0.846875   355.464005   2334.980582   2972.277114   4652.259344
0.853125   384.744064   2452.633644   3302.162590   4710.553970
0.859375   419.786956   2101.237823   3291.396025   3458.677485
0.865625   572.404174   2101.299922   3235.783332   4622.465006
0.871875   707.101445   2296.586752   3327.868903   4593.551167
0.878125   892.314609   1905.403209   3437.324444   4653.622146
0.884375   665.779316   1752.959811   3431.000857   4649.889939
0.890625   576.164942   1897.311154   3346.729428   4604.242353
0.896875   675.914065   1790.446816   3259.464974   4403.560637
0.903125   1081.694032   1668.916132   3478.198530   4616.780054
0.909375   1315.372548   2141.693955   3587.647714   4711.867907
0.915625   1350.737509   2130.994498   3768.986582   4746.362474
0.921875   1119.197407   1392.443708   2698.394153   3686.579400
0.928125   1136.535888   1429.585357   3517.644522   4756.400568
0.934375   1165.536895   1420.380647   3691.714459   4617.048955
0.940625   1144.510783   1421.140822   3805.137250   4690.745401
0.946875   1061.626343   1450.855670   3546.374456   4620.571103
0.953125   1136.687332   1436.208697   3504.719186   4553.595224
0.959375   1240.191514   1396.209414   1973.209252   3696.835463
0.965625   1136.993262   1282.869008   2268.038978   3934.616388
0.971875   1215.500536   1470.273814   3300.657239   4078.377882
0.978125   293.097333   1201.983523   2824.638028   3566.554260
0.984375   448.224024   1205.684486   3439.152378   4352.942183
0.990625   465.683997   1204.573339   3329.522490   4164.016248
0.996875   476.268997   1195.005717   1761.632344   3886.510897
1.003125   499.832461   1149.148408   1905.732527   3963.025195
1.009375   518.469126   1151.672366   3741.029490   4052.364708
1.015625   488.708509   1143.857305   1970.972972   3834.957027
1.021875   481.266528   1127.642038   2118.912781   3933.153443
1.028125   485.940443   1115.520262   3294.631603   4384.363169
1.034375   485.241531   1110.692013   3463.195391   4403.339482
1.040625   473.609429   1101.544952   2448.225312   3767.950416
1.046875   478.732965   1103.921254   3285.518522   4370.199824
1.053125   465.213809   1101.287090   3255.146100   4389.951557
1.059375   455.861817   1093.844929   3029.312555   4393.739912
1.065625   458.818120   1100.456917   2789.497746   4390.666839
1.071875   463.061162   1104.928539   2242.845485   4317.632905
1.078125   487.657318   1112.204217   1993.712692   3915.585060
1.084375   526.523907   1125.559028   1680.019653   3987.910690
1.090625   728.050908   1143.083499   3141.646242   4401.733520
1.096875   685.722027   1180.937328   2922.564062   4386.125668
1.103125   531.037567   1252.627505   1537.759157   4014.033827
1.109375   474.452936   1321.499867   3286.562117   4156.609248
1.115625   493.870822   1274.529019   3035.157117   4419.884072
1.121875   463.335216   1181.136502   2637.755514   4239.220069
1.128125   454.763910   1188.684143   2574.018465   3899.836513
1.134375   524.506483   1242.623031   2961.528949   4279.017686
1.140625   566.686771   1246.336109   2882.967120   4170.283796
1.146875   670.985599   1270.925108   2689.804411   3954.195682
1.153125   699.948593   1335.197353   2584.356581   3847.812936
1.159375   573.968735   1440.753976   2713.784470   3819.005865
1.165625   540.102543   1447.109459   2881.156608   3946.004519
1.171875   592.804026   1448.911562   2936.779522   4214.361454
1.178125   535.614737   1355.356115   2838.094063   3923.016112
1.184375   462.667350   1391.315519   2583.879499   3937.698357
1.190625   1411.309533   2609.057224   3925.857910   5268.172341
1.196875   414.313616   1433.018283   2957.968215   4093.976866
1.203125   644.676717   1649.881774   3078.052186   3929.422446
1.209375   1411.392179   2203.031845   3656.962574   4307.651768
1.215625   1360.034167   2255.310217   --undefined--   --undefined--
1.221875   1207.012436   1516.276629   3000.948975   4076.755409
1.228125   695.574341   1698.984920   2759.521829   4036.064223
1.234375   618.141334   1815.269027   2946.395099   4099.711748
1.240625   907.896557   1857.806725   2872.037566   3891.453579
1.246875   600.395895   1589.445211   2694.605613   3812.683256
1.253125   715.790000   1716.825150   2870.792547   3888.756681
1.259375   803.645122   1852.970983   2892.856217   3902.113181
1.265625   651.214252   1864.949728   2872.316752   3915.914021
1.271875   572.960285   1790.741879   2812.729624   3852.965574
1.278125   507.680938   1681.329345   2690.010001   3829.962104
1.284375   518.144405   1877.844058   2303.642834   3392.762409
1.290625   543.165764   1820.371081   1865.778884   3378.105673
1.296875   561.587074   1520.973838   2143.011508   3335.243796
1.303125   619.849420   1432.777509   2110.923284   3309.631646
1.309375   693.233277   1328.962229   2046.753179   3277.669254
1.315625   755.851401   1240.883131   2043.862998   3268.936903
1.321875   786.698530   1270.268291   2015.502339   3287.234500
1.328125   841.809356   1305.575864   1984.242945   3267.423783
1.334375   912.417215   1313.820728   1832.721205   3281.489751
1.340625   987.774731   1324.198651   1709.156502   3330.630581
