Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   918.538974   1610.021164   2860.388508   3708.708332
0.031250   1061.635263   1519.925120   2707.046977   3700.708765
0.037500   724.696024   1573.924536   2681.085928   3724.929324
0.043750   486.226000   1752.504819   2835.674173   3459.691727
0.050000   599.501262   1705.286912   2865.031336   3961.462820
0.056250   600.531152   1514.903579   2724.297586   3110.993600
0.062500   624.520568   1463.003146   2980.481686   3537.257791
0.068750   610.437412   1373.660626   2544.156137   3659.719636
0.075000   637.182097   1466.454400   2611.860686   3824.631626
0.081250   668.539522   1349.554176   2489.199772   3721.575343
0.087500   720.096972   1366.311588   2451.610777   3603.026881
0.093750   618.247913   1541.735766   2522.825253   3538.033294
0.100000   647.398151   1744.660966   2726.727937   3739.384271
0.106250   698.566164   1869.309876   2758.718461   3888.870141
0.112500   595.029817   1791.035479   2825.995934   3930.750818
0.118750   684.954554   1593.398909   2911.798979   4037.167761
0.125000   933.199748   1986.887509   2772.501052   4001.302803
0.131250   669.015854   1859.380108   2727.322292   3929.237882
0.137500   646.913144   1442.020706   2587.817400   3770.942112
0.143750   650.985247   1917.204768   2749.613011   4078.096721
0.150000   648.185796   1887.043243   2832.442177   3971.022591
0.156250   576.815054   1501.861032   2853.846347   3983.847494
0.162500   517.157911   1208.626443   2648.449985   3810.555177
0.168750   521.239423   1247.094305   2503.502695   3193.093084
0.175000   578.555122   1647.841656   2202.801912   3070.826952
0.181250   576.635631   1552.050899   2950.875204   3353.183907
0.187500   534.488253   1542.645193   2905.999579   4013.933436
0.193750   818.912370   1804.203770   3083.014793   4253.766959
0.200000   585.818887   1680.423012   2868.670099   3658.891162
0.206250   549.105385   1697.525140   2085.356472   3186.182113
0.212500   740.133210   1718.582436   2940.217269   3949.403671
0.218750   650.398639   1702.230370   2950.286641   4013.049574
0.225000   584.762993   1409.606381   2722.225065   4026.004059
0.231250   563.911836   1339.475557   2802.399033   3967.355369
0.237500   750.449716   1520.804708   2860.758577   4099.721315
0.243750   952.727115   1917.169700   2941.086762   4084.177046
0.250000   596.960338   1161.987739   2338.969755   3417.797560
0.256250   566.939894   1351.634309   2306.145089   3412.243872
0.262500   652.324674   1298.259204   2461.058722   3617.934755
0.268750   669.726756   1318.711790   2307.680191   3563.513978
0.275000   619.240809   1517.923976   2374.139280   3497.723931
0.281250   614.959184   1492.909594   2504.990557   3569.787269
0.287500   638.176871   1628.616722   2642.864427   4037.726343
0.293750   655.131828   1781.899606   2744.815236   3901.699849
0.300000   597.738773   1762.345961   2798.768262   4057.742527
0.306250   651.194653   1721.896810   2784.388741   4066.147413
0.312500   517.774807   1403.168678   2651.776400   3642.845987
0.318750   556.563733   1440.110968   2450.584930   3290.581046
0.325000   563.089286   1506.961557   3018.454041   3629.072992
0.331250   478.972408   1574.228229   2564.126518   3915.902202
0.337500   555.251765   2077.305087   2786.041302   3900.440491
0.343750   664.740140   2179.391013   3050.328815   3887.761357
0.350000   656.600091   1466.596429   2744.028519   3915.554419
0.356250   774.974152   1688.067384   2831.780182   3758.948303
0.362500   801.791679   1710.588785   2831.174511   3759.948908
0.368750   517.993181   1519.191287   2632.399929   3712.508674
0.375000   612.138132   1650.000187   2827.178481   3764.557974
0.381250   707.704885   1722.227543   2885.975809   3787.427063
0.387500   899.449444   1732.410348   2737.788580   3826.831895
0.393750   697.592891   1731.654648   2780.531830   3772.124348
0.400000   788.183540   1665.862686   2739.053960   3737.640577
0.406250   913.898233   1353.130566   2557.853423   3563.267015
0.412500   683.029874   1418.433700   2514.586869   3578.455392
0.418750   753.930036   1464.182507   2678.746258   3713.986090
0.425000   752.840441   1794.599561   2337.053717   3615.352615
0.431250   562.193247   1701.306736   2276.007716   3171.711331
0.437500   523.267826   1747.138963   2267.550713   3159.525568
0.443750   538.726489   1765.705137   2238.451410   3163.763884
0.450000   576.894996   1639.423079   2358.769382   3246.958549
0.456250   341.896490   1628.404262   2393.257685   3206.435242
0.462500   350.284102   1673.396869   2401.626673   3379.655503
0.468750   371.264457   1660.565677   2340.597236   3680.679165
0.475000   364.501791   1645.328000   2382.569819   3683.890290
0.481250   355.714804   1627.662459   2395.022008   3701.793210
0.487500   343.116666   1633.000052   2378.914523   3697.410859
0.493750   333.871780   1682.774631   2392.456338   3658.612745
0.500000   295.591332   1868.963741   2342.385656   3626.042434
0.506250   306.070860   1723.220758   2449.500139   3468.332415
0.512500   335.046986   1773.043613   2407.496089   3632.624884
0.518750   336.870664   2002.272852   2451.660753   3744.990636
0.525000   345.190360   2110.117611   2438.846072   3357.043887
0.531250   356.940972   2237.413403   2445.490795   3664.118742
0.537500   363.847171   2277.807560   2519.144608   3747.437510
0.543750   366.157787   2302.200177   2556.174711   3737.584999
0.550000   362.779764   2365.923469   2539.040170   3724.687797
0.556250   364.498898   2412.900187   2582.119094   3719.502122
0.562500   363.710544   2437.306247   2599.930346   3708.743648
0.568750   358.481268   2456.484770   2618.377568   3615.394462
0.575000   353.100278   2473.996935   2653.621885   3573.147445
0.581250   362.505090   2496.569968   2560.663366   3478.480629
0.587500   372.881193   2463.889902   2550.960527   3455.915176
0.593750   383.384365   2506.730941   2602.808485   3576.146896
0.600000   383.116913   2433.960195   2815.596869   3743.657368
0.606250   378.572452   2472.134046   2819.687603   3752.002228
0.612500   372.388780   2465.576747   2790.433810   3673.378288
0.618750   364.545778   2427.565725   2670.639429   3708.515704
0.625000   372.120630   2365.383773   2708.434205   3694.717421
0.631250   385.469214   2362.688663   2722.865285   3737.663230
0.637500   395.590350   2376.496158   2726.513251   3724.970986
0.643750   398.736856   2346.294084   2733.996611   3715.363992
0.650000   397.802069   2346.427160   2548.377136   3731.559167
0.656250   378.091356   2186.606871   2556.065218   3713.460768
0.662500   377.373630   2101.305875   2617.713877   3689.348161
0.668750   396.188535   2055.267200   2675.627738   3397.217425
0.675000   401.528298   2035.203967   2685.104068   3370.475814
0.681250   365.292581   1951.494345   2609.293791   3286.545158
0.687500   336.774808   1963.679108   2772.902155   3343.397185
0.693750   402.143629   1975.858003   2862.784330   3633.205235
0.700000   466.135275   1907.171434   2776.577312   3815.801404
0.706250   528.857034   1922.422960   2921.523332   3857.009958
0.712500   462.809989   1945.146512   2915.503850   3922.580913
