Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026575   1375.977397   2161.017546   --undefined--   --undefined--
0.032825   722.075695   1517.908213   1975.540267   3587.201361
0.039075   1411.416125   2027.087063   3518.700229   4496.521597
0.045325   1103.712283   1827.589577   3485.336354   4401.599613
0.051575   795.397489   1842.675039   2848.283422   3646.951213
0.057825   841.918440   1866.704427   2999.473195   3797.929850
0.064075   959.235481   2059.649231   3115.502488   4006.502982
0.070325   1037.099163   2160.024977   2956.147271   4040.076727
0.076575   992.186777   2130.981076   2902.854370   3641.779942
0.082825   857.674197   1896.681578   2699.297008   3775.363277
0.089075   825.317167   1799.254403   2662.135249   3795.025958
0.095325   1002.016673   1849.392611   2597.178592   3824.702402
0.101575   1184.257846   1796.329812   2726.852323   3900.481511
0.107825   942.790609   1820.540987   2718.427502   3795.491338
0.114075   977.719176   1874.677379   2660.105978   3695.752260
0.120325   972.195103   2231.110300   2658.793066   3386.050246
0.126575   1033.501421   1743.274752   2478.015691   3532.174629
0.132825   999.878436   1744.652496   2649.460171   3577.157273
0.139075   1078.009592   2033.449235   3384.638180   4438.169829
0.145325   892.048540   1970.931023   2834.538665   3647.447500
0.151575   915.416119   1815.707892   2741.678811   3877.291888
0.157825   1131.297540   1996.895500   2740.524375   4119.136380
0.164075   1090.052673   2134.296323   2970.329966   4063.687928
0.170325   956.888058   2134.003940   2992.463700   3406.232952
0.176575   904.829780   2030.229848   2751.529287   3557.204340
0.182825   1021.977846   1652.493445   2673.682067   3745.826376
0.189075   959.908627   1760.394118   2650.307944   3711.062425
0.195325   868.859445   1671.026448   2583.011859   3609.805721
0.201575   800.188437   1769.734323   2700.239251   3723.306645
0.207825   893.480474   1878.689451   2783.085273   3684.134504
0.214075   1048.403930   2082.702557   3382.967877   3436.323561
0.220325   1133.237222   1668.197416   2375.571006   3626.100235
0.226575   1140.247502   1397.268744   2522.346713   3510.991288
0.232825   906.693849   1849.055245   2862.075012   3526.179492
0.239075   920.849536   1835.811381   2861.935545   3622.799912
0.245325   912.881916   1667.173318   2923.420620   3704.418918
0.251575   866.177474   1691.567593   2861.311767   3741.248832
0.257825   806.708925   1750.864660   2769.037798   3775.637293
0.264075   756.183031   2039.283430   2716.436696   3551.876192
0.270325   826.508447   1862.284894   2692.444631   3539.849462
0.276575   879.278762   1762.806825   2726.677453   3699.882067
0.282825   799.508605   1812.104347   2729.283917   3749.094573
0.289075   810.794386   1743.194734   2748.778569   3588.137544
0.295325   783.337293   1781.721896   2731.303262   3643.110762
0.301575   957.091329   2023.139293   2526.813760   3636.045201
0.307825   1118.815271   2037.925315   2290.301757   3644.124106
0.314075   1066.475819   1598.712812   2521.176006   3609.286394
0.320325   984.589036   1661.784724   2713.774100   3501.160492
0.326575   747.778104   1957.143647   3157.133147   3428.668833
0.332825   504.153446   1813.014627   3075.998623   3317.350433
0.339075   1522.540615   2622.267903   --undefined--   --undefined--
0.345325   294.469682   1676.961832   2745.126755   3606.976703
0.351575   321.479800   1618.014255   2787.551458   3569.476419
0.357825   1351.927986   2367.758757   --undefined--   --undefined--
0.364075   1267.175676   1985.295526   2380.010116   3179.845842
0.370325   904.480621   1841.865946   2559.084326   3654.898273
0.376575   940.102114   1991.616028   2396.560488   3686.638243
0.382825   1500.942233   2323.998148   --undefined--   --undefined--
0.389075   898.870676   1522.776187   2625.038384   3470.303461
0.395325   1279.073649   2458.062600   --undefined--   --undefined--
0.401575   1076.420492   1257.626328   2418.895382   3450.051793
0.407825   976.041956   1691.484511   2647.505511   3527.016419
0.414075   811.314653   1580.044288   2648.705504   3378.441749
0.420325   475.684406   1755.039129   2653.627942   3514.767434
0.426575   700.303852   1651.661747   2676.539622   3582.274043
0.432825   824.371139   1637.792402   2628.637045   3448.306108
0.439075   1380.678091   2361.634136   --undefined--   --undefined--
0.445325   1251.218434   1588.755180   2640.982975   3406.224311
0.451575   957.377674   1644.727633   3000.437997   3541.003394
0.457825   840.958698   1765.770339   2753.160454   3500.203862
