Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   618.995737   1456.534940   2128.818331   3427.109544
0.031250   984.352120   1823.841096   2967.476929   3877.154460
0.037500   1035.239383   1858.991398   2990.580285   3999.008600
0.043750   1040.757617   1890.397137   2973.251635   3960.421928
0.050000   1044.406794   1940.392336   3019.862274   4172.801333
0.056250   1887.508712   2959.566642   --undefined--   --undefined--
0.062500   1936.765410   2782.797116   --undefined--   --undefined--
0.068750   1820.613294   2566.541869   --undefined--   --undefined--
0.075000   1856.647261   2592.812389   --undefined--   --undefined--
0.081250   1870.401418   2917.748201   --undefined--   --undefined--
0.087500   1730.819119   2836.033942   --undefined--   --undefined--
0.093750   1737.625309   2857.989728   --undefined--   --undefined--
0.100000   2008.462176   3216.829491   --undefined--   --undefined--
0.106250   2086.097961   2693.424044   --undefined--   --undefined--
0.112500   1901.250192   2807.559818   --undefined--   --undefined--
0.118750   1810.912264   2616.825044   --undefined--   --undefined--
0.125000   1839.222108   2636.294890   --undefined--   --undefined--
0.131250   1873.039318   2774.873714   --undefined--   --undefined--
0.137500   1911.969192   2794.031351   --undefined--   --undefined--
0.143750   2012.367346   2727.722730   --undefined--   --undefined--
0.150000   1930.502022   2807.687823   --undefined--   --undefined--
0.156250   1869.563116   2902.981157   --undefined--   --undefined--
0.162500   1963.472263   2998.055127   --undefined--   --undefined--
0.168750   2063.337695   2807.317285   --undefined--   --undefined--
0.175000   1945.479439   2804.411174   --undefined--   --undefined--
0.181250   1861.857010   2835.084268   --undefined--   --undefined--
0.187500   1822.798875   2817.268955   --undefined--   --undefined--
0.193750   1958.246690   2534.177306   --undefined--   --undefined--
0.200000   1911.835170   2723.604715   --undefined--   --undefined--
0.206250   1936.752975   2849.357850   --undefined--   --undefined--
0.212500   2054.878074   2916.531348   --undefined--   --undefined--
0.218750   1992.229553   2896.579520   --undefined--   --undefined--
0.225000   1775.635815   2860.143200   --undefined--   --undefined--
0.231250   1732.046332   2849.901411   --undefined--   --undefined--
0.237500   1757.982499   2961.776507   --undefined--   --undefined--
0.243750   1796.582656   2873.241887   --undefined--   --undefined--
0.250000   1838.389721   2773.115808   --undefined--   --undefined--
0.256250   1798.382223   2857.513455   --undefined--   --undefined--
0.262500   1852.135691   2820.174497   --undefined--   --undefined--
0.268750   1891.444029   2700.688396   --undefined--   --undefined--
0.275000   1925.305893   2666.512062   --undefined--   --undefined--
0.281250   1825.429682   2757.223235   --undefined--   --undefined--
0.287500   1835.730551   2849.477982   --undefined--   --undefined--
0.293750   1882.634262   2859.373714   --undefined--   --undefined--
0.300000   1850.958193   2863.039764   --undefined--   --undefined--
0.306250   1786.263500   2887.903100   --undefined--   --undefined--
0.312500   1949.796051   2862.489106   --undefined--   --undefined--
0.318750   2071.503708   2910.733989   --undefined--   --undefined--
0.325000   1882.085559   2777.522691   --undefined--   --undefined--
0.331250   1838.362750   2752.893612   --undefined--   --undefined--
0.337500   1850.952459   2795.350816   --undefined--   --undefined--
0.343750   1899.031958   2936.511385   --undefined--   --undefined--
0.350000   1902.269005   2984.164728   --undefined--   --undefined--
0.356250   1809.622962   2847.103799   --undefined--   --undefined--
0.362500   1927.324478   3013.599666   --undefined--   --undefined--
0.368750   1793.685606   3127.167343   --undefined--   --undefined--
0.375000   1786.838378   2985.820409   --undefined--   --undefined--
0.381250   1836.247482   3012.521364   --undefined--   --undefined--
0.387500   1782.818563   2693.852818   --undefined--   --undefined--
0.393750   1826.388003   2581.057954   --undefined--   --undefined--
0.400000   1747.223760   2868.584643   --undefined--   --undefined--
0.406250   1749.420408   2915.206141   --undefined--   --undefined--
0.412500   1761.665987   2921.763725   --undefined--   --undefined--
0.418750   1806.898542   2868.151991   --undefined--   --undefined--
0.425000   1798.106486   2870.244365   --undefined--   --undefined--
0.431250   1758.838771   2736.323393   --undefined--   --undefined--
0.437500   1729.565432   2654.457589   --undefined--   --undefined--
0.443750   1800.479026   2600.625510   --undefined--   --undefined--
0.450000   1813.587839   2641.115742   --undefined--   --undefined--
0.456250   1777.256031   2689.049909   --undefined--   --undefined--
0.462500   1783.654540   2685.644332   --undefined--   --undefined--
