Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1516.526769   2018.201806   --undefined--   --undefined--
0.031250   1582.406514   1636.395746   2911.588445   4059.896493
0.037500   1540.251001   1596.376176   2915.284730   3887.504678
0.043750   886.512893   1610.931203   2823.847960   3737.025836
0.050000   1493.016814   1986.366928   2951.587180   3844.961341
0.056250   1436.677865   1746.950968   3113.731864   3922.746376
0.062500   657.117535   1785.875882   2963.477898   4027.338024
0.068750   712.067625   1735.089572   2800.574136   3886.876818
0.075000   1524.386598   1569.934623   2778.918450   3952.151764
0.081250   653.019974   1795.164067   2831.416954   4053.868772
0.087500   646.471937   1770.639542   2762.024465   3906.362462
0.093750   677.392588   1786.634042   2840.744759   3886.499057
0.100000   721.907455   1920.265755   3093.363889   3833.501008
0.106250   497.403795   1728.482376   3050.546222   3983.366119
0.112500   400.343474   1760.372382   2966.458542   4149.579094
0.118750   474.239582   1942.459233   3098.120627   4136.213117
0.125000   307.257902   2027.455502   3054.643528   3755.019571
0.131250   213.506450   1741.903754   2844.879103   3833.526853
0.137500   186.931590   1798.855713   2952.480559   3887.897347
0.143750   1902.761023   3070.644509   --undefined--   --undefined--
0.150000   609.017425   1947.049582   3074.806500   3981.320213
0.156250   276.538983   1884.748704   2956.255926   3862.301973
0.162500   439.163655   1930.307596   2961.865223   4061.739303
0.168750   578.208645   1867.158961   3009.891316   4008.700988
0.175000   534.054856   1752.648085   2893.236897   3727.082007
0.181250   1028.782481   1837.523816   3059.820875   3874.508116
0.187500   1098.952367   1993.178187   3101.522633   4024.801797
0.193750   1158.818220   2115.588252   3165.590852   3991.660938
0.200000   1168.238129   2047.802381   3123.461867   3881.552462
0.206250   1098.123342   2082.776964   3020.436605   3698.699944
0.212500   1223.484044   1783.754539   2920.801531   3700.408220
0.218750   1208.902740   1892.749142   2858.768892   3759.125640
0.225000   1034.820759   2015.899212   2993.920004   3803.690028
0.231250   1615.210816   1882.448850   2950.104748   3720.692559
0.237500   1821.883577   1825.228578   2990.318201   3446.711616
0.243750   738.869747   1887.335612   2824.415934   3575.640468
0.250000   999.421600   2056.172699   2978.608662   3968.289292
0.256250   1781.193285   2176.205412   --undefined--   --undefined--
0.262500   1727.084816   2335.204582   --undefined--   --undefined--
0.268750   1302.611164   2051.601505   2585.994381   3576.249009
0.275000   1167.735551   1999.049128   2569.100978   3565.039984
0.281250   1187.877956   2008.123378   2615.191443   3586.418801
0.287500   1353.146584   2114.761075   2687.690887   3685.527112
0.293750   755.624671   2063.476300   2612.287434   3796.484922
0.300000   720.812482   2145.434144   2667.493356   3895.679352
0.306250   694.268837   1988.785541   2386.607186   3694.458901
0.312500   507.702483   1766.747805   2533.538175   3638.089324
0.318750   730.176024   1830.449726   2730.102184   3758.299630
0.325000   860.563290   1979.919408   2656.062849   3678.618285
0.331250   924.804080   2185.227820   2634.487227   3529.264714
0.337500   997.496881   2061.008457   2991.522388   3647.307973
0.343750   1224.173772   2193.408453   3015.716487   3971.053337
0.350000   1277.903112   2234.224880   3091.881803   4099.661408
0.356250   1341.766121   2320.886449   3104.286842   3848.879480
0.362500   1291.050737   2182.163024   3051.927244   3886.423104
0.368750   1114.099399   1856.357082   3032.403235   3854.227676
0.375000   204.066936   1598.059897   2776.771001   3734.837799
0.381250   1290.831105   1959.182829   2863.306232   4172.228280
0.387500   898.619667   1876.981849   2849.865490   4113.915427
0.393750   809.482811   2006.986682   2909.284137   4033.883819
0.400000   935.734668   2089.461777   3037.157110   3950.809775
0.406250   1130.975127   1994.368013   3039.522878   4108.550744
0.412500   924.424603   1893.268036   2945.414427   4099.233855
0.418750   791.920196   1911.338189   3090.306013   4032.914968
0.425000   1075.835672   2054.188775   3134.219464   4030.193802
0.431250   1265.623649   2177.414963   3053.055158   4025.583228
0.437500   1229.351099   1965.207268   3045.516575   4012.933607
0.443750   1166.761034   1862.095052   3028.415834   4072.317768
0.450000   1172.565971   1810.172704   2954.820679   4073.869837
0.456250   1492.767833   1939.104063   2946.473032   4115.211601
0.462500   1464.102878   1952.853273   3098.620460   4002.971299
0.468750   1098.566776   1942.227630   3110.014860   3944.487280
0.475000   1144.998686   1955.503695   2915.502479   3980.481462
0.481250   1226.354088   2010.320154   2898.654713   4201.129614
0.487500   687.871704   1289.721456   2851.804346   3926.373136
0.493750   1194.027469   1801.528538   3031.639085   4006.766480
0.500000   1315.766051   2017.174472   3261.813953   3922.688801
0.506250   1069.895247   1740.384345   3087.634248   3276.015341
0.512500   1096.494671   1657.290144   3041.973341   3253.646417
0.518750   1242.749734   2634.294545   3201.652887   4195.880959
0.525000   1201.070693   2501.952380   3260.463214   4024.384033
0.531250   1226.050232   2736.123555   3326.560993   4245.105683
0.537500   1201.162196   2663.613317   3355.427741   4189.778399
0.543750   1137.302692   2603.666807   3389.251963   4294.662635
0.550000   982.143824   2578.716002   3349.540901   4356.686642
0.556250   757.332118   2168.454899   3327.013314   4305.383204
0.562500   813.647464   2174.966812   3253.896086   4298.862888
0.568750   527.528133   869.431552   2845.869128   3493.805896
0.575000   603.300209   953.872263   2887.469423   3617.464614
0.581250   577.229654   1081.307225   2850.441557   3556.940203
0.587500   539.874732   1148.383420   2796.063406   3621.182487
0.593750   519.197206   1198.614404   2723.025465   3704.524539
0.600000   528.916608   1281.620177   2705.811992   3662.773736
0.606250   517.320408   1399.632117   2678.358481   3670.358347
0.612500   518.566333   1498.854338   2673.253326   3683.399866
0.618750   519.748342   1581.247832   2553.574569   3539.925944
0.625000   529.216676   1661.114426   2577.630941   3501.658350
0.631250   536.304792   1793.901493   2594.991110   3542.112293
0.637500   516.128700   1891.892049   2444.909979   3454.785799
0.643750   473.281114   1918.454751   2348.303899   3392.960405
0.650000   429.990181   1960.628362   2427.096545   3460.993044
0.656250   405.065789   1999.186698   2496.168064   3468.527518
0.662500   402.921945   2008.373404   2553.067783   3393.699444
0.668750   404.759115   2013.098733   2543.633343   3347.904198
0.675000   398.004696   2030.199786   2606.103598   3368.183715
0.681250   402.838850   2036.547320   2558.782846   3381.368308
0.687500   411.366307   1957.614510   2512.762755   3400.610754
0.693750   417.692068   1902.611584   2806.267868   3408.383777
0.700000   415.166395   1878.836048   2780.302640   3411.684726
0.706250   416.992034   1796.931282   2635.085920   3447.971018
0.712500   414.513555   1748.014703   2668.077223   3436.307095
0.718750   400.258890   1712.759465   2527.471652   3469.381934
0.725000   420.460963   1615.938163   2510.390339   3676.542529
0.731250   352.539025   1631.774039   2504.754084   3797.884963
0.737500   1658.011477   2597.176945   --undefined--   --undefined--
0.743750   1616.061911   2656.734309   --undefined--   --undefined--
0.750000   1597.726536   2597.380122   3691.331664   4313.379945
0.756250   1643.738111   2676.979054   3769.362684   4359.809875
0.762500   1625.936506   2617.912734   3754.975003   4340.235917
0.768750   1599.754695   2551.760615   3914.850147   4259.107620
0.775000   1443.928238   1816.168467   2718.851555   3963.765243
0.781250   1127.376344   1660.255968   2911.508257   3989.259647
0.787500   1245.965281   1558.847910   3161.900775   4371.779037
0.793750   1251.341116   1523.382982   2650.182597   3878.771421
0.800000   1285.410516   1534.928318   2465.446099   3834.056138
0.806250   1302.266152   2149.997519   3290.072065   4206.395380
0.812500   1349.743366   2225.352945   3176.672550   4274.991268
0.818750   1404.535956   2536.331016   --undefined--   --undefined--
0.825000   1321.484459   2518.514087   --undefined--   --undefined--
0.831250   112.375139   1458.053039   2530.760557   3945.487576
0.837500   1227.888181   2494.598913   3808.695786   4810.502284
0.843750   1213.737214   2420.302412   3515.305948   4431.737828
0.850000   803.677698   1140.116275   2789.077405   3982.033630
0.856250   840.044840   1156.686278   2813.593079   3849.688435
0.862500   829.243854   1143.912153   2676.318027   3885.960969
0.868750   838.472175   1141.624415   2635.958252   3864.887174
0.875000   896.103093   1147.695400   2631.999387   3602.061327
0.881250   1005.424936   1266.878754   2664.245397   3545.470390
0.887500   1082.553781   1139.012887   2655.180104   3738.851783
0.893750   983.553035   1379.691024   2702.297758   3726.931530
0.900000   1017.556933   1472.453359   2682.867622   3498.538437
0.906250   804.279092   1144.276286   2593.861735   3490.732172
0.912500   721.587721   939.622386   2577.724853   3456.255747
0.918750   663.844625   937.500821   2620.415540   3449.752258
0.925000   631.482196   943.919082   2663.086124   3411.943786
0.931250   617.998535   939.459720   2687.071687   3395.696736
0.937500   605.992928   939.479459   2761.334634   3400.470203
0.943750   592.627639   931.008989   2813.431651   3428.735305
0.950000   587.495399   922.940451   2826.991422   3486.895306
0.956250   587.211077   927.764830   2837.071909   3474.527905
0.962500   601.056532   912.515003   2841.531717   3459.894233
0.968750   620.064324   874.744150   2909.977964   3415.387665
0.975000   623.741510   848.608204   2929.029732   3350.953440
0.981250   617.134276   836.441901   2944.318521   3379.021592
0.987500   615.022681   808.340237   2974.767588   3406.116876
0.993750   614.277511   797.371993   2981.127375   3414.508746
1.000000   619.905943   794.775251   3005.715495   3426.042479
1.006250   617.295339   780.416581   3047.204628   3456.560629
1.012500   618.580727   766.880352   3066.133143   3484.494707
1.018750   570.202774   784.802966   3103.017171   3543.842522
1.025000   558.859236   803.090840   3151.514525   3583.934005
1.031250   560.431874   817.240397   3152.797434   3627.288650
1.037500   574.973321   791.985077   3154.778620   3665.979052
1.043750   587.459903   731.863245   3184.386694   3697.839637
1.050000   662.118474   755.155475   3097.755774   3679.251794
1.056250   713.397834   895.488725   3075.224234   3687.095211
1.062500   711.008057   1367.494316   3531.376495   3867.705413
1.068750   725.825673   1961.930706   3110.621292   4257.017564
1.075000   743.916464   1928.558271   3187.246835   4275.593653
1.081250   810.700967   1762.297956   3220.403172   3890.866489
1.087500   943.331786   1692.418962   3278.370569   3996.053020
1.093750   1120.264783   1502.777924   3297.148989   3965.978840
1.100000   997.919495   2175.648972   3144.136754   3943.391695
1.106250   879.813419   2280.029779   3362.177144   3987.128624
1.112500   1008.724578   2516.421419   3555.715625   3805.463713
1.118750   1066.933719   2101.430625   3230.403888   4182.746775
1.125000   1041.061145   1935.657249   3233.592733   3997.260380
1.131250   1242.508770   2232.263306   2960.337971   4065.345792
1.137500   1273.438590   2015.659651   2999.368870   4010.029125
1.143750   1265.279668   1867.237843   3011.647512   4302.237142
1.150000   1186.453683   1786.355696   3065.244139   4305.661172
1.156250   1116.589786   1783.367704   3094.622971   4208.585977
1.162500   1188.818504   1901.355610   3115.806989   4355.116839
1.168750   1261.676009   1908.675914   3043.820660   4217.991095
1.175000   1335.159427   1922.301044   3046.259999   4177.851142
1.181250   1257.802855   2850.396774   3016.859263   4070.518899
