Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   704.674198   1723.066034   2922.609535   3591.541170
0.031250   1176.006509   1997.936244   3077.132105   4063.119713
0.037500   1001.843528   1756.924849   3072.398120   4102.008400
0.043750   1035.657934   1815.264602   3061.768576   4098.081156
0.050000   1171.386261   2046.102179   2913.473000   4105.871610
0.056250   1032.073875   1916.873294   2115.167528   3382.375516
0.062500   1018.887848   1809.590119   2496.758878   3436.015672
0.068750   986.100242   1772.239266   2861.548585   4076.303190
0.075000   893.039892   1716.630675   2812.067891   4013.662111
0.081250   915.128534   1690.743616   2552.299342   3653.466511
0.087500   1543.440046   2129.481359   3073.942860   3853.637347
0.093750   1616.212309   1634.320032   2754.264121   3783.294876
0.100000   1126.537224   1467.322390   2123.463337   3330.563141
0.106250   1074.967440   2089.654078   3153.041276   4256.425549
0.112500   922.971249   1888.731385   2900.632979   4124.042271
0.118750   982.241147   1781.554567   2783.180402   4195.538907
0.125000   935.452806   1685.051468   2742.795216   4131.500504
0.131250   861.424252   1644.228808   2607.284523   3697.971992
0.137500   1105.063948   1699.793156   2661.146561   4065.183301
0.143750   1222.787455   1852.622281   2953.685603   4109.978335
0.150000   878.130062   1597.386658   2608.221150   3390.304271
0.156250   956.533478   1768.255261   2570.738669   3727.203050
0.162500   962.698830   1849.673920   2488.146909   3709.275870
0.168750   1026.657077   2075.503612   2536.208736   3597.479384
0.175000   1288.534917   2273.009689   3366.106637   4189.191325
0.181250   1265.152441   1966.751918   3348.126060   3450.961054
0.187500   1058.879975   1595.615668   2781.091511   3495.121171
0.193750   833.568862   1666.928019   2699.048906   3523.035137
0.200000   1003.727168   1710.970012   2714.443126   3563.287139
0.206250   918.009523   1816.016651   2690.357276   3447.732991
0.212500   865.227286   1800.368803   2620.054820   3481.971925
0.218750   1041.045083   1850.669188   3031.275169   3805.734763
0.225000   815.569605   1783.414918   2705.526090   3516.409206
0.231250   857.549417   1800.660804   2708.444529   3608.691824
0.237500   854.109913   1868.955028   2668.717338   3638.689271
0.243750   776.220329   1869.782896   2877.895727   3455.764997
0.250000   771.110746   1800.625169   2750.747974   3445.560085
0.256250   858.647093   1832.125774   2596.657456   3359.962571
0.262500   922.039985   1758.748608   2596.009809   3393.697200
0.268750   938.190959   1763.155818   2807.197498   3385.583001
0.275000   856.872550   1755.377930   2805.784498   3453.679785
0.281250   906.415110   1752.562486   2760.226794   3470.148101
0.287500   887.606182   1748.027498   2771.357292   3497.997427
0.293750   809.735079   1803.638056   2769.824867   3329.169795
0.300000   812.008507   1794.080427   2598.438233   3176.331583
0.306250   1606.185822   2563.582444   3269.825962   4240.427589
0.312500   524.696339   1669.210204   2702.770929   3492.063172
0.318750   878.191185   1749.633620   2713.315177   3442.396547
0.325000   938.487709   1757.461093   2765.759688   3424.026086
0.331250   990.875518   1696.759804   2772.571685   3398.896418
0.337500   1027.625229   1725.917822   2971.496071   3903.979693
0.343750   754.036657   1715.124366   2716.835672   3400.554164
0.350000   707.592974   1613.679335   2697.713151   3519.284010
0.356250   725.002212   1662.012456   2689.291783   3603.514955
0.362500   779.628277   1689.783159   2665.469481   3524.237686
0.368750   764.981392   1713.365296   2896.916392   3447.605091
0.375000   711.422426   1746.226707   2901.320414   3594.122856
0.381250   652.316169   1744.983354   2590.944034   3697.572104
0.387500   646.684660   1776.770529   2471.073445   3658.034208
0.393750   708.382052   1730.951719   2597.544677   3581.799428
0.400000   707.580634   1681.842012   2562.828398   3501.120773
0.406250   773.531661   1630.174124   2607.348236   3615.989636
0.412500   888.912210   1652.665884   2615.054218   3914.229666
0.418750   919.468839   1752.457145   2930.674096   3847.485927
0.425000   680.645032   1715.878940   2418.632522   3560.070819
0.431250   919.246081   1739.217640   2376.040999   3430.520293
0.437500   1256.635375   2243.278242   3262.889883   4263.485152
0.443750   1266.602964   2337.797307   3166.784486   4237.020533
0.450000   800.010213   1750.448920   2512.679286   3540.730487
0.456250   813.185197   1663.926392   2509.037782   3587.842944
0.462500   851.687265   1665.453174   2550.405023   3571.313487
0.468750   881.976673   1823.646317   2456.241939   3472.036804
0.475000   1039.557718   1643.697623   2564.278180   3488.128170
0.481250   944.560778   1638.633887   2648.745246   3519.567643
0.487500   886.368830   1771.101088   2478.706467   3628.243485
0.493750   935.229125   1768.334703   2571.332988   3829.578060
0.500000   887.014473   1707.114172   2648.470826   3755.195983
0.506250   981.016648   1658.476704   2629.266339   3568.065249
0.512500   1063.638766   1687.749498   2607.333502   3625.647549
0.518750   1061.980683   1868.752777   2517.268525   3569.069256
0.525000   942.312709   2148.292397   2306.033651   3460.206535
0.531250   818.415499   1937.344515   2481.518370   3630.504228
0.537500   848.069247   1879.619351   2591.280350   3733.689951
0.543750   933.528000   1773.664554   2657.632250   3737.945565
0.550000   1076.600709   1899.906450   2592.803022   3863.299606
0.556250   1035.387305   1771.270646   2619.303603   3948.607811
0.562500   998.906708   1681.131860   2684.339933   3474.697211
0.568750   888.192786   1778.529413   2804.335126   3525.759469
0.575000   916.560936   1795.009539   2768.805788   3437.238903
0.581250   716.655767   1663.446432   2763.005429   3409.491519
0.587500   676.444728   1702.820272   2771.636563   3400.882558
0.593750   682.920257   1689.057038   2770.181269   3376.929533
0.600000   314.374191   1725.429108   2979.575573   3429.724370
0.606250   339.255294   1529.330906   2645.779899   3726.825140
0.612500   360.625665   1342.053458   2684.550733   3710.651137
0.618750   394.656315   1340.880394   2681.458850   3664.420508
0.625000   420.640212   1375.183268   2621.395238   3621.351113
0.631250   420.435876   1453.328466   2550.514821   3623.617638
0.637500   419.355189   1534.458616   2544.090872   3617.556773
0.643750   421.429631   1602.304733   2558.626317   3591.888464
0.650000   419.374649   1710.408053   2563.352476   3576.402241
0.656250   419.902711   1832.170520   2561.283014   3555.501793
0.662500   416.284758   1950.987202   2548.510792   3528.028381
0.668750   395.069810   2042.921765   2557.160080   3511.422873
0.675000   367.099491   2215.969423   2581.266277   3509.037886
0.681250   350.638819   2289.557100   2594.608636   3494.797455
0.687500   337.533470   2297.810936   2603.021640   3512.263998
0.693750   340.923954   2286.647530   2615.860607   3532.426029
0.700000   347.325936   2280.556405   2597.057470   3561.771833
0.706250   356.223727   2251.367078   2580.169430   3575.149929
0.712500   365.460238   2195.282497   2565.951295   3601.220683
0.718750   363.998452   2125.553870   2561.617080   3625.460993
0.725000   365.237509   1986.432224   2577.722325   3625.866874
0.731250   363.786728   1847.091731   2576.256769   3620.064685
0.737500   355.813115   1870.210868   2583.354390   3736.889098
0.743750   351.182272   1800.159261   2640.283378   3715.403295
0.750000   369.720571   1808.794070   2794.192597   3581.043326
0.756250   445.756561   1960.565736   2872.475820   3759.642842
0.762500   661.424820   1786.012195   2725.074251   3790.250258
0.768750   608.738932   1649.348007   2694.872398   3688.286013
0.775000   601.371526   1690.230007   2645.765419   3592.772285
0.781250   699.665051   1540.728251   2676.621753   3846.034855
0.787500   1468.465060   2791.998416   --undefined--   --undefined--
0.793750   1491.270964   2351.163625   2963.246214   4143.727373
0.800000   1068.554058   2255.724470   3052.285532   4094.984297
0.806250   1174.757763   2391.818089   3109.959592   4027.999610
0.812500   1358.736058   2435.351469   3276.217102   4032.651974
0.818750   667.305594   1556.193270   2770.853513   3901.474991
0.825000   544.062322   1623.590425   2532.917398   3813.283770
0.831250   1203.926380   2245.298575   --undefined--   --undefined--
0.837500   805.566608   1681.026271   2626.615151   3698.229538
0.843750   791.938376   1434.726083   2510.545671   3550.125242
0.850000   1270.048388   2293.749725   3298.756208   4007.891991
0.856250   1287.816650   1856.499667   3048.623508   3919.995188
