Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1431.489042   2458.956965   3110.630257   3560.216247
0.031250   1147.952635   1460.729840   2428.408054   3542.722914
0.037500   1198.832057   2318.867968   3383.011129   3879.079953
0.043750   925.283636   1824.419724   2375.376015   3379.540075
0.050000   850.843878   1957.958186   2453.961427   3393.392794
0.056250   888.043149   1888.887538   2489.699911   3425.101967
0.062500   906.596107   1876.841044   2482.072387   3441.195572
0.068750   827.972325   1872.829974   2625.449467   3415.431758
0.075000   683.188506   1864.516542   2597.108070   3425.413098
0.081250   679.652245   1868.644926   2605.971699   3415.550041
0.087500   709.989829   1858.254888   2516.253617   3399.933297
0.093750   751.629793   1844.199971   2519.636602   3449.416455
0.100000   757.232034   1875.101611   2574.540484   3416.972988
0.106250   806.646255   1817.125634   2596.125209   3409.156798
0.112500   1002.926543   1367.232621   2372.867766   3383.493461
0.118750   986.817510   1529.064025   2286.368924   3263.001780
0.125000   1026.873910   2008.558268   2215.604700   3308.108850
0.131250   947.248564   1840.858564   2502.322788   3446.275225
0.137500   745.433890   1740.875683   2597.608951   3442.300311
0.143750   727.281286   1800.625375   2544.100894   3431.768073
0.150000   776.953330   1845.859809   2427.610786   3426.051166
0.156250   801.925052   1681.826188   2338.912704   3424.783703
0.162500   757.201460   1747.350943   2445.653097   3410.759589
0.168750   634.222607   1744.394631   2554.894890   3572.627544
0.175000   837.770914   1748.044933   2242.358915   3432.892529
0.181250   894.188798   1971.467635   2489.997671   3329.846964
0.187500   779.491405   1767.326427   2456.188037   3416.237971
0.193750   833.402080   1765.055185   2828.680988   3593.292904
0.200000   829.072508   1968.518763   2755.772139   3662.144463
0.206250   880.409023   2185.432100   2756.092888   3871.384099
0.212500   1014.800757   2227.695550   2868.964182   3783.687255
0.218750   969.753654   1997.556139   2865.907364   3732.945121
0.225000   994.922573   2014.913670   2873.849274   3823.612243
0.231250   995.755647   1982.514733   2848.468259   3830.012810
0.237500   1082.241362   2011.217914   2794.245831   3921.874306
0.243750   1043.568341   2074.725035   2829.490057   3944.301223
0.250000   1077.862627   2124.499469   3032.624904   4085.851909
0.256250   865.120048   2053.018869   2368.760362   3319.570949
0.262500   891.426579   1875.828047   2525.290178   3494.781754
0.268750   949.214535   1905.701628   2785.290578   3554.853273
0.275000   988.630611   1831.696676   2866.960267   3743.114605
0.281250   942.783798   1926.405183   2989.152427   3821.153017
0.287500   929.511341   1969.140119   2856.686376   3860.991949
0.293750   868.826640   1809.383048   2813.291093   3798.801929
0.300000   1145.988195   1988.504241   2804.193117   3679.244758
0.306250   1157.726392   1940.275309   2958.741035   3832.404423
0.312500   847.556930   1544.122783   2525.778418   3678.783767
0.318750   947.410974   1557.424164   2309.402339   3645.891525
0.325000   869.495160   1759.659913   2269.103583   3596.264791
0.331250   889.814268   2066.900763   2199.016125   3582.488637
0.337500   990.422628   2030.925826   2741.451953   3684.840876
0.343750   1097.924129   2028.542841   2887.406251   3668.572256
0.350000   1058.015982   2078.507556   2843.132632   3742.378675
0.356250   1020.542525   2077.426170   2826.345139   3800.996220
0.362500   1005.072368   2094.474884   2820.650497   3675.118122
0.368750   1163.984871   1969.623467   2914.615256   3764.274736
0.375000   1135.526012   2035.029700   2870.983420   3858.340150
0.381250   1026.816745   2123.314309   2855.330576   3743.003687
0.387500   1112.373454   1968.795189   3101.269201   3927.235228
0.393750   1730.846437   2786.583186   --undefined--   --undefined--
0.400000   1640.133329   2597.949908   --undefined--   --undefined--
0.406250   1776.224727   2680.403870   3952.075355   4446.315969
0.412500   164.732041   1915.358192   2964.390263   3704.498571
0.418750   2016.525109   3046.454591   --undefined--   --undefined--
0.425000   1956.833628   2902.825369   4131.864173   4165.284600
0.431250   2019.342540   3092.429209   --undefined--   --undefined--
0.437500   1513.461529   2000.284220   3169.795476   4184.603739
0.443750   1851.219217   1929.309782   3102.709597   4138.381788
0.450000   1805.397316   3041.717520   3912.697912   4348.755411
0.456250   1816.064142   2892.258420   3390.983583   4197.287089
0.462500   1605.140831   2491.855124   3493.417965   4324.346886
0.468750   109.356648   2174.126000   2732.879380   3437.749695
0.475000   221.578921   2065.518808   3325.195450   3792.643243
0.481250   277.112336   1879.705121   2922.715383   3307.704845
0.487500   308.165785   1931.720872   2549.823228   3508.859655
0.493750   335.194181   1950.961693   2519.985161   3492.077352
0.500000   329.672131   1962.225273   2503.473125   3482.925007
0.506250   328.721451   2006.289967   2528.779793   3485.112623
0.512500   324.394984   2040.242576   2590.746552   3454.959495
0.518750   322.236543   2071.893463   2657.540193   3528.871906
0.525000   320.185576   2082.467385   2719.786517   3548.894009
0.531250   320.945919   2089.568450   2717.709541   3524.564877
0.537500   320.811019   2087.268821   2707.179323   3497.608003
0.543750   321.416530   2074.788045   2748.748093   3491.386523
0.550000   321.524117   2059.543529   2738.466707   3459.323634
0.556250   325.148080   2057.164997   2706.197519   3482.127725
0.562500   324.761626   2043.198264   2747.212755   3459.841697
0.568750   323.881177   2066.483772   2739.704052   3482.388963
0.575000   324.832026   2070.657198   2688.897046   3462.273967
0.581250   324.902641   2080.490998   2683.802326   3518.982841
0.587500   325.299841   2070.258758   2693.216971   3554.387602
0.593750   325.532794   2056.403571   2700.183793   3561.805558
0.600000   325.851446   2040.095891   2652.782513   3584.256567
0.606250   327.693576   2014.968468   2593.417058   3595.989000
0.612500   324.695033   1978.322807   2553.697988   3646.425412
0.618750   323.536212   1943.654505   2535.906233   3671.399920
0.625000   324.279819   1901.968165   2533.136988   3728.031906
0.631250   325.415182   1893.757836   2547.518467   3801.021475
0.637500   326.328546   1948.985018   2584.822002   3949.129440
0.643750   314.913175   1997.204430   2616.459745   3853.172685
0.650000   252.022218   1961.953960   2885.985632   3732.313559
0.656250   1911.051775   2799.168351   3785.191315   4849.740975
0.662500   718.231841   1920.709469   2969.625320   3724.359621
0.668750   836.179869   1894.925520   3061.097283   3871.529606
0.675000   450.211014   1870.053742   3164.654654   4088.591481
0.681250   571.475255   1899.534396   3249.313813   4482.752955
0.687500   510.636399   1822.732438   3197.233288   4589.248787
0.693750   1701.924778   2321.644556   3450.596788   4616.878526
0.700000   1689.895709   2738.682122   3441.471985   4277.874777
0.706250   1109.775830   1709.427136   3035.468492   4336.959297
0.712500   1656.341568   2480.242125   3710.569373   4725.679827
0.718750   1698.792702   2484.064314   3417.118895   4460.517853
0.725000   1413.151985   2011.210955   3288.396860   4600.354725
0.731250   1205.819430   1980.416066   3306.932104   4595.326156
0.737500   1189.247046   2048.022167   3187.364062   4713.966073
0.743750   1196.755288   2116.705147   3222.362296   4249.202833
0.750000   1145.441656   2085.560364   3281.563928   4818.970892
0.756250   1181.008532   2136.237419   3497.528066   3693.545830
