Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1109.592049   2084.227282   2913.434478   4024.988482
0.031250   958.443783   2120.909741   3311.642645   4094.732784
0.037500   887.404907   894.843022   2046.734219   3209.143637
0.043750   672.494424   1833.636070   2631.715472   3227.927211
0.050000   741.458023   1718.062714   2636.225633   3326.501632
0.056250   767.371859   1609.116486   2704.628449   3386.266921
0.062500   731.720500   1667.246658   2798.504306   3821.551001
0.068750   867.059455   1963.069912   2903.573123   3914.686753
0.075000   866.395885   1807.497216   2947.852933   3608.057472
0.081250   928.382681   1779.452932   2356.497177   3152.794977
0.087500   814.181338   1704.018588   2813.789625   3515.863844
0.093750   892.936167   1690.751322   2671.888632   3321.621517
0.100000   850.626346   1914.231515   2420.974130   3447.294410
0.106250   836.521370   1824.472233   2611.097574   3789.595778
0.112500   881.010273   1694.472329   2523.854637   3753.215520
0.118750   827.511839   1610.206131   2539.093102   3543.284250
0.125000   867.886752   1563.586678   2442.906388   3654.136656
0.131250   1148.063398   1337.784956   2209.786874   3636.263027
0.137500   1058.820714   1986.899226   2916.702608   3550.353762
0.143750   910.896448   1766.210107   2825.529059   3385.933618
0.150000   954.576304   1669.865695   2583.460227   3587.233828
0.156250   1232.743746   2037.746145   3385.479471   4430.902812
0.162500   885.687098   2070.182315   2117.874159   3444.504335
0.168750   776.677572   1860.352025   2544.391055   3667.782997
0.175000   1043.163974   1957.103389   2900.229763   3867.801049
0.181250   1017.179373   1729.867887   2722.296695   3804.356607
0.187500   899.126229   1789.845940   2723.744724   3334.372836
0.193750   810.553521   1968.555902   2076.653709   3279.695085
0.200000   1128.627192   1316.358565   2218.988047   3311.583609
0.206250   1033.366310   1967.362645   2386.734053   3354.388414
0.212500   935.094450   1733.960064   2602.596637   3585.600254
0.218750   1304.072703   2547.251568   3539.073254   4347.814158
0.225000   602.805290   1338.760505   2440.478399   3487.596566
0.231250   1158.084617   2365.080744   3380.764901   3603.748766
0.237500   1337.198168   2341.422360   3224.549609   3928.084758
0.243750   1492.589046   2262.159895   3191.919297   4061.074071
0.250000   1207.202340   2185.920048   2512.855607   3169.682391
0.256250   1229.006759   2277.610891   3165.681524   4224.257088
0.262500   1234.483668   2279.132151   3212.085376   4313.674070
0.268750   1406.065529   2194.607661   3265.383046   4297.993079
0.275000   608.922571   1707.879687   3107.536194   3782.300279
0.281250   1183.194313   1931.550016   3379.835745   4444.554858
0.287500   1218.244209   1230.508935   2131.005602   3467.682928
0.293750   1264.893547   2275.695746   3175.412865   3790.011820
0.300000   1234.137457   2649.792388   3037.898489   3904.800656
0.306250   1099.694792   1944.251038   2735.235705   3318.806905
0.312500   1091.838349   2001.605007   2757.068098   3466.014661
0.318750   716.070865   1720.369802   2507.527151   3518.094655
0.325000   850.957662   1744.548272   2573.214898   3636.206871
0.331250   1102.872324   1503.102224   2586.828178   3382.038581
0.337500   924.513097   1907.872817   2751.263297   3147.480244
0.343750   775.074058   1899.178768   2724.366714   3579.176632
0.350000   790.463214   1970.024865   2823.959367   3652.270295
0.356250   900.092431   2152.042609   3506.894563   4362.604387
0.362500   164.595092   1282.295807   2370.689289   3525.923887
0.368750   920.363820   1792.300042   1985.141181   3219.581590
0.375000   995.117691   1874.585404   3052.139324   4023.382885
0.381250   1074.529870   2033.137888   2873.174093   3894.808399
0.387500   786.877687   1757.545660   2344.987082   3621.044122
0.393750   740.610288   1833.599721   2569.352002   3623.934352
0.400000   762.675159   1787.351380   2580.219886   3596.710808
0.406250   689.791950   1740.708679   2401.206040   3461.936119
0.412500   666.556312   1794.916183   2505.863609   3453.924202
0.418750   537.159304   1685.147107   2546.370487   3559.115061
0.425000   496.344646   1598.373259   2592.223135   3393.011214
0.431250   542.007364   1709.234674   2453.267860   3623.882927
0.437500   651.966253   1755.148083   2471.218113   3595.980472
0.443750   646.616700   1607.851997   2366.241954   3559.223774
0.450000   739.577568   1554.877586   2358.872206   3524.990366
0.456250   765.281755   1675.343933   2534.226326   3426.386968
0.462500   748.862058   1724.043749   2466.456592   3430.162213
0.468750   755.682426   1712.901424   2535.295126   3453.426817
0.475000   733.717561   1773.657566   2635.835156   3861.550350
0.481250   802.876743   1783.907188   2449.704910   3718.157035
0.487500   829.910711   1722.104223   2544.822228   3599.272899
0.493750   779.437490   1740.419410   2861.568950   3912.452972
0.500000   728.360182   1647.262256   2795.380535   3958.512299
0.506250   773.331724   1878.345733   2487.637678   3550.705034
0.512500   730.022978   1854.882042   2704.087422   3658.413912
