Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1511.340831   2335.078861   3508.251235   3953.403532
0.031250   1335.189865   2575.431873   3433.404724   4250.435672
0.037500   756.883384   1447.114512   2769.142569   3512.656056
0.043750   882.460411   1555.663212   2713.935247   3439.070256
0.050000   1247.192545   1467.947663   2646.218631   3377.932892
0.056250   1344.980318   2300.656058   3274.382697   4623.955638
0.062500   1309.246545   2196.340459   3214.542712   4311.048410
0.068750   1205.496259   2220.591296   3217.275663   4352.444028
0.075000   1178.918805   2061.661249   3191.045157   4293.629907
0.081250   1213.565948   2104.772990   3175.691413   4233.872354
0.087500   1130.807729   2045.425574   3096.961135   4004.876498
0.093750   979.044743   1888.689685   2555.517694   3631.048354
0.100000   963.355131   1976.344352   2711.851682   3724.458627
0.106250   1010.860265   1916.971453   2682.614654   3763.874141
0.112500   1069.797634   1950.835033   2515.718040   3578.593946
0.118750   997.530379   1587.017589   2602.152220   3455.374716
0.125000   977.420552   1763.723839   2877.875516   3502.190343
0.131250   974.765672   2030.480571   2753.116918   3693.639633
0.137500   1041.278502   2201.140295   3144.721630   3976.489443
0.143750   1060.286602   2251.950990   3265.264990   4035.517982
0.150000   1209.628590   2223.973938   3306.290698   4389.077822
0.156250   1225.429762   2304.237723   3480.531530   4226.446840
0.162500   1266.411577   2302.161086   3484.897926   4096.803732
0.168750   1130.184137   1780.289952   2510.218155   3593.944126
0.175000   1081.570483   1714.127022   2701.157813   3705.517257
0.181250   1165.594793   1879.661443   2919.351535   3912.860463
0.187500   961.838078   1903.578002   2984.561660   4168.748826
0.193750   1273.791726   2045.052895   3127.453097   4205.119847
0.200000   1019.616325   1961.869971   3167.537762   3176.369135
0.206250   1027.434751   1895.979179   3145.557059   4032.150147
0.212500   1355.730236   2116.518700   3223.348793   4064.873560
0.218750   1143.084542   2050.388403   3211.508364   4138.233926
0.225000   1136.298792   1992.166275   3150.562292   4071.424068
0.231250   1135.333928   2157.577603   3188.095238   4000.070548
0.237500   1143.455018   1943.520999   2846.827401   4031.855895
0.243750   1185.413932   1813.479334   2821.432039   4085.369921
0.250000   1265.804707   2359.984721   3204.030955   4418.313799
0.256250   1286.835852   2264.593944   3324.329021   4337.069511
0.262500   1250.727301   2188.180486   3584.880477   4556.570736
0.268750   1246.799736   1639.125743   2289.373959   3610.472490
0.275000   1289.293823   1388.753470   2485.998778   3519.879220
0.281250   1103.972629   1563.306669   2843.871057   3628.467763
0.287500   1078.167567   1507.638277   2599.085872   3609.877058
0.293750   859.152223   1627.186533   2572.741473   3749.922885
0.300000   1470.387359   2467.464804   3438.367351   3943.192255
0.306250   1378.243805   2446.970684   3440.620543   4403.315060
0.312500   751.501586   1590.613002   2652.605991   3719.320816
0.318750   781.149259   1694.872390   2908.392731   3741.822266
0.325000   1403.368365   2302.135302   3444.532066   4294.556048
0.331250   1360.877243   2708.494761   3605.478307   3793.879774
0.337500   1414.229460   2592.765025   3288.571082   3973.832710
0.343750   1468.238056   2321.930526   3566.030489   4391.082063
0.350000   1566.390631   2075.861086   3305.295491   4145.221081
0.356250   1831.725056   1917.666654   3142.407100   4038.421351
0.362500   1198.413695   2412.172215   3277.606145   4042.131281
0.368750   1274.176411   2374.587271   3469.647887   4508.341572
0.375000   1084.071197   1778.780403   2670.106021   3612.167750
0.381250   939.008372   1648.956591   2793.644724   3600.487590
0.387500   997.660163   1525.254487   2757.317822   3569.924869
0.393750   1494.393798   1579.273277   2841.529219   3890.034831
0.400000   1066.355724   2136.605933   3245.387285   4051.261709
0.406250   971.866030   2032.919188   2994.605962   3493.036857
0.412500   1006.593439   1849.616090   2689.031288   3521.368337
0.418750   1108.266322   1833.185101   2622.266628   3573.929884
0.425000   1069.264506   1869.027636   2760.977855   3658.650419
0.431250   932.879585   1958.326641   2840.694340   3863.893932
0.437500   943.481359   2068.144595   2969.775386   4085.308685
0.443750   931.087320   2004.384926   2712.806891   3707.542808
0.450000   904.430982   1790.270414   2829.543469   3674.026379
0.456250   1024.758341   1866.806957   2976.281535   3833.433566
0.462500   1120.806384   1888.781925   2941.646109   3755.493333
0.468750   1198.850770   1731.853652   2679.594559   3630.478889
0.475000   1087.909548   1933.036391   2512.312854   3811.395657
0.481250   1123.778246   1660.399258   2526.451737   3737.086245
0.487500   1346.797632   2359.843142   3203.238551   4156.282839
0.493750   1309.930035   2122.459858   2969.369232   3876.367404
0.500000   1238.580988   2079.407584   2918.813969   3834.436100
0.506250   1236.046416   2264.962279   3421.824665   3923.059436
0.512500   1196.128685   2254.947643   3493.748103   4369.474725
0.518750   1093.628431   1847.797515   2592.730324   3763.097099
0.525000   1285.864986   2053.806869   2563.303105   3666.995670
0.531250   1239.137385   2089.651770   2661.318003   3810.350869
0.537500   985.245279   1992.079876   2899.878253   3868.843366
0.543750   917.476096   2048.688622   2989.978773   3962.162591
0.550000   939.874031   1941.219663   3019.350151   3687.277718
0.556250   968.311053   1787.330850   2733.099796   3670.440684
0.562500   993.433069   1690.943644   2727.167150   3567.234685
0.568750   1086.455119   1717.074242   2893.731924   3620.917574
0.575000   1089.295857   1809.657101   2889.649393   3657.703934
0.581250   1302.682050   2270.251588   2805.732346   4015.489600
0.587500   1122.156417   2098.671864   3146.648157   4179.421589
0.593750   1074.765994   2120.967183   3292.643620   3768.749910
0.600000   1087.598360   1741.845656   2675.204305   3606.610781
0.606250   875.250194   1614.659684   2700.208643   3737.649497
0.612500   944.503913   1694.725681   2736.333568   3767.423113
0.618750   1019.255407   1899.169958   2704.309724   3666.711009
0.625000   1185.003971   2332.252744   3399.091634   4531.154218
0.631250   1283.780082   2241.874235   3320.145510   4225.028839
0.637500   1271.249987   2135.807171   3281.874339   3952.475431
0.643750   1143.293179   2278.878330   2339.642224   3609.309374
0.650000   1157.508499   2043.503095   2343.215172   3466.152581
0.656250   1164.585529   1489.966566   2445.555842   3440.088857
0.662500   1432.394862   2624.260463   3587.533513   4525.492466
0.668750   1416.607640   2485.892114   3428.110111   4544.782762
0.675000   1236.422814   1836.410715   2752.953531   3715.691791
0.681250   1271.096525   1654.238080   2689.064509   3624.466821
0.687500   1143.275500   2485.538789   2753.691363   3384.819819
0.693750   1120.882455   1945.265589   3078.031522   4039.122106
0.700000   1112.169643   1741.745357   3077.715855   3868.024542
0.706250   1118.705507   1745.751903   2821.978017   3814.585328
0.712500   1065.906848   2030.539279   3157.829610   3342.702028
0.718750   1075.821718   1873.942763   2727.686824   4001.277300
0.725000   1205.223052   2293.984022   2975.333094   4057.694838
0.731250   1386.526150   2344.005512   3330.298537   4043.464213
0.737500   1516.810232   2366.968586   3231.800183   4088.978925
0.743750   1617.551811   1987.820672   2964.459212   4053.509710
0.750000   1073.677511   1653.529006   2897.483679   4018.029655
0.756250   1314.281299   1878.723563   2950.080385   4038.174685
0.762500   1444.461977   2161.983572   3036.753984   4114.694083
0.768750   1524.564086   2398.006975   3257.773788   4008.065715
0.775000   1514.671737   2206.653769   2906.136761   3826.903799
0.781250   848.851686   1847.777061   2842.510365   3802.583573
0.787500   1138.457669   1820.995981   2955.600898   3638.271809
0.793750   1071.950628   1783.601048   2978.986803   3915.826487
0.800000   996.820780   1896.156034   2940.021337   3812.019779
0.806250   1145.655238   1932.240685   3018.287368   3432.774745
0.812500   1096.359582   1851.097982   3058.379496   4063.990570
0.818750   1170.714784   2038.909208   2979.742179   3973.145942
0.825000   1185.045515   2140.249923   2999.229235   3917.049757
0.831250   969.739993   1950.506096   3086.710332   3682.525192
0.837500   1160.414699   2087.126790   3220.354573   4276.892312
0.843750   1249.703527   2097.464607   3158.948284   4091.540578
0.850000   1099.171052   2000.676205   2928.248637   3852.461442
0.856250   1074.732519   1770.799546   2703.253830   3741.902209
0.862500   1183.396641   2073.098053   2762.117399   3758.879675
0.868750   1206.939217   2317.252405   2508.587562   3433.305298
0.875000   1117.614443   1769.708767   2546.428374   3481.178939
0.881250   950.852160   1780.294616   2601.228827   3524.064938
0.887500   1282.921018   2216.791362   3306.009609   3967.445672
0.893750   1389.635050   1740.037516   2965.652088   3911.297490
0.900000   949.504366   1802.275845   2851.372550   3687.432840
0.906250   993.085663   1838.958435   2792.324108   3766.757947
0.912500   1064.040897   1720.587385   2644.658661   3661.962798
0.918750   1018.734991   1708.651997   2767.690854   3654.352482
0.925000   1070.693189   1797.793380   2937.625821   3874.655359
0.931250   1019.688988   1495.859574   2952.545570   3660.803030
0.937500   1160.834185   1748.832335   2948.263897   3333.823922
0.943750   1272.348215   1796.433095   2543.565205   3548.054766
0.950000   1257.630921   1554.062832   2497.869579   3550.017571
0.956250   776.069811   1500.173338   2633.073992   3588.623782
0.962500   986.904917   1690.598676   2916.359862   3778.383989
0.968750   1016.373008   1775.498430   2946.952637   3671.834091
0.975000   955.862282   1817.539578   2533.946455   3596.873227
0.981250   905.088417   1960.741188   2687.562711   3527.696925
0.987500   1022.806217   1893.140293   2646.038145   3586.772314
0.993750   1401.861880   2371.607678   3258.214687   4180.548340
1.000000   1406.855520   2384.294637   3392.619900   4452.514755
1.006250   1368.482985   2177.603862   3319.015194   4120.106428
1.012500   1376.390976   2209.814029   3161.373186   4213.756248
1.018750   1280.325156   2355.985050   3439.304033   4106.569332
1.025000   1351.995152   2380.668075   3602.582425   4518.922334
1.031250   1300.480140   2145.567581   3309.827942   4057.598660
1.037500   1463.983955   2490.347333   3612.877972   4708.972777
1.043750   1531.145383   2479.006605   3610.211360   4653.278082
1.050000   796.624419   1902.218423   2593.217274   3655.630222
1.056250   1141.688083   1857.016550   2688.762493   3716.005813
1.062500   1519.799047   1943.649555   3056.926716   4143.958482
1.068750   1127.643158   1868.498486   2999.763952   4142.124215
1.075000   1103.057001   1940.787294   3121.327767   3418.873304
1.081250   960.964386   1261.265517   2359.097656   3601.047727
1.087500   1345.847098   2446.208210   --undefined--   --undefined--
1.093750   1080.847078   1907.615461   2600.935758   3795.293666
1.100000   946.313759   1874.407740   2970.025954   3924.935385
1.106250   936.266265   1921.197225   2910.114822   3761.257382
1.112500   914.264752   1924.495076   2763.034209   3525.218468
1.118750   850.953343   1821.869486   2760.230713   3623.268629
1.125000   892.971424   1784.776060   2664.179508   3621.307209
1.131250   1355.021059   2220.242338   3338.376831   4129.566035
1.137500   1265.245182   1993.982297   3056.100361   4215.428744
1.143750   1465.346739   1799.555520   2992.356920   4050.315082
1.150000   1276.832928   2321.813634   3204.572574   4114.488704
1.156250   1425.233268   2185.662678   3286.876164   4127.660505
1.162500   1241.271522   2151.794363   3189.288509   4076.627389
1.168750   1185.454794   2259.680355   3124.359703   4066.230118
1.175000   1371.724344   2389.681387   3448.136411   4284.015701
1.181250   1466.944803   2339.492324   3233.019031   4253.439300
1.187500   1485.046462   2251.922834   3261.969248   4168.111665
1.193750   1492.187649   2288.857094   3257.861457   4011.254422
1.200000   1582.359905   2454.656192   3586.054158   4322.211301
1.206250   1411.289626   2178.172055   3123.838820   4135.259232
1.212500   1159.023823   2278.316145   3123.701852   4194.702436
1.218750   1128.353819   2365.750385   2911.435391   4180.038898
1.225000   1142.417176   2195.160569   2991.020761   4085.485135
1.231250   850.610771   2306.408455   2431.900176   3565.569084
1.237500   876.015222   1994.706624   2568.568210   3670.026188
1.243750   909.524622   1814.540404   2796.437947   3817.039161
1.250000   1003.516935   1594.576148   2806.941743   3603.510003
1.256250   1150.084368   1674.975092   2980.073048   4053.269052
1.262500   1052.503810   1741.218871   3081.075311   4068.831180
1.268750   1543.770155   1624.675328   3120.677585   4294.104559
1.275000   1461.207115   2126.503172   3210.179733   4323.726874
1.281250   1414.669173   2173.980500   3194.620787   4144.101465
1.287500   876.015284   1876.031086   2862.826566   3892.377690
1.293750   1084.645573   2007.131074   3249.364128   4297.717230
1.300000   1178.560588   2133.798922   3203.199097   4167.592924
1.306250   1703.726845   2013.188500   3276.670277   4328.667352
1.312500   1575.242037   2590.576867   3123.191758   3921.243026
1.318750   1419.483340   2230.851481   2983.906175   3997.562564
1.325000   1011.015736   2245.765846   3116.900698   4168.346770
1.331250   984.937412   2299.443740   3043.896063   4030.131577
1.337500   1391.301127   2627.652494   2730.847005   3977.752473
1.343750   1375.550692   2653.179942   --undefined--   --undefined--
1.350000   1364.797117   2563.239704   --undefined--   --undefined--
1.356250   1283.867120   2420.093494   3226.210903   3947.002666
1.362500   1265.333751   2510.026167   3054.624614   3986.767658
1.368750   1503.190676   2188.409137   3113.246349   4139.301209
1.375000   1794.777481   2175.495315   3137.317146   4593.895938
1.381250   1609.466892   2548.807017   3103.360416   4405.576728
1.387500   1473.213483   2521.341948   3188.530758   4230.968356
1.393750   1094.072063   1987.438951   3196.402992   4005.648598
1.400000   1286.515984   2159.006282   3351.772831   4274.825709
1.406250   1370.125056   2335.236386   3166.288967   3895.938255
1.412500   1357.814626   2431.759527   3081.663199   3944.908396
1.418750   1427.365165   2500.777367   3291.887936   3946.872015
1.425000   1505.867800   2510.611517   3639.342417   4594.006273
1.431250   1525.692033   2493.966416   3437.026958   3701.241962
1.437500   1565.830176   2516.833413   3620.981423   3804.237854
1.443750   1558.931125   2492.774809   3662.966269   3736.163373
1.450000   1504.272913   2144.362672   3316.781938   3996.062674
1.456250   1689.021403   2036.806604   3311.308771   3962.643736
1.462500   1603.837038   1778.756338   2937.770441   3886.682714
1.468750   1308.676972   1915.566795   2976.957271   3935.751659
1.475000   1310.846427   2000.266713   3044.643034   3972.007801
1.481250   1555.230654   1982.479432   3098.548451   4063.055235
1.487500   488.114683   1753.487356   3026.107970   3738.672702
1.493750   826.307432   1827.340063   3042.072553   3978.094502
1.500000   1214.666753   2031.149652   3143.818446   4006.223493
1.506250   1404.018344   2128.195618   3390.872915   3910.785068
1.512500   1553.370863   2335.836554   3190.970050   3986.368884
1.518750   1410.868818   2320.131808   3260.202199   4144.644056
1.525000   1455.797137   2277.565170   3340.260509   3951.536217
1.531250   555.431316   1819.718016   2610.808001   3628.306390
1.537500   599.312698   1816.744056   2564.269125   3497.579881
1.543750   1739.956926   2450.278389   3549.054063   4484.050450
1.550000   1454.242340   2034.625195   3259.964268   4168.271011
1.556250   1500.316853   1903.766709   3134.856407   4152.176469
1.562500   1329.766669   2367.729986   3151.656562   4150.886456
1.568750   381.538830   1888.206343   2696.756080   3765.912900
1.575000   493.188984   1930.767536   3020.311730   4036.788272
1.581250   590.361432   1838.166271   2991.394204   4039.609746
1.587500   801.146499   2109.582019   2984.720031   4061.038037
1.593750   1172.401486   2211.181314   3016.069979   4028.992388
1.600000   1329.559708   2280.925797   3048.546390   3943.424082
1.606250   1370.347989   2282.306475   3128.891565   3975.359081
1.612500   1447.157628   2284.073552   3361.652626   4425.887536
1.618750   1518.942506   2272.685393   3283.667074   4360.139670
1.625000   1539.421806   2264.407388   3255.283715   4375.003378
1.631250   1396.598615   2311.420518   3448.247518   4166.940026
1.637500   1247.759758   2310.249817   3321.211305   3943.034490
1.643750   1208.501877   2262.882774   3322.461898   4090.782800
1.650000   1287.734054   2296.815222   3280.123800   4082.771604
1.656250   1340.578106   2272.671408   3345.426578   4005.420057
1.662500   1288.738264   2361.594491   3520.340847   4035.553322
1.668750   1250.815754   2409.459375   3471.838580   3931.236085
1.675000   1288.264218   2305.852805   3006.453243   3874.726244
1.681250   1193.292763   2183.146279   3093.896928   4012.858040
1.687500   1224.159119   2267.213442   2953.192200   4097.560021
1.693750   1223.214485   2217.914598   3035.366957   4026.935936
1.700000   1363.936962   2473.688987   3208.084943   3949.100079
1.706250   1301.250107   2393.948700   3566.646083   4151.794409
1.712500   1249.561633   2155.068621   3195.485952   4049.513529
1.718750   1055.877658   1886.544665   3088.932305   4070.558359
1.725000   867.680687   1846.229245   2948.163047   3763.722556
1.731250   938.703992   2060.134410   3120.080527   3898.260034
1.737500   960.071690   1955.560030   3156.185240   3862.451155
1.743750   1312.828368   2147.112805   3084.271977   4079.449835
1.750000   1227.496667   2298.357321   3238.771494   4316.362571
1.756250   1257.142477   2296.083722   3338.566042   4022.447272
1.762500   1245.944850   2245.518945   3325.681897   3852.674105
1.768750   1216.632464   2299.471778   3207.633756   4084.186259
1.775000   1107.322079   2139.747090   3211.313632   3900.918606
1.781250   1326.019407   2167.491074   3249.263189   3854.396286
1.787500   1239.822307   2084.135431   3208.930153   4301.326905
1.793750   1138.601088   1967.643392   3248.069677   4185.777616
1.800000   1067.911616   1979.786603   3197.129506   3922.221105
1.806250   1412.829962   2108.752058   3308.459872   4047.472318
1.812500   1379.854616   3079.207128   --undefined--   --undefined--
1.818750   1320.656159   2255.543320   3129.466803   3935.218447
1.825000   432.871831   1324.605153   3157.719259   3735.566783
1.831250   1193.579533   1402.538741   3200.669005   3499.423103
1.837500   1218.631980   2249.518604   3401.220968   4601.090637
1.843750   406.059823   1459.821691   2447.545291   3521.315379
1.850000   1395.100475   2766.512595   --undefined--   --undefined--
1.856250   1193.834768   2372.007687   2910.653872   4011.697970
1.862500   1067.614122   2572.907572   --undefined--   --undefined--
1.868750   1114.736815   2543.056891   3873.073819   4514.601047
1.875000   1118.637642   2581.160981   3858.745109   4417.210220
1.881250   207.091478   1204.746368   2648.085715   3842.055703
1.887500   259.137451   1304.025674   2826.536171   3719.748401
1.893750   312.433177   1354.315869   2682.266840   3793.397713
1.900000   332.221184   1417.234323   2634.555490   3822.178014
1.906250   330.248088   1615.259206   2621.018849   3785.268559
1.912500   350.971604   1788.428932   2631.728602   3792.801978
