Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   837.544485   1830.871163   3201.132399   3791.393510
0.031250   723.151234   1642.449997   3254.586394   3261.262436
0.037500   683.988825   1813.382370   3151.919111   3188.415644
0.043750   637.491128   1941.221239   2898.357413   4228.410780
0.050000   657.113353   1919.146908   2713.990653   3840.123872
0.056250   649.248633   1995.411039   2948.227882   4426.642674
0.062500   535.388909   1902.939317   2842.023524   4008.231442
0.068750   577.928872   1837.422749   2871.664653   4067.617143
0.075000   657.508731   1748.440583   2867.331727   3880.765095
0.081250   588.499829   1733.705624   2886.649797   3617.283564
0.087500   607.764910   1827.682272   2903.723422   3697.319185
0.093750   613.062959   1877.882608   2841.655022   3932.253587
0.100000   674.119376   1680.970831   2286.344118   3442.331585
0.106250   605.564469   1679.609684   2294.529624   3448.348196
0.112500   567.123101   1734.731447   2308.599295   3458.662681
0.118750   674.263166   1629.365400   2640.872532   3378.325638
0.125000   675.980258   1719.161272   2675.080881   3530.887382
0.131250   613.294408   1710.437671   2616.657765   3558.045763
0.137500   613.289662   1556.062794   2506.881307   3442.804398
0.143750   636.562255   1919.100667   3063.960287   4235.123741
0.150000   651.633084   1710.449678   2464.273137   3358.746006
0.156250   350.308652   748.637278   2425.894730   3283.881459
0.162500   696.396626   2355.847562   3066.194441   4377.758771
0.168750   682.189016   1762.360532   2942.468151   3973.780123
0.175000   617.365585   1704.590716   2607.698414   3675.592215
0.181250   572.153963   2184.425006   2242.765571   3579.793298
0.187500   671.927280   2015.661810   3039.457646   3958.900984
0.193750   666.734305   1855.664506   2995.853043   3952.976873
0.200000   668.972699   1834.559836   2974.005636   3771.303914
0.206250   652.972307   1813.664750   2784.334047   3758.833358
0.212500   739.161421   1827.140993   2811.431869   3798.679937
0.218750   765.821878   1971.308871   2737.383789   3490.438352
0.225000   669.818199   1952.317039   2968.800114   3869.676303
0.231250   595.476500   1985.249867   2829.858986   3994.893794
0.237500   666.145443   1946.726269   3005.357287   3295.423426
0.243750   634.585165   1862.353329   2797.465525   3759.724254
0.250000   622.515988   1881.381728   2902.160688   3395.269499
0.256250   622.785225   1788.660176   2908.327343   3938.080117
0.262500   645.866093   1693.457050   2716.152750   3882.376250
0.268750   847.313223   2139.951175   3206.969383   4028.821561
0.275000   918.308327   2118.775196   3125.065525   4052.650104
0.281250   668.672523   1964.296725   3095.839420   4200.919014
0.287500   743.715282   1821.714160   2787.332954   3526.242219
0.293750   808.498265   1603.862296   2635.245270   3541.930121
0.300000   959.748328   1942.381535   2722.574553   3211.583626
0.306250   748.981076   1641.120625   3017.990285   3737.151931
0.312500   632.754879   1686.909845   2811.390756   3786.020065
0.318750   749.546479   1624.189327   2734.915467   3772.588292
0.325000   727.698472   1798.869633   2563.677991   3652.592701
0.331250   781.427478   1681.090998   2491.143732   3631.072397
0.337500   907.389744   1544.079976   2598.505005   3602.771000
0.343750   654.242904   1456.435786   2550.000964   3501.036950
0.350000   629.444085   1600.284642   2631.501081   3527.517864
0.356250   647.865056   1653.350651   2652.561966   3746.002211
0.362500   607.484850   1661.712599   2754.511820   3687.897573
0.368750   660.065940   1680.189074   2726.417980   3668.554825
0.375000   592.124490   1754.955433   2815.427400   3681.915663
0.381250   558.437755   1599.554599   2732.233883   3508.804964
0.387500   682.654680   1452.792954   2727.775032   3523.113545
0.393750   645.802035   1655.971246   2685.765145   3487.085962
0.400000   630.520322   1667.396379   2781.527447   3540.094390
0.406250   591.808203   1772.711846   2776.884724   3378.313591
0.412500   608.231402   1865.960600   2701.581549   3937.830330
0.418750   605.667787   1751.465608   2750.933083   4004.247908
0.425000   614.497346   1729.363185   2430.104659   3384.166871
0.431250   610.059199   1599.351505   2442.337607   3365.308379
0.437500   650.420271   1670.820216   2703.850161   3718.340252
0.443750   616.063074   1745.074867   2798.210307   3834.412038
0.450000   623.097574   1645.421504   2909.990365   3811.108325
0.456250   607.640135   1693.425143   2763.589398   3699.613552
0.462500   621.901166   1637.566089   2712.449922   3718.935789
0.468750   641.056786   1612.445783   2687.682908   3675.498042
0.475000   643.614990   1637.803781   2918.587653   3979.623670
0.481250   576.218506   1496.447165   2766.062439   3617.609038
0.487500   583.049825   1337.768707   2594.278403   3587.673338
0.493750   567.723814   1679.064053   2529.917549   3536.832346
0.500000   662.930004   1717.393109   2812.594704   3851.623267
0.506250   796.808897   1616.209378   2759.898270   3228.577054
0.512500   707.217407   1450.090082   2522.602768   3164.333807
0.518750   1406.240768   2184.053057   2960.959477   4516.189011
0.525000   1392.899219   2135.035143   2951.419218   4515.252133
0.531250   1437.948463   2151.474985   2940.800796   4213.495467
0.537500   1395.885360   2179.973034   2958.227356   4215.515202
0.543750   1227.803581   2232.773564   3048.057499   3924.406661
0.550000   917.994084   2267.560721   3015.488079   3615.946968
0.556250   782.390465   2256.502652   2933.163497   3519.970528
0.562500   798.067529   2276.570305   2906.168361   3194.799615
0.568750   785.521220   2333.632161   2895.576048   3481.745934
0.575000   905.014513   2321.682193   2815.204594   3424.560490
0.581250   969.687214   2366.708525   2809.990130   3485.225771
0.587500   930.032057   2344.624321   2890.896564   3499.676684
0.593750   767.227222   2265.138726   2693.831953   3422.189574
0.600000   2098.826683   2697.127166   --undefined--   --undefined--
0.606250   353.893079   1917.006311   2786.960931   3600.094307
0.612500   342.693769   1872.426460   2582.843924   3506.316979
0.618750   304.503429   2014.077921   2528.607451   3580.662078
0.625000   294.487109   2068.464258   2483.272862   3680.929040
0.631250   285.973981   2089.848582   2477.955262   3646.951487
0.637500   280.806171   2113.450022   2541.992458   3554.953830
0.643750   276.260877   2137.754846   2563.290387   3454.404731
0.650000   281.900615   2166.415973   2601.348811   3543.402214
0.656250   284.868214   2250.145241   2634.534271   3757.719190
0.662500   287.976366   2293.583087   2631.307565   3741.626211
0.668750   290.937427   2265.677600   2660.755905   3802.034119
0.675000   292.118182   2287.193437   2718.583099   3692.188363
0.681250   291.945467   2280.778027   2689.734126   3695.380989
0.687500   291.873974   2219.159863   2630.558621   3663.120940
0.693750   294.179486   2210.323645   2618.194735   3659.382627
0.700000   296.208898   2189.187080   2604.883621   3656.744544
0.706250   295.180661   2078.333043   2584.293925   3636.422372
0.712500   295.638841   2099.936993   2577.610964   3640.692605
0.718750   297.137123   2039.535914   2589.878246   3669.256262
0.725000   294.441343   2020.155963   2612.831178   3625.190243
0.731250   298.707694   2076.528786   2658.073824   3654.944175
0.737500   299.921842   2031.910608   2677.690427   3614.037663
0.743750   295.840769   2043.433155   2706.241636   3580.222742
0.750000   295.587638   1982.828241   2711.743351   3644.912252
0.756250   292.407055   1906.207060   2750.740255   3969.786392
0.762500   293.096029   1754.826613   2767.858421   3986.659053
0.768750   299.040564   1733.932519   2803.891693   3819.219770
0.775000   300.272025   1797.541347   2942.712065   3775.312119
0.781250   1827.783759   3233.262952   4073.171835   4112.904661
0.787500   1842.582312   2081.317648   3559.777246   4218.443755
0.793750   1541.234616   2468.713509   3588.253369   4277.645882
0.800000   2095.797422   3080.792131   3652.986909   4300.745960
0.806250   63.818429   2391.674908   2983.193862   3747.897708
0.812500   1418.892461   2670.375610   3836.056278   4177.604107
0.818750   1480.291687   2652.580994   3633.455796   4253.600241
0.825000   1658.906035   2715.204629   3653.715284   4299.756244
0.831250   1625.227914   2365.496118   3614.201341   4074.346539
0.837500   1568.874942   2248.166208   3595.409123   4391.321317
0.843750   876.739553   1724.528202   3212.026063   3596.065943
0.850000   763.855848   1727.936820   3290.285593   3920.956303
0.856250   794.922473   1695.450072   3376.593532   3656.051362
0.862500   1007.824602   1800.484127   3436.609256   3658.417823
0.868750   1030.492698   1873.187935   3459.409838   3705.678094
