Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   839.169696   1352.116274   2640.772025   3525.292396
0.031250   892.543721   1232.363721   2649.214582   3844.400848
0.037500   1170.796574   1649.808229   2666.373093   3799.938191
0.043750   1086.137891   2060.290599   3193.752241   3637.345114
0.050000   1148.913179   2085.382854   3018.317725   3893.863263
0.056250   839.391958   1716.951316   2829.471798   3905.336428
0.062500   668.969343   1630.386110   2726.615674   3819.723888
0.068750   904.178560   1618.268180   2870.543190   3912.635986
0.075000   972.651810   1667.322047   2919.305352   4046.109978
0.081250   1079.547674   1791.543828   3031.534908   3962.316178
0.087500   1128.484149   2208.308362   3103.176297   3762.365080
0.093750   1029.225801   1168.301059   2954.050836   3736.872101
0.100000   623.291928   1353.223282   2575.670152   3577.231867
0.106250   1097.769542   2370.009088   --undefined--   --undefined--
0.112500   860.788846   865.291856   2276.770587   3652.747625
0.118750   754.346125   860.259751   2389.792274   3640.189299
0.125000   786.214951   1081.872354   2420.436805   3561.546118
0.131250   609.802607   1875.271363   2542.755202   3618.075457
0.137500   663.050217   1801.506220   2708.548138   3698.570958
0.143750   881.357180   2012.944562   2819.470556   3644.403178
0.150000   725.904014   2008.495562   2809.326172   3800.461074
0.156250   839.980921   1951.713878   2834.010735   3739.410122
0.162500   855.526782   1946.088477   2976.069657   3709.434391
0.168750   921.365963   2013.710902   2861.560083   3622.152271
0.175000   960.159877   2064.390483   2664.602857   3740.720590
0.181250   845.349793   1825.169383   2897.305296   3779.730331
0.187500   916.408257   1838.948178   2864.397275   3686.440377
0.193750   1432.154104   2138.454447   2818.266201   3264.573963
0.200000   1250.421127   1819.644354   2778.573827   3592.153528
0.206250   982.601389   1904.630496   2941.336385   3504.053255
0.212500   974.343264   1793.837212   2673.178937   3618.377229
0.218750   934.872494   1706.113620   2758.580408   3772.699805
0.225000   949.774971   1793.089005   2855.438097   3790.994406
0.231250   1098.821670   1901.753399   2801.503093   3634.495389
0.237500   1052.014394   2105.890253   2963.360970   3524.354974
0.243750   916.698917   2114.050110   2659.499400   3722.032140
0.250000   934.152820   1948.582111   2781.103958   3815.424900
0.256250   1020.787324   1952.053702   2831.352098   3764.486366
0.262500   1097.706562   2002.806487   2735.829567   3642.711565
0.268750   1042.477432   2071.558592   2735.964214   3601.667827
0.275000   999.094754   2122.026182   2791.020643   3660.240105
0.281250   923.600494   2108.751866   2741.069986   3782.530557
0.287500   900.963151   1964.531943   2832.195393   3827.143675
0.293750   1047.224043   1957.698978   2588.784462   3774.308079
0.300000   1002.910222   1952.275372   2734.852206   3691.684169
0.306250   740.863804   1547.261629   2756.675754   3538.217627
0.312500   736.665154   1570.926346   2744.022455   3618.997519
0.318750   784.034513   1743.517780   2776.855966   3821.037560
0.325000   626.889650   1097.269696   2644.774281   3666.498823
0.331250   945.275367   1387.693056   2753.683573   3695.518951
0.337500   974.330519   2214.797211   2950.572749   4053.782108
0.343750   1040.357496   1765.551217   2896.041074   4013.736445
0.350000   1090.931767   1114.473334   2835.233655   3566.357635
0.356250   1159.619226   2748.301243   3278.605385   3827.123804
0.362500   1166.008476   2689.810912   3265.354572   4493.267385
0.368750   1131.806467   2807.927525   --undefined--   --undefined--
0.375000   1192.985417   2819.936089   --undefined--   --undefined--
0.381250   1292.478442   2838.806571   --undefined--   --undefined--
0.387500   848.835044   1691.146663   2871.711401   4047.328377
0.393750   627.876580   1394.982817   2794.861231   3909.398774
0.400000   659.255822   1473.551889   2814.882205   3634.716674
0.406250   629.779524   1695.395688   2989.791436   3714.022798
0.412500   606.266350   1469.652037   2920.365124   3920.266974
0.418750   736.840143   1565.860859   2986.688678   3987.018495
0.425000   825.514292   1897.595564   3041.710635   4001.817074
0.431250   1106.970353   2113.118984   3066.070287   3875.910223
0.437500   612.363853   1411.235138   2834.878803   3643.093787
0.443750   590.747893   1689.293220   2896.705366   3628.167446
0.450000   681.755076   1993.796517   3065.786000   4102.896427
0.456250   963.692689   2186.941241   3077.154111   4363.815800
0.462500   1165.411570   2517.214730   3144.478840   4497.183524
0.468750   1175.587973   2576.553960   3157.412027   4329.882392
0.475000   1147.964726   2605.717381   3200.090620   4354.477443
0.481250   1403.404399   3190.294117   3801.255649   4480.480821
0.487500   216.022063   1060.073785   3108.599504   3516.144057
0.493750   277.128120   997.320173   3186.961215   3445.386348
0.500000   285.219816   972.594916   3216.638796   3747.426884
0.506250   278.537462   959.148007   3187.708594   3654.546091
0.512500   275.684897   942.065497   3213.772591   3247.187876
0.518750   277.203521   957.237038   2956.038441   3301.557954
0.525000   269.695653   982.805340   3234.095610   3290.294456
0.531250   273.741912   977.437563   3247.045417   3252.172179
0.537500   320.230076   336.291665   2609.403038   3336.350020
0.543750   355.324509   2420.680674   3469.295994   4215.475988
0.550000   335.510951   1203.481254   2432.923235   3423.172979
0.556250   319.239192   1393.570007   2415.649556   3432.454403
0.562500   311.166729   1537.941986   2382.201565   3473.146766
0.568750   298.318208   1788.601949   2311.696897   3665.244342
0.575000   282.331926   1859.115218   2278.800083   3577.268705
