Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   557.803410   1637.743892   2604.569154   3494.469505
0.031250   373.686738   1738.863873   2870.130324   3980.412988
0.037500   930.839325   1990.987385   2980.344367   3916.210195
0.043750   954.686892   1974.803891   2868.623960   3928.093111
0.050000   909.286538   1893.309490   2916.752756   3967.378493
0.056250   957.067674   1932.190341   2940.463137   3933.560602
0.062500   949.122759   1953.952382   2858.323473   3937.735306
0.068750   757.976995   1939.166602   2944.003869   4005.719983
0.075000   1043.100579   1992.509337   3130.529788   4037.174621
0.081250   957.306803   1910.870081   3088.513075   4068.852303
0.087500   962.463380   1947.996108   3073.855006   3993.041323
0.093750   980.162258   2007.086755   3025.425378   4093.211402
0.100000   847.327717   1605.074703   2618.554985   3430.979008
0.106250   1029.638341   1902.934609   3033.990702   4127.766129
0.112500   1030.695202   1950.584412   3059.421077   4100.558670
0.118750   1119.498181   1723.512090   3030.185351   4079.423916
0.125000   1231.858631   1953.509352   2937.937129   4170.675258
0.131250   1223.772593   1894.903670   2848.009876   4278.787405
0.137500   1041.379535   1944.882803   2960.885852   4058.231558
0.143750   993.111719   1930.557557   3035.042426   4046.715329
0.150000   1034.903062   1813.597894   3027.049542   3959.713752
0.156250   999.933163   1869.585622   2985.478299   4055.064527
0.162500   1067.969973   1704.692104   2938.384205   4010.260442
0.168750   1062.815474   1861.336672   3025.090809   4078.308431
0.175000   949.457849   1879.965621   3064.359281   3997.568360
0.181250   1010.112418   1906.776698   3071.451157   3775.046263
0.187500   1064.481210   1909.633245   3052.012295   3851.256583
0.193750   1029.505735   1946.781095   3057.395874   4426.251354
0.200000   1046.883694   1901.644523   2982.517436   4134.632389
0.206250   1280.396374   1764.250316   2891.653363   4026.282325
0.212500   1368.573089   2450.365041   3621.253905   4335.800222
0.218750   1108.796431   2098.605363   2917.501172   3986.899279
0.225000   1069.119603   2083.094192   2969.443732   4017.451053
0.231250   893.065414   1875.725878   3044.282746   4003.426285
0.237500   737.255103   1828.959944   3046.727053   3920.518955
0.243750   941.759321   1863.684741   3124.691113   3770.240377
0.250000   938.630421   1851.761512   3026.368611   3876.224960
0.256250   917.064697   1813.710697   3041.549628   3795.821374
0.262500   624.723095   1743.638742   2930.440587   3811.467794
0.268750   673.666371   1821.403353   3042.839365   3861.444511
0.275000   756.089236   1881.558205   3211.254208   3880.177888
0.281250   976.979912   2025.850857   3143.805441   4009.645371
0.287500   973.635858   2044.060642   3040.525706   4046.625794
0.293750   936.037494   2055.224935   3041.333842   3986.740016
0.300000   1007.640858   1969.300657   3062.129756   3964.757445
0.306250   1026.957129   1933.357708   3021.845046   4021.700729
0.312500   1039.257386   2021.270592   2986.528764   3967.326471
0.318750   1011.062524   2145.939474   3059.082909   3974.420663
0.325000   1077.262915   2010.809243   3039.968556   4041.499788
0.331250   910.878509   1999.206845   3019.483055   4088.383121
0.337500   943.576426   2057.246126   3050.480994   4074.434448
0.343750   964.070545   2059.011886   3051.160915   4256.347748
0.350000   896.989661   2000.996869   3039.227041   4219.688351
0.356250   953.806594   1970.823026   3031.355247   4076.047578
0.362500   996.106730   1918.318824   3018.703774   4065.040031
0.368750   973.314213   1987.509517   3028.923214   4085.922231
0.375000   909.432382   2035.252509   3051.905120   4051.504625
0.381250   959.886730   1973.997639   3041.615318   4074.901610
0.387500   984.613281   1940.753173   3006.065687   4058.981371
0.393750   955.881519   1915.082330   2922.735994   3981.629289
0.400000   899.918216   1800.100112   2802.115100   3963.908988
0.406250   859.366036   1987.048545   2723.203088   3926.794553
0.412500   886.335684   2054.912659   2763.075352   3899.854410
0.418750   965.711655   1923.982186   2864.043039   3962.126050
0.425000   983.852426   1911.209483   2865.618075   3997.172605
0.431250   961.996555   2002.237021   2933.575789   4012.007085
0.437500   936.295902   2010.529046   2952.004522   4011.753899
0.443750   952.481491   2002.074037   2953.067871   4054.723081
0.450000   954.172236   2079.092394   2909.876816   4049.539842
0.456250   924.616590   2051.436254   2849.219275   3979.823135
0.462500   918.621834   2016.615544   2750.664575   3957.001827
0.468750   916.373484   2035.562974   2849.588244   3982.014951
0.475000   902.350323   2015.763606   2910.327485   3994.563452
0.481250   945.087448   2004.267555   2913.359295   4014.250805
0.487500   897.996218   1991.923276   2823.109905   3997.572820
0.493750   866.293208   1978.454191   2931.597715   4002.315862
0.500000   928.052475   1982.040014   2970.761356   3986.847937
0.506250   975.096962   1982.231492   2941.594581   3970.928418
0.512500   1017.597658   2040.901061   2867.683305   3968.584235
0.518750   1025.801332   1960.234634   2865.348345   3995.349837
0.525000   931.994520   1816.285075   2945.738249   4156.012293
0.531250   232.433860   1820.640663   2821.285712   4139.044070
0.537500   253.830431   1222.583505   2681.722051   4095.529841
0.543750   242.826282   1263.769735   2966.262205   3232.956211
0.550000   243.485863   1719.197719   2953.941280   4280.166934
0.556250   272.617303   1578.175352   2890.140439   4251.471147
0.562500   295.272639   897.973552   2430.959228   4054.119109
0.568750   290.638839   938.337296   2024.285711   4015.958413
0.575000   270.113306   1849.519665   3896.320316   4266.619441
0.581250   259.874923   1828.907433   3374.209336   3877.191396
0.587500   252.382279   1278.817568   2862.155346   4038.356779
0.593750   285.072575   2664.554050   4084.674872   4185.740934
0.600000   338.290355   2116.865834   3425.952392   4237.303797
0.606250   348.580622   2118.528917   3490.060770   4247.156798
0.612500   334.144456   2190.958019   3273.685851   4237.450781
0.618750   330.695094   2221.521256   3139.812439   4252.662571
0.625000   322.667450   2239.716435   3126.782736   4203.221415
0.631250   311.366819   2278.818743   3114.191953   4147.016749
0.637500   306.494181   2299.801462   3132.291239   4206.889847
0.643750   296.816064   2312.568373   3056.741288   3920.481357
0.650000   289.007965   2344.630086   3077.347552   3849.795232
0.656250   281.769682   2402.428292   3052.192721   3785.408641
0.662500   277.324438   2403.166658   2937.450751   3658.089106
0.668750   272.044682   2413.629221   3089.606343   3726.399273
0.675000   267.804427   2396.855687   3021.620840   3642.952860
0.681250   264.933776   2396.918480   3074.947822   3690.741024
0.687500   262.128639   2386.332923   3054.086564   3718.421140
0.693750   260.872555   2379.504196   3033.071351   3700.781870
0.700000   259.278709   2373.015069   3013.129911   3651.592821
0.706250   262.826701   2367.811474   2997.796056   3623.422084
0.712500   264.020888   2359.711713   3016.439622   3587.259729
0.718750   278.330394   2353.554164   3053.305798   3699.100146
0.725000   276.601392   2325.709808   3196.565568   3830.545995
0.731250   273.854214   2337.844500   3177.403395   3907.609984
0.737500   275.433772   2455.314510   3186.378671   3856.931297
0.743750   289.322357   2588.864203   3097.673977   3878.877817
0.750000   299.846793   2563.708354   3030.628695   3883.829847
0.756250   313.579649   2419.942486   3081.572330   3910.905693
0.762500   327.764146   2405.863629   3117.532300   3958.766300
0.768750   333.168005   2450.202272   3013.480221   3930.812829
0.775000   337.490455   2425.820568   2914.474687   3920.021384
0.781250   336.418886   2330.203030   2890.770732   3947.942396
0.787500   323.911406   2252.288238   2868.802253   4027.044874
0.793750   285.412326   2129.215825   2924.246721   4152.526101
0.800000   261.911362   1999.356349   3005.457575   4218.771248
0.806250   216.305825   1964.938120   2982.872879   4195.286978
0.812500   209.229445   1933.411944   2958.627778   4341.987321
0.818750   279.173037   1944.024887   3031.959514   4440.821898
0.825000   447.848323   1928.199236   3059.256928   4477.713983
0.831250   663.830022   1836.361820   3013.027088   4198.730190
0.837500   691.056967   1811.961954   3002.464278   4160.373423
0.843750   708.253917   1793.709916   2994.968122   4066.921417
0.850000   633.765084   1734.397902   2897.120418   4041.786903
0.856250   485.634534   1735.066801   2860.714191   4172.174087
0.862500   576.334378   1705.629594   2937.153634   4225.308898
0.868750   1307.583120   1922.210089   3000.056923   4214.093584
0.875000   1201.551386   1856.750639   2983.183261   4159.240766
0.881250   1011.112428   1810.748132   2962.833774   4084.064428
0.887500   1010.672990   1978.676021   2914.208485   4062.550610
0.893750   1032.860210   2026.851266   2894.274466   4017.166059
0.900000   1008.914653   1977.490168   2883.268836   3979.244649
0.906250   1041.907742   1952.180689   2847.919093   3991.143064
0.912500   1046.733030   1984.105898   2883.511806   4003.062118
0.918750   821.331439   1912.243076   2879.114750   4030.724804
0.925000   659.251568   1234.881000   2735.952511   3510.888149
0.931250   588.458921   1233.612760   2791.344454   4154.943510
0.937500   1122.748833   1376.256430   2916.543754   4125.652276
0.943750   1068.347300   1885.464294   2980.477007   4076.794818
0.950000   1024.575230   1907.305618   2822.738073   3847.846978
0.956250   316.937960   1007.051708   2290.212298   3759.642433
0.962500   350.768296   880.230192   2558.093005   3734.543392
0.968750   387.247142   869.170440   2612.403031   3675.676100
0.975000   409.487892   882.598899   2612.413633   3446.641883
0.981250   415.052095   885.016783   2643.206328   3474.129015
0.987500   408.511512   886.360787   2662.741269   3502.922002
0.993750   410.997926   882.609759   2719.434849   3509.415237
1.000000   410.693791   873.069836   2749.798396   3522.015644
1.006250   404.484436   860.033987   2765.418444   3519.580950
1.012500   402.216328   847.283434   2767.955393   3525.404272
1.018750   394.014504   824.875645   2767.205203   3497.514994
1.025000   390.943125   817.090759   2783.756192   3480.901188
1.031250   387.666534   795.328850   2823.383998   3484.293602
1.037500   385.336253   804.110707   2785.498510   3493.892570
1.043750   381.588666   837.515674   2777.769478   3491.171875
1.050000   376.595797   883.576676   2807.873547   3523.849829
1.056250   380.079846   918.365368   2762.342437   3570.758854
1.062500   389.654175   942.962779   2753.003290   3653.664477
1.068750   398.661594   974.855697   2758.348953   3894.186581
1.075000   400.765534   996.345103   2847.952730   3902.176423
1.081250   343.125519   1016.715822   2823.036310   3916.695121
1.087500   277.886195   1059.123103   2821.697524   4026.133053
1.093750   256.954150   1335.135664   2846.176333   4187.519895
1.100000   229.399684   1717.818266   2847.500164   4069.883522
1.106250   715.491071   1704.880140   2737.584713   4097.307303
1.112500   1612.513363   2743.373510   --undefined--   --undefined--
1.118750   1682.245287   2987.192818   --undefined--   --undefined--
1.125000   1681.245716   3007.435191   4288.135958   4574.041538
1.131250   493.231571   1840.041789   2702.986642   3984.829675
1.137500   521.144668   1817.723208   2707.449069   4081.012880
1.143750   1170.998081   2314.146432   4121.141339   4551.937076
1.150000   1091.874013   2485.568952   4195.145081   4674.641836
1.156250   573.670350   1729.550357   2868.871887   4245.204072
1.162500   701.375232   2021.429374   2595.632882   4353.436109
1.168750   637.991615   2149.757386   2468.465700   4307.874544
1.175000   594.375218   1947.045410   2367.294075   4248.567613
1.181250   583.207006   1582.529186   2614.892291   4208.841312
1.187500   191.357092   1423.330835   2509.833861   4236.974425
1.193750   1205.179661   2411.753579   4304.258846   4778.859389
1.200000   1070.671650   2422.504921   3069.646991   4463.240171
1.206250   1072.797008   2513.603033   2756.057465   4364.935732
1.212500   1113.730058   2172.296212   2956.155630   4362.590275
1.218750   1090.239420   1966.915243   3055.153442   4455.989895
1.225000   1003.271510   2067.966979   3125.545278   4203.609197
1.231250   949.991418   2137.813985   3152.956233   4209.246834
1.237500   1259.249071   1791.515244   2966.922312   4660.968432
1.243750   553.523765   1681.663505   2845.544718   4680.621227
1.250000   685.078567   1957.093510   3007.552851   4389.296772
1.256250   629.366707   1931.984995   2981.352264   4321.909739
1.262500   287.982505   1796.878687   3007.732460   4289.129925
1.268750   356.347894   1699.386465   3147.298966   4151.084635
1.275000   403.691944   1725.054450   2994.688578   4131.180105
1.281250   460.660988   1731.299505   2907.789268   4100.310781
1.287500   455.010924   1706.027153   2924.645216   4085.429404
1.293750   458.727947   1656.865051   2931.653572   4109.187389
1.300000   496.935502   1670.321812   2926.222841   4049.149216
1.306250   517.108063   1665.484184   2914.298285   4016.560586
1.312500   527.482781   1645.132875   2920.523715   4036.692697
1.318750   520.058337   1568.088872   2858.959069   4081.058480
1.325000   539.759351   1511.467722   2740.975831   4051.139554
1.331250   531.587975   1417.175414   2705.922767   4190.811750
1.337500   531.893554   1369.577569   2710.508943   4186.504423
1.343750   503.851156   1277.235918   2762.344296   3991.322009
1.350000   458.290225   1206.868781   2780.072485   4093.560214
1.356250   424.018385   1166.960572   2804.975107   4074.517882
1.362500   390.258836   1064.631881   2794.345163   4061.541919
1.368750   363.911863   1049.426344   2795.466411   4046.396410
1.375000   357.494726   1117.406261   2810.706238   3987.834681
1.381250   364.368410   1098.137305   2825.815720   3935.244271
1.387500   372.858486   1156.105336   2853.966395   3931.223358
1.393750   368.573114   1129.528650   2854.024539   3907.380597
1.400000   358.738086   1075.972686   2825.574640   3883.570964
1.406250   384.493690   1087.709177   2926.213007   4023.186587
1.412500   411.913043   1100.779635   2956.423142   4058.742911
1.418750   445.647700   1084.984674   2887.617426   3906.920603
1.425000   488.055769   1104.866223   2934.730174   3937.364390
1.431250   506.496894   1124.375349   2884.816331   3833.638688
1.437500   485.328372   1102.820884   2848.238549   3606.192587
1.443750   502.513018   1107.340469   2843.830090   3426.929076
1.450000   505.044114   1101.222252   2801.986007   3387.797714
1.456250   510.658690   1107.516817   2796.421940   3371.811576
1.462500   506.888921   1104.435398   2783.868167   3332.643183
1.468750   482.537079   1078.794715   2835.379457   3284.334811
1.475000   443.061815   1067.880568   2901.053855   3272.973952
1.481250   341.171426   1072.659829   3098.178706   3188.181397
1.487500   212.320540   1104.252213   3054.173897   3842.833505
1.493750   1034.532821   2367.977472   3020.325165   4322.199090
1.500000   257.310014   1058.545464   3053.899098   3853.853417
1.506250   265.606394   1064.754611   2320.296543   3095.727439
1.512500   868.086896   1764.894039   3058.346567   4269.927881
1.518750   913.864088   1898.152301   2950.139738   3989.962657
1.525000   918.020898   1908.860557   2877.317798   3958.772924
1.531250   877.407439   1913.855263   2853.020446   3960.495647
1.537500   888.513992   1924.644090   2893.342040   3956.477532
1.543750   995.241904   1982.044137   3027.353257   3986.145234
1.550000   901.092226   1980.698146   3069.845580   3901.978726
1.556250   904.232568   1988.236480   2931.589022   3846.769401
1.562500   928.471989   2053.891681   3061.845605   3887.746553
1.568750   899.460947   2121.386580   3032.289133   3938.522813
1.575000   913.736810   2047.759383   2945.544691   3770.649210
1.581250   950.062120   2015.906431   2954.555160   3867.743567
1.587500   985.113429   2022.113336   3043.138255   3883.517477
1.593750   952.971214   1963.536637   3026.863594   4040.547594
1.600000   982.742318   2007.828481   2991.863900   4083.958716
1.606250   1013.345501   2003.520214   2936.870505   3986.345019
1.612500   1064.976613   1974.202242   2988.270149   4040.672943
1.618750   997.906807   1938.974045   3007.543476   4065.231980
1.625000   974.893296   1952.326813   2847.816704   4000.575511
1.631250   934.121790   1911.442542   2810.982841   3913.073040
1.637500   977.142127   1977.322318   2928.896958   4002.159439
1.643750   978.072045   1958.571429   3049.158928   3978.797970
1.650000   903.455272   2001.884221   3069.195892   3850.535953
1.656250   839.573805   1992.248046   2903.995902   3906.920940
1.662500   886.602098   1937.481916   2879.850694   4042.828241
1.668750   937.719148   1942.439325   3060.521724   3969.815150
1.675000   982.655845   1943.620683   2996.639901   3866.711253
1.681250   1038.855487   1965.370448   2930.055484   3850.796882
1.687500   1117.923348   1874.131195   2917.170955   3829.747419
1.693750   996.892211   1835.423156   2956.882915   3905.459902
1.700000   1015.181143   1888.577944   2977.910845   3998.099501
1.706250   979.671009   1854.566167   2996.955201   3997.000698
1.712500   1085.476085   1826.541180   2924.349832   3985.779451
1.718750   226.623318   1474.764431   2511.167429   3490.728828
1.725000   816.524151   1691.591247   2842.409068   4016.381062
