Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1334.771121   2848.349328   --undefined--   --undefined--
0.031250   1496.116891   2887.824659   4020.037906   4410.466592
0.037500   1496.498870   2901.768381   2982.978286   4466.279632
0.043750   1402.274504   2747.053435   2897.684319   4512.331418
0.050000   1231.099586   2875.297772   2897.329607   4513.916402
0.056250   1024.485713   2870.401640   2895.676176   4505.531938
0.062500   1256.277250   2885.599156   2893.757023   4499.161568
0.068750   1266.873133   2747.638812   2893.112723   4497.561820
0.075000   1093.333539   2459.468913   2886.270360   4513.087369
0.081250   1124.114942   2624.698956   2881.981137   4547.967660
0.087500   1113.870476   2652.359742   2959.476526   4536.241735
0.093750   1110.272277   2703.821753   2992.439773   4532.152628
0.100000   1109.411249   2728.589339   3018.651564   4537.599972
0.106250   1109.288179   2639.679479   3012.885488   4541.009912
0.112500   1116.977023   2054.590211   2628.395176   3032.259141
0.118750   1176.384501   2011.464029   2684.661438   3205.159356
0.125000   1189.367928   1863.789292   2709.468378   3336.414960
0.131250   1127.601838   1792.048738   2701.248222   3586.784263
0.137500   1145.171642   1787.383237   2666.106174   3828.702020
0.143750   843.528405   1728.537112   2680.432528   3828.489417
0.150000   774.921373   1863.157017   2762.955310   3853.705162
0.156250   858.046321   1931.639570   2657.059993   3860.648911
0.162500   788.060413   1765.845933   2644.694403   3876.009560
0.168750   665.880169   1703.544247   2653.714352   4049.694851
0.175000   629.103288   1718.569274   2634.807802   4335.687592
0.181250   626.830938   1715.523950   2662.402973   4109.929273
0.187500   749.610839   1721.621094   2678.547631   3980.316331
0.193750   837.267716   1573.193794   2615.514107   3901.639061
0.200000   901.405046   1329.576617   2624.213544   3888.191499
0.206250   1005.383492   1176.531721   2643.444949   3907.149339
0.212500   1088.932203   1121.464337   2607.761543   3859.281319
0.218750   1078.600317   1341.270539   2633.497843   3845.074285
0.225000   1012.064638   1037.585017   2637.398233   3842.047487
0.231250   542.177144   1010.100993   2633.009475   3839.745903
0.237500   1024.214488   2633.160715   --undefined--   --undefined--
0.243750   1035.615777   2638.018454   --undefined--   --undefined--
0.250000   1056.113177   2544.004061   --undefined--   --undefined--
0.256250   1011.145362   1290.408065   2455.018823   3848.274955
0.262500   988.927575   1326.279624   2442.021003   3853.637781
0.268750   983.272006   1135.120085   2452.837202   3853.491991
0.275000   1008.568011   1138.736820   2488.340058   3853.597828
0.281250   942.136902   1950.744457   2505.521266   3825.188064
0.287500   838.595087   2436.572814   2708.766803   3707.064184
