Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   764.102561   1720.284941   2513.572520   3755.072585
0.031250   700.936952   1700.248554   2529.961666   3632.361236
0.037500   715.636612   1701.626968   2554.667468   3601.332441
0.043750   717.993319   1791.143541   2057.533584   3586.225144
0.050000   690.202214   1680.214569   2475.103859   3577.234169
0.056250   653.051590   1537.091416   2329.993628   3501.436233
0.062500   1483.974616   2085.481361   3444.439157   4532.810635
0.068750   1514.903348   1713.232781   3115.793210   4043.440462
0.075000   1088.886072   1669.052121   3171.331723   4175.346435
0.081250   969.913034   1685.023280   2859.033750   3758.778536
0.087500   1162.867591   1976.499984   2761.963405   3671.976693
0.093750   1039.588427   1858.645533   2748.957655   3661.030731
0.100000   985.226730   1908.786841   2918.218881   3553.258253
0.106250   967.106353   2041.760451   2853.776344   3615.072385
0.112500   1026.138124   2002.931960   2783.755633   3673.269715
0.118750   914.692896   1917.322961   2830.158057   3711.606604
0.125000   949.809943   1950.835986   2768.844341   3703.264957
0.131250   1069.886002   1903.581896   2655.071465   3681.345966
0.137500   1014.135271   1915.712364   2718.626630   3689.591723
0.143750   955.091058   1931.664268   2755.720512   3677.710843
0.150000   965.640718   1913.888026   2851.659876   3721.475154
0.156250   1068.413495   2019.193924   2839.849492   3738.360034
0.162500   1026.773862   2103.319991   2739.939359   3693.519666
0.168750   973.477243   2131.770112   2560.940420   3664.224210
0.175000   1041.254270   2085.433016   2628.573462   3684.145394
0.181250   996.567064   1929.112490   2845.817536   3761.396355
0.187500   998.524735   1843.834145   2999.171682   3619.651712
0.193750   907.683499   1648.357082   2701.267733   3688.716494
0.200000   867.978818   1806.333114   2697.502456   3682.082718
0.206250   964.700044   1856.696723   2814.219506   3689.700340
0.212500   912.512927   1873.394732   2844.970467   3718.056337
0.218750   966.319046   1874.417376   2908.609552   3731.480964
0.225000   1067.851198   1904.531999   2854.700576   3544.282165
0.231250   979.893820   2003.128835   2753.318787   3604.480208
0.237500   954.656349   1899.343259   2860.621531   3766.364329
0.243750   1050.040070   1820.290482   2914.012823   3698.750954
0.250000   1007.465958   1758.429903   2931.309283   3727.896774
0.256250   965.385863   1801.213268   2799.671559   3746.886349
0.262500   972.945267   1826.263572   2770.187667   3849.739763
0.268750   1009.241162   2019.989790   2802.024091   3699.939969
0.275000   966.795591   1921.413009   2886.203193   3603.522019
0.281250   1065.000299   1899.128465   3017.090959   3565.526336
0.287500   1015.128899   1842.301456   2845.031572   3591.835877
0.293750   992.311699   1805.001319   2525.697427   3625.442347
0.300000   1040.968405   1862.944881   2626.069717   3674.323109
0.306250   1020.472091   1856.797693   2783.433101   3699.508192
0.312500   974.007108   1972.998534   2896.201149   3762.681184
0.318750   927.434165   1942.916491   2842.889576   3793.615355
0.325000   953.859270   1940.492789   2748.636065   3724.785535
0.331250   1126.117699   1942.113662   2731.617728   3670.724713
0.337500   1077.282203   1846.438783   2853.284834   3549.471438
0.343750   840.808195   1463.627260   2647.380734   3627.355314
0.350000   823.846863   1502.742243   2674.774313   3924.283529
0.356250   703.756235   1543.749264   2479.901305   3681.986789
0.362500   607.401220   1577.489233   2355.183081   3594.123593
0.368750   687.989833   1586.164867   2434.269303   3535.077037
0.375000   496.653603   1502.808542   2530.624247   4034.067041
0.381250   537.897603   1531.812043   2570.745267   4049.703960
0.387500   234.787447   1350.677620   2495.165657   3985.000488
0.393750   1149.136992   2155.875018   3164.145553   4369.531529
0.400000   618.349032   1575.489704   2563.500030   3427.133696
