Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1064.837785   1920.415956   2845.972849   4258.972237
0.031250   939.597860   1873.997333   2763.397379   4062.633143
0.037500   913.283087   1867.992377   2835.357742   4115.526679
0.043750   912.646597   1957.446067   3065.999718   4147.595265
0.050000   768.449365   1771.610640   2755.301168   3608.786986
0.056250   710.164573   1783.117913   2726.792143   3481.074799
0.062500   587.572757   1590.337006   2628.001364   3489.244666
0.068750   627.255911   1673.893582   2609.645630   3333.340053
0.075000   732.559108   1662.735038   2739.156725   4111.136328
0.081250   726.033434   1633.627349   3111.242688   3115.269292
0.087500   755.248899   1645.744377   2447.878885   3248.408565
0.093750   849.475483   1689.321829   2819.783049   3625.012808
0.100000   781.917621   1730.933404   2413.210394   3479.056613
0.106250   694.938352   1687.323616   2577.215359   3233.559548
0.112500   817.009555   1678.973158   2830.672698   3374.363631
0.118750   1108.628432   1701.004907   2734.588758   3892.843977
0.125000   989.482306   1812.184029   2672.619476   3707.288535
0.131250   954.356247   1874.206767   2715.951715   3666.987206
0.137500   899.634179   1776.029710   2714.837922   3710.415347
0.143750   876.676075   1746.394436   2523.463146   3700.607677
0.150000   866.580134   1755.577173   2407.543100   3627.635686
0.156250   785.732825   1721.601448   2499.357301   3508.887837
0.162500   780.509307   1676.628323   2510.945245   3519.360835
0.168750   726.725012   1744.522909   2491.642226   3593.475350
0.175000   937.942455   1937.280039   2224.540547   3521.357783
0.181250   884.949070   1962.850763   3178.951670   3836.931624
0.187500   836.502854   1879.556858   2657.338141   3806.735968
0.193750   913.646944   1872.842735   2865.603559   3969.247042
0.200000   1011.768834   1790.788263   3054.270469   4455.317624
0.206250   921.393223   1702.359027   2782.002811   3433.729505
0.212500   771.907288   1800.861745   2689.458767   3608.786059
0.218750   766.767920   1803.294272   2611.568995   3561.625887
0.225000   803.462183   1839.439027   2997.736781   4198.393709
0.231250   867.453482   1845.518092   2987.566463   4021.210469
0.237500   757.908639   1840.448400   2888.932540   3887.008055
0.243750   834.505421   1837.790917   2923.781520   3940.128068
0.250000   769.865158   1801.819085   2886.260713   3268.152224
0.256250   743.947663   1771.897912   2701.502477   3440.927415
0.262500   800.703890   1785.672806   2633.910440   3441.061013
0.268750   795.118213   1787.207672   2610.740155   3301.034957
0.275000   754.252019   1772.118797   2661.126095   3333.843476
0.281250   809.235866   1736.373381   2770.722724   3451.530461
0.287500   789.456699   1752.467450   2716.093942   3384.038028
0.293750   842.767159   1873.238670   2760.718074   3521.618338
0.300000   862.646979   1944.491514   2980.501773   3530.525518
0.306250   846.169712   1906.757042   2698.911837   3247.270226
0.312500   770.505659   1858.623303   2641.523626   3295.475378
0.318750   964.127972   2042.996710   2847.976191   3868.175034
0.325000   783.325574   1808.356080   2956.039859   3367.730257
0.331250   701.334647   1755.675575   2842.221661   3450.449653
0.337500   729.352034   1737.218998   2618.991439   3589.724340
0.343750   828.711030   1804.480052   2875.365743   3735.221852
0.350000   864.406903   1799.125353   2972.637109   3962.353431
0.356250   789.123159   1745.385626   2729.170774   3315.245979
0.362500   845.019485   1836.731593   2703.516508   3684.936176
0.368750   1042.148792   1778.185767   2657.922067   3262.939108
0.375000   1049.678580   1752.987047   2933.818060   3142.798404
0.381250   862.152218   1819.950195   3036.063886   3270.271083
0.387500   939.531331   1732.897318   2522.302950   3347.621842
0.393750   928.455871   1842.755119   2831.569838   3408.820117
0.400000   873.741620   1780.746117   2791.074420   3262.068141
0.406250   928.847132   1822.293564   2876.894790   3960.418033
0.412500   1132.283797   1827.817225   2908.950093   3942.752210
0.418750   636.479329   1607.824483   2600.465392   3454.894570
0.425000   827.534652   1720.496310   2681.077651   3467.493703
0.431250   882.638548   1860.471187   2576.228159   3461.835839
0.437500   852.252735   1852.198609   2593.303877   3745.923015
0.443750   826.475774   1856.351662   2625.808574   3971.951500
0.450000   811.136991   1816.547433   2583.944384   3817.480277
0.456250   825.823400   1739.805837   2541.488097   3466.747472
0.462500   958.520654   1638.005975   2360.382209   3494.771115
0.468750   1178.885845   2061.703053   3272.359705   4090.313625
0.475000   874.418888   1807.578624   2831.039527   3414.755651
0.481250   791.275991   1768.191422   2742.404076   3506.333795
0.487500   850.074393   1880.438227   2801.408228   3105.445383
0.493750   819.833360   1777.701113   2767.661002   3149.217521
0.500000   807.100878   1849.247390   2875.788873   4018.161157
0.506250   877.649506   1746.870388   2718.007882   3931.169444
0.512500   1119.752200   1124.499844   2308.737854   3186.406524
