Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   969.023201   1814.044776   2492.335831   3686.875986
0.031250   816.677097   1871.569967   2552.641112   3827.598821
0.037500   778.800884   2207.951038   2601.000181   4066.797840
0.043750   896.863473   2079.208293   2869.388642   4029.751288
0.050000   850.111778   2170.374107   2996.125107   3892.111997
0.056250   671.322380   1650.093009   2237.302419   3548.244738
0.062500   600.251067   1668.457110   2338.726061   3598.444152
0.068750   408.916314   1661.015463   2298.838847   3849.138714
0.075000   381.733088   1614.084322   2341.602994   3368.006882
0.081250   431.706777   1604.803749   2313.766218   3296.981011
0.087500   472.070226   1614.150438   2201.861468   3279.042949
0.093750   490.382201   1702.110831   2119.394197   3268.845645
0.100000   807.346814   1784.742098   2134.185471   3114.401230
0.106250   902.294281   1667.554571   2140.632697   3142.798826
0.112500   682.653445   1519.844890   2142.614461   3378.491696
0.118750   638.157918   1601.373607   2281.712195   3328.227525
0.125000   609.777693   1572.592539   2342.869060   3638.383872
0.131250   663.421975   1659.578391   2391.015661   4107.413768
0.137500   852.885025   1635.760404   2394.611124   3946.718741
0.143750   732.979824   1550.130752   2306.457958   3593.713519
0.150000   877.486171   1743.084862   2184.144866   3654.702378
0.156250   1056.715719   2207.248535   3381.496395   4330.993559
0.162500   797.669870   1514.157732   2227.759249   3471.998647
0.168750   703.263477   1679.216599   2128.523209   3575.392561
0.175000   757.308575   1939.464028   2256.706229   3811.282961
0.181250   698.820697   1865.797759   2442.854811   3964.912566
0.187500   711.749316   1834.254853   2719.013866   3990.516770
0.193750   844.913659   1945.732523   3018.774759   4189.724056
0.200000   1110.844495   1993.476369   3024.982172   4022.444999
0.206250   1088.822734   1938.160563   3159.484891   4143.803315
0.212500   769.935450   1850.509468   2864.356901   3871.200402
0.218750   718.302797   1783.851926   2433.547859   3716.495304
0.225000   695.016948   1751.390211   2355.156643   3662.463771
0.231250   681.357224   1751.191531   2426.425178   3621.064349
0.237500   727.578464   1933.675513   2274.297381   3568.608847
0.243750   753.025744   1992.707396   2728.456366   3774.882908
0.250000   756.217041   1871.242078   2731.624243   3879.327662
0.256250   790.366681   1949.752802   2925.147187   3852.698735
0.262500   811.115301   2040.392302   --undefined--   --undefined--
0.268750   783.425853   1881.527219   2837.215777   4175.579921
0.275000   877.322981   1922.013550   --undefined--   --undefined--
0.281250   853.027110   1307.162433   2111.888115   3467.925014
0.287500   802.958327   1365.742239   2209.932860   3647.147642
0.293750   759.607754   1982.303820   2287.960967   3992.481517
0.300000   874.857071   2058.224465   2907.358292   4032.554741
0.306250   737.118264   1988.473059   2647.699080   3944.111789
0.312500   728.631027   1885.409740   2650.850987   3850.648719
0.318750   865.312530   1924.083698   2869.925713   3802.017969
0.325000   963.232380   1902.710190   2626.124762   3862.187192
0.331250   869.108728   2124.723243   2335.908177   3915.288044
0.337500   811.947786   2095.901282   2451.293490   4008.825714
0.343750   700.336819   1863.257593   2611.372767   4006.169297
0.350000   711.922869   1892.922065   2777.840093   4067.085657
0.356250   610.085914   1992.409678   2691.755649   3819.611925
0.362500   576.015451   1838.756497   2372.459130   4014.105266
0.368750   569.243733   1694.215990   2558.141783   4026.395061
0.375000   639.508653   1498.344974   2459.035768   3975.608492
0.381250   705.770770   1564.520411   2400.179724   4098.267637
0.387500   593.649712   1809.350283   2261.904245   4055.420342
0.393750   619.864413   1996.263756   2786.991204   4079.103134
0.400000   567.395208   1782.388865   2732.355194   4244.673513
0.406250   537.440531   1792.090962   2788.007120   4280.238072
0.412500   539.339240   1827.853418   2810.272887   4116.052222
0.418750   549.825256   1722.564817   2712.423320   3840.784184
0.425000   558.705801   1632.820610   2794.565351   3825.231044
0.431250   1580.002555   2842.908269   2898.068831   4387.214602
0.437500   1516.357078   2546.404230   2898.980125   4030.281907
0.443750   1367.911301   2301.300448   3001.619583   4021.933071
0.450000   1412.305085   2356.919386   2916.005488   4096.219472
0.456250   1368.393055   2370.470515   3002.859021   4326.954124
0.462500   1383.786565   2249.571988   2970.865598   4149.254200
0.468750   1290.763004   2071.370997   2910.247288   4127.649965
0.475000   1316.564422   2279.811073   2767.498995   4261.724115
0.481250   1384.975716   1991.354263   2907.063709   4338.778077
0.487500   1006.235421   1636.091901   2826.088995   4099.966131
0.493750   799.162710   1464.993817   2687.945980   3949.672087
0.500000   919.585880   1589.139636   2786.372112   4130.163718
0.506250   1336.402031   1590.143554   2895.510829   4087.479287
0.512500   1516.652151   1640.378355   2746.264002   4059.415757
0.518750   1344.504516   1532.728340   2755.696024   4072.093566
0.525000   752.053805   1607.109062   2846.311807   4104.316695
0.531250   954.512745   1603.837254   2711.931302   3944.286540
0.537500   883.844191   1588.646761   2681.612031   3916.335679
0.543750   501.443168   1583.232019   2722.839108   4075.700613
0.550000   1501.668234   2808.607167   --undefined--   --undefined--
0.556250   1070.766672   1503.731256   2893.946249   4030.130855
0.562500   1481.788923   1858.208177   2720.799113   4030.088305
0.568750   1261.138684   2215.288450   2677.807671   4042.788715
0.575000   1192.904797   1998.855891   2646.515240   4024.437467
0.581250   1193.029521   1761.344893   2830.876721   3956.678353
0.587500   774.042385   1701.515227   2849.458981   3863.994812
0.593750   936.120473   1690.736151   2651.294656   3897.631820
0.600000   735.974170   1682.534042   2181.682324   2655.944807
0.606250   811.963529   1692.235746   1936.426588   2604.879637
0.612500   898.211740   1630.543034   2533.207241   4057.503297
0.618750   920.929903   1628.348006   2518.357022   3879.918873
0.625000   904.457524   1646.773300   2449.960925   3858.605104
0.631250   1076.996360   1869.408383   2249.766535   2870.712069
0.637500   1068.295823   2290.218528   3470.197982   4441.027379
0.643750   344.265504   1026.699040   2379.567629   4247.503101
0.650000   352.089164   1028.926268   2352.270606   3504.293558
0.656250   355.995034   1110.124680   2486.128726   4112.955625
0.662500   351.490613   1062.826425   2543.631256   4228.447944
0.668750   351.329561   1113.050288   2494.997497   4201.315937
0.675000   356.061480   1150.867633   2445.705478   3885.084692
0.681250   351.690580   1144.216608   2406.510977   3956.313504
0.687500   345.662796   1190.166645   2300.134598   2384.863052
0.693750   349.406213   1337.257549   2371.379792   2389.024892
0.700000   357.438464   1453.497535   2369.878043   2516.898422
0.706250   362.179102   1516.945534   2128.541611   2377.656612
0.712500   365.085323   1575.932066   2348.465385   2371.325317
0.718750   367.184346   1662.903931   2317.950132   2552.655291
0.725000   361.106733   1686.416089   2249.556324   2404.561896
0.731250   352.908362   1720.423544   2167.948691   2421.244945
0.737500   334.744543   1735.938081   2104.002386   2401.895839
0.743750   319.272033   1715.912063   2188.345715   2392.661474
0.750000   315.955327   1710.526976   2337.015636   2353.048031
0.756250   314.886639   1714.084692   2318.911058   2423.440051
0.762500   326.904574   1707.525898   2295.724021   2431.683226
0.768750   353.087710   1709.788995   2285.090041   2641.436219
0.775000   371.983381   1707.419873   2284.090023   3922.939003
0.781250   363.819934   1674.094428   2273.478863   4105.232869
0.787500   359.071932   1646.637918   2248.992877   4489.553287
0.793750   344.373505   1641.058778   2187.192863   4119.495450
0.800000   319.787941   1653.185757   2137.926950   4052.936405
0.806250   299.557353   1662.299878   2234.821522   3955.085908
0.812500   300.203083   1596.102874   2246.256952   3944.679903
0.818750   306.634228   1547.237807   2309.561624   3926.315292
0.825000   283.289356   1558.112231   2389.182659   3886.616459
0.831250   279.465700   1553.039152   2393.928376   3853.957933
0.837500   207.985845   1587.014254   2256.191603   3952.035831
0.843750   268.947877   1634.000126   2383.608881   3860.949751
0.850000   303.705073   1605.308404   2332.342242   3887.110600
0.856250   441.293755   1495.259939   2133.511663   4030.458192
0.862500   560.040505   1471.338549   2356.793736   4195.835899
0.868750   389.906954   1197.298959   1857.548897   3912.748864
0.875000   392.166163   1199.647283   1751.306628   3961.363644
0.881250   469.526837   1400.558202   1683.443783   3962.017114
0.887500   538.854012   1323.502293   1849.245147   3963.597148
0.893750   623.911027   1328.648061   2079.893627   3967.065761
0.900000   466.251095   1385.130278   2131.641468   3958.759812
0.906250   468.092473   1321.863298   2261.003351   3906.488663
0.912500   496.070951   1223.065938   2403.740509   3928.409642
