Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   657.993080   2070.114123   2183.589638   3131.980643
0.031250   673.749386   2189.655605   2788.036095   4064.044880
0.037500   575.424860   2065.929386   3052.225877   3853.087364
0.043750   683.804273   1993.167636   3123.062924   4179.436731
0.050000   554.214673   2039.738694   2399.318165   3174.454577
0.056250   564.302706   1817.290389   2378.785144   3348.272423
0.062500   794.346298   2200.563162   3154.655237   3829.050454
0.068750   540.729186   1903.172596   2992.579321   4402.950120
0.075000   557.508680   1682.142171   2710.048174   3304.511550
0.081250   275.358609   1618.072215   2552.385246   3566.630015
0.087500   621.804309   1795.294220   3062.931737   4171.655743
0.093750   571.616755   1822.814292   3058.187611   4084.133387
0.100000   956.953335   2168.516725   3023.543520   3872.901714
0.106250   366.861573   1139.663130   2364.811305   3358.461863
0.112500   610.698660   1636.319080   2694.915257   3140.497057
0.118750   1288.147694   2129.753765   3358.688774   4338.756211
0.125000   1043.565689   2067.616220   3500.943240   3567.742680
0.131250   994.564757   2071.682119   3078.709852   3637.044982
0.137500   974.774834   2264.520612   2504.216465   3682.813664
0.143750   997.847308   2068.316156   3065.449043   3887.067236
0.150000   984.523179   1023.805735   2240.777090   3542.157498
0.156250   657.184785   1230.474696   2383.204653   3636.616292
0.162500   713.272215   1283.028816   2430.465353   3745.954657
0.168750   723.420104   1558.432413   2499.867299   3754.622292
0.175000   791.030355   2043.989211   2655.882309   3855.635792
0.181250   1034.958152   2371.010089   3636.162796   4804.470690
0.187500   1046.740261   2390.397743   3521.540412   4630.873184
0.193750   727.256008   1295.390845   2505.361360   3476.585764
0.200000   1192.109864   2287.421530   3177.282895   3671.499563
0.206250   491.441454   1366.979059   2372.107023   3574.982801
0.212500   644.735959   1429.475718   2285.040510   3496.317419
0.218750   559.265257   1450.619168   2395.218071   3524.077511
0.225000   514.651262   1318.707402   2516.252007   3512.988993
0.231250   950.276994   2283.279469   3235.792479   4618.368961
0.237500   975.997839   2084.514363   2972.603363   4467.472625
0.243750   995.642391   2008.022803   2990.960115   4089.971811
0.250000   950.606729   2134.307027   3184.998238   3999.371678
0.256250   962.090714   2008.184577   2973.073162   3938.041278
0.262500   759.140040   1973.402754   2948.015035   3865.601754
0.268750   799.258024   2101.128077   2733.844973   3773.974523
0.275000   726.408431   1787.403561   2465.907816   3816.202535
0.281250   477.369484   1469.934526   2551.714346   3532.350351
0.287500   562.482301   1410.485240   2555.055212   3641.305487
0.293750   829.365965   2352.894127   2703.445591   3981.112028
0.300000   523.858805   1649.241207   2705.531435   3980.888969
0.306250   704.039771   1671.756588   2764.859434   4141.443666
0.312500   507.908669   1441.829371   2712.978339   3547.189667
0.318750   692.327895   1580.186860   2648.133859   3657.390833
0.325000   695.011379   1703.893713   2624.197593   3842.498451
0.331250   570.529734   1755.537530   2531.433853   3568.540726
0.337500   541.766758   1725.781038   2528.689384   3585.803835
0.343750   963.236889   2224.420977   3167.106443   3714.967236
0.350000   816.283790   2135.165680   2762.682096   3793.231588
0.356250   860.463738   2046.928825   2706.334439   3851.339205
0.362500   595.358876   1760.975856   2667.279535   3433.813989
0.368750   526.904478   1329.913812   2665.620701   3399.621776
0.375000   510.347788   1430.658371   2555.025421   3617.828037
0.381250   637.124913   1511.894888   2803.026293   3992.700431
0.387500   620.907274   1522.610719   2855.304291   4056.871490
0.393750   656.548227   1574.797923   2630.841580   3296.869769
0.400000   1126.067598   2187.452399   3017.618731   4306.846819
0.406250   1086.213650   2069.639121   3037.079764   4147.778129
0.412500   1143.116761   2023.920892   3043.169480   4205.850461
0.418750   1033.251043   1906.084957   2994.197781   4116.173007
0.425000   1074.584425   1938.439656   2959.932619   4124.909004
0.431250   1079.557476   2145.754506   2967.529844   4192.366994
0.437500   1134.061608   2096.424044   2896.841525   4290.078717
0.443750   1105.726682   1713.038821   2768.088665   4277.738735
0.450000   956.562615   1886.596690   2877.362106   4163.390852
0.456250   1021.773388   1938.866329   2822.255472   4091.462414
0.462500   1210.793793   1576.718450   2817.844849   4134.115906
0.468750   1363.998477   1694.924522   2866.300674   4113.683591
0.475000   614.879822   1563.800043   2719.486905   3457.009566
0.481250   715.884532   1539.698369   2647.763752   3441.680150
0.487500   669.589096   1579.797424   2659.291455   3476.676922
0.493750   685.897315   1756.553425   2930.857627   4027.993705
0.500000   790.532969   1944.090371   2989.462397   4074.878622
0.506250   693.015925   1566.408007   2605.990084   3887.096858
0.512500   535.833136   1669.949174   2673.455869   3864.432061
0.518750   644.336934   1862.958557   2776.780591   3927.542231
0.525000   874.007156   1878.983326   2785.025974   3954.518671
0.531250   527.510091   1694.742208   2679.657062   3564.373906
0.537500   578.209211   1690.264827   2667.657029   3866.572213
0.543750   662.020858   1858.608330   2754.968445   4007.757443
0.550000   671.195194   1845.223530   2743.425852   3969.504204
0.556250   955.171365   1995.627990   2709.871677   3955.409069
0.562500   1278.548393   2118.280751   2682.440160   4075.691901
0.568750   854.753548   2112.362915   3076.208359   4367.414204
0.575000   727.761868   2087.691023   2609.569701   3644.244071
0.581250   701.658758   1899.012739   2669.183350   3846.025214
0.587500   586.651472   1892.162276   2673.046845   4070.975344
0.593750   561.780112   1854.483825   2600.892854   3964.962917
0.600000   644.733287   1755.993026   2652.599155   3970.058666
0.606250   930.244863   1845.782294   2706.217251   3994.757212
0.612500   912.755517   1981.695530   2665.450090   4025.371427
0.618750   991.630602   2330.484932   2637.305929   4048.147106
0.625000   626.638187   1737.468254   2488.449614   3511.782821
0.631250   534.627676   1651.523723   2496.369212   3484.767787
0.637500   524.044596   1577.276911   2528.177571   3451.545582
0.643750   532.004789   1558.213322   2643.538327   3332.278656
0.650000   598.306436   1662.410281   2561.074388   3289.989407
0.656250   764.238013   1685.985316   2595.632933   3276.302880
0.662500   750.625394   1676.602110   2561.217484   3243.982215
0.668750   729.373210   1581.033563   2548.454206   3313.680034
0.675000   637.593417   1733.986995   2621.582649   3213.090729
0.681250   577.278063   1825.493923   2725.084561   3134.456700
0.687500   674.590264   1766.647795   2659.883304   3182.737070
0.693750   725.322026   1723.535842   2539.848191   3214.430166
0.700000   643.178612   1872.811281   2890.123417   2978.116407
0.706250   634.650916   1764.562626   2698.176846   3225.352816
0.712500   640.411787   1862.492332   2657.744730   3294.506683
0.718750   668.405532   1982.623610   2683.852222   3163.405777
0.725000   776.373186   1777.076995   2707.777125   3343.372648
0.731250   769.294441   1778.656642   2735.508530   3373.616420
0.737500   683.685818   1804.099854   2611.025471   3342.885434
0.743750   671.222360   1757.694745   2532.372471   3328.465130
0.750000   782.191318   2085.719695   2162.771314   3266.955405
0.756250   572.053801   1970.566624   2621.102169   3304.716398
0.762500   564.542522   1793.333521   2721.851892   3401.508043
0.768750   661.881497   1717.818420   2745.447893   3483.597846
0.775000   688.871934   1884.810263   2735.359598   3605.718119
0.781250   906.498261   2056.852208   2744.543965   3629.160973
0.787500   953.932399   2127.341878   2830.667671   3699.625560
0.793750   671.234751   2031.326990   2732.828216   3193.623640
0.800000   673.139193   1783.262972   2707.000627   3306.017718
0.806250   670.682814   1691.365003   2711.731308   3321.576363
0.812500   690.237143   1631.655221   2703.750840   3272.519775
0.818750   679.330389   1587.921229   2614.766247   3262.159849
0.825000   719.145475   1714.962633   2606.598902   3274.657272
0.831250   891.913561   2016.919851   3010.927215   3347.435221
0.837500   894.978672   1929.312172   2673.495530   3366.428896
0.843750   811.090143   1834.933502   2634.447551   3438.448511
0.850000   707.224073   1939.324527   2591.965322   3299.408374
0.856250   645.341095   1821.690267   2736.331781   3166.269822
0.862500   784.742694   1651.287999   2770.834327   3187.784416
0.868750   742.763482   1713.932137   2676.595845   3211.530008
0.875000   728.941097   1721.435018   2661.580185   3283.894977
0.881250   634.837965   1820.715645   2735.271166   3298.959873
0.887500   617.624160   1771.251705   2831.777709   3193.775685
0.893750   601.368031   1675.163161   2734.000356   3223.704118
0.900000   696.198692   1724.623947   2516.949569   3304.681649
0.906250   664.125034   1960.466815   2575.190151   3252.773237
0.912500   630.638221   1821.509916   2731.982039   3282.658098
0.918750   602.417205   1623.847257   2709.683273   3165.464849
0.925000   675.802005   1655.531146   2620.831511   3182.122166
0.931250   754.600343   1861.078518   2701.665367   3369.219093
0.937500   714.864243   1620.765932   2769.099980   3231.835027
0.943750   684.423217   1573.199554   2782.571141   3167.526234
0.950000   830.190722   1716.535944   2865.146001   3099.593110
0.956250   933.223061   1853.417778   2872.134537   3329.639320
0.962500   1063.107141   1599.825312   2693.951349   3344.769985
0.968750   1111.091985   1742.801506   2834.826675   3642.583040
0.975000   1086.662990   1949.243539   2893.029603   3591.730857
0.981250   803.182880   1801.648061   2651.882067   3486.485898
0.987500   796.471776   1722.343816   2686.485043   3590.571720
0.993750   842.215936   1694.916699   2709.658431   3708.283999
1.000000   681.922291   1627.439239   2674.134227   3340.821573
1.006250   755.554986   1821.260920   2792.325059   3405.451146
1.012500   724.787183   1996.628969   2875.075301   3435.277827
1.018750   685.637833   1807.971981   2693.868672   3473.717181
1.025000   892.112922   1816.155071   2693.904172   3480.752870
1.031250   791.716929   1779.311379   2741.891456   3426.462559
1.037500   780.294631   1622.820755   2697.628381   3312.917185
1.043750   671.604876   1634.705512   2615.359545   3327.744637
1.050000   646.828325   1715.602338   2624.943714   3395.459822
1.056250   613.935534   1734.849867   2667.954100   3379.430975
1.062500   609.222888   1631.798727   2671.780368   3316.515394
1.068750   747.845012   1651.787386   2704.097838   3177.374624
1.075000   674.889674   1818.222924   2581.109844   3009.608343
1.081250   609.983987   1783.892499   2733.139960   3146.006346
1.087500   560.376275   1728.455506   2897.840730   3248.287342
1.093750   495.103515   1863.542988   2853.020377   2940.963349
1.100000   837.011908   2200.799367   2973.407417   3938.802784
1.106250   1192.047542   2175.017417   3048.115984   4067.229500
1.112500   764.523665   1959.304803   2480.161074   3320.917694
1.118750   778.141859   1207.724430   2280.512039   3451.218855
1.125000   940.284558   2246.925444   3239.349574   3741.608709
1.131250   925.783241   2387.497529   2626.348274   3948.870560
1.137500   971.709800   2236.663357   2913.168486   3878.393444
1.143750   888.921595   1859.040212   2614.566569   3762.039885
1.150000   903.565102   1677.253469   2266.004729   3428.733637
1.156250   1084.155189   2242.695039   3448.239923   4888.254264
1.162500   1089.178980   2369.615230   3503.450856   3949.420569
1.168750   1035.326475   2301.609230   3146.419419   3656.190583
1.175000   1010.654413   2241.342301   3053.343074   3670.660335
1.181250   703.287732   877.291522   2478.745975   3404.552715
1.187500   807.787005   1694.120985   2492.653395   3622.961487
1.193750   896.799268   1832.118029   2448.580993   3703.353040
1.200000   922.485664   1916.503592   2381.016047   3683.930740
1.206250   974.242947   2207.702580   2798.005570   3736.819547
1.212500   970.898293   2218.705510   2881.359893   3700.357900
1.218750   715.110686   1637.074057   2432.495718   3501.176433
1.225000   763.097714   1411.031413   2395.158895   3481.641257
1.231250   1060.590506   2295.197804   --undefined--   --undefined--
1.237500   370.541025   1140.885609   2312.232604   3678.478888
1.243750   924.208133   2115.047135   3464.432965   3880.810396
1.250000   910.638346   2120.558176   --undefined--   --undefined--
1.256250   628.611225   1147.751572   2143.808903   3514.043436
1.262500   905.402571   2117.803114   3458.915601   4746.139765
1.268750   713.747384   1559.498241   2136.102012   3418.899159
1.275000   585.389758   1758.923358   2768.399406   3420.588049
1.281250   925.530072   1880.109228   3001.451589   3798.052317
1.287500   959.872582   1756.828023   2768.539156   3942.262145
1.293750   951.221039   2104.194644   2643.410903   4031.808796
1.300000   896.694769   1880.043555   2649.299909   4050.444836
1.306250   982.132311   1987.618014   2994.904748   4069.733991
1.312500   959.338655   2048.393440   3173.866243   4022.541519
1.318750   854.564590   1985.647769   2907.949507   3968.592393
1.325000   876.213521   1923.585670   2698.766514   3972.910477
1.331250   840.469192   1465.164148   2502.886532   3910.959770
1.337500   693.617159   1636.747418   2619.191636   3862.004337
1.343750   801.015634   1521.495416   2702.731414   3833.302227
1.350000   688.315776   1465.824177   2786.882841   3748.068423
1.356250   590.255163   1475.023767   2656.976989   3677.502735
1.362500   569.473898   1619.514819   2649.942809   3568.661003
1.368750   719.027456   1365.079460   2608.694638   3499.498104
1.375000   766.840953   1579.566782   2626.494912   3730.675038
1.381250   700.210875   1891.017226   2722.895116   3974.048931
1.387500   723.007324   1769.300070   2832.370298   4055.093436
1.393750   756.307311   1671.974522   2745.693477   3589.577096
1.400000   850.084434   2099.463472   3098.282291   4031.551180
1.406250   948.992275   2153.999612   2844.044207   4053.575271
1.412500   1101.356865   2625.379077   --undefined--   --undefined--
1.418750   727.860917   1848.042014   2556.721421   3533.841161
1.425000   911.733768   2153.476365   3157.351102   3717.171088
1.431250   981.320449   2167.095540   3260.275703   3581.598837
1.437500   639.235877   1664.418035   2400.580500   3424.941096
1.443750   640.329651   1610.204371   2257.948002   3298.647703
1.450000   1004.120556   2185.792713   3315.825968   3678.054511
1.456250   515.426829   1551.633081   2348.246268   3439.762858
1.462500   655.201761   2173.210220   2361.668330   3864.855525
1.468750   775.369422   1687.301111   2384.403009   3655.216104
1.475000   655.720840   1532.706449   2731.100457   3694.148697
1.481250   778.452299   1353.826982   2590.021178   3594.268477
1.487500   729.238788   1831.790321   2857.577250   3942.259410
1.493750   641.165552   1749.502309   2904.954127   3907.209090
1.500000   767.207622   2003.004648   2929.159849   3962.300512
1.506250   680.749393   2059.216053   3075.144960   3727.216158
1.512500   571.024033   1643.568486   2538.813880   3513.901686
1.518750   515.907676   1297.521260   2334.789822   3178.931590
1.525000   527.943619   1194.246970   2355.509348   3131.380036
1.531250   580.617272   1231.210716   2373.463146   3198.975367
1.537500   1341.908698   2335.780968   3282.865118   4619.413623
1.543750   278.563044   1508.764469   2401.818745   3245.704666
1.550000   356.448560   1636.331225   2390.172092   3227.007679
1.556250   348.432813   1616.102243   2217.497185   3204.921955
1.562500   351.915177   1617.002131   2321.699018   3307.030321
1.568750   351.277749   1604.373684   2327.041257   3416.867999
1.575000   350.419173   1590.458226   2213.114998   3213.010049
1.581250   359.984503   1619.497482   2230.846579   3167.349159
1.587500   361.481735   1680.593247   2197.692898   3216.044138
1.593750   360.258285   1760.615855   2215.219897   3479.375439
