Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1186.734636   2124.971818   3117.783566   3857.718900
0.031250   1038.449684   2247.673547   3095.998989   3955.578485
0.037500   962.788902   2391.620868   3071.367642   4023.997640
0.043750   745.254162   1994.183514   3097.279452   3696.903324
0.050000   629.692469   1732.115381   2662.842341   3364.686927
0.056250   1185.174560   2432.939817   3253.090875   4494.167680
0.062500   102.217208   1456.170342   2672.981461   3177.984637
0.068750   455.818714   1675.329189   2828.309862   3267.141888
0.075000   624.888992   1684.129201   2642.235834   3265.142277
0.081250   656.589569   1651.661579   2611.297372   3303.792585
0.087500   689.107284   1557.981156   2538.817998   3460.334287
0.093750   621.992064   1371.127782   2462.606232   3459.541067
0.100000   484.214806   1290.751733   2451.276277   3240.014165
0.106250   469.848392   1396.682220   2964.659398   3036.651908
0.112500   618.697414   1695.948597   2999.439138   3989.129571
0.118750   590.742027   1913.363779   3047.740150   4005.609558
0.125000   655.716473   1971.543304   3139.884200   4143.359956
0.131250   556.693349   1738.762135   2605.752402   3251.798260
0.137500   892.066319   2124.231305   3276.046858   4465.088007
0.143750   919.160465   2049.767232   3101.687230   4204.636168
0.150000   901.942985   2003.332927   3091.287498   4052.707050
0.156250   442.609495   1851.606827   2114.282299   3308.275908
0.162500   648.915341   1848.165704   2834.015879   4045.272435
0.168750   810.898162   2002.326603   2940.529281   4106.461007
0.175000   793.252106   2164.853392   2977.045731   4002.059467
0.181250   748.598232   2216.289537   3690.649646   4659.166520
0.187500   368.652751   1419.222946   2383.642626   3529.673726
0.193750   542.384428   1778.407317   2545.150950   3271.974143
0.200000   719.088613   1910.901768   3069.083322   4199.243071
0.206250   713.819469   1619.291507   2941.199307   3745.811990
0.212500   625.501919   1474.313362   2753.745977   3676.455314
0.218750   679.303527   1933.462142   3149.126003   3985.968801
0.225000   796.080900   2405.441163   2765.984290   3715.205129
0.231250   624.310666   1753.342761   2688.550854   3828.689883
0.237500   561.845743   1841.863858   2779.992370   3770.033852
0.243750   509.714237   1599.049041   2691.737555   3597.190623
0.250000   645.089458   1798.309102   2233.075425   3466.996441
0.256250   642.508855   1212.189305   2396.607175   3435.544105
0.262500   571.587567   1582.088677   2710.823539   3903.346976
0.268750   639.461079   1497.808033   2563.913305   3872.134408
0.275000   533.271395   1484.902319   2794.953285   3778.812486
0.281250   880.462537   2159.538841   2995.016349   3859.083405
0.287500   837.413683   2088.765664   3032.516110   4017.449122
0.293750   875.806798   1993.074635   2976.952421   4042.427935
0.300000   892.290592   1914.032381   2998.939479   3979.707284
0.306250   476.928560   1792.447991   2988.179509   3925.395207
0.312500   420.656356   1765.903346   2539.704252   3428.826370
0.318750   879.017878   2019.934279   3027.529805   4403.850911
0.325000   1356.851806   2260.519526   3484.755246   4642.788008
0.331250   498.633562   1523.442457   2431.983828   3614.104826
0.337500   742.217859   1804.359077   2843.930900   4016.208234
0.343750   918.523686   1871.022108   2779.534662   3934.540688
0.350000   942.887666   1954.181772   2989.230667   3909.152293
0.356250   969.202294   2025.549074   3228.144944   4206.041862
0.362500   986.000407   2119.775433   3286.123797   4132.949806
0.368750   860.050221   2074.322742   3155.685704   4005.319932
0.375000   778.008923   2137.665101   --undefined--   --undefined--
0.381250   584.366298   1287.950927   2171.565019   3501.492144
0.387500   559.921114   1540.830485   2371.142428   3347.184471
0.393750   649.680093   2007.700590   2402.300198   3345.428977
0.400000   693.051434   1016.964119   2148.760071   3387.534882
0.406250   791.431603   2177.367841   3244.865045   4648.984915
0.412500   1121.210790   2379.521931   3473.255698   4885.788705
0.418750   903.179552   1811.772502   2722.898823   4071.028280
0.425000   1143.362701   2050.594924   2790.123671   3952.070596
0.431250   1155.843776   2552.042050   2842.640648   4645.230816
0.437500   1193.812255   2692.539435   2797.065712   4004.060275
0.443750   440.972995   1552.725579   2740.224031   3123.126431
0.450000   595.740126   1755.662301   2833.958769   2882.291504
0.456250   1657.327407   2527.016102   2861.861002   4615.145246
0.462500   1657.239030   2505.342543   2865.716278   4455.156006
0.468750   1337.193099   2306.185838   2921.083440   4297.932275
0.475000   213.617436   1785.107505   2607.003827   3271.348259
0.481250   330.320712   1791.522070   2535.940872   3339.595880
0.487500   336.741571   1884.404150   2504.890725   3330.947426
0.493750   320.883552   1820.265131   2555.771528   3318.608590
0.500000   333.892675   1758.150081   2522.820256   3299.821635
0.506250   338.640370   1745.750389   2516.363074   3410.555548
0.512500   357.133241   1756.148340   2541.374538   3457.673173
0.518750   369.844386   1841.312977   2554.590632   3437.664394
0.525000   366.009993   1958.184777   2627.754225   3428.974630
0.531250   354.529073   1967.410244   2687.387105   3431.538267
0.537500   350.384717   1996.428061   2710.959058   3449.143268
0.543750   350.573903   1934.446289   2716.312161   3435.095564
0.550000   369.901899   1833.985063   2737.162570   3429.551725
0.556250   391.657001   1914.869186   2755.231163   3393.670504
0.562500   404.173396   1965.344701   2764.077786   3455.667456
0.568750   379.047734   1959.017483   2787.433945   3440.427515
0.575000   375.499667   1931.477602   2790.480763   3391.452632
0.581250   375.946556   2023.971015   2780.275574   3424.580498
0.587500   379.205153   1973.894016   2743.855650   3448.260104
0.593750   385.783420   2024.997151   2742.679279   3466.048711
0.600000   392.940658   2094.393467   2748.248241   3460.864240
0.606250   386.720042   2039.914798   2745.871341   3507.867586
0.612500   395.658730   2008.226158   2730.202251   3599.607019
0.618750   418.014379   2004.534183   2721.826864   3624.813778
0.625000   406.174820   1966.066874   2661.987263   3462.356116
0.631250   389.730241   1881.320533   2618.368839   3539.468733
0.637500   381.818704   1877.755280   2606.783775   3579.678665
0.643750   383.435298   1929.830778   2622.509727   3606.048497
0.650000   385.234313   1930.883714   2602.937958   3631.803595
0.656250   380.628139   1891.130150   2595.456187   3579.196969
0.662500   382.325880   1874.845375   2610.275557   3704.148222
0.668750   388.386963   1883.584632   2601.217189   3800.137470
0.675000   411.903030   1745.547978   2463.638756   3550.712585
0.681250   406.317681   1617.251629   2474.082587   3507.426425
0.687500   415.395139   1622.719081   2586.740559   3451.268573
0.693750   464.931631   1874.463726   2810.061781   3490.881457
0.700000   436.291884   1888.691465   2797.787846   3786.924591
0.706250   427.281027   1836.270316   2705.676122   3704.281707
0.712500   404.423765   1839.017546   2756.171514   3771.908815
0.718750   415.676518   1805.885314   2846.022536   4675.213119
0.725000   413.428849   1621.905545   2817.026997   4006.041416
0.731250   395.866874   1557.832835   2666.990879   3704.357856
0.737500   397.646874   1543.900251   2656.725565   3649.272561
0.743750   400.534183   1493.585238   2764.601237   3585.545657
0.750000   401.194492   1566.989687   2739.818836   3700.190280
0.756250   420.799401   1589.978024   2634.827564   3759.570910
0.762500   435.213422   1475.044815   2664.616790   4062.066934
0.768750   458.117902   1452.632944   2632.275906   4150.565293
0.775000   409.370044   1454.791166   2589.539330   3642.075096
0.781250   449.619635   1396.996664   2618.721728   3661.952541
0.787500   762.979660   1200.013336   2702.469244   3852.732222
0.793750   733.738183   1198.019206   2702.323516   3833.857245
0.800000   752.491004   1183.252792   2634.983564   3788.284975
0.806250   774.085850   1166.323960   2642.907641   3791.983429
0.812500   784.791407   1156.960341   2754.733570   3749.367589
