Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1450.830484   2049.772403   2847.754348   4036.917331
0.031250   1767.250921   1901.356039   2726.646241   4039.039459
0.037500   696.058229   1864.335928   2632.758695   3982.264030
0.043750   861.427185   1781.460847   2564.947363   3931.929726
0.050000   1593.870300   1954.684553   2713.137271   3918.382322
0.056250   1017.474957   2052.892850   2765.471421   3930.526001
0.062500   1203.546253   2005.690130   2794.018998   3927.334395
0.068750   788.010745   1931.438309   2855.345448   3924.267534
0.075000   1048.729950   1930.858807   2785.286403   3978.038658
0.081250   1036.414953   1903.760478   2689.278477   3925.163330
0.087500   829.258025   1904.322406   2760.933012   3904.781735
0.093750   795.558358   1935.053807   2770.168475   3859.753110
0.100000   698.680552   1892.499867   2738.141275   3797.971979
0.106250   797.849825   1811.066425   2705.847106   3795.003748
0.112500   979.858930   1803.061161   2716.096630   3802.696051
0.118750   809.911905   1800.279313   2792.310670   3860.231002
0.125000   800.834722   1785.796998   2784.630146   3755.266163
0.131250   892.951206   1775.214549   2745.940084   3841.527434
0.137500   912.973984   1715.120914   2724.519831   3790.432187
0.143750   917.477254   1679.526884   2797.467216   3707.543323
0.150000   758.277800   1811.419995   2780.006399   3700.483516
0.156250   797.090689   1827.743868   2684.633402   3737.479558
0.162500   901.573665   1872.206625   2826.062578   3842.963696
0.168750   940.651698   1816.658239   2899.863375   3879.355909
0.175000   843.338946   1783.368326   2855.784593   3843.264212
0.181250   850.885169   1827.565116   2770.621015   3813.076687
0.187500   758.192682   1851.560879   2692.468596   3682.228174
0.193750   794.376824   1855.849115   2743.375088   3692.459938
0.200000   905.966915   1810.173690   2800.458803   3874.402425
0.206250   1119.733942   1793.477572   2871.883991   3899.784196
0.212500   993.958630   1689.472764   2777.495283   3923.422274
0.218750   926.912958   1640.594363   2649.396115   3741.927395
0.225000   905.399853   1650.784205   2611.239189   3564.636473
0.231250   1089.883155   1593.796592   2623.242094   3650.302514
0.237500   955.426032   1690.121487   2620.577729   3806.289941
0.243750   779.085310   1730.050055   2615.895180   3758.699789
0.250000   981.973146   1871.409451   2598.258875   3769.659240
0.256250   1121.553494   1802.963741   2780.626973   3806.891507
0.262500   1154.101005   1670.443618   2794.700338   3798.748027
0.268750   922.894922   1718.311623   2805.784424   3847.324849
0.275000   850.871052   1747.681912   2748.688122   3717.030499
