Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   475.518089   1973.459759   2819.867845   3935.301158
0.031250   194.695971   1839.439105   2857.232636   3868.407891
0.037500   1178.531521   1822.897278   2698.458378   3881.675200
0.043750   1148.874607   2484.942799   2517.170083   3797.451418
0.050000   143.710803   1586.947617   2524.079306   3721.458348
0.056250   354.563424   1919.356121   2768.842247   3828.722147
0.062500   977.312685   1995.824173   2978.179542   3937.578949
0.068750   1205.078540   2164.058763   2947.757103   3875.684975
0.075000   1249.677101   2148.749927   3114.702104   3915.938345
0.081250   1290.262075   2247.604678   3024.292668   3990.556153
0.087500   1208.661699   2181.415299   3253.316097   3777.194440
0.093750   1129.609621   2153.305263   3262.058014   3913.233271
0.100000   1088.981437   2214.504696   3095.245805   4045.717734
0.106250   1036.828042   2313.664974   2953.233421   4026.355376
0.112500   1109.961141   2199.331198   2820.166824   3963.748866
0.118750   1133.112611   2161.007904   2956.848086   3946.585590
0.125000   1161.992164   2284.518109   2977.168168   3894.128836
0.131250   1222.974538   2289.670326   3154.750835   3816.115797
0.137500   964.603581   2231.337267   3250.106067   4303.523010
0.143750   975.393567   2226.308066   3064.193494   4002.944814
0.150000   1065.727459   2107.029465   3041.368989   3820.657877
0.156250   1046.661026   2088.729224   3191.977084   3840.005043
0.162500   1068.101659   2184.529318   3227.568248   4030.810055
0.168750   1052.942109   2267.483945   3393.142068   3914.548236
0.175000   1056.928586   2154.538635   3490.044791   3780.420887
0.181250   1090.797750   2182.300422   3072.664912   3911.317842
0.187500   1077.903369   2175.762638   3041.064228   3945.539469
0.193750   978.352180   2173.290999   3034.664359   3992.073040
0.200000   1479.823913   2377.236845   2824.304841   4184.702481
0.206250   192.459954   1330.944244   2610.558823   2977.239229
0.212500   315.689309   1282.355815   2641.335868   3271.748886
0.218750   334.889973   1268.472581   2618.603505   3501.564800
0.225000   327.070433   1289.547468   2603.408063   3539.320173
0.231250   329.479429   1311.469298   2630.901782   3494.719031
0.237500   339.705976   1374.033403   2627.857225   3430.031917
0.243750   341.237414   1442.914668   2638.225687   3449.839086
0.250000   339.760298   1459.960594   2641.738065   3455.326197
0.256250   342.397046   1528.202269   2637.727026   3536.124128
0.262500   368.076435   1684.140041   2517.608562   3725.980236
0.268750   368.667778   1802.634211   2418.668016   3751.173363
0.275000   362.169746   1869.269684   2428.791951   3710.106666
0.281250   353.181953   1918.197783   2452.249592   3690.855445
0.287500   337.559131   1945.502234   2449.595186   3776.692890
0.293750   323.742267   2023.105498   2372.502872   3796.694992
0.300000   314.318301   2080.882153   2421.977511   3876.644257
0.306250   283.140274   2095.957121   2491.528979   3914.472987
0.312500   266.890065   2144.690427   2484.945050   3917.619727
0.318750   262.217751   2091.520093   2471.168281   3921.837564
0.325000   249.935504   2022.795410   2468.935947   3901.105467
0.331250   243.780127   2075.094371   2494.975656   3905.096514
0.337500   250.991714   2092.853655   2514.883945   3936.365708
0.343750   255.144718   2075.468310   2494.539953   3967.562118
0.350000   261.077187   2043.694748   2505.326000   3967.860070
0.356250   259.033713   2008.965967   2518.214380   3960.840944
0.362500   260.647058   1980.966563   2514.704642   3994.129166
0.368750   262.703478   1854.885470   2493.883659   4111.804218
0.375000   255.451879   1805.534014   2485.221635   3891.077029
0.381250   224.436481   1758.134827   2627.382903   3940.778842
0.387500   184.286007   1746.111525   2779.904957   4007.891370
0.393750   1878.059513   2837.597616   4013.257949   4674.157152
0.400000   1772.944404   2827.132797   3931.695818   4624.956049
0.406250   1713.401573   2685.082137   3941.875649   4754.132881
0.412500   1768.536021   2686.652417   3897.351500   4702.045254
0.418750   451.123674   1855.200350   2765.259548   3981.744264
0.425000   1643.794488   2778.824893   4085.932399   4783.682724
0.431250   1549.572941   2787.630390   4109.916358   4745.377169
0.437500   1632.386615   2841.450769   4058.500483   4838.035484
0.443750   1746.710315   2804.499475   4231.043402   4711.117857
0.450000   1557.939368   2564.076181   3395.047467   4336.006635
0.456250   1378.496335   2185.368098   2738.204554   4196.665933
0.462500   1373.458703   1751.904457   2476.753826   3771.858198
0.468750   1367.924520   2469.414729   3671.102168   4595.746668
0.475000   1379.361817   2172.295802   3442.852984   4343.624800
0.481250   1506.325354   2279.196276   3041.314268   4216.114922
0.487500   1580.680412   2212.257611   2757.002761   4154.417715
0.493750   1644.355634   2058.248429   3399.518975   4190.622492
0.500000   1588.907596   1994.356261   3599.184400   4353.988192
0.506250   1478.023592   1592.043441   3568.937898   4268.920912
0.512500   1570.984189   2031.395908   3630.828850   4401.841407
0.518750   1573.518824   2930.218644   --undefined--   --undefined--
0.525000   1366.299224   2701.133867   4316.323093   4869.524532
0.531250   505.729105   1274.076450   2645.876163   3849.958758
0.537500   518.612298   1222.545711   2651.338723   3844.950922
0.543750   533.543828   1218.565759   2627.045206   3803.573390
0.550000   63.405814   1234.891509   2309.181063   3800.879068
0.556250   1233.039432   2292.157047   3680.127267   4411.014546
0.562500   297.551155   1080.814123   2273.076886   3598.776091
0.568750   377.609747   1030.227197   2236.129257   3467.696936
0.575000   421.566438   1009.174737   2325.347451   3519.073505
0.581250   437.763270   989.869943   2376.749179   3469.133363
0.587500   446.072966   967.449693   2423.220903   3464.921162
0.593750   448.707895   950.468866   2470.744690   3521.300377
0.600000   442.008695   927.226865   2511.821844   3530.270107
0.606250   429.759680   887.944630   2528.586183   3516.138016
0.612500   418.657971   844.231324   2545.610823   3513.020821
0.618750   408.794558   811.924272   2571.439141   3522.044586
0.625000   402.958562   793.092894   2592.900738   3534.763992
0.631250   420.918143   756.579921   2607.050662   3540.762231
0.637500   411.978267   726.643898   2609.681690   3544.489497
0.643750   390.922013   702.265760   2604.857689   3538.185021
0.650000   377.097729   662.286939   2609.828568   3551.995406
0.656250   363.949043   619.149430   2629.450986   3580.907755
0.662500   343.744027   666.086639   2591.845304   3573.063914
0.668750   321.777156   703.680685   2570.388774   3579.309466
0.675000   303.568222   715.603182   2546.078988   3610.500810
0.681250   310.362676   677.387885   2439.158110   3613.025416
0.687500   294.506193   906.944404   2565.157547   3720.769418
0.693750   265.823534   1310.995300   2626.459241   3746.927162
0.700000   270.053545   1488.600145   2781.533088   3907.540250
0.706250   246.609776   1539.133941   2805.519312   3898.695978
0.712500   144.399597   1699.496289   2830.583370   3967.774302
0.718750   1343.237444   2467.457344   3779.630032   4269.491059
0.725000   1460.003766   2700.486123   --undefined--   --undefined--
0.731250   479.543560   1706.340581   2841.409196   4056.640546
0.737500   762.821657   1819.814103   2853.127750   4077.084332
0.743750   824.900123   1824.719406   2948.325030   4041.282138
0.750000   745.842856   1674.503897   2987.871340   3974.128066
0.756250   785.125349   1585.678805   2813.123105   3822.861093
0.762500   517.748415   1460.642205   2731.758081   3971.990726
0.768750   1484.573548   2633.966368   3996.591351   4703.175199
0.775000   1450.142112   2552.037565   3985.915555   4620.962850
0.781250   1410.306219   2646.501986   3477.574987   4152.939752
0.787500   1424.976081   2872.170105   2905.416005   4119.201852
0.793750   1520.464478   2596.588028   3465.706600   4148.399435
0.800000   1439.557495   2604.596266   3673.989074   4681.209529
0.806250   1522.359867   2511.544884   3718.829611   4550.627331
0.812500   1604.648517   2574.206948   3967.422636   4694.938915
0.818750   1533.830436   2540.138147   3762.192688   4725.339207
0.825000   1475.754005   2688.013563   3688.341480   4749.626003
0.831250   1375.036529   2329.174623   2915.288505   4465.593165
0.837500   1294.218817   2182.472132   3166.780348   4291.256656
0.843750   1337.690569   2167.221142   3112.036806   4244.762438
0.850000   904.500026   2061.827021   2813.553142   4135.351042
0.856250   597.057226   2133.694855   2734.290498   4064.347684
0.862500   1133.024825   2045.608411   2706.907016   4083.455624
0.868750   1457.644094   1778.837052   2807.351828   3809.894455
0.875000   1109.049099   2074.620334   2929.933808   3906.469923
0.881250   882.201389   1926.493230   2831.777506   3913.319170
0.887500   769.387678   1760.447987   2664.100532   3836.815554
0.893750   609.917026   1866.483139   2683.001684   3878.388532
0.900000   539.058707   1862.309730   2724.798359   3945.660680
0.906250   514.612675   1789.458483   2662.083627   3909.503834
0.912500   256.700566   1712.818722   2640.701292   3904.444530
0.918750   272.748630   1672.673581   2629.995741   3979.325983
0.925000   322.662104   1648.557104   2662.927478   4177.854535
0.931250   351.029151   1686.156386   2598.525353   3937.250599
0.937500   382.995487   1688.316121   2576.858315   3932.214941
0.943750   404.615890   1674.321568   2595.934619   3952.556764
0.950000   415.313644   1677.928806   2604.427931   4055.099162
0.956250   402.550268   1669.392156   2630.058139   4010.452281
0.962500   392.453439   1660.244031   2615.773478   4165.517076
0.968750   388.218070   1643.234045   2562.671939   4120.651660
0.975000   366.482995   1587.266578   2499.290193   3986.713357
0.981250   366.434103   1587.407479   2535.189119   3750.176402
0.987500   388.049824   1560.618070   2599.053447   3935.376159
0.993750   419.496780   1477.415520   2572.063937   3811.907801
1.000000   421.469817   1451.487080   2590.786760   3804.691850
1.006250   412.325401   1422.268631   2621.104137   3784.549312
