Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1029.731374   1784.939958   3323.441931   3901.799194
0.031250   1578.781486   2931.829414   3507.794772   4410.770382
0.037500   470.833222   1604.077750   2862.686196   3992.548611
0.043750   989.592968   2136.867614   2879.176134   4170.550314
0.050000   1204.457344   2474.866104   3230.851805   4578.028271
0.056250   641.652998   1323.164116   2514.043160   3390.486154
0.062500   861.239703   1734.627028   2601.277123   3575.675462
0.068750   1420.110566   2433.927095   3464.142340   4547.065683
0.075000   1329.077631   2465.843099   3275.677801   4408.551160
0.081250   795.117878   1616.713496   2846.950689   3404.970384
0.087500   865.075318   1665.566955   2956.712643   3612.782719
0.093750   841.104920   1783.234847   2893.366910   3311.114037
0.100000   905.416968   1958.480935   3157.693099   3590.445163
0.106250   855.627193   1703.016346   2722.320946   3542.833459
0.112500   908.569290   1730.710023   2717.422048   3568.286708
0.118750   963.757300   1509.748660   2699.318413   3566.209621
0.125000   939.440582   1373.329723   2590.889261   3530.786227
0.131250   804.733563   1814.676244   2530.551610   3605.748615
0.137500   810.748505   1741.481629   2784.879301   3660.964465
0.143750   812.674776   1811.465307   3037.279272   3299.969371
0.150000   746.550150   1764.349585   2851.848366   3441.940613
0.156250   919.265569   1691.512658   2787.197801   3466.565066
0.162500   1265.191687   1303.382023   2802.852666   3136.768871
0.168750   1508.358629   1737.908428   3146.221435   4181.282267
0.175000   803.687716   1882.160597   3170.470003   3596.737531
0.181250   1134.675684   2100.541256   3008.543027   4066.503954
0.187500   862.416349   1835.916195   2877.052278   4079.862741
0.193750   828.411767   1942.885103   3063.549943   4343.761236
0.200000   785.990780   1358.994883   2554.121393   3394.596150
0.206250   1164.526339   2379.031180   3272.443206   4477.329202
0.212500   893.712256   1717.585121   2455.790224   3445.367670
0.218750   679.984113   1572.734466   2594.640793   3566.524123
0.225000   726.113800   1666.437882   2635.435638   3581.310461
0.231250   483.577122   1825.080362   2705.209858   3634.252091
0.237500   1490.134776   2509.064876   3096.365000   4279.973324
0.243750   1523.152689   2662.087856   3425.909385   4564.198337
0.250000   144.707474   1590.301213   2677.492195   3461.003243
0.256250   822.335602   1263.973335   2614.459463   3579.291968
0.262500   1131.438314   2274.293130   3199.957955   4241.365362
0.268750   1123.619006   2267.298946   3128.063526   4359.593750
0.275000   1158.585021   2139.952339   3018.677077   4382.717074
0.281250   814.250709   1712.140695   2827.362982   3478.655234
0.287500   828.879142   1611.862873   2698.781215   3630.524775
0.293750   795.835897   1701.105812   2823.141013   3782.090434
0.300000   841.714069   1879.435966   3018.831850   3757.844429
0.306250   962.633958   1891.485209   3109.037733   3972.516527
0.312500   1043.072590   1782.279881   3125.542671   4072.138141
0.318750   1016.478314   2009.334808   3147.853758   4202.751513
0.325000   871.169073   1960.019873   3071.605322   4238.793421
0.331250   1238.976806   2169.891707   3188.317504   4337.399803
0.337500   894.479340   1544.804741   2641.094596   3262.330344
0.343750   862.486776   1732.300872   2852.116583   3349.951184
0.350000   899.080491   1876.339431   2883.298249   3767.909815
0.356250   987.870087   1860.009407   2864.982025   4016.323030
0.362500   1005.487978   1816.640128   2883.806820   4061.107371
0.368750   1030.729409   2174.901692   3058.821472   4149.927508
0.375000   788.572023   1842.154647   2784.466328   3808.664021
0.381250   678.145565   1818.112841   2759.133308   3694.027836
0.387500   795.831292   1761.194303   2726.068579   3713.685595
0.393750   897.521955   1844.531667   2627.847960   3584.525753
0.400000   825.986770   1968.847271   2838.256040   3936.788513
0.406250   788.218491   1797.436898   2819.681805   3943.805077
0.412500   788.236280   1764.184440   2681.615489   3479.792593
0.418750   816.740394   1717.589949   2752.803870   3564.657714
0.425000   872.482008   1824.227483   2942.667340   3515.774902
0.431250   803.164069   1666.099375   2669.811565   3578.617954
0.437500   725.102217   1720.764182   2722.802852   3591.567351
0.443750   756.782655   1814.353240   2819.483252   3666.841949
0.450000   884.886715   1698.601657   2761.002207   3465.837373
0.456250   1014.144374   1613.734386   2699.501466   3327.635112
0.462500   982.501092   1565.627077   2680.248648   3318.924004
0.468750   837.111607   1710.023105   2755.703396   3230.928812
0.475000   817.686221   2032.417351   3118.647148   3371.148810
0.481250   859.003469   1804.825274   3083.834460   3894.088538
0.487500   823.224144   1687.175106   3089.265391   3405.064570
0.493750   712.779537   1684.625510   2942.375326   3313.369884
0.500000   653.166443   1631.182390   2862.459043   3462.665738
0.506250   919.315445   1485.972201   3066.216978   3078.215428
0.512500   1064.707878   1298.999769   2526.059538   3334.023273
0.518750   715.787443   1099.755515   2509.972828   3421.611544
0.525000   833.995732   1289.305525   2563.609969   3443.628497
0.531250   862.863091   1648.062608   2735.664234   3498.991741
0.537500   991.089627   1709.514674   2939.207224   3592.919497
0.543750   883.391555   1679.271189   2823.982103   3481.577057
0.550000   881.974500   1700.342684   2786.673254   3314.762258
0.556250   918.808829   1770.483086   2747.098251   3265.989942
0.562500   824.538478   1707.329529   3008.503564   3211.665643
0.568750   808.463472   1705.943762   2801.267061   3451.298238
0.575000   775.702214   1760.241203   2829.337707   3543.109116
0.581250   754.864102   1862.489639   3029.313635   3812.759881
0.587500   800.441634   1829.426233   2880.249617   3579.578304
0.593750   685.708006   1715.856439   2744.057962   3418.251715
0.600000   639.756465   1587.499020   2634.489211   3421.171938
0.606250   972.913653   1646.499926   2685.709318   3428.572517
0.612500   1259.634343   2208.429443   3167.793358   4354.988986
0.618750   903.414826   1600.852487   2681.985795   3517.516311
0.625000   1006.239456   1658.146366   2780.853610   3539.710311
0.631250   1062.610072   1855.788272   2856.078731   3157.105183
0.637500   786.629490   1869.001082   2896.327075   3343.057998
0.643750   746.168215   1729.558496   2848.674410   3378.873460
0.650000   731.981424   1535.858238   2524.602420   3405.523492
0.656250   510.168704   1513.220543   2729.486241   3435.297541
0.662500   821.958384   1510.066360   2758.777847   3363.043481
0.668750   1255.113745   1293.324107   2662.099845   3362.984179
0.675000   1210.500227   2396.888963   3060.380483   4439.247869
0.681250   761.492953   1875.268189   2794.024255   3339.367986
0.687500   679.582830   1711.539818   2738.239008   3313.349927
0.693750   617.434123   1628.028375   2984.473061   3455.307484
0.700000   724.740471   1554.163806   2913.403357   3437.771997
0.706250   1199.844137   2447.088742   3378.110731   4213.409318
0.712500   889.164380   1252.903971   2536.915808   3596.243961
0.718750   936.810814   1437.349522   2697.419389   3733.401007
0.725000   735.616468   1527.791451   2757.696943   3727.238608
0.731250   796.404772   2234.084913   2302.655317   3424.488899
0.737500   788.539280   2207.309824   2693.277675   4411.346737
0.743750   816.394764   2207.420423   2682.578465   4390.628832
0.750000   676.428159   1667.795753   2469.862021   3349.021318
0.756250   682.534786   1693.993819   2519.530876   3460.330759
0.762500   622.783219   1758.351245   2567.089442   3487.331884
0.768750   691.121451   1729.724170   2692.395633   3320.000906
0.775000   1129.698091   2307.681336   2931.110456   4287.593833
0.781250   1036.400079   2378.442769   3097.847518   4416.282276
0.787500   1118.119574   2373.383856   3248.003026   4489.366412
0.793750   830.319677   1672.954407   3138.926790   3716.293684
0.800000   1060.043772   2016.969920   3090.998013   4381.496696
0.806250   413.562073   998.730740   2578.909414   3232.415720
0.812500   400.947160   1090.074462   2700.468045   3417.805913
0.818750   390.508588   1176.046099   2576.260386   3467.148594
0.825000   377.882842   1259.565384   2434.744207   3402.914783
0.831250   400.446560   1400.695500   2462.502066   3456.968829
0.837500   411.350296   1533.980251   2460.568145   3493.335061
0.843750   390.540929   1671.781054   2474.651517   3511.305805
0.850000   384.163889   1988.211735   2501.473016   3564.954137
0.856250   370.840162   2215.454593   2537.292199   3500.741905
0.862500   338.872638   2249.572073   2684.534090   3468.431853
0.868750   300.430925   2221.713611   2698.886746   3454.976252
