Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   998.799944   2064.495962   3052.650925   3641.732384
0.031250   813.001289   2073.000235   2992.754159   3674.250459
0.037500   836.696811   2035.300111   2989.509143   3662.807789
0.043750   780.802686   1886.381159   2921.552299   3586.139940
0.050000   722.790802   1852.757270   2943.206506   3643.782494
0.056250   597.937937   1884.328554   2903.356777   3577.647606
0.062500   589.213256   1816.114383   2889.760811   3565.827761
0.068750   222.533038   1744.237369   3030.410599   3596.715081
0.075000   198.330390   1769.222292   3010.711093   3611.784183
0.081250   341.394534   1684.134740   2940.965912   3456.152377
0.087500   1079.277202   1746.314817   3017.895644   3560.070937
0.093750   121.161737   1648.398497   3121.896981   3676.373534
0.100000   1042.609276   1770.184121   3051.183501   3909.321695
0.106250   912.899123   1953.698650   2929.421528   3732.676094
0.112500   564.094629   1736.448624   2886.482196   3649.392493
0.118750   300.929870   1530.213787   2922.286534   3444.254128
0.125000   895.069146   1584.361938   2930.895852   3654.779779
0.131250   637.765517   1652.422985   3087.040068   3529.987290
0.137500   406.152742   1661.379506   2832.056814   3389.356950
0.143750   490.470687   1675.756545   2997.613338   3396.329000
0.150000   582.760999   1764.894478   3111.703423   3746.631263
0.156250   956.131234   1841.091525   3360.276808   3468.276610
0.162500   718.248851   1746.497324   2981.478169   3519.863766
0.168750   608.933530   1754.937809   2977.333245   3610.683042
0.175000   593.948422   1832.712131   3018.782376   3642.428573
0.181250   777.618675   1824.483780   3000.646394   3819.369437
0.187500   446.139233   1814.705083   2961.149428   3691.011263
0.193750   476.981556   1695.160019   3025.016475   3664.380762
0.200000   1599.076888   3001.487532   --undefined--   --undefined--
0.206250   826.303809   1672.600385   2960.396381   3684.845488
0.212500   1156.533073   1606.471856   2998.740462   3630.671466
0.218750   1395.927924   1839.460168   3025.292110   3819.058656
0.225000   1134.975080   1912.504654   3037.620897   3861.986216
0.231250   696.526610   1838.873590   2945.034418   3859.581886
0.237500   918.968036   1708.371579   2887.828169   3877.406198
0.243750   1387.281888   1940.060674   2867.116176   3794.476561
0.250000   1149.525858   2470.646900   3173.732762   3960.991952
0.256250   1109.471813   2262.284439   3151.713551   4157.384837
0.262500   1188.516311   2212.122009   3131.980981   4153.833415
0.268750   1431.730284   2461.482320   3204.805359   4361.063109
0.275000   1539.779335   2627.536996   3607.741641   4344.917886
0.281250   1265.540410   1840.526351   3034.682641   4313.060557
0.287500   1483.646671   2133.667396   2964.450049   3951.248884
0.293750   1347.745557   2231.141327   2978.334058   3945.190993
0.300000   1315.803990   2220.846513   2852.698453   3990.746632
0.306250   1457.501533   2274.048445   2842.932482   4066.472388
0.312500   1341.671224   2279.590315   2909.946861   4055.746870
0.318750   1427.110762   2258.092268   2915.540968   4100.234776
