Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   899.578626   1851.331020   2831.437363   3580.196588
0.031250   882.113402   1948.054052   2694.495162   3607.523423
0.037500   916.200481   2025.303590   2800.649617   3737.281383
0.043750   918.949309   2033.487681   2938.535361   3872.889295
0.050000   949.602648   2049.959451   2887.517424   3810.045580
0.056250   944.728213   2039.629224   2752.559821   3730.567400
0.062500   916.157895   2043.815831   2942.572502   3685.307602
0.068750   1000.584424   2205.346959   3363.774629   3406.410698
0.075000   1205.810504   2238.562891   3199.251537   4253.172217
0.081250   1002.728839   2187.130400   2872.355468   3775.427686
0.087500   1086.078051   2307.872036   3410.772548   4336.981568
0.093750   1169.082357   2146.755836   2703.923986   3765.372565
0.100000   1060.211938   1808.716403   2692.156634   3909.549766
0.106250   1037.414716   1863.426815   2678.894415   3738.309345
0.112500   1040.445104   1985.068743   2751.900624   3706.372055
0.118750   1160.758967   1876.852757   2779.574549   3805.482518
0.125000   1143.835863   2011.470318   2642.265298   3858.138566
0.131250   1028.319080   2082.382123   2937.861120   3655.453811
0.137500   976.431954   2091.280541   2899.387638   3582.977755
0.143750   1032.458186   2085.158592   3281.975732   3353.138727
0.150000   1092.439517   2058.534696   3220.946622   3586.181213
0.156250   1032.531504   1986.749594   3072.108479   3840.904303
0.162500   924.006669   2042.483676   3051.259516   3967.298723
0.168750   1046.505852   2009.137199   2820.656558   3897.161626
0.175000   928.895314   1855.047706   2754.198167   3829.151665
0.181250   1087.836282   1973.121106   2874.086298   3761.465528
0.187500   1107.919460   1953.400562   2954.334524   3816.927407
0.193750   1140.133089   2007.249537   3095.874651   4151.011040
0.200000   1225.462738   2298.539787   3126.871590   4270.420217
0.206250   986.999418   2123.781577   2786.389361   3728.431064
0.212500   923.048883   1883.010010   2794.039941   3675.636925
0.218750   1023.335483   1822.270752   2865.673124   3778.331443
0.225000   1009.342184   2036.659073   2889.584776   3948.530647
0.231250   925.680569   2010.671698   2878.798472   3920.517763
0.237500   949.396003   1721.307196   2868.917441   3888.464439
0.243750   999.014379   1925.791484   2847.536530   3773.906473
0.250000   1000.270368   2134.889579   3085.551894   3684.344855
0.256250   1060.262533   2049.076471   2982.832269   3610.657732
0.262500   1116.012816   1776.000989   2887.902835   3634.279789
0.268750   1083.183482   2057.001149   2909.601891   3501.801672
0.275000   1180.843223   2091.308250   2457.826331   3526.590325
0.281250   1089.101452   2103.313675   2778.564469   3740.947862
0.287500   1091.702249   2006.686938   2771.476992   3664.469082
0.293750   1057.686754   2014.618880   2829.013939   3882.860474
0.300000   971.831925   1954.936713   2883.645344   3900.829121
0.306250   928.286960   1926.145280   2956.827999   3646.531296
0.312500   921.889392   1921.629702   2790.465990   3771.126814
0.318750   939.706416   1832.568661   2731.879870   3674.158722
0.325000   1066.025567   2106.225516   2606.753921   3536.536067
0.331250   1065.316975   2118.710164   2743.537012   3761.676752
0.337500   1005.869616   2130.571468   3218.341967   3878.597864
0.343750   1146.590256   2273.367293   3314.111850   4319.975341
0.350000   1176.587563   2045.358951   2789.295033   3585.871360
0.356250   1232.331170   2028.913135   3200.987124   3719.909464
0.362500   1103.343469   1895.488087   2714.881375   3814.973363
0.368750   1158.806643   1805.889169   2759.663320   3719.059368
0.375000   1043.304592   1988.807498   2834.397420   3683.568436
0.381250   1049.856774   2086.854308   2939.954825   3916.264563
0.387500   964.045132   2046.562572   2798.738052   3969.759371
0.393750   1082.688148   2232.919799   2591.652955   3295.281231
0.400000   1087.053772   2447.842811   2716.906940   3467.352371
0.406250   1128.376057   2283.052859   3139.480159   3334.215348
0.412500   1085.524404   2177.764862   3202.243779   4440.143905
0.418750   1153.764886   2368.671820   3161.779263   4305.036134
0.425000   1076.568643   2055.066904   3115.176163   4050.898089
0.431250   995.354531   2026.958708   3246.093376   4108.217892
0.437500   910.267232   2015.136277   3302.852882   4136.904327
0.443750   843.787292   1297.337167   3281.041547   4192.833927
0.450000   836.507380   959.571582   3270.946869   4216.173230
0.456250   841.612830   1966.530661   3348.637613   4267.088190
0.462500   861.042259   2011.447952   3342.653894   4351.517450
0.468750   946.722698   1351.789155   2042.329012   4095.623530
0.475000   636.954448   1167.324726   2042.951926   3992.594539
0.481250   1018.418512   1124.118518   2043.080870   3999.934698
0.487500   1077.123851   1078.543405   2029.147049   4074.529857
0.493750   1147.164518   1987.633604   3879.321116   4244.022034
0.500000   1211.631404   2041.566742   3374.262980   4296.990391
0.506250   1153.724269   2045.357669   3106.268802   3790.874216
0.512500   1109.316957   2052.529877   2922.272408   3894.343903
0.518750   1130.018639   2050.425327   2858.145997   3753.448103
0.525000   1145.720512   2052.940223   2730.161731   3491.608428
0.531250   1284.672536   1880.888009   2699.525552   3515.688150
0.537500   1604.664443   2343.725687   3350.961898   4395.435629
0.543750   1588.215853   2394.028480   3316.385663   4238.675908
0.550000   1555.028672   2276.908952   3180.900230   3942.768109
0.556250   471.035699   1967.852258   2780.811193   3614.697288
0.562500   473.909726   1852.130719   2755.148729   3564.455579
0.568750   461.120347   1912.575104   2857.576315   3672.743495
0.575000   377.076973   1902.725377   2699.291081   3518.644786
0.581250   326.184805   1930.883833   2714.736278   3569.824084
0.587500   332.811968   1977.631572   2704.271186   3622.742966
0.593750   337.077449   2044.324244   2737.939397   3635.081448
0.600000   331.436159   2095.158664   2778.982709   3613.796488
0.606250   340.638319   2108.815283   2796.832704   3604.592393
0.612500   344.066699   2127.225050   2841.744595   3615.720633
0.618750   315.550632   2089.525532   2896.175932   3462.370721
0.625000   300.620497   2093.057357   2904.872425   3378.001647
0.631250   292.390123   2126.629834   2826.350773   3545.031358
0.637500   288.766523   2187.087816   2818.067188   3540.386641
0.643750   299.000960   2201.975257   2855.491626   3536.906602
0.650000   314.786013   2160.336808   2860.981275   3554.941654
0.656250   318.053113   2104.760159   2854.753521   3510.493246
0.662500   319.756666   2112.242331   2887.239118   3523.620194
