Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026154   753.641474   1818.234127   2747.980254   4030.162781
0.032404   527.366021   1336.785752   2425.870101   3771.534905
0.038654   1254.808034   2369.050359   3646.417491   4604.762280
0.044904   1113.266272   2211.053897   3328.632997   3819.244991
0.051154   1053.088224   2032.179230   3095.787672   4152.517408
0.057404   1079.574675   1998.856835   2938.721929   4020.232977
0.063654   760.289634   2293.735429   2893.261359   3957.223112
0.069904   867.840267   2110.307797   3272.249585   4523.753720
0.076154   986.103896   2158.576401   3363.804896   4019.257384
0.082404   1058.678041   2189.835316   3246.049140   4037.524303
0.088654   1037.408091   2137.224400   2989.997382   4004.465136
0.094904   951.426783   2162.610972   2946.870170   3958.271157
0.101154   995.451873   2072.026697   3000.167180   3987.764191
0.107404   1016.549293   2296.478084   3041.831868   4010.182455
0.113654   1048.378530   2275.672237   3038.750892   4023.683180
0.119904   1070.410839   2339.152115   2988.193281   4221.678941
0.126154   1240.750410   2271.813777   3498.453558   4474.946391
0.132404   1226.739414   2477.419320   3424.132992   4370.258149
0.138654   1127.274014   2233.572368   3191.677157   3911.646275
0.144904   1110.603856   2010.623452   3406.975777   4349.153606
0.151154   1235.683215   2037.629930   3402.732194   4540.865176
0.157404   1189.196076   2269.006115   3433.239862   4345.913757
0.163654   1091.504273   2123.011418   3049.768500   3957.297072
0.169904   1066.153116   2176.019292   3011.361332   4000.995313
0.176154   1059.803560   2266.715399   3003.208635   4048.294350
0.182404   1137.366108   2156.156512   3044.539435   3946.830374
0.188654   1127.146015   2106.446057   3072.984267   3914.433487
0.194904   1064.619027   2082.840524   3120.840765   4029.863315
0.201154   1155.576983   1979.963308   3065.548964   4229.603507
0.207404   1256.109221   2003.773276   3007.391013   4204.348794
0.213654   1176.134802   2387.028014   3021.022497   3888.450516
0.219904   1151.134438   2164.303485   3030.900341   3886.883409
0.226154   1235.257693   2105.888636   3082.982513   3969.850772
0.232404   1088.395950   1921.556123   2957.643190   4216.494286
0.238654   1151.951078   1872.013343   2926.781161   4153.258564
0.244904   1558.019593   1800.081249   3004.426117   4023.885375
0.251154   1371.755989   1952.831313   3528.595805   4288.674303
0.257404   1257.155033   2127.549664   3163.018331   3782.734709
0.263654   1208.059205   1942.394078   2906.098904   3788.045366
0.269904   1129.056324   2209.758246   3151.626206   4443.382815
0.276154   1088.150144   2180.566271   3046.412341   4393.896106
0.282404   1098.729302   2251.819673   2949.282817   4121.172809
0.288654   1121.483164   2255.705685   3040.145663   3970.537968
0.294904   1424.149794   2625.456401   3724.306083   4610.557054
0.301154   1406.357658   2309.445483   2615.595309   3911.262887
0.307404   1203.245031   2296.624211   3484.676487   3776.004633
0.313654   1071.526967   2162.220526   3373.209091   3819.045188
0.319904   1033.247461   2188.036089   3221.253156   3911.868458
0.326154   1090.634551   2173.211241   3085.407917   3838.987773
0.332404   1111.108840   2203.980011   3056.584191   3943.679148
0.338654   1114.907983   2233.878436   3283.336154   3702.234694
0.344904   1081.731449   2009.213149   2997.883491   3921.347794
0.351154   1134.726426   2144.961595   3087.135723   4027.686990
0.357404   1108.589435   2099.437486   3075.468076   4008.538519
0.363654   1144.750100   2430.172969   2822.670085   4031.791407
0.369904   1154.684973   2473.951978   3550.043594   4844.398136
0.376154   1599.292023   2517.659694   3517.047035   4462.575132
0.382404   1713.625243   2497.940037   3480.462563   4372.049924
0.388654   1729.651553   2400.992656   3510.197019   4299.158484
0.394904   1518.052252   2386.333027   2946.013672   3848.282654
0.401154   1506.994805   2607.494882   3073.215700   3775.102056
0.407404   1582.621419   2628.370387   3380.462485   3797.493852
0.413654   1712.467491   2694.248017   3579.864117   4356.328016
0.419904   1737.766336   2763.125672   3594.114619   4323.939718
0.426154   1593.277337   2785.246443   3226.775072   3878.558965
0.432404   1602.356956   2802.544696   3553.691070   4313.557478
0.438654   382.638866   1696.273818   2624.008871   3658.752277
0.444904   240.953139   1697.280903   2544.327000   3719.032118
0.451154   319.558271   1710.142767   2236.253732   3802.731586
0.457404   357.426851   1749.461405   2264.870187   3365.897388
0.463654   354.936056   1829.075913   2315.599406   3299.433757
0.469904   345.262669   1893.185325   2356.383654   3264.719755
0.476154   327.257451   1913.121855   2349.029358   3139.789435
0.482404   309.831641   1925.845113   2351.926385   3059.859426
0.488654   298.294538   2022.292754   2360.998910   3170.546302
0.494904   289.501738   2073.731326   2421.556985   3033.374827
0.501154   280.915285   2087.597002   2438.908788   3259.845375
0.507404   280.361479   2104.232696   2495.974770   3045.678728
0.513654   281.860016   2127.211695   2348.077246   3304.011904
0.519904   276.489340   2048.359016   2273.338270   3311.178947
0.526154   273.450421   2068.743958   2322.012735   3339.302251
0.532404   276.393755   2075.764864   2363.908955   3354.981235
0.538654   272.511074   2028.401399   2387.596042   3622.339203
