Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   667.744207   1789.072753   3004.940277   3532.002782
0.031250   184.569129   1620.094782   2986.511763   3717.315134
0.037500   1541.562612   2980.978705   --undefined--   --undefined--
0.043750   1627.370276   2963.522634   2992.725394   4868.691045
0.050000   1583.457542   2949.446905   2996.151459   4730.452823
0.056250   1474.284854   2941.176255   3001.657824   4024.511488
0.062500   1565.692091   2953.185857   3005.469297   4054.478375
0.068750   1501.710735   2968.849231   3025.828107   4200.118393
0.075000   1522.332166   2969.771210   3038.515012   4020.571983
0.081250   1400.810635   2966.013187   3031.951088   3920.963393
0.087500   1338.409035   2964.979978   3030.293330   3933.595294
0.093750   1467.582600   2977.092941   3049.209601   3997.372594
0.100000   1488.848651   2983.153417   3061.132736   4340.266962
0.106250   1469.507184   2989.191641   3075.936380   3972.032804
0.112500   1388.064264   3026.003298   3147.750370   3367.423503
0.118750   1238.009694   2999.008050   3080.782043   3351.560979
0.125000   1245.695892   2986.822978   3072.970899   3363.589838
0.131250   1411.498327   2979.343277   3053.887725   3365.140263
0.137500   1515.955505   2982.787035   3005.892230   3369.593002
0.143750   1438.883025   2988.211828   3019.794926   3379.963112
0.150000   1221.967286   2988.624784   3036.241936   3397.205680
0.156250   1306.028734   2990.946409   3043.407269   3382.402759
0.162500   1448.226134   2990.594994   3093.060970   3373.700053
0.168750   1575.008208   2992.777868   3246.282605   3348.802666
0.175000   1608.338497   2996.022140   3342.826766   3358.632694
0.181250   1461.284539   2997.568342   --undefined--   --undefined--
0.187500   1370.172615   2993.109555   3143.048440   3761.619903
0.193750   1501.585453   2989.446827   3066.503867   3814.347131
0.200000   1417.592536   2986.928866   3066.924564   3650.635121
0.206250   1420.131045   2983.640089   3030.758574   3826.193599
0.212500   1321.118120   2969.010495   2991.907684   3847.010832
0.218750   1368.898261   2989.806810   3039.225833   3713.487759
0.225000   1446.157456   2996.429892   3091.366203   3807.850284
0.231250   1507.296820   2993.247918   3106.604106   3748.432390
0.237500   1432.296590   2567.723947   2990.805427   4004.230328
0.243750   1452.660598   2473.464865   2991.380659   4052.185275
0.250000   1626.341272   2506.342993   2999.060135   3980.887250
0.256250   1571.381620   2697.650879   2987.645874   3921.514701
0.262500   1596.894609   2807.754693   3008.333160   3736.651150
0.268750   1467.708106   2502.083192   3101.646936   3939.883457
0.275000   1731.796153   3077.791185   --undefined--   --undefined--
0.281250   1666.294536   3119.192978   --undefined--   --undefined--
0.287500   1483.247710   3119.792120   --undefined--   --undefined--
0.293750   1249.466792   1512.286795   3135.398620   3370.750820
0.300000   1517.916878   1606.924395   3106.227038   3444.046971
0.306250   1518.396905   1609.151591   3087.765198   3458.395039
0.312500   1517.731071   1613.099421   3088.208267   3462.136181
0.318750   1515.188958   1689.343607   3087.093097   3460.657542
0.325000   1500.917586   2215.135135   3041.452792   3438.623282
0.331250   1504.839159   1797.731169   2940.917982   3338.684845
0.337500   1502.189308   1712.285753   2887.230872   3292.356911
0.343750   1495.889039   1741.577339   2877.913499   3228.549408
0.350000   1501.642118   1670.804102   2889.931131   3225.233977
0.356250   1488.411246   1738.806318   2965.516651   3233.331847
0.362500   1486.294349   1681.965583   2976.057550   3212.524293
0.368750   1492.993622   1803.085753   2916.129337   3150.447880
0.375000   1500.162147   1809.092203   2844.427557   3168.088054
0.381250   1499.754003   1680.227028   2823.529754   3151.936548
0.387500   1496.750988   1678.241026   2811.186951   3143.213956
0.393750   1490.900639   2074.277341   2747.435057   3093.815777
0.400000   1487.528811   2383.497127   2517.291875   3086.250509
0.406250   1474.792261   2375.456364   2493.586897   3137.745990
0.412500   1476.021453   2397.824851   2511.956980   3231.451639
0.418750   1483.630653   2435.767612   2636.231693   3545.500717
0.425000   1487.668413   2462.644655   2712.216671   4575.280407
0.431250   1492.011360   2491.017480   2885.417023   4569.024397
0.437500   1479.781652   2484.958361   2945.455202   4564.317765
0.443750   1484.612510   2489.379396   2773.178480   4561.098572
0.450000   1491.049031   2493.471662   2622.796158   4559.094217
0.456250   1497.114758   2501.514109   2641.879680   4577.782839
0.462500   1502.708262   2509.595471   2661.527909   4593.139302
0.468750   1513.218969   2501.069939   2671.527481   4598.166065
0.475000   950.108298   2496.053862   --undefined--   --undefined--
0.481250   695.593498   1812.355633   2494.188111   3140.946154
0.487500   691.773355   1537.461994   2513.497727   2857.767866
0.493750   692.859726   1143.617075   2519.206493   2699.345205
0.500000   691.658263   1756.637581   2520.921048   3845.267113
0.506250   653.682692   1553.599135   2521.419290   3869.291576
0.512500   576.530548   1580.669177   2490.333261   3560.059687
0.518750   578.633855   1657.850981   2570.402764   3379.923842
0.525000   582.682176   1638.034458   2852.519878   3196.970211
0.531250   722.035731   2054.683930   3139.769295   4020.063752
0.537500   539.477038   2058.806939   3164.178749   3973.900435
0.543750   402.161758   2097.343132   3248.436707   4024.764851
0.550000   371.960076   2084.015921   2133.638598   3261.386721
0.556250   317.301694   2120.780470   2130.021912   3278.755897
0.562500   315.832779   1854.041669   2265.192638   3285.670363
0.568750   321.852591   1647.668711   2348.258024   3315.015306
0.575000   321.731104   1726.052042   2350.137110   3323.896255
0.581250   323.294175   1803.846071   2355.308667   3319.965622
0.587500   322.231680   1848.703674   2384.838091   3339.706840
0.593750   320.598547   1865.863393   2385.380186   3354.817695
0.600000   321.188867   1882.547877   2384.157742   3362.304128
0.606250   315.062425   1959.295274   2369.033671   3378.119634
0.612500   312.412012   1987.786174   2370.000002   3390.460873
0.618750   312.235913   1994.905340   2388.441313   3405.874573
0.625000   315.625141   2007.197041   2408.337125   3404.975221
0.631250   319.653534   1993.776961   2386.638134   3413.128087
0.637500   322.405018   1960.375905   2393.594385   3429.290661
0.643750   322.885449   1951.785072   2406.408562   3424.048059
0.650000   325.741118   1941.036302   2420.213030   3430.429179
0.656250   328.389249   1913.657305   2415.508300   3412.840209
0.662500   325.845340   1895.873708   2457.496660   3500.474521
0.668750   318.542295   1884.935523   2596.767918   3584.982846
0.675000   327.796367   1884.803232   2694.463790   3611.026554
0.681250   322.683333   1927.399666   2754.141691   3530.658354
0.687500   317.635886   1938.450201   2665.745818   3476.846082
0.693750   318.872239   1935.864034   2551.995687   3520.217682
0.700000   322.939602   1940.272116   2670.303748   3562.277468
0.706250   331.991002   1984.831051   2784.596869   3636.368751
0.712500   351.247411   2011.280001   2800.551586   3607.722213
0.718750   1458.483229   2065.035848   3224.047992   4403.520453
0.725000   1741.310958   1989.256246   3217.066155   4308.445481
0.731250   1539.100241   2382.401730   3636.213063   4670.113438
0.737500   1517.508591   2528.771962   3555.653763   4623.089370
0.743750   171.457920   1623.179890   2517.241096   3574.658850
0.750000   332.859665   1828.428959   2599.420519   3534.097281
0.756250   178.569551   1642.501695   2532.512437   3486.153575
0.762500   151.920301   1612.251912   2501.047085   3579.798666
0.768750   403.917042   1580.238599   2449.716859   3603.072102
0.775000   439.034932   1632.152553   2393.721644   3798.316096
0.781250   424.414659   1676.840087   2483.051764   3823.927255
0.787500   306.294767   1529.652110   2603.349735   3774.896534
0.793750   476.665767   1521.796617   2451.937759   3619.238627
0.800000   480.644438   1537.207770   2249.376520   3456.860082
0.806250   519.658819   1484.677082   2212.184036   3373.178103
0.812500   565.322685   1550.348036   2241.179174   3344.048754
0.818750   616.149319   1554.138540   2143.345700   3321.621948
0.825000   624.393912   1511.315692   2176.979272   3265.780431
0.831250   647.644727   1729.476358   2047.657326   3250.724696
0.837500   659.042400   1745.880193   2190.677529   3251.689312
0.843750   647.188969   1579.959104   2214.797787   3234.970545
0.850000   659.438544   1606.572132   2172.886557   3235.921240
0.856250   666.269718   1506.485596   2218.722113   3223.306886
0.862500   669.281551   1515.029332   2171.149959   3218.510094
0.868750   694.078004   1483.582012   2117.622893   3226.690474
0.875000   694.207548   1358.947997   2177.937220   3258.819883
0.881250   667.795407   1276.723563   2118.215370   3327.955550
0.887500   650.280934   1253.658357   2096.343661   3314.546384
0.893750   638.864693   1245.722772   2094.507514   3317.861910
0.900000   633.552817   1259.478261   2104.604023   3312.453982
0.906250   630.571773   1252.784087   2104.055317   3336.545259
0.912500   631.011005   1215.459540   2094.331633   3360.623720
0.918750   628.388924   1194.681439   2084.639228   3407.484206
0.925000   623.202769   1227.388851   2097.864379   3406.519605
0.931250   606.837402   1206.280251   2141.369410   3425.519418
0.937500   583.163039   1187.820652   2202.103258   3389.258484
0.943750   559.203063   1175.432940   2221.057097   3332.621501
0.950000   549.081512   1171.929297   2298.252319   3445.376553
0.956250   566.207860   1151.524149   2337.515766   3415.815601
0.962500   604.539475   1263.051499   2506.291576   3400.425813
0.968750   618.340533   1347.264402   2426.735077   3357.418341
0.975000   663.117071   1297.276819   2442.138874   3484.569903
0.981250   647.122309   1248.607990   2376.342662   3434.784142
0.987500   610.208316   1332.404410   2570.582019   3461.022566
