Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   497.778957   1611.151563   2461.262530   3806.308201
0.031250   624.991101   1695.771031   2418.741398   3651.665846
0.037500   578.985437   1709.446846   2409.843053   3697.892837
0.043750   493.031690   1632.913756   2440.303470   3771.492061
0.050000   418.678304   1583.028952   2389.594962   3605.829869
0.056250   68.295773   1539.437472   2394.558580   3626.365683
0.062500   101.375214   1566.595720   2527.606381   3685.020415
0.068750   343.217828   1612.306786   2504.345324   3649.249337
0.075000   1667.260512   1755.285286   2473.793082   3779.276273
0.081250   496.464044   1630.211568   2370.119954   3494.763086
0.087500   579.244451   1620.021544   2282.069704   3478.165853
0.093750   707.410124   2221.288326   3130.859282   4184.096309
0.100000   696.913365   1658.202884   2613.391564   3674.960159
0.106250   292.158724   1488.472455   2481.616629   3428.460619
0.112500   140.055535   1533.444763   2442.828610   3402.815955
0.118750   458.080759   1508.741920   2488.669244   3457.703659
0.125000   700.688030   1575.446494   2403.313222   3482.805547
0.131250   618.386436   1676.532534   2416.384551   3626.259893
0.137500   437.676426   1587.574338   2482.892561   3482.582752
0.143750   478.180589   1460.919833   2577.842260   3514.236825
0.150000   792.031675   1402.987918   2499.526271   3552.605323
0.156250   1118.532907   1909.299163   2617.401328   3852.972797
0.162500   460.847379   1649.993495   2694.281416   4037.562951
0.168750   509.097998   1627.586605   2670.170731   4066.423599
0.175000   1560.318603   2419.552607   3443.578891   4722.112321
0.181250   1470.730729   2459.774859   3454.776451   4504.531894
0.187500   1433.661833   2519.808712   --undefined--   --undefined--
0.193750   1179.097318   1987.366540   2707.699564   4057.837977
0.200000   1388.199150   1960.648828   2766.924046   3853.288902
0.206250   1471.710764   2282.571983   --undefined--   --undefined--
0.212500   1220.629778   2162.148229   3282.088326   4242.620151
0.218750   1030.805022   1986.504123   3045.872740   4022.537940
0.225000   683.777454   1955.005144   3026.462689   4007.018297
0.231250   1070.366724   2023.116134   2933.569709   4011.972391
0.237500   1067.170657   2020.575745   2877.469104   3976.857777
0.243750   894.051773   2072.192186   2958.217981   4026.546576
0.250000   874.190882   2010.608995   3060.914480   3989.261143
0.256250   852.435331   1956.046224   2998.268544   3914.485422
0.262500   953.865451   1911.069607   2931.817032   3791.613304
0.268750   1148.392749   1988.908626   3014.994787   3820.281711
0.275000   1101.953577   1879.673036   2968.222215   3937.223367
0.281250   920.383285   1983.029281   3027.084050   4033.543131
0.287500   1045.561075   2186.575016   3427.164060   3768.734174
0.293750   1399.557888   2560.606505   --undefined--   --undefined--
0.300000   1177.328256   1869.504442   2659.220234   3765.359031
0.306250   937.543766   2296.680819   2539.330905   3780.472002
0.312500   1017.567194   2013.146945   3009.890579   3742.130841
0.318750   968.046941   1980.129423   3091.661522   3810.898793
0.325000   913.384451   2089.340314   2965.788672   3847.666901
0.331250   999.895251   2037.308562   2926.410236   3979.898460
0.337500   1027.455922   2090.049283   --undefined--   --undefined--
0.343750   1136.081312   1982.157306   3213.347085   3788.978020
0.350000   891.682248   1924.812818   2797.077239   3842.361659
0.356250   914.822476   1953.086236   2814.837616   3825.699791
0.362500   1034.466564   1949.441944   2884.706379   3962.583946
0.368750   1267.703068   2443.655292   --undefined--   --undefined--
0.375000   75.129929   1401.737464   2382.580120   3476.445737
0.381250   806.167529   2064.207984   3499.924805   3542.662650
0.387500   841.274629   1949.280115   3091.653419   3798.967048
0.393750   785.048815   1866.867973   2915.986869   3916.411880
0.400000   656.806645   1928.484105   2921.398717   3882.724204
0.406250   793.016377   1844.474074   2931.755989   3931.148218
0.412500   1428.110751   1548.501220   2554.520950   3788.009014
0.418750   144.559630   1604.766767   2516.697328   3723.521564
0.425000   1310.483536   2504.158070   --undefined--   --undefined--
0.431250   1216.342780   2610.920653   --undefined--   --undefined--
0.437500   182.388134   1307.477567   2518.147032   3630.820697
0.443750   1219.350014   2455.068484   --undefined--   --undefined--
0.450000   1322.687073   2652.182709   --undefined--   --undefined--
0.456250   1047.523055   2046.656544   2680.840403   3987.046135
0.462500   1037.801844   2088.555114   2597.705789   3755.403702
0.468750   715.347189   1722.748971   2821.290985   3676.326052
0.475000   307.392575   1923.862973   2298.035503   3495.914928
0.481250   577.374522   2069.167596   2940.484176   3732.038882
0.487500   660.745932   1985.081438   3243.136866   3803.653076
0.493750   720.388774   2034.641807   3261.994039   3790.700904
0.500000   901.434320   2083.608295   3150.639533   3793.137298
0.506250   346.170623   1413.624925   2393.151965   3268.359387
0.512500   363.240252   1358.665344   2308.697702   3306.243505
0.518750   360.692899   1373.608646   2322.775530   3333.330425
0.525000   331.628022   1412.182709   2316.173608   3387.916269
0.531250   309.395240   1540.263289   2369.596607   3738.952677
0.537500   314.426993   1494.103377   2372.918427   3485.393584
0.543750   312.460235   1493.993103   2426.329409   3605.385506
0.550000   301.183531   1455.394417   2542.162772   3838.274191
0.556250   346.269337   1646.330073   2668.133186   3822.295254
0.562500   357.617211   1654.956701   2371.478573   3895.113335
0.568750   376.231794   1778.240608   2442.974015   3932.226403
0.575000   391.842313   1817.332421   2473.219117   3930.622114
0.581250   386.849517   1813.238212   2390.583181   3968.346658
0.587500   378.394193   1828.576926   2408.083062   4008.480298
0.593750   356.841523   1842.196165   2316.422529   3990.991524
0.600000   341.841302   2010.495944   2337.678054   4029.381927
0.606250   339.195432   1946.319391   2446.037379   4034.572245
0.612500   343.602325   1904.839858   2383.678491   4039.531816
0.618750   347.160481   1881.985129   2364.351537   4063.741301
0.625000   350.087873   1875.288040   2409.956867   4085.747377
0.631250   349.356058   1896.376399   2477.090465   3970.181362
0.637500   347.853612   1907.858773   2459.481786   4014.417483
0.643750   326.426216   1819.082071   2643.615624   4086.187257
0.650000   267.245659   1807.306890   2749.811986   3956.885000
0.656250   145.670205   1817.001139   2882.602870   3869.728575
0.662500   1855.781047   2784.434260   3969.174686   4819.182709
0.668750   477.425059   1884.057557   2970.120754   4100.005239
0.675000   546.724515   2083.616146   2741.696330   4132.568532
0.681250   233.761690   1955.566827   2701.903736   3953.746030
0.687500   695.600164   1914.913710   3087.857362   4131.637619
0.693750   513.544830   1796.811798   2970.827330   4119.760094
0.700000   1554.582791   2645.924184   3667.873295   4197.452581
0.706250   1695.717527   2367.850390   --undefined--   --undefined--
0.712500   1596.950554   2218.983458   3444.111084   4319.277627
0.718750   1431.481730   2114.937447   3292.822137   4296.996816
0.725000   1312.955988   1450.867079   3303.197705   4190.217127
0.731250   737.610130   1473.171361   2971.238496   4132.719641
0.737500   657.413185   1463.903239   3049.928252   3967.812307
0.743750   480.894496   1468.255157   2780.107807   3673.303444
0.750000   315.119617   1481.028594   2353.766277   3735.215074
0.756250   1024.442647   2105.480909   3121.388404   4058.264623
0.762500   676.348672   2125.870944   3154.161578   4036.322844
0.768750   620.379927   2173.163361   3578.869268   3595.668091
0.775000   506.646003   1854.415640   2804.713944   3839.439624
0.781250   530.459231   1605.347513   2738.616374   3797.165385
0.787500   464.951536   921.022551   2217.326410   3432.780067
0.793750   393.752033   935.101076   2161.259104   3378.695479
0.800000   308.970459   1730.551330   3038.515401   4087.083620
0.806250   197.011965   1463.905649   2995.086557   4020.737201
0.812500   243.246048   1363.847953   2883.879986   4000.771256
