Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   931.449556   1853.750864   2766.294358   3660.916231
0.031250   972.645179   1972.023334   2920.736568   3560.549352
0.037500   841.245807   1993.234156   2868.512576   3755.375532
0.043750   803.159630   1993.635849   2862.423043   3762.424549
0.050000   834.020329   2047.310916   2865.763201   3679.390117
0.056250   1048.565348   1902.562614   2824.197800   3743.440511
0.062500   1064.256111   1732.382759   3005.140368   3948.825923
0.068750   1105.395211   1859.464912   2903.849233   3731.916492
0.075000   1293.883855   2279.756997   3107.246473   3389.038242
0.081250   1024.983135   1991.738596   2910.848787   3951.540833
0.087500   1201.477816   2188.575839   3120.927695   4210.440316
0.093750   1075.260245   2175.144627   3083.918160   4014.348917
0.100000   1012.297168   2131.872973   2906.630936   3835.276376
0.106250   918.766194   1884.355100   2765.674869   3692.077854
0.112500   954.551378   1979.840548   2885.267527   3711.576336
0.118750   935.451400   1944.211399   2961.303183   3876.561450
0.125000   1007.672299   1918.658013   2947.168356   3715.938028
0.131250   1083.109780   1903.728609   2964.572075   3522.904228
0.137500   1130.475963   2102.612213   3074.878514   4201.077154
0.143750   1021.143820   1996.029061   3050.659865   4076.902469
0.150000   1051.866335   1931.961330   2784.991451   3560.812516
0.156250   1085.734107   1847.823341   2587.152356   3561.163772
0.162500   1147.972974   2207.573166   2788.928527   3580.102363
0.168750   1107.906922   2080.791003   3101.470829   3787.178953
0.175000   1058.099446   1896.086896   2950.008030   3586.646078
0.181250   934.330353   2150.717770   2912.604132   3591.757856
0.187500   1014.021952   2094.551266   2884.637061   4036.650243
0.193750   955.286959   1976.715508   2880.859377   3895.198830
0.200000   977.686322   2063.023404   2926.034640   4037.226948
0.206250   1047.386913   1952.036651   3163.474830   4068.158566
0.212500   1081.420050   1799.348423   2671.225003   3658.926823
0.218750   1140.775940   2039.660801   2438.404576   3669.136090
0.225000   1077.775032   2146.655295   2643.831020   3669.200080
0.231250   983.543348   2051.151255   2887.655714   3895.258456
0.237500   976.310652   1968.527184   2839.119052   3859.758542
0.243750   1153.466262   2148.425044   3078.116880   4122.895618
0.250000   1120.416904   2205.356392   3087.043501   3973.917430
0.256250   1064.671826   2149.858823   2894.527620   3801.995735
0.262500   1088.051324   2258.452068   3179.752818   4151.423857
0.268750   1115.327341   2200.473039   2965.954095   4083.532716
0.275000   1085.589693   1848.988772   2866.568163   3649.806956
