Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   517.653257   1430.377367   2594.824780   3428.527211
0.031250   435.415748   1376.271888   2500.967920   3372.063654
0.037500   246.677420   1266.735500   2427.468561   3380.749671
0.043750   1159.431593   2339.626621   --undefined--   --undefined--
0.050000   1280.909613   2480.007875   --undefined--   --undefined--
0.056250   1303.704722   2453.389106   --undefined--   --undefined--
0.062500   1537.378540   2612.693097   --undefined--   --undefined--
0.068750   1769.678695   2751.643570   --undefined--   --undefined--
0.075000   1467.787550   2499.873722   --undefined--   --undefined--
0.081250   1491.087711   2524.932153   --undefined--   --undefined--
0.087500   1604.358624   2540.762869   --undefined--   --undefined--
0.093750   1557.254055   2597.062933   --undefined--   --undefined--
0.100000   1666.513233   2681.370448   --undefined--   --undefined--
0.106250   1519.823439   2469.109141   3389.940931   4563.512752
0.112500   1500.051049   2604.439316   --undefined--   --undefined--
0.118750   1597.921963   2599.021573   --undefined--   --undefined--
0.125000   1418.265741   2302.822594   3382.804114   4494.007658
0.131250   1546.978211   2371.607878   3343.605845   4552.750032
0.137500   1354.414553   2397.681667   3402.351184   4772.166391
0.143750   1397.262332   2376.749377   3430.525285   4835.768302
0.150000   1493.557670   2566.348180   --undefined--   --undefined--
0.156250   1493.892894   2808.496492   --undefined--   --undefined--
0.162500   1482.127112   2628.245128   --undefined--   --undefined--
0.168750   1420.444136   2386.545200   --undefined--   --undefined--
0.175000   1518.080194   2443.857095   --undefined--   --undefined--
0.181250   1391.301020   2276.095276   3489.025418   4808.621615
0.187500   1483.204582   2375.428109   --undefined--   --undefined--
0.193750   1575.791448   2483.834663   --undefined--   --undefined--
0.200000   1381.304993   2393.984478   3300.451361   4810.318947
0.206250   1412.426371   2348.306187   3353.917104   4631.016931
0.212500   1479.883863   2687.158230   3352.402576   4783.096739
0.218750   1497.614088   2393.998314   3338.725513   4489.843567
0.225000   1496.096427   2378.352203   3399.664050   4717.056423
0.231250   1613.196266   2541.019239   --undefined--   --undefined--
0.237500   1721.904824   2760.079597   --undefined--   --undefined--
0.243750   1712.312669   2740.833452   --undefined--   --undefined--
0.250000   1474.407248   2416.818291   --undefined--   --undefined--
0.256250   1496.121508   2594.193165   --undefined--   --undefined--
0.262500   1596.342865   2601.263219   --undefined--   --undefined--
0.268750   1785.567353   2243.836310   --undefined--   --undefined--
0.275000   1604.551154   2630.108976   --undefined--   --undefined--
0.281250   1572.573736   2591.694964   --undefined--   --undefined--
0.287500   1483.512275   2466.627252   --undefined--   --undefined--
0.293750   1332.991417   2443.831880   --undefined--   --undefined--
0.300000   1302.496012   2510.088428   3497.169046   4319.352003
0.306250   1411.826609   2666.714523   3643.266111   4116.114462
0.312500   1558.167832   2286.584557   3099.864256   4106.921572
0.318750   1415.616221   2301.228854   3249.660286   4426.890627
0.325000   1205.561085   2350.917986   3383.197320   4354.735290
