Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   826.816897   1443.594387   2160.843228   3357.351645
0.031250   990.617349   1862.329377   3033.163542   4014.451676
0.037500   855.882505   1799.974150   2963.153456   3935.655244
0.043750   628.947341   1611.532387   2391.673850   3228.176503
0.050000   639.389550   1765.564294   2643.765027   3225.110153
0.056250   618.071689   1506.604784   1814.339155   3188.095051
0.062500   533.447396   1568.273689   2321.533300   3150.841268
0.068750   537.650957   1660.409706   2492.714179   3267.004171
0.075000   583.177599   1734.471767   2232.704414   3072.526881
0.081250   733.700049   2181.992914   2976.179615   3937.743394
0.087500   751.625174   2181.465262   2784.170188   3912.052933
0.093750   1225.323361   2314.672991   3606.956749   4478.216642
0.100000   1056.843107   2183.765828   2752.624785   3697.737383
0.106250   1101.144627   2461.836464   2692.392619   3554.612305
0.112500   1238.592782   2668.887241   3232.942180   4215.052550
0.118750   1480.724394   2613.941056   3174.795330   4220.265040
0.125000   1535.772234   2608.194102   3214.194993   4343.512575
0.131250   311.213420   1755.090878   2746.793195   3380.465613
0.137500   877.494270   1957.414547   2962.783708   3989.316017
0.143750   771.670548   2032.756616   3060.455484   3899.529199
0.150000   561.368018   2047.664238   2972.962747   3783.693622
0.156250   486.355481   1796.042115   2795.826319   3625.490311
0.162500   869.941829   1928.520047   2885.160413   3717.686677
0.168750   199.628765   1857.853032   2997.030856   3060.676008
0.175000   288.518911   1789.337073   2597.651695   3104.204035
0.181250   331.895919   1919.658705   3145.955534   3831.260318
0.187500   399.404971   1908.522260   3111.968808   3834.938358
0.193750   425.728044   1935.886814   3071.611606   3715.020506
0.200000   407.605141   1954.325292   3058.193842   3831.350571
0.206250   397.749642   1878.793162   3111.523025   4357.728419
0.212500   368.676715   1825.769474   3121.538826   3444.875103
0.218750   356.583291   1800.112934   3079.129293   3165.716035
0.225000   384.138688   2025.189496   2403.934118   3150.647552
0.231250   389.859689   1969.108617   3118.217341   3591.386631
0.237500   357.947840   1814.933599   3075.199992   3179.145012
0.243750   460.392899   1893.561699   3175.591240   3745.990623
0.250000   525.457538   1870.019767   3151.063127   3950.727322
0.256250   557.944737   1948.770775   3215.173912   3861.083760
0.262500   842.402694   2047.050375   3171.077317   4069.963661
0.268750   846.151909   2029.983894   3077.712209   4231.852504
0.275000   860.305650   1968.239531   3171.660072   4245.320415
0.281250   959.513372   2052.541101   3215.969971   4256.967875
0.287500   806.373989   1116.896454   2343.357440   3325.763137
0.293750   1242.942480   2377.617120   3332.307323   4417.297959
0.300000   1310.119981   2326.597766   3339.066441   4458.351203
0.306250   1453.257442   2203.319137   3243.908187   4391.412434
0.312500   456.207145   1719.156112   2563.223828   3299.061112
0.318750   1214.129250   2154.954149   3373.401321   3827.809013
0.325000   1223.000025   2062.037575   3341.549565   4028.620700
0.331250   1111.951461   2041.007071   3177.200439   3815.985255
0.337500   1304.396363   2025.945509   3212.917695   4377.819644
0.343750   685.704483   1951.507481   2101.325649   3253.123658
0.350000   846.041616   1970.292859   2192.579391   3308.091416
0.356250   1235.259842   1998.410854   3152.711693   3948.237958
0.362500   1112.525468   1967.881817   3012.670231   3834.345651
0.368750   786.325318   1792.699905   2536.093235   3413.252589
0.375000   770.133147   1717.336028   2398.520989   3369.507345
0.381250   830.422811   1916.290792   2627.415675   3570.275217
0.387500   805.216312   1968.511166   2976.387642   3869.938056
0.393750   1049.463290   1955.356148   2974.951158   3799.578909
0.400000   856.914441   1957.282774   2845.567136   3712.411548
0.406250   815.155475   1928.415348   2414.519650   3396.439481
0.412500   685.888520   1942.252663   2957.816470   3041.285339
0.418750   686.078287   1768.785745   2489.225515   3410.162893
0.425000   751.716500   1848.369418   2725.116639   3433.780558
0.431250   610.504669   1810.315993   2664.397231   3352.356231
0.437500   378.111511   1807.576066   2364.618384   3381.405006
