Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1037.274920   2386.565173   3435.901765   3940.025485
0.031250   1216.207025   2422.554539   2429.500869   3675.753541
0.037500   1274.437688   2168.991240   2718.721916   3987.606388
0.043750   1293.904499   2097.988958   2819.497687   4137.185158
0.050000   1327.567131   2159.311907   3055.142567   4151.489764
0.056250   1339.976800   2303.208182   --undefined--   --undefined--
0.062500   1370.551256   2264.852059   3161.967566   3943.667581
0.068750   1378.237695   2208.228631   3098.837879   3872.984034
0.075000   1276.353596   1998.675773   3053.964181   3994.749921
0.081250   1141.557955   2066.459683   2960.679366   4147.346632
0.087500   1299.336289   2106.591116   3040.908130   3936.282216
0.093750   1261.177022   1836.589268   3141.481413   3842.180977
0.100000   1327.316350   2023.643645   3171.605148   3770.551317
0.106250   1330.792697   2368.283902   3620.073235   3731.934944
0.112500   1340.281101   2281.757584   3568.823023   3749.951047
0.118750   1340.236442   2207.590456   2947.459498   3797.675201
0.125000   1393.979961   2301.322322   2792.547020   3810.949546
0.131250   1373.203664   2323.751536   2815.880232   3839.918492
0.137500   1222.017405   2232.240049   2872.512503   3804.909915
0.143750   1476.800833   1928.625599   2852.289423   3790.880045
0.150000   1546.489892   1744.664664   2693.423565   3777.192820
0.156250   496.698745   1577.359072   2361.453090   3749.822205
0.162500   747.018594   1606.683793   2526.474614   3753.095613
0.168750   1067.891131   1553.727492   2739.590021   3805.872012
0.175000   1300.381291   1860.753853   3150.091428   3869.205262
0.181250   1528.341678   1678.009780   2664.638324   3829.132110
0.187500   1260.048296   2060.830651   3023.656930   3716.423141
0.193750   1198.557277   1909.792490   2880.965321   3762.019546
0.200000   884.768705   1803.948106   2687.515251   3777.784523
0.206250   1502.507285   2143.983884   2529.855473   3843.219343
0.212500   1209.552658   2009.969603   2678.935098   3888.448055
0.218750   1031.242155   1679.480755   2914.891871   3786.724128
0.225000   205.224686   1647.998139   2811.960634   3787.731460
0.231250   339.220082   1637.423332   2418.672335   3714.926188
0.237500   1481.011810   2342.692119   --undefined--   --undefined--
0.243750   1465.412686   2124.259990   2708.008804   3801.936016
0.250000   1176.159394   1933.352855   3085.228047   3816.330634
0.256250   1537.472388   1661.063926   3011.366855   3804.222929
0.262500   1643.312825   2580.685988   --undefined--   --undefined--
0.268750   122.232278   1863.398613   2875.195426   3706.563025
0.275000   1121.097622   2058.031564   3124.380103   3820.196273
0.281250   1115.688452   2061.478953   3017.247518   3905.540615
0.287500   1151.092873   2064.665151   3008.649814   4020.960036
0.293750   1359.755404   1930.166712   2803.541438   3871.650992
0.300000   1319.987699   1944.196254   2930.504145   3932.850184
0.306250   1153.519784   2106.761964   3076.378627   4070.815209
0.312500   1149.986423   2071.138457   3064.123621   4142.483803
0.318750   1230.761793   2070.213037   3098.909297   4049.857600
0.325000   1180.362588   2177.373308   2963.301705   3939.515323
0.331250   1346.912130   2116.250921   2824.750327   3902.089255
0.337500   1303.854133   2082.612090   3154.628653   3980.997149
0.343750   1379.141958   2072.897524   3081.297828   4060.191577
0.350000   1194.536254   2103.399441   3021.233231   4046.474369
0.356250   1152.682356   2026.855775   3132.623934   3981.159459
0.362500   1322.253061   1997.136497   3116.693929   3987.173143
0.368750   1264.627912   2038.240458   2997.538078   4063.556718
0.375000   1188.673191   2141.706805   3151.669380   3966.332600
0.381250   1084.583422   2144.404901   3230.974752   3864.235815
0.387500   1000.099898   2191.583314   3147.574673   3779.314009
0.393750   997.710578   2207.745034   3452.315683   3592.897046
0.400000   1172.304114   2183.648821   3301.031110   4018.116902
0.406250   1176.548428   2122.032042   3046.134790   4055.815772
0.412500   1151.916264   2262.529324   2655.874959   3899.274407
0.418750   1065.573455   2099.469589   3019.970700   3830.150653
0.425000   1331.032924   2101.803173   3041.873129   3932.952280
0.431250   1220.151209   2164.171486   3174.831502   4134.861497
0.437500   1129.304998   2139.367665   3200.479581   3997.852269
0.443750   1042.487202   2277.098410   2991.341675   3905.824457
0.450000   1141.449031   2576.416982   2684.283759   3923.236786
0.456250   1271.083290   2101.834739   3225.941847   3992.461895
0.462500   1290.498806   1980.465573   3213.067792   3853.647980
0.468750   1224.406166   2186.308679   3108.922806   3891.532181
0.475000   1197.341319   2148.981037   2961.337537   3905.228082
0.481250   1323.021978   2686.623035   2883.544052   3867.141612
0.487500   1186.177827   1997.916661   2859.100970   4079.446013
0.493750   1194.232465   2031.777266   2788.508075   3954.015507
0.500000   1272.028763   2344.063624   3161.221651   3930.694025
0.506250   1203.665941   2351.083987   3050.276795   3842.037981
0.512500   1100.324915   2253.919653   2805.551322   3793.043297
0.518750   921.921361   2187.884130   3025.142723   3793.264872
0.525000   369.591682   1429.842691   2836.511007   3305.954964
0.531250   88.410150   1492.997242   3002.222676   3369.085339
0.537500   305.489017   1175.111515   2747.783768   3558.553407
0.543750   337.149399   1160.865594   2877.993688   3578.039286
0.550000   344.275395   1158.384577   3024.993510   3560.130413
0.556250   342.216010   1175.235896   3505.281841   3551.780119
0.562500   352.677405   1312.140217   3428.956226   3746.666243
0.568750   379.793535   1378.923317   2458.669801   3679.736412
0.575000   371.963414   1395.789413   2417.847687   3763.646125
0.581250   362.106636   1450.274189   2396.049772   3587.038819
0.587500   364.478224   1584.422111   2367.355190   3612.006121
0.593750   364.509718   1697.362595   2370.983490   3668.799214
0.600000   363.838907   1788.673858   2363.034845   3633.583130
0.606250   364.181701   1758.929918   2383.204250   3595.222385
0.612500   366.549838   1643.263824   2405.675505   3582.017516
0.618750   368.093117   1738.195504   2368.986349   3573.506540
0.625000   361.774667   1764.094944   2386.143835   3587.210643
0.631250   344.735895   2019.487429   2357.321803   3593.094058
0.637500   326.563082   2013.878384   2298.882542   3592.859258
0.643750   318.559395   2088.142655   2392.861840   3679.209701
0.650000   315.271240   2031.117098   2410.638287   3738.167259
0.656250   308.924651   1997.359681   2391.723797   3717.340785
0.662500   292.818981   2002.803725   2392.910310   3718.561565
0.668750   286.601706   2102.455268   2366.833759   3810.739716
0.675000   249.932722   2295.099796   2404.306643   3870.090082
0.681250   2261.342150   2672.460784   3799.517854   4698.474304
0.687500   1301.389283   2417.550561   3918.913685   4390.803988
0.693750   900.091065   2452.978761   3673.458328   4328.611160
0.700000   590.812466   2436.216520   3569.166829   3781.611987
0.706250   552.185925   2232.357152   3283.332647   4086.851107
0.712500   569.537270   2300.019827   2908.783268   4003.960806
0.718750   610.140200   2424.052970   3777.063494   4461.864688
0.725000   579.806537   2201.044231   3312.631846   4077.863269
0.731250   629.205125   2121.764117   3669.741675   4280.070324
0.737500   684.874944   2102.795657   3239.847185   4076.128328
0.743750   1817.665225   2842.936782   2849.994353   4041.053256
0.750000   297.941359   1789.143410   2881.390090   3924.619197
0.756250   1594.366755   2165.842784   3720.196589   4343.806772
0.762500   1373.003836   1692.738888   3207.478548   4205.571550
0.768750   1396.012856   1988.374556   3043.709935   3998.145981
0.775000   1467.353750   2195.817009   3164.594611   3924.497470
0.781250   1398.939461   2081.462836   3118.893617   4005.018518
0.787500   1412.616169   1989.617754   3070.885056   4039.953202
0.793750   1421.335288   2206.712764   3143.821262   4024.812195
0.800000   1380.290593   2162.862678   3061.006539   3972.106145
0.806250   1312.461383   2245.622388   2944.525262   4086.371386
0.812500   1269.781444   1600.789935   2257.282881   3699.229802
0.818750   1272.198836   1343.812239   2278.271402   3639.575455
0.825000   988.815640   1414.424973   2457.380002   4015.183268
0.831250   969.975567   1438.499800   2463.284168   4081.112762
0.837500   1016.281017   1336.681304   2462.491478   3784.349286
0.843750   478.099354   1298.309427   2506.961073   3745.003538
0.850000   1319.008948   2472.781883   3685.296379   4272.377829
0.856250   1231.083982   2504.130974   3703.109307   4266.715073
0.862500   256.563837   1230.998495   2531.427808   3974.884572
0.868750   1026.860880   1841.065821   2904.269766   3918.974680
0.875000   619.768557   1101.419928   2483.551979   3680.952971
