Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1074.090882   2306.177869   3487.199665   3498.966700
0.031250   1070.747378   2319.476957   2768.014825   3418.871773
0.037500   1141.328404   2295.293989   2892.538048   3451.359975
0.043750   1150.861634   1700.025967   2898.668379   3666.212788
0.050000   1054.335315   1662.813739   2940.589126   3727.929036
0.056250   1086.871496   1725.415672   2854.653439   3579.785447
0.062500   885.324539   1689.834170   2698.350401   3673.361751
0.068750   978.645309   1890.719793   2843.894758   3837.211030
0.075000   1002.408793   1855.176441   2665.187952   3815.415462
0.081250   887.551309   2086.924816   2599.789125   3644.748127
0.087500   866.945229   1918.392857   2871.186759   3606.800975
0.093750   975.695867   1867.695383   2746.412161   3594.453509
0.100000   1048.738108   2132.819921   2631.562167   3553.948379
0.106250   988.296883   1806.331705   2848.045705   3639.234285
0.112500   1036.094741   1809.068754   2864.902993   3764.268801
0.118750   1118.106174   2057.136191   2973.493951   3666.808148
0.125000   1135.676828   2226.208287   2615.015011   3515.960675
0.131250   1093.472192   2079.103683   2950.672922   3438.710169
0.137500   997.466098   2203.266923   3298.154082   3617.043351
0.143750   1164.338348   2075.033910   2390.292932   3746.194339
0.150000   1161.147941   1744.529007   2592.471127   3664.767116
0.156250   1122.785743   1944.101500   2829.525610   3737.168454
0.162500   1078.982030   2041.296221   2753.073953   3700.747582
0.168750   1036.153274   2129.302613   3056.976395   3457.105134
0.175000   1197.361899   1821.519935   2908.721259   3699.814043
0.181250   1157.152967   1900.447023   2763.458662   3674.692004
0.187500   995.152723   1956.036122   2825.809275   3637.066291
0.193750   1234.333821   1982.739489   2751.678040   3489.287432
0.200000   960.954693   1888.152883   2771.208273   3670.353427
0.206250   792.847196   1975.920992   2801.572323   3734.667925
0.212500   976.272927   1813.569786   2752.078558   3750.888911
0.218750   1427.713244   1532.071048   2585.310789   3547.919334
0.225000   1137.540426   2242.237594   2878.605074   3570.480836
0.231250   1080.813511   2267.831597   2521.527365   3548.416837
0.237500   852.572539   1830.771677   2831.272359   3511.690351
0.243750   1004.118932   1769.899336   2874.215453   3544.640434
0.250000   1206.762700   1756.539227   2848.271707   3649.311476
0.256250   927.879463   2022.938527   3060.475179   3647.787322
0.262500   947.164592   2058.481357   2916.138517   3698.888483
0.268750   1024.588140   1978.804908   2851.167058   3662.357075
0.275000   908.511373   1882.408492   2943.826811   3603.870677
0.281250   778.931786   1881.970594   2703.623261   3583.670753
0.287500   365.319856   1721.220223   2566.574178   3628.618836
0.293750   1067.405055   2009.619015   2807.003337   3561.908420
0.300000   1019.996596   2168.789607   3233.162451   3690.385811
0.306250   1173.744066   2180.572885   3307.402404   3453.782035
0.312500   1086.331843   2161.201509   3268.865330   3462.016831
0.318750   983.835981   2053.355495   2959.930447   3664.195410
0.325000   1018.576041   1975.580814   2736.594399   3721.203738
0.331250   855.865697   1937.613103   2841.940634   3759.729654
0.337500   878.584599   2033.700186   2977.769835   3735.335945
0.343750   1028.277184   1768.135016   2950.487262   3699.189227
0.350000   1001.428510   1781.558826   2872.320964   3905.553371
0.356250   989.738880   2127.385928   2789.369416   3623.808178
0.362500   806.031694   1430.452743   2524.878805   3731.660644
0.368750   902.901423   1792.574964   2640.270792   3707.153953
0.375000   1044.233330   1926.773843   2742.854059   3820.853309
0.381250   992.599212   1923.368916   2898.063783   3674.452523
0.387500   936.178686   1994.239945   2779.866999   3567.247833
0.393750   1032.444949   1966.368364   2685.671517   3519.786798
0.400000   1241.293556   1779.969321   2594.499495   3576.841738
0.406250   979.798175   1908.876927   2574.584686   3738.452798
0.412500   960.456820   1847.506812   2717.258542   3734.532609
