Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   608.720914   2024.712066   2505.606963   3595.845453
0.031250   492.589973   1893.134253   2273.971688   3420.215274
0.037500   573.226164   1871.080323   2433.546488   3460.139185
0.043750   673.140496   1813.563315   2565.192939   3593.775887
0.050000   760.667399   1840.845880   3013.612777   4165.977866
0.056250   626.866396   1780.203465   2509.953455   3810.847312
0.062500   668.623103   1761.217356   2457.928042   3760.381852
0.068750   795.272199   1780.851288   2682.448299   3808.625509
0.075000   868.534255   1586.969561   2704.118007   3822.400469
0.081250   1002.034947   1794.864674   2824.785344   3777.018053
0.087500   825.598532   1732.637117   2756.446725   3835.598819
0.093750   792.365628   1619.674345   2397.476585   3815.615936
0.100000   866.984939   1736.813413   2584.635021   3949.512890
0.106250   818.088248   1737.955992   2690.719803   3847.252280
0.112500   679.856541   1792.532348   2672.397708   3871.042841
0.118750   712.166309   1693.799853   2644.841774   3911.339040
0.125000   698.350368   1665.747330   2596.182977   3697.632398
0.131250   722.863262   1657.508084   2643.285215   3744.503629
0.137500   935.343536   1785.447399   2739.226458   3995.093384
0.143750   840.843710   1764.536995   2742.706307   4069.390174
0.150000   798.439037   1824.240871   2708.574369   3768.587759
0.156250   878.753443   1790.680780   2749.885344   3949.193471
0.162500   936.066311   1730.789414   2691.258313   4310.663041
0.168750   798.147849   1673.366006   2646.762059   3948.993377
0.175000   768.675864   1716.772745   2501.674078   3666.258838
0.181250   724.791608   1820.178562   2573.605320   3500.954892
0.187500   644.965300   1807.489082   2577.137264   3486.351142
0.193750   718.244194   1835.033481   2368.859951   3463.030355
0.200000   766.684244   1821.654872   2114.623540   3348.771635
0.206250   435.779139   1750.443894   2152.655397   3398.145430
0.212500   536.771559   1824.130701   2597.950625   3463.976459
0.218750   537.366159   1791.936000   2575.197110   3509.596061
0.225000   789.365119   1844.180487   2913.844294   3965.730261
0.231250   822.752430   1827.279324   2963.374310   4081.518113
0.237500   778.170825   1750.302913   2734.615344   3599.240632
0.243750   776.482927   1779.586679   2552.824414   3612.438269
0.250000   1207.167211   2225.804065   3043.701865   4313.111513
0.256250   1277.913431   1974.932321   3037.094323   4363.581423
0.262500   651.615471   1896.307477   2717.934015   3465.655778
0.268750   671.969579   2005.724107   2452.367526   3510.684050
0.275000   896.502892   2015.006547   3338.973815   4472.686354
0.281250   749.215504   1908.035174   3086.161585   4353.057161
0.287500   1180.557808   1833.311387   3013.548759   4072.761091
0.293750   660.558083   1763.476039   2869.264270   3894.069671
0.300000   625.546432   1556.679409   2779.176209   3709.616425
0.306250   672.679418   1602.937551   2588.603244   3745.665981
0.312500   699.171861   1616.966422   2623.498752   3848.756480
0.318750   810.099620   1706.341475   2852.577961   3472.565810
0.325000   1136.651142   2119.086758   3209.475897   4238.749669
0.331250   1198.081446   2317.476826   2992.536842   4347.925641
0.337500   1434.649488   2312.455043   2896.372004   4083.985551
0.343750   1333.856284   2334.654501   2880.480699   4050.878098
0.350000   1264.641344   2389.081234   2704.003777   4044.826261
0.356250   788.159754   1956.720975   2454.111592   4000.671078
0.362500   888.392115   2223.369167   2499.842071   3900.185206
0.368750   1134.521354   2473.289299   3623.960092   4737.604490
0.375000   745.427205   1442.321832   2482.526460   3655.811490
0.381250   349.556801   1393.724667   2386.149162   3541.432343
0.387500   1278.271606   2426.332930   3591.050314   4537.820613
0.393750   642.348844   1450.965074   2433.091071   3534.852263
0.400000   714.738484   1881.504260   2828.800380   3813.205186
0.406250   790.999930   1776.342153   2897.492958   3873.961775
0.412500   687.902297   1615.579303   2626.394823   3550.498251
0.418750   746.633360   1716.670753   2949.141230   3824.544711
0.425000   390.352038   1755.608252   2898.419189   3997.412904
0.431250   316.085736   1764.784238   2553.305038   3658.692228
0.437500   215.807939   1781.766550   2895.017080   2918.007952
0.443750   121.297793   1426.782924   2801.234808   3042.820380
0.450000   717.877797   1564.216919   2638.255529   3440.035522
0.456250   805.879188   1673.370364   2632.022276   3388.346696
0.462500   790.504076   1631.125024   2695.975364   3644.551399
0.468750   727.690299   1464.966668   2551.797337   3695.850176
0.475000   835.950001   1452.350714   2478.363756   3629.280793
0.481250   697.199467   1711.442190   2654.910794   3598.199349
0.487500   641.969797   1885.088820   2377.237408   3422.854663
0.493750   804.938879   2309.695484   3326.671113   4798.012691
0.500000   816.131985   2188.660387   3007.878082   4275.676860
0.506250   893.117331   1726.868576   2364.511942   3370.906149
0.512500   1024.669429   2022.385608   3210.748581   4252.679043
0.518750   1324.913399   2113.162012   3275.146018   4304.285154
0.525000   561.957097   1434.054214   2334.152183   3613.795215
0.531250   696.618342   1512.004173   2395.527023   3464.010348
0.537500   822.614154   1619.084867   2347.588606   3512.874102
0.543750   803.249895   1942.171302   2585.421794   3644.000966
0.550000   791.622637   2008.004306   3020.938562   4247.046253
0.556250   910.994396   2156.087365   2183.428145   3445.898893
0.562500   1066.339971   2166.360333   2985.285469   4045.077845
0.568750   1068.403880   2111.003427   2828.685024   4076.543998
0.575000   572.102578   1762.111892   2546.786418   3581.660509
0.581250   570.142836   1733.006807   2565.730951   3566.616922
0.587500   670.030107   1724.146429   2620.383413   3878.220261
0.593750   799.264441   1660.809405   2630.177501   3793.334904
0.600000   602.369888   1548.717889   2514.286229   3474.489300
0.606250   638.623394   1601.830111   2445.543201   3440.666089
0.612500   618.834948   1644.478739   2480.930449   3442.054058
0.618750   796.176985   1696.413462   2474.619765   3438.807970
0.625000   854.035123   2261.080592   2700.040835   4141.748572
0.631250   784.334487   2224.545112   2495.258560   3725.432097
0.637500   764.380215   1771.496231   2833.148224   3613.580063
0.643750   1204.736621   2045.787594   2763.522835   3693.237976
0.650000   1045.513094   2281.296807   3245.913940   4303.089019
0.656250   951.482493   2173.090805   2376.512063   3228.166644
0.662500   784.398430   1910.024056   2903.132853   3828.146614
0.668750   743.408879   1749.260533   2899.376506   3264.655235
0.675000   497.005557   1658.680972   2376.243934   3278.389568
0.681250   679.170275   1769.282556   2378.723322   3280.011687
0.687500   717.273830   1660.617046   2437.053823   3322.233358
0.693750   587.655666   1551.426080   2363.682838   3379.024918
0.700000   650.075867   1718.375939   2511.580326   3585.955221
0.706250   646.423417   1759.479742   2513.081693   3491.964529
0.712500   621.367818   1677.729677   2556.959160   3584.192725
0.718750   674.773725   1653.371592   2667.094540   3833.687210
0.725000   659.232837   1510.632403   2605.601152   3751.708871
0.731250   883.647725   1822.081148   3031.827396   4085.746969
0.737500   757.576826   1783.674611   2807.808557   3446.399629
0.743750   754.868978   1844.388495   2787.953958   3714.460482
