Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1151.973216   2106.876920   --undefined--   --undefined--
0.031250   356.516037   1689.699932   2413.745523   3562.488363
0.037500   390.546655   1674.636842   3554.882388   3737.337996
0.043750   431.634334   1652.190647   2740.452186   3548.642865
0.050000   473.052971   1630.259925   2613.041457   3540.237732
0.056250   495.042971   1610.600987   2748.621768   3547.385043
0.062500   566.231439   1651.040598   2787.230694   3431.296654
0.068750   941.291454   1697.522135   2731.575432   3597.647154
0.075000   892.277501   1815.617537   2701.765676   3795.211173
0.081250   843.322631   1840.675340   2706.545190   3898.380152
0.087500   930.723094   1908.145599   2686.779732   3834.130826
0.093750   888.251249   1791.053431   2758.224207   3653.583058
0.100000   899.058118   1795.026696   2854.702219   3527.917171
0.106250   1220.461368   2076.327598   2522.983208   3511.926413
0.112500   954.607204   2131.536763   2635.483761   3694.650073
0.118750   1037.834906   2021.200415   2687.568047   3743.130631
0.125000   1110.595915   1806.786447   2713.648100   3749.638104
0.131250   984.473588   1687.932672   2815.753078   3624.954473
0.137500   1035.357331   1777.178717   2783.420557   3563.574810
0.143750   1016.328079   2017.983244   2887.144288   3589.636764
0.150000   985.792963   1963.239230   2747.754627   3676.442354
0.156250   1122.613308   1844.952912   2696.836527   3760.049498
0.162500   1036.688770   1905.304370   2728.087777   3721.107842
0.168750   1051.448054   1752.088996   2745.065202   3715.304386
0.175000   1042.943990   1846.781560   2842.076453   3633.928721
0.181250   1085.956012   2007.291922   2855.696488   3534.568229
0.187500   1006.521650   1912.492316   2954.437361   3530.701625
0.193750   1037.772871   1845.113775   2829.594158   3615.251987
0.200000   1044.303550   1891.665101   2528.875584   3626.710297
0.206250   914.998763   1820.332845   2670.863556   3573.782807
0.212500   1017.754966   1851.006408   2817.657796   3554.490311
0.218750   1038.590512   1823.187908   2952.114423   3777.950191
0.225000   962.503609   1889.917488   3030.835800   3744.534260
0.231250   952.553602   1921.143991   2792.750477   3712.289421
0.237500   931.137131   1815.710648   2675.514622   3671.412728
0.243750   909.343476   1829.102053   2797.462162   3741.374552
0.250000   838.386482   1789.562441   2898.638498   3752.668991
0.256250   909.185256   1610.226593   2918.664541   3751.629727
0.262500   1032.199955   1757.434038   2972.873017   3720.596156
0.268750   992.274146   1916.370525   2948.386708   3727.326904
0.275000   983.656003   1833.894438   2920.519967   3667.802017
0.281250   1104.114651   1852.065562   2562.990135   3545.940156
0.287500   1017.302076   1711.001985   2611.072217   3569.160174
0.293750   1111.791059   1586.630065   2694.237031   3689.535188
0.300000   1214.955231   1688.412694   2782.638442   3674.619197
0.306250   1058.958262   1855.352696   2761.568882   3669.894370
0.312500   1013.727237   2049.701661   2712.440131   3596.896700
0.318750   1077.779480   2144.106037   2611.806350   3513.479407
0.325000   874.658268   1841.754920   2816.604985   3586.462924
0.331250   851.595487   1809.178176   2921.666391   3548.986746
0.337500   921.948028   1775.957103   2837.679158   3568.475208
0.343750   1027.050384   1590.732503   2638.738401   3567.653244
0.350000   889.666188   1759.848390   2745.232240   3674.049407
0.356250   925.168121   1878.060281   2850.695218   3531.894186
0.362500   1103.505581   1798.545448   2940.260225   3606.782140
0.368750   1025.050368   1881.951819   2797.911044   3691.927955
0.375000   1132.363313   1954.781345   2665.360629   3716.379533
0.381250   996.543761   2053.408501   2711.518033   3572.678506
0.387500   887.199285   1985.609349   2800.324397   3642.629827
0.393750   988.020831   1923.971843   2853.189733   3645.060631
0.400000   914.286974   1815.109193   2910.125713   3669.317920
0.406250   811.929016   1844.005786   2825.101461   3782.538243
0.412500   923.605151   1778.998295   2727.275214   3830.983080
0.418750   966.118849   1824.762470   2736.673450   3820.057746
0.425000   977.900311   1999.805993   2725.458074   3899.844720
0.431250   1217.430835   2345.615969   --undefined--   --undefined--
0.437500   1186.368169   1728.286659   3295.742963   4474.646345
0.443750   1313.887185   1700.968533   3394.052732   4575.979513
0.450000   1329.555172   1754.597321   3421.420617   4568.076239
0.456250   1256.921142   2041.417941   3497.172123   4575.500817
0.462500   934.787011   1676.066500   2479.282295   3778.122383
0.468750   1064.300632   1971.246027   2426.912458   3600.823329
0.475000   1082.586271   1846.387061   3388.115172   4477.196985
