Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   815.195360   1819.743418   2766.887216   3736.577842
0.031250   806.264646   1820.057917   2762.815551   3762.375704
0.037500   856.053162   1852.536886   2788.774524   3616.908798
0.043750   764.689098   1805.048341   2574.225260   3669.094774
0.050000   1634.087990   2431.351344   --undefined--   --undefined--
0.056250   1435.938871   1716.798160   2954.577981   3803.397292
0.062500   1458.893799   1674.494648   2815.712027   3767.799326
0.068750   401.320000   1561.887847   2646.049881   3634.586449
0.075000   537.035865   1724.761834   2884.711363   4000.718704
0.081250   109.082992   1729.875428   2645.664741   3939.293603
0.087500   1676.083221   2557.385307   3613.119696   4335.807040
0.093750   1314.767921   2418.199873   3629.003397   4366.270384
0.100000   1518.999590   2432.198677   3566.550819   4408.333787
0.106250   238.279905   1723.215789   2548.620046   3617.419687
0.112500   1164.544125   2510.882680   2790.855310   4008.921612
0.118750   1528.754919   2813.561690   --undefined--   --undefined--
0.125000   1634.270190   2924.892848   3765.457782   4537.133273
0.131250   1314.591067   2076.964746   3086.658349   4022.975777
0.137500   1207.856105   2180.372523   3161.207160   4134.051388
0.143750   1331.533874   2451.945287   3435.215766   4467.753652
0.150000   1504.317546   2769.960618   3371.187354   4443.182233
0.156250   963.200664   2006.340161   2965.262877   3971.851162
0.162500   482.986160   1645.188709   2645.155143   3489.395545
0.168750   1289.219815   2393.347464   3247.248600   4443.358844
0.175000   1284.612993   2330.797836   3221.872419   4434.784924
0.181250   1364.042453   2419.532572   3535.925009   4581.758743
0.187500   530.624214   1559.291017   2462.556800   3545.431340
0.193750   680.664532   1766.909230   2413.606272   3457.297383
0.200000   1082.034773   2178.062557   3129.790732   3406.110323
0.206250   1063.634439   2300.865788   2922.235072   3399.918589
0.212500   577.295751   1055.383949   2268.039924   3383.035547
0.218750   743.440320   1402.679300   2092.975407   3364.974072
0.225000   1409.287432   2089.366104   3394.558601   4682.843463
0.231250   1434.871493   2813.220595   --undefined--   --undefined--
