Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027212   356.895299   1569.842681   2200.963158   3482.384702
0.033462   1062.420045   1947.170692   3178.996735   4218.827584
0.039712   1031.344993   2124.798306   3176.342819   4339.465518
0.045962   895.995953   1890.512222   2755.152023   3593.056294
0.052212   827.001324   1804.966117   2720.333357   3428.029589
0.058462   874.269163   2168.419965   3138.186301   4180.890364
0.064712   900.829770   1987.170696   3014.367625   4157.756773
0.070962   925.956014   2206.100202   2845.063496   3981.476597
0.077212   781.111908   1950.241469   2912.748073   3967.352957
0.083462   787.395817   1909.721767   2913.856617   3979.362890
0.089712   848.998597   1997.130332   3085.577226   4174.355957
0.095962   891.462902   1964.844025   3185.857168   4185.527046
0.102212   943.253338   2065.327620   3260.015091   4170.333075
0.108462   958.650878   2062.238481   3049.105469   4000.761644
0.114712   994.997649   2324.728320   3006.260415   4138.846331
0.120962   1079.693050   2301.714507   3212.855940   4179.443011
0.127212   1029.059575   2226.474691   3246.833211   4064.147867
0.133462   914.073700   2132.442847   3213.221096   4069.284158
0.139712   941.163191   2222.680179   3274.538534   4118.047624
0.145962   926.571472   2085.734392   2859.965292   4191.012690
0.152212   961.655301   2222.087965   3226.981403   4252.088320
0.158462   948.324435   2163.388694   3257.413778   4191.468140
0.164712   869.796394   2287.762867   3260.715577   4237.643982
0.170962   864.638731   2353.441353   3171.750357   4260.889917
0.177212   879.646491   2175.278905   3137.957393   4210.990568
0.183462   924.493091   2237.258556   3152.734973   4102.826910
0.189712   686.388223   1422.720421   2342.248676   3527.267573
0.195962   1155.780211   2348.534976   3630.731070   4463.474071
0.202212   905.583868   2220.843520   3372.618385   4312.481910
0.208462   877.157652   2382.323677   3166.865288   4140.952056
0.214712   896.167857   2239.430960   2983.748240   4069.763170
0.220962   856.878332   2060.216494   2829.709691   3817.493058
0.227212   840.467691   2059.592875   2967.383287   4021.262610
0.233462   816.983271   1857.303329   2936.917589   4202.628370
0.239712   921.847869   1495.715925   2702.490868   3391.365297
0.245962   847.120536   1375.750574   2636.420962   3335.543327
0.252212   820.017757   1227.633634   2641.321499   3290.109771
0.258462   1183.184964   2724.274681   3464.884546   4221.906607
0.264712   1279.228835   2372.078719   3461.015752   4208.155614
0.270962   1151.177445   2257.341984   3289.661961   4230.983734
0.277212   493.347524   1364.451371   2581.503319   3631.717967
0.283462   530.152352   1491.386959   2579.521542   3753.780030
0.289712   397.237712   1479.992250   2590.374528   3821.896403
0.295962   362.647170   1539.632403   2566.724621   3904.945915
0.302212   407.108923   1570.576942   2555.509193   2883.434526
0.308462   411.629010   1652.716157   2508.651668   3464.115521
0.314712   397.533798   1749.965422   2487.105991   3213.361786
0.320962   366.699514   1852.334830   2475.959028   3858.579926
0.327212   343.953257   1930.450713   2503.333930   4450.210263
0.333462   336.780502   1993.677054   2475.820237   4251.361794
0.339712   337.131719   2054.842481   2468.495551   4137.747938
0.345962   333.839184   2102.729504   2461.421275   4237.374674
0.352212   330.230159   2064.724491   2497.153678   4127.622002
0.358462   322.213043   2088.386961   2492.785402   3982.485139
0.364712   298.742328   2121.381330   2448.438514   4024.858357
0.370962   280.680790   2081.205039   2402.326768   4095.452263
0.377212   267.723482   2055.274827   2375.674782   4072.004241
0.383462   259.309304   2037.377921   2840.378205   3791.879175
0.389712   241.497262   1898.163968   3158.846127   3933.156707
0.395962   226.595272   1904.463287   3138.285497   3950.787599
0.402212   1919.697988   3181.828683   4018.829689   4423.418511
0.408462   1873.572739   3176.345698   4061.978582   4681.551383
0.414712   1866.043968   3122.605426   4081.500620   4563.313481
0.420962   1960.410360   3237.730432   4099.248906   4491.783618
0.427212   1849.625363   2750.713216   3575.657912   4315.973322
0.433462   1542.418825   1736.322174   3311.731039   3950.189182
0.439712   1696.320665   1743.984426   3573.075783   3937.204223
0.445962   1624.346614   1752.688862   3464.978954   4089.348211
0.452212   1588.773274   1599.227382   3431.503756   4084.390219
0.458462   1598.484720   1674.910223   3419.113003   4094.116112
0.464712   1629.498656   1795.684073   3392.690320   4095.433968
0.470962   1647.064552   1848.483263   3407.308876   4011.328044
0.477212   1413.096774   1656.057148   3420.579442   3984.591282
0.483462   1273.177986   1689.425242   3259.731528   3807.389915
0.489712   1366.429864   1704.902027   3753.732000   3865.752341
0.495962   1395.089039   1681.699957   3727.999267   3909.659128
0.502212   1238.213438   1684.900659   2099.084836   3860.564513
0.508462   903.032051   1436.291149   2178.941938   3779.470369
0.514712   576.097196   1453.053318   2420.246168   3754.182778
0.520962   539.098751   1436.115266   2406.800421   3741.469800
0.527212   431.018180   1398.079281   2403.329681   3655.930540
0.533462   383.366247   1195.439691   2363.937329   3630.006484
0.539712   435.681525   1144.983538   2445.698214   3652.768537
0.545962   469.863674   1119.355155   2533.949624   3633.192943
0.552212   489.999071   1095.688008   2627.014805   3629.570590
0.558462   524.936501   1074.694497   2607.271417   3610.704995
0.564712   537.614690   1064.296208   2592.274059   3612.026438
0.570962   529.589356   1027.902034   2535.500330   3603.617007
0.577212   545.212914   996.197324   2490.455208   3601.228472
0.583462   557.484574   956.776339   2461.778259   3601.335890
0.589712   556.270640   943.805891   2558.508517   3631.233862
0.595962   552.480109   935.722662   2660.161069   3661.283131
0.602212   535.452877   922.676200   2786.894827   3702.373982
0.608462   542.125435   907.956328   2784.087255   3707.369705
0.614712   541.186805   867.861662   2782.163924   3811.409371
0.620962   539.607583   869.079818   2711.766227   3822.091472
0.627212   526.889700   856.910733   2655.917639   3798.674146
0.633462   519.677050   855.134801   2637.139855   3801.895809
0.639712   508.633171   860.906230   2616.281341   3893.183353
0.645962   494.147945   850.894826   2630.654286   3838.313792
0.652212   463.813550   854.461560   2609.073748   3904.166804
0.658462   476.708974   844.381868   2572.944724   3885.708859
0.664712   449.402426   853.146663   2502.442117   3916.726664
0.670962   435.463102   931.838275   2534.377226   3989.141612
0.677212   432.519232   964.934121   2547.976002   3930.255870
0.683462   427.294629   1080.033843   2692.796204   3761.214073
0.689712   441.570941   1230.133221   3249.957317   3725.422485
0.695962   476.469754   1318.263328   3186.096515   3896.051220
0.702212   421.529572   1520.915138   3026.719819   3970.657693
0.708462   675.208763   1893.645272   3128.302454   4007.262389
0.714712   888.443174   1866.885268   3229.557292   3984.781126
0.720962   918.285578   1672.330229   3109.291241   3997.498477
0.727212   960.478604   2398.081853   3744.186676   4558.566399
0.733462   769.094263   2010.513504   3266.826110   4039.231856
0.739712   837.756337   1977.224865   3072.334549   4033.697904
0.745962   1248.297206   1420.440435   3084.039179   4057.281744
0.752212   1410.996749   2945.075811   3681.181703   4478.845776
0.758462   1081.510431   2535.498129   3685.598962   4501.083656
0.764712   1125.794797   2560.859261   3677.568121   4664.996334
0.770962   983.083413   2515.351515   3711.818549   4053.799697
0.777212   823.043197   2230.554565   3396.655101   4422.601443
0.783462   680.082787   2127.163565   3351.008504   4283.950627
0.789712   691.834029   2360.096101   3627.713035   4291.874326
0.795962   766.784811   2479.141794   3690.483466   4422.255556
0.802212   720.717097   1686.940835   3032.993632   3988.894461
0.808462   781.844158   1723.372416   3240.788078   3973.158751
0.814712   718.556507   1947.299895   3153.864411   4082.133471
0.820962   737.892593   1893.633834   2851.146461   4116.385349
0.827212   598.457154   1804.024824   2687.887127   4228.903341
0.833462   560.025021   1745.141660   2575.328974   3445.071705
0.839712   471.027074   1672.928297   2537.351748   3600.755478
0.845962   416.566089   1494.618265   2666.965682   3472.652924
0.852212   466.267102   1478.986756   2599.661114   3519.394945
0.858462   509.523603   1504.754613   2483.417448   3751.566056
0.864712   518.269874   1511.344117   2443.081807   3649.320810
0.870962   546.001692   1498.763876   2396.547784   3555.219236
0.877212   567.747071   1474.845996   2394.221203   3578.841347
0.883462   588.352244   1425.574949   2417.285466   3606.678652
0.889712   613.840021   1375.172442   2469.471389   3647.338338
0.895962   641.813272   1332.293280   2523.767175   3657.559237
0.902212   649.238209   1309.056662   2564.282382   3605.906544
0.908462   661.159699   1258.426048   2569.367549   3682.379112
0.914712   657.176669   1201.436474   2576.122041   3723.608172
0.920962   633.861963   1150.398659   2599.622507   3809.317368
0.927212   636.077157   1108.480474   2586.253819   3806.663704
0.933462   613.183757   1070.252120   2628.993004   3762.983331
0.939712   609.587445   1058.659358   2678.714439   3723.334292
0.945962   598.175798   1032.806953   2710.442631   3755.004636
0.952212   561.795039   1009.369030   2687.408703   3744.308363
0.958462   542.442537   1053.269902   2578.978377   3715.660070
0.964712   518.328721   963.458907   2647.266761   3741.238038
0.970962   508.307435   958.389601   2774.629409   3800.904495
0.977212   509.293164   944.270757   2751.659054   3832.744590
0.983462   473.441441   954.394812   2718.856906   3823.068390
0.989712   455.098594   957.952656   2725.921179   3790.821762
0.995962   470.795223   1003.023786   2712.200270   3729.856438
1.002212   551.640318   1041.795063   2599.808238   3744.288654
1.008462   568.641923   1080.898306   2697.379446   3774.282659
1.014712   585.654264   1109.507942   2732.730946   3872.370357
1.020962   592.118389   1103.711280   2725.627740   3918.283807
1.027212   598.638266   1125.689708   2738.799475   4053.393061
1.033462   597.918098   1126.304731   2715.012331   3688.551188
1.039712   563.062769   1131.978567   2636.101924   3425.252622
1.045962   575.586169   1123.917957   2645.810105   3463.601606
1.052212   581.448309   1148.537126   2650.661958   4002.009964
1.058462   578.190002   1155.111467   2645.948978   4020.598090
1.064712   520.192522   1166.400308   2670.301527   3948.248627
1.070962   501.101498   1167.072635   2697.012407   3820.360948
1.077212   340.639207   1207.213310   2715.090507   3726.782513
1.083462   118.588816   1224.689477   2690.100901   3667.605325
1.089712   1245.845259   2633.271016   3488.182083   4315.989983
1.095962   912.280147   1235.860242   3001.961815   3920.024359
1.102212   289.425963   1231.207418   2865.770973   3762.245071
1.108462   1065.704841   1251.128387   2941.693920   3976.873570
1.114712   1236.267402   1346.424436   2998.666827   4040.984195
1.120962   1127.588221   1396.902582   3042.964166   3983.953658
1.127212   1089.067228   1561.855478   3040.160824   3920.283343
1.133462   1129.357640   1645.167991   3064.528877   3810.356163
1.139712   1010.587888   1561.078952   3125.129402   3788.910233
1.145962   708.287139   1282.042723   2780.791288   3639.515225
1.152212   960.873218   1256.068137   2906.499116   3738.074224
1.158462   871.837107   1259.588058   2642.818107   3763.226487
1.164712   711.574623   1307.785077   2333.090563   3633.532420
1.170962   971.380505   1482.649511   2391.416448   3639.440872
1.177212   998.559179   1798.239525   3017.726209   3925.633791
1.183462   922.503694   1811.319369   3009.300410   3986.759301
1.189712   964.572703   1793.527966   3079.506757   4052.384868
1.195962   830.449560   1779.140007   3052.269630   4044.818555
1.202212   849.819464   1761.661337   2837.817622   3661.703583
1.208462   802.917443   1753.191292   2762.577660   3895.704354
1.214712   786.972551   1811.088245   2865.048647   3921.345459
1.220962   832.826339   1808.996200   3054.368056   4059.785914
1.227212   822.356442   1770.025317   3035.508430   3965.504958
1.233462   897.236995   1856.659249   3096.696698   3976.257194
1.239712   965.684193   2081.200080   2898.825289   3835.575725
1.245962   903.511228   1771.698824   2865.808586   3793.664440
1.252212   863.958926   1578.211261   2835.572691   3786.604593
1.258462   868.218616   1557.676005   2894.403753   3829.252849
1.264712   886.774969   1794.872984   2827.607548   3908.590415
1.270962   956.029976   1975.655032   3046.656746   3970.303750
1.277212   937.361590   2043.293652   3119.334789   3924.313854
1.283462   982.833426   2068.395896   3052.111693   3892.133647
1.289712   935.009396   1983.586832   2790.830626   3834.577636
1.295962   902.682145   1898.910812   2750.868133   3848.384860
1.302212   989.787242   2298.643987   2838.838681   3926.347204
1.308462   865.439824   2369.310459   2592.581772   3784.926783
1.314712   852.863197   1850.218314   2709.873445   3879.890816
1.320962   972.572991   1927.122743   2905.785652   3980.288966
1.327212   797.615503   1645.616420   2622.759035   3635.485208
1.333462   791.451691   1627.832400   2606.387486   3516.226345
1.339712   771.399928   1600.037794   2598.007863   3569.168746
1.345962   759.984768   1565.163475   2558.375885   3617.315127
1.352212   759.477867   1520.599205   2502.102955   3604.370347
1.358462   743.674476   1508.001920   2490.657832   3630.930433
1.364712   758.803343   1505.194306   2490.872416   3640.876173
1.370962   771.903691   1500.012765   2489.640723   3591.516923
1.377212   775.678075   1474.440483   2488.882462   3607.559991
1.383462   780.275992   1414.764326   2451.329258   3622.164242
1.389712   819.146863   1408.827717   2383.407900   3609.944466
1.395962   773.184399   1387.340584   2397.693729   3588.732427
1.402212   735.269199   1354.259420   2394.767271   3568.392997
1.408462   736.503216   1344.587063   2401.863688   3528.822106
1.414712   732.516709   1326.396796   2429.997197   3452.901985
1.420962   731.147179   1298.806800   2430.010863   3463.167373
1.427212   716.965053   1319.658291   2416.889627   3630.589549
1.433462   706.865536   1310.085333   2430.793487   3719.090318
1.439712   677.238385   1295.309086   2409.489223   3883.373173
1.445962   648.792462   1268.603418   2404.960998   3834.917499
1.452212   643.304587   1257.701557   2418.675121   4117.130692
1.458462   646.320001   1275.048006   2442.601703   4742.196420
1.464712   628.965787   1270.574695   2452.081221   4925.663298
1.470962   603.420847   1266.508248   2446.728703   4822.272517
1.477212   526.909437   1260.370175   2459.868453   4814.778715
1.483462   569.655751   1240.566468   --undefined--   --undefined--
1.489712   526.708383   1209.920249   2457.809304   3882.579571
1.495962   308.064066   1204.882680   2544.404246   3902.053053
1.502212   435.088936   1401.388927   2833.001296   4175.392575
1.508462   721.546581   1748.253737   2941.558637   4189.471683
1.514712   962.821363   2039.743863   3269.782561   4235.629902
1.520962   993.621516   1987.259005   2265.290310   4038.179895
1.527212   912.762883   2300.343091   2303.511579   3926.192649
1.533462   1023.438554   2261.483785   3754.001582   4619.700278
1.539712   964.884577   2200.567490   3363.099300   4420.531014
1.545962   1078.133399   2137.494237   3665.918176   4459.473399
1.552212   1353.748699   1939.245724   2758.979749   3681.953564
1.558462   1160.361333   1748.625574   2750.466474   3658.801886
1.564712   1569.398201   1812.976898   2331.889034   3662.332760
1.570962   1031.192709   1847.296282   2268.926648   3663.181622
1.577212   887.008917   1794.462506   2468.222214   3673.040577
1.583462   873.242674   2028.455315   2346.613978   3670.920823
1.589712   804.383895   1928.564681   3136.939794   3638.151046
1.595962   775.207035   1916.768497   2980.652598   3724.166110
1.602212   788.888501   1915.617384   2552.330989   3436.529334
1.608462   1730.896045   1922.645539   3395.141979   4161.956302
1.614712   1626.871141   2022.682739   3383.391530   4219.381204
1.620962   1114.521774   1637.821835   2066.656113   3372.160840
1.627212   1131.636829   1608.702505   2191.705922   3296.613018
1.633462   1378.588261   1435.083619   1931.971135   3270.685194
1.639712   1219.135721   1409.363892   2081.103817   3364.121218
1.645962   1052.015498   1406.612027   2089.193606   3306.964911
1.652212   876.793388   1321.211385   1999.718462   3365.633063
1.658462   977.849110   1328.005473   1994.714043   3375.773823
1.664712   767.536889   1401.210357   1959.875798   3349.302274
1.670962   601.206094   1452.926562   1972.314807   3271.720594
1.677212   315.530545   1467.495332   1941.391053   3229.424897
1.683462   1355.653816   1819.029471   3288.716143   4435.227375
1.689712   244.360866   1399.518488   1803.010706   3313.206198
1.695962   317.841159   1388.206436   1759.309412   3275.840646
1.702212   378.365109   1376.186868   1780.827180   3176.775847
1.708462   393.918972   1377.974403   1791.831412   3088.455675
1.714712   394.945559   1468.265178   1869.527458   3138.737472
1.720962   397.621717   1472.194762   1924.166568   3089.238944
1.727212   402.172417   1495.404484   1987.942327   3039.230748
1.733462   384.872184   1545.147639   2037.245688   3080.003307
1.739712   365.144898   1648.393517   2193.877690   2990.673830
1.745962   371.022227   1708.839205   2764.993241   4087.813927
1.752212   368.972854   1692.341258   2954.348762   4226.385783
1.758462   355.912506   1655.599344   2739.838360   3794.617333
1.764712   288.624067   1724.468230   2452.896916   3803.398525
1.770962   305.349356   1892.647610   3462.808192   3875.729470
1.777212   308.585124   1943.733799   3596.327281   3793.844067
1.783462   2034.146699   3574.769950   --undefined--   --undefined--
1.789712   263.968338   1975.400863   2667.368962   3469.002811
1.795962   353.295310   1826.016534   2222.355670   3358.488058
1.802212   353.793715   1729.068015   2188.450612   3331.718609
1.808462   352.300757   1616.773194   2140.829559   3330.069489
1.814712   350.996410   1468.733472   1941.757883   3265.687538
1.820962   344.061699   1383.726611   1871.927768   3175.362372
1.827212   355.863882   1325.735389   1827.992897   3207.025937
1.833462   338.661261   1225.883139   1818.081805   3365.952185
1.839712   277.757783   1189.261505   1860.796030   3412.455536
1.845962   221.675321   1490.319524   1724.312657   3471.238646
1.852212   223.514482   1644.838540   2098.323842   3642.654242
1.858462   247.694085   1743.073767   2625.720568   3542.821110
1.864712   225.411496   1715.914381   2940.565145   3398.978105
1.870962   217.241690   1684.540720   3061.660707   3657.644967
1.877212   231.533009   1640.297323   3360.243954   3916.412094
1.883462   221.339730   1573.550495   2459.921475   3377.143099
1.889712   1405.443555   2164.303254   3267.934280   4409.812794
1.895962   292.881576   1393.187770   2272.915584   3293.515176
1.902212   355.418479   1340.784637   1766.034039   3262.002768
1.908462   374.763642   1299.900844   1723.830956   3039.623441
1.914712   388.371350   1385.234581   1743.982795   3047.272587
1.920962   401.466207   1437.378241   1809.302850   3061.127998
1.927212   413.689607   1504.650046   1853.314954   3077.279738
1.933462   419.765544   1553.241753   1919.895145   3109.082540
1.939712   421.718651   1597.408476   2005.857444   3187.410503
1.945962   418.874361   1627.945670   2066.822216   3272.774880
1.952212   404.272754   1668.260554   2113.526094   3334.387521
