Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   504.118855   1502.604677   2593.628543   3466.492305
0.031250   429.313936   1505.968883   2631.831734   3463.331069
0.037500   347.000641   1519.569610   2820.248193   3414.183819
0.043750   127.448794   1563.626937   2842.795265   4022.296784
0.050000   161.655423   1612.971167   2802.976585   4001.621939
0.056250   962.539536   1876.092537   2840.818649   3942.357174
0.062500   912.193346   1919.025384   2853.575420   3956.115032
0.068750   911.909831   1860.326804   2847.066448   4001.989292
0.075000   910.313265   1934.223790   2847.935720   4018.180153
0.081250   903.593002   1776.205886   2868.945024   4021.954961
0.087500   935.258139   1767.562122   2866.841933   3952.765806
0.093750   1082.349680   1863.290191   2918.773014   3772.625752
0.100000   150.423049   1346.134879   2845.780719   3400.498563
0.106250   1414.635356   2852.611292   --undefined--   --undefined--
0.112500   828.499675   1753.450934   2847.511664   3863.212440
0.118750   819.261430   1797.078306   2862.049517   3937.043822
0.125000   837.146639   1742.294455   2858.689196   4026.875070
0.131250   870.832569   1712.893642   2869.577862   4152.608142
0.137500   1048.766213   1675.877572   2903.975864   4238.185700
0.143750   1113.668567   1689.290390   2864.252854   4033.954762
0.150000   1187.280185   1582.736721   2830.535750   4114.188300
0.156250   1104.178348   1607.132581   2874.912275   4099.070336
0.162500   1229.366407   1478.520758   2904.741792   4055.116630
0.168750   920.982852   1685.696195   2860.063813   4203.336698
0.175000   913.808969   1760.304634   2876.720652   4166.061423
0.181250   592.672353   1628.087672   2877.729087   4067.804913
0.187500   373.980622   1592.361892   2870.659085   4021.393618
0.193750   967.467458   1645.145471   2864.380394   3855.437849
0.200000   998.245957   1815.252626   2860.833454   3814.953328
0.206250   1137.356244   1823.515604   2831.856223   3946.297669
0.212500   1085.009565   1575.045381   2837.640776   4135.064472
0.218750   883.088470   1680.868979   2865.162313   4148.426394
0.225000   890.641922   1720.349744   2851.443990   3973.275380
0.231250   879.295882   1805.463838   2860.452003   3829.299768
0.237500   895.215283   1666.807188   2880.831034   3981.997849
0.243750   1087.185414   1461.387033   2863.157804   3979.234022
0.250000   1097.191143   1791.141979   2865.792473   3939.946635
0.256250   969.075554   1829.907351   2837.026778   4055.988944
0.262500   905.467216   1747.750658   2828.766358   4016.815741
0.268750   998.934491   1539.858450   2843.296707   4175.106336
0.275000   992.474008   1652.218614   2843.880117   4025.441512
0.281250   874.625963   1724.013978   2855.596378   3915.007685
0.287500   884.995218   1730.142403   2849.768126   3919.877027
0.293750   1031.597645   1646.596882   2825.013831   3920.026023
0.300000   1289.596357   1314.335348   2813.698056   3918.831791
0.306250   1334.300767   2842.916727   --undefined--   --undefined--
0.312500   1156.080490   1575.124007   2845.149175   4118.376293
0.318750   1302.567682   2844.954166   --undefined--   --undefined--
0.325000   1347.791882   2858.553629   --undefined--   --undefined--
0.331250   985.628560   1847.188240   2870.070380   4056.975080
0.337500   888.542584   1773.187049   2847.501191   3968.873928
0.343750   986.614207   1576.444498   2845.241354   3961.876407
0.350000   1198.727917   1205.472497   2845.093779   4339.082507
0.356250   986.898578   1761.417326   2857.043788   4109.018161
0.362500   921.757507   1871.122973   2859.785592   4096.791650
0.368750   1024.916634   1716.273642   2838.883971   3920.718832
