Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1071.973890   2289.810187   2872.243735   3763.003465
0.031250   1109.643166   2301.156131   2828.870056   4106.324118
0.037500   861.468716   2509.977781   2915.661596   4323.733574
0.043750   606.138405   1619.617182   2532.588361   3642.371856
0.050000   616.535617   1684.233494   2586.372269   3633.000235
0.056250   625.407464   1703.818524   2499.048472   3369.809775
0.062500   646.641853   1645.049740   2676.116911   3434.832508
0.068750   654.788964   1610.464687   2749.672238   3601.682381
0.075000   675.914016   1597.046242   2751.231086   4128.742659
0.081250   740.947797   1929.303130   2857.416321   4192.966987
0.087500   813.509423   1882.474532   3081.003024   3248.879350
0.093750   937.595294   1443.890073   2606.893766   3513.631989
0.100000   843.585568   1400.280479   2527.438016   3794.016847
0.106250   763.241632   1534.400619   2289.226234   3741.116928
0.112500   822.869565   1871.830062   2923.557458   3763.036685
0.118750   972.913164   1859.793922   3147.056281   3885.507147
0.125000   850.545898   1848.622895   3066.171667   3874.618373
0.131250   814.430172   1784.089082   2987.926098   3768.850031
0.137500   898.879785   1709.784504   2756.841391   4144.611322
0.143750   918.726213   2119.264207   2829.589586   4214.300503
0.150000   631.444571   1812.994605   2830.797055   4223.164062
0.156250   609.206192   1710.933570   2775.681927   3516.232850
0.162500   782.311454   1648.690746   2887.891327   3531.855968
0.168750   783.176047   1644.181911   2832.906507   3351.456627
0.175000   732.385130   1645.310297   2847.506898   3391.150564
0.181250   755.338367   1578.473277   2611.445153   3293.120853
0.187500   1147.699852   2215.942581   3289.638338   4340.018273
0.193750   898.947169   1903.784836   2388.021714   3426.339073
0.200000   948.899719   1665.198751   2425.807907   3514.614711
0.206250   1192.622511   1856.242718   3008.057210   3860.441430
0.212500   1326.148207   1935.629960   2975.882757   3807.025751
0.218750   1220.967511   2007.255573   2408.684534   3804.906879
0.225000   1027.652834   1779.751882   2376.840916   3670.421405
0.231250   880.515177   1774.408390   2432.647418   3483.557003
0.237500   858.666646   1721.990721   2564.064570   3596.811745
0.243750   1084.996381   1861.846008   2594.871791   3865.079026
0.250000   987.086312   1796.359921   2540.286210   3374.960479
0.256250   1144.925019   1732.857880   2518.948934   3638.788580
0.262500   1059.968185   2350.691057   2538.787899   4114.495332
0.268750   944.503592   1742.349653   2492.467947   3597.867941
0.275000   728.320691   1658.035709   2331.753222   3603.396070
0.281250   650.106939   1598.695683   2187.934897   3579.136729
0.287500   1484.559803   2249.171143   3605.455139   4333.080196
0.293750   1069.468291   1799.619949   2607.315518   3632.998101
0.300000   1024.396935   1787.795152   2409.496647   3453.134784
0.306250   903.628323   1994.865550   2629.366089   3396.386771
0.312500   817.191350   2035.602239   2642.270395   3310.999269
0.318750   775.230905   1752.566975   2653.148179   3447.901938
0.325000   978.193545   1816.829933   2534.498969   3545.057249
0.331250   1000.437296   1849.654812   2921.084132   3650.960048
0.337500   769.837579   1874.098361   2506.473417   3530.410843
0.343750   774.274754   1922.241017   2431.156512   3501.778833
0.350000   782.595034   1821.245614   2670.839920   3525.899255
0.356250   789.847697   1778.904607   2464.432603   3549.936901
0.362500   680.420027   1774.960104   2598.182848   3618.067005
0.368750   753.318317   1867.847468   2859.814202   3574.830015
0.375000   810.808710   1843.140256   2837.910565   3729.920607
0.381250   802.014248   1867.689590   2805.894676   3731.646124
0.387500   1185.984509   1890.908815   3201.902824   4066.054493
0.393750   671.777413   1892.233570   2712.529053   3642.153840
0.400000   612.557650   1939.238223   2616.265491   3619.000612
0.406250   763.476733   1855.154573   2473.843790   3530.837066
0.412500   715.850702   1848.627110   2577.085376   3534.439341
0.418750   742.194883   1817.747667   2695.938071   3534.927149
0.425000   807.461564   1750.499071   2651.456362   3520.527653
0.431250   830.172718   1838.308666   2740.849943   3658.950902
0.437500   788.331957   1818.311056   2523.017143   3612.791430
0.443750   779.565335   1848.142495   2504.755087   3659.542830
0.450000   804.554425   1871.621769   2614.911237   3602.512448
0.456250   804.237498   1942.399759   2580.997548   3531.436106
0.462500   947.480904   2157.613701   3119.486950   4006.860491
0.468750   832.386323   2121.468599   3172.338339   3773.081551
0.475000   773.103020   1956.469050   2983.128911   3483.599385
0.481250   792.324142   1849.566691   2738.447358   3545.329701
0.487500   790.300330   1860.841015   2419.366122   3526.608799
0.493750   710.625127   1891.013340   2550.044744   3543.842074
0.500000   643.996286   1845.882538   2848.146918   3767.942138
0.506250   653.954093   1874.185510   2807.413930   3956.629994
0.512500   570.414908   1806.440787   2538.431604   3516.402750
0.518750   620.915569   1813.037791   2641.708688   3515.815393
0.525000   576.558453   1836.908321   2732.673354   3605.625376
0.531250   549.148977   1863.998718   2645.355112   3631.947114
0.537500   632.318086   1852.389873   2408.434018   3617.209151
0.543750   658.588872   1809.999508   2523.368582   3601.160550
0.550000   639.280654   1796.146675   2643.066754   3562.018663
0.556250   599.192710   1837.823089   2669.336104   3624.723256
0.562500   531.711915   1858.379328   2303.611745   3411.947424
0.568750   607.927183   1900.678508   3181.762606   4282.504117
0.575000   704.163683   1929.177448   3092.558099   3243.004505
0.581250   929.482696   1707.141349   1932.662153   3200.721407
0.587500   902.423683   1824.154109   2075.281472   3046.577803
0.593750   745.777192   1662.825478   2824.857490   3161.883135
0.600000   614.350980   1748.691084   2617.454117   3448.944946
0.606250   565.163644   1732.307126   2804.112941   3531.177017
0.612500   1050.334533   1883.948339   2936.307814   3919.846644
0.618750   894.345723   1887.449085   3002.422624   3889.923594
0.625000   820.301144   1852.578346   2997.187642   3989.272679
0.631250   680.947869   1879.967701   3108.743639   4163.466690
0.637500   920.966153   1941.391736   2989.261448   4019.146571
0.643750   632.057119   1807.348216   2926.435039   4015.404286
0.650000   747.230229   1815.289839   2742.017479   3959.533210
0.656250   727.953692   1579.692986   2443.652162   3603.551441
0.662500   637.353656   1507.944027   2550.749919   3496.001954
0.668750   546.989341   1473.336735   2480.384102   3490.926292
0.675000   582.278730   1556.055149   2427.756539   3565.281609
0.681250   498.780669   1615.915010   2540.211641   3757.767799
0.687500   685.464027   1856.124526   2741.749822   4083.597828
0.693750   467.556082   1875.858560   2916.915969   4111.719927
0.700000   562.163972   1685.833648   2827.878045   3915.916222
0.706250   589.533115   1560.330651   2570.332685   3451.674606
0.712500   618.729385   1558.368653   2569.984860   3557.570809
0.718750   626.219414   1700.242170   2501.741436   3541.749586
0.725000   511.124892   1270.997494   2491.291776   3586.178873
0.731250   337.652736   1851.728240   2791.289239   4006.763064
0.737500   809.011408   1983.223572   2962.291467   4221.902539
0.743750   705.634669   1938.872218   3115.975187   4215.586719
0.750000   603.530673   1779.043092   2095.380194   3371.639177
0.756250   585.579469   1561.518788   2351.429069   3479.312688
0.762500   652.630206   1739.794768   2883.125045   3347.803642
0.768750   745.496654   1763.816274   2776.074865   3346.802743
0.775000   840.326778   1665.026267   2307.313598   3341.898268
0.781250   883.443415   1550.696487   2166.421687   3236.927604
0.787500   868.511653   1421.111797   2289.766275   3784.401062
0.793750   890.727702   1317.937653   2348.875521   3886.518381
0.800000   1030.048988   2186.631382   3285.592434   4274.143287
0.806250   1310.234254   2318.309913   3729.876697   4309.335858
0.812500   1493.378072   2667.529950   --undefined--   --undefined--
0.818750   578.785806   1399.525702   2730.427600   3000.326379
0.825000   1051.070691   1488.889848   2623.462837   3224.210345
0.831250   770.443518   1479.822546   2579.956209   3193.174854
0.837500   1543.332044   2527.704052   3266.651210   4758.345717
