Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025924   369.476930   1672.163280   2837.354682   3695.478121
0.032174   362.536305   1656.187196   2835.013190   3660.521920
0.038424   471.266067   1683.153631   2846.366252   3706.997678
0.044674   620.543264   1660.750877   2870.835718   3692.347956
0.050924   747.272618   1608.634909   2895.906949   3625.883456
0.057174   1264.737902   1875.183867   3056.362324   3809.255064
0.063424   705.175125   1599.444805   2665.694534   3473.338310
0.069674   725.579527   1593.843930   2581.412104   3516.552711
0.075924   1131.122995   1534.711199   2978.303440   4329.861072
0.082174   541.402684   1415.680676   2649.819150   3297.375599
0.088424   661.502062   1363.453007   2698.256447   3527.798640
0.094674   741.574093   1399.828478   2659.768501   3482.243772
0.100924   642.248159   1609.795642   2648.530488   3468.384175
0.107174   692.396820   1666.084373   2676.463820   3402.781393
0.113424   667.861295   1676.192227   2696.980962   3305.317241
0.119674   607.870202   1605.372087   2478.052868   3453.110398
0.125924   541.435742   1627.171600   2512.955721   3508.703529
0.132174   569.186210   1596.685590   2601.534623   3538.506440
0.138424   654.963730   1599.706239   2724.632520   3530.759759
0.144674   703.900033   1611.861864   2699.822283   3561.792765
0.150924   683.476802   1587.362628   2610.171552   3555.177873
0.157174   799.228357   1572.846130   2545.392345   3548.746578
0.163424   703.329676   1562.494182   2402.592264   3638.585223
0.169674   766.597634   1652.884498   2335.224571   3631.192405
0.175924   870.200000   1827.975270   2883.023924   4082.677992
0.182174   746.722389   1735.120551   2902.473833   3433.280766
0.188424   793.821444   1608.072525   2752.490416   3464.652165
0.194674   809.479835   1712.390337   2817.202011   3758.848775
0.200924   684.786379   1704.046248   2865.295561   3728.621564
0.207174   608.832412   1637.197422   2800.856425   3556.734891
0.213424   533.294669   1731.644950   2639.056522   3455.875329
0.219674   701.756347   1496.028759   2248.169548   3587.267184
0.225924   660.144954   1481.991265   2414.552178   3567.730165
0.232174   585.770772   1549.092309   2477.265965   3500.907843
