Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027378   852.941755   2213.664610   3200.591810   3575.674781
0.033628   217.726437   904.852802   2186.580779   3327.514379
0.039878   598.475429   942.273916   2090.809435   3357.195678
0.046128   935.639734   1097.259290   1924.188777   3341.118512
0.052378   598.728229   1621.836293   2953.171330   3276.273247
0.058628   525.450302   1597.235455   2329.478013   3367.351391
0.064878   841.328480   1988.148470   3241.293275   3455.982203
0.071128   574.796148   1452.385340   2155.269161   3382.327085
0.077378   404.246783   1557.747092   2221.582572   3390.129532
0.083628   392.559278   1745.657075   2242.024615   3375.256223
0.089878   506.555166   1872.079798   2965.806783   3376.085441
0.096128   716.167234   1909.564788   2572.652778   3019.044591
0.102378   527.563831   1915.628191   1932.470893   3158.174353
0.108628   537.311622   1601.951931   2095.118480   3058.261734
0.114878   521.465733   1809.129287   2336.898577   3175.242603
0.121128   534.048735   1801.999351   2457.468890   3604.966196
0.127378   806.909790   1917.321984   3210.655034   3554.758118
0.133628   676.417222   1885.846951   2815.125390   3518.149864
0.139878   603.154200   1466.846828   2310.531651   3376.185461
0.146128   455.637339   1512.813945   2350.120895   3337.484832
0.152378   368.424333   1554.409384   2524.034251   3354.717475
0.158628   453.570050   1645.570315   2570.807423   3296.915831
0.164878   529.627763   1785.465676   2651.389333   3707.379886
0.171128   503.197167   1671.557160   2264.985814   3265.587601
0.177378   486.271282   1659.933855   2423.611187   3415.021013
0.183628   468.034720   1642.998565   2391.952690   3365.982011
0.189878   416.294546   1613.724006   2465.530188   3294.841290
0.196128   418.475506   1754.931399   2545.232785   3509.480533
0.202378   413.072094   1746.092073   2414.496028   3365.275360
0.208628   430.503115   1482.251623   2458.550231   3264.282513
0.214878   433.319053   1353.453416   2486.694704   3178.448328
0.221128   384.715719   1420.625603   2400.458034   3198.789004
0.227378   465.230323   1332.539325   2382.269580   3231.621874
0.233628   534.856604   1372.495996   2257.366515   3089.912202
0.239878   463.018963   1491.779194   2590.341028   3942.174241
0.246128   367.565514   1379.413091   2402.854229   3525.416001
0.252378   571.006252   1128.444772   2172.202446   3330.429353
0.258628   602.248711   1552.344995   2690.339273   3810.388333
0.264878   437.865515   1609.525035   2714.659410   3809.380935
0.271128   473.259075   1730.835147   2655.002463   3644.120155
0.277378   451.735166   1434.997056   2458.567938   3331.451256
0.283628   415.778158   1523.958239   2595.060501   3735.920953
0.289878   437.146078   1501.363413   2528.553196   3647.063357
0.296128   500.183735   1564.983468   2095.255276   3026.431156
0.302378   472.946856   1621.805719   2762.960883   4001.071178
0.308628   533.759499   1431.898404   2798.610094   2803.650552
0.314878   487.113667   1352.263205   2523.243931   3070.158628
0.321128   456.107293   1177.104792   2303.477818   2930.720196
0.327378   524.228621   1219.963239   2525.798054   2972.141698
0.333628   461.714039   1446.596452   2321.156747   2970.709453
0.339878   468.055488   1668.271192   2693.871181   3660.141996
0.346128   482.553630   1380.800533   2512.472555   3940.282677
0.352378   452.710725   1357.700325   2544.443601   3587.935032
0.358628   464.557720   1626.989010   2200.924530   3437.334474
0.364878   606.613487   1761.349630   2789.565403   3826.841501
0.371128   580.050849   1737.296634   2440.164127   3552.394278
0.377378   530.080245   1426.074938   2249.114648   3323.395049
