Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   934.979738   1920.564485   3090.274745   3692.721427
0.031250   920.560191   1830.498684   3087.842654   4411.234821
0.037500   900.363046   1067.739947   1995.036775   3145.042150
0.043750   828.000049   1713.998013   2818.094418   3630.071613
0.050000   847.958037   1608.181879   2574.475576   3402.123173
0.056250   743.281333   1616.769364   2314.171869   3292.503742
0.062500   945.242763   1720.564678   2813.015348   3714.165797
0.068750   1061.070462   1599.551297   2683.938639   3996.661786
0.075000   608.936604   1602.952995   2751.864286   3294.871846
0.081250   669.534247   1693.316811   2942.905271   3807.064347
0.087500   716.383477   1662.526442   2635.445104   3812.504291
0.093750   660.174575   1733.100330   2662.129761   3826.949895
0.100000   645.434764   1686.958876   2788.544587   3709.134191
0.106250   745.655869   1786.099973   2775.808894   4101.083950
0.112500   737.086119   1692.532565   2654.220389   3974.080277
0.118750   963.393246   1728.090087   2723.356466   4006.157601
0.125000   845.123734   1580.945231   2738.178998   4199.811374
0.131250   849.594946   1579.599969   2744.846492   4076.472446
0.137500   886.773882   1600.335096   2726.225079   3946.552766
0.143750   969.753984   1510.629117   2629.745679   3902.441072
0.150000   972.644994   1528.504554   2693.427428   3820.151843
0.156250   990.658108   2015.722688   2724.679989   3751.602292
0.162500   1084.890438   2000.113956   2918.772652   3765.957419
0.168750   999.236855   1933.484263   3065.080340   3967.373216
0.175000   1000.763341   1822.055337   3027.881385   3843.064206
0.181250   1404.131039   2481.307013   3353.801918   4625.589371
0.187500   1038.918366   1644.705805   2841.900209   3418.793499
0.193750   969.688488   1861.675225   3182.678840   3797.070363
0.200000   1011.540345   1924.974608   2970.786092   3957.586090
0.206250   1093.141021   1927.724405   2855.342349   3916.418919
0.212500   1150.736404   1970.737803   2906.236237   3852.209871
0.218750   1109.752953   1832.815698   2795.003999   3715.728659
0.225000   1084.517701   1776.887005   2798.653098   3694.014079
0.231250   1061.362815   1803.802875   2744.717741   3727.135298
0.237500   1149.057814   2003.482489   2547.577621   3559.320168
0.243750   1162.832729   1973.493431   3111.719541   3729.580104
0.250000   1043.194449   1973.881044   3022.440328   3688.997678
0.256250   912.547063   1936.600187   2989.429183   3607.326064
0.262500   1026.853517   1842.159425   2949.388379   3716.045997
0.268750   1107.940587   1899.513119   2877.851756   3906.946673
0.275000   960.805970   1873.794131   2921.154342   3816.852211
0.281250   927.573919   1912.630535   3174.697051   3930.220343
0.287500   1075.633285   2136.660413   3174.256469   4115.814872
0.293750   1118.420789   2295.918913   3285.629739   3815.916225
0.300000   1075.324076   2141.505324   2632.879720   3668.295722
0.306250   1152.203208   2095.643748   2815.626564   3938.821877
0.312500   1054.351438   1733.071683   2743.212117   3950.102819
0.318750   858.526595   1677.800124   2714.179436   3739.268877
0.325000   791.924828   1591.804425   2700.828800   3886.978061
0.331250   750.921380   1537.188006   2680.288180   3921.706051
0.337500   760.851821   1547.172067   2626.693398   3931.448786
0.343750   846.213782   1416.710585   2470.117883   3407.827847
0.350000   910.112815   1799.700645   2733.521980   3791.125653
0.356250   858.854973   1808.043087   2825.956847   3936.377193
0.362500   921.423299   1727.961703   2711.184631   3813.877659
0.368750   975.649561   1755.708406   2734.130216   3814.747039
0.375000   857.040306   1727.502656   2765.324006   3536.232188
0.381250   896.387228   1552.600758   2784.919691   3653.822559
0.387500   907.183105   1713.767195   2878.109054   4038.808019
0.393750   837.871089   1804.573447   2894.093616   4160.905032
0.400000   882.960751   1356.476686   1832.223065   3179.857148
0.406250   808.043005   1583.185505   1975.462976   3294.806207
0.412500   818.910861   1674.185668   2355.866231   3076.733591
0.418750   716.149815   1611.197692   2667.721291   3558.494424
0.425000   728.095700   1642.016791   2702.376235   3530.718738
0.431250   695.208262   1685.502179   2623.263000   3554.761534
0.437500   671.639734   1616.752878   2453.294056   3572.278989
0.443750   716.774523   1655.527868   2580.897286   3823.078774
0.450000   940.833297   1775.358165   2719.941601   3869.928300
0.456250   766.926196   1645.032138   2633.598974   3750.462137
0.462500   803.456146   1542.237576   2671.939418   3694.917140
0.468750   1148.987039   1898.601520   2228.983930   3544.668498
0.475000   1325.078581   1736.350845   2637.120452   3705.915690
0.481250   858.911139   1417.343374   2656.991574   3827.855753
0.487500   789.097218   1554.329724   2677.078478   3981.380142
0.493750   798.218982   1693.442958   2759.308487   4099.778641
0.500000   806.325830   1502.789018   2606.694712   3359.311512
0.506250   904.180966   1690.911701   2700.920599   3405.943756
0.512500   967.587579   1729.669328   2821.421344   3862.811633
0.518750   930.181201   1682.289379   2804.910532   3898.428012
0.525000   1044.085379   1685.941219   2933.852210   3991.394450
0.531250   685.166682   1452.979789   2696.768001   3479.012464
0.537500   583.343698   1402.310723   2732.911377   3518.111440
0.543750   370.354726   1361.213918   2761.499175   3552.006825
0.550000   390.342304   1413.760220   2792.987983   3687.043762
0.556250   407.908123   1419.304974   2710.976940   3622.115046
0.562500   420.622466   1424.819257   2711.398099   3513.377967
0.568750   413.251778   1461.290263   2857.068340   3859.863406
0.575000   406.555219   1486.108634   2794.710049   3762.172520
0.581250   400.388702   1513.986525   2666.509207   3751.037414
0.587500   386.823435   1530.259407   2797.705903   3740.310166
0.593750   389.098935   1521.807507   2928.779434   3735.781451
0.600000   394.466468   1528.512237   2939.542131   3704.416914
0.606250   403.429957   1604.482560   2817.196107   3712.024160
0.612500   411.941834   1738.838211   2667.177743   3718.245094
0.618750   377.737695   1775.886183   2250.356505   3601.930650
0.625000   348.332242   1845.355758   2309.524865   3665.151021
0.631250   334.215456   2111.879989   2533.894514   3523.298121
0.637500   323.117610   2286.125530   2669.672777   3909.467832
0.643750   314.324501   2176.308378   2453.744558   3494.928740
0.650000   316.788000   1838.419994   2489.199578   3532.674006
0.656250   325.535350   1744.357220   2489.074829   3581.260815
0.662500   325.971010   1792.371817   2535.773209   3578.621021
0.668750   327.727257   1750.936944   2734.318036   3673.437097
0.675000   340.455051   1731.650091   2783.338430   3638.862882
0.681250   375.677278   1859.279883   2672.231141   3620.184607
0.687500   402.010875   2556.764182   3500.614991   4202.309724
0.693750   391.351128   2591.233098   3476.072589   4171.183599
0.700000   362.740807   2692.202574   3677.684621   4139.836454
0.706250   350.150337   1709.406885   2995.775714   4082.843023
0.712500   355.197150   1786.665359   3063.491246   4093.246893
0.718750   366.967946   1757.669770   3002.755415   4026.987787
0.725000   359.601116   1685.793785   2939.058458   3668.585109
0.731250   356.966352   1687.054483   2814.061405   3761.305104
0.737500   363.636591   2265.436835   2883.321695   4125.976449
0.743750   363.671368   2269.538896   2948.563091   4181.149063
0.750000   352.959049   2113.667813   2867.308205   4136.656095
0.756250   327.189657   1954.214356   2918.405235   4116.993883
0.762500   304.063317   1942.042395   2974.182073   3922.826905
0.768750   278.472174   1904.731117   3074.286862   3926.961277
0.775000   243.614023   1748.230494   3157.272947   3919.526612
0.781250   273.411332   1734.012524   3256.233697   3954.765258
0.787500   310.235560   1751.304646   3289.705596   3969.226932
0.793750   324.043838   1817.408369   3325.397602   4005.170679
0.800000   307.107002   1809.979324   3486.923803   4099.227658
0.806250   311.765135   1751.035304   3610.085163   4266.222476
0.812500   328.542932   1681.872673   3783.320568   3836.115946
0.818750   347.145660   1792.575558   3717.561158   4048.472986
0.825000   374.010529   1783.434444   3605.616716   4164.075282
0.831250   225.157179   1676.784343   3210.807659   4152.321973
0.837500   1598.958291   2289.686863   3906.101182   4576.049170
0.843750   1577.339002   2114.140563   3854.105470   4590.346668
0.850000   1439.868596   2090.410184   3831.275124   4453.885442
0.856250   1431.796508   2181.898085   3692.476971   4318.961204
0.862500   1420.602077   2251.040578   3474.240030   4022.360983
