Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   551.451889   1475.195394   2476.135873   3375.098535
0.031250   476.468362   1406.689759   2433.740317   3199.873295
0.037500   1233.385574   2294.242729   3119.848911   4511.139816
0.043750   1133.936778   2177.407238   3114.930870   4476.785160
0.050000   727.172964   2280.565191   3277.232887   4321.752553
0.056250   962.022290   2420.735812   3413.478092   4294.598975
0.062500   1136.352573   2457.174351   3481.964349   4543.275208
0.068750   610.701143   2220.862195   3348.464099   4522.794554
0.075000   786.823061   2207.761262   3279.125401   4614.804045
0.081250   1080.446175   2383.076345   3229.608460   4474.269102
0.087500   1213.321238   2411.893738   3295.814369   4501.093804
0.093750   963.379845   1267.936836   2477.409299   3506.498293
0.100000   1151.335058   2338.078614   3259.371039   4441.781942
0.106250   1269.260431   2410.877211   3403.525406   4558.010728
0.112500   797.223413   1384.832892   2432.148488   3789.040293
0.118750   713.222691   1832.737059   2382.685566   3773.333856
0.125000   1135.454588   2334.912321   --undefined--   --undefined--
0.131250   1233.496859   2229.374017   --undefined--   --undefined--
0.137500   882.424245   1968.260561   2700.560469   3505.204202
0.143750   695.583520   2020.866332   2921.355652   3888.014874
0.150000   686.780496   2100.109245   3072.156083   3555.059723
0.156250   871.360292   2222.623082   --undefined--   --undefined--
0.162500   1226.826329   2391.535289   --undefined--   --undefined--
0.168750   1326.990415   2382.970789   --undefined--   --undefined--
0.175000   790.264195   1565.473146   2759.783591   3403.319291
0.181250   730.460988   1772.593152   2212.695702   3329.836070
0.187500   636.243411   2162.101642   2335.344039   3507.013843
0.193750   1291.481791   2313.780600   --undefined--   --undefined--
0.200000   634.115625   2001.119378   2861.440211   3412.675333
0.206250   622.548415   1921.552159   2658.554526   3640.670932
0.212500   879.512582   1973.396811   3094.689793   3735.157504
0.218750   1042.909833   2115.686832   3127.553329   3950.573316
0.225000   1018.262569   2213.442539   3287.991789   4407.413885
0.231250   1070.419945   2121.129030   3104.833217   4091.947323
