Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   480.555676   1418.911012   2588.324879   3555.627785
0.031250   1183.734204   1649.866903   2821.312791   3869.284433
0.037500   1071.095895   1918.040801   2871.752449   3863.332283
0.043750   723.832833   1663.573433   2538.797329   3577.535329
0.050000   572.273543   1591.658357   2473.113621   3565.517141
0.056250   344.445225   1530.737761   2420.004758   3499.563211
0.062500   335.444936   1512.569861   2362.712966   3381.817354
0.068750   402.763227   1139.319757   2277.427446   3333.840089
0.075000   1305.622185   2321.802000   3428.361211   4612.386697
0.081250   1129.062715   2223.006902   3323.280351   4532.158698
0.087500   418.888160   1277.313330   2335.349795   3388.821655
0.093750   359.646808   1460.638009   2372.664802   3449.410995
0.100000   305.077438   1729.569876   2404.534543   3833.450688
0.106250   449.868026   1918.444569   2845.259850   4052.395767
0.112500   633.462209   1962.948305   2904.476218   4061.191261
0.118750   292.982953   1409.485074   2546.333794   3429.470291
0.125000   278.942157   1385.025113   2536.114344   3368.288016
0.131250   385.401199   478.474943   2130.725236   3117.934932
0.137500   514.303670   2136.902097   3190.888040   4372.345357
0.143750   377.739699   1711.853382   2652.236720   3591.693654
0.150000   413.781742   1552.089538   2555.703300   3413.503341
0.156250   357.850635   1534.794221   2545.199859   3376.141539
0.162500   301.183599   1530.821678   2617.059846   3474.784414
0.168750   299.372403   1566.056000   2479.997117   3464.765302
0.175000   357.796493   1518.918368   2359.469738   3434.725637
0.181250   297.076469   1503.984006   2377.064246   3463.906561
0.187500   282.567712   1663.523983   2674.656004   3331.689128
0.193750   314.763033   1589.352350   2918.738262   2938.398563
0.200000   1609.782429   2523.591356   2957.164352   4410.311309
0.206250   112.894147   1442.390442   2524.326290   3335.435124
0.212500   420.471010   1561.271143   2553.590271   3297.837546
0.218750   513.825423   1509.097604   2579.265060   3631.570827
0.225000   447.344872   1626.842210   2753.408291   3857.938936
0.231250   607.565348   1691.084152   3049.337141   3053.346624
0.237500   519.206718   1685.781250   2377.013441   3305.680042
0.243750   1464.412264   2384.594846   3444.968331   4614.698437
0.250000   641.832662   1720.605375   3299.388489   3638.748730
0.256250   851.222271   1892.593864   2964.775251   3987.178406
0.262500   196.110337   1676.793055   2764.042966   3972.225442
0.268750   551.122773   1797.017733   2899.200423   4147.510723
0.275000   1100.015246   1767.846377   2931.181233   4188.133576
0.281250   582.418085   1740.032059   2732.638620   4039.169488
0.287500   714.128442   1513.783323   2416.023928   3844.379515
0.293750   571.955657   1276.464284   2413.654831   3643.712892
0.300000   521.867788   1426.264195   2703.203276   3996.231994
0.306250   1386.975173   2513.666344   3650.335053   4350.615707
0.312500   376.988883   1417.898886   2680.134199   3583.298005
0.318750   302.149343   1469.752145   2704.584147   3803.430551
0.325000   1192.283289   2199.777960   2744.471418   4002.778871
0.331250   1338.840241   2275.250104   2890.337723   4251.999426
0.337500   1267.453786   2430.336651   3468.695386   4478.599967
0.343750   483.003169   1362.650941   2510.659704   3687.038486
0.350000   363.129537   1492.629036   2552.132624   3667.662640
0.356250   470.000013   1558.809737   2533.474776   3471.935440
0.362500   331.907636   1477.736814   2492.779616   3509.834921
0.368750   300.895263   1449.342820   2433.306580   3566.825882
0.375000   1342.697896   2288.412716   3494.906467   4446.475074
0.381250   173.260188   1348.196128   2359.620358   3508.799162
0.387500   304.099339   1433.623254   2438.177418   3555.948500
0.393750   481.446114   1913.756187   2555.173701   3927.541543
0.400000   473.492124   1817.858544   2175.886166   3367.529834
0.406250   342.257270   1481.338524   2477.105037   3373.836258
0.412500   307.301237   1679.277789   2573.175572   3692.221306
0.418750   311.016129   1764.981419   2726.807869   3871.314979
0.425000   246.125767   1769.076115   2716.567633   3751.223098
0.431250   148.627164   1487.954727   2463.863177   3465.531516
0.437500   229.898395   1691.328602   2186.635733   3454.611232
0.443750   410.374322   1256.476046   2501.082882   3275.404128
0.450000   486.379113   1258.965800   2438.928594   3290.611845
0.456250   438.798791   1200.580834   2375.758572   3625.047427
0.462500   1073.259821   2162.465681   3614.226260   4770.102853
0.468750   205.922227   1600.371969   2867.249828   2983.325674
0.475000   272.143104   1359.206390   2261.816811   3272.077256
0.481250   315.257574   1284.641130   2205.183275   3275.693056
0.487500   1360.305089   2307.500793   3168.279419   4512.422415
0.493750   1258.584333   2473.231115   --undefined--   --undefined--
0.500000   206.617456   1348.141674   2463.399950   3358.560615
0.506250   327.039185   1548.860162   2611.106436   3589.450882
0.512500   286.351758   1462.771438   2460.601465   3610.516684
0.518750   258.524442   1402.056213   2484.277263   3665.883843
0.525000   334.854454   1592.500628   2503.291693   3808.189670
0.531250   362.883651   1535.580061   2529.662246   3762.603842
0.537500   263.005398   1457.669094   2517.644678   3806.730902
0.543750   263.488604   1538.273388   2722.450139   4240.304294
0.550000   289.740939   1490.006539   2671.501861   3770.716839
0.556250   285.211420   1898.686136   2715.458103   3885.412689
0.562500   274.908556   1972.022463   2718.722565   3919.893503
0.568750   229.437809   1910.614831   2565.599615   3889.477237
0.575000   239.312999   1794.860102   2571.136822   3387.057590
0.581250   250.095640   1833.959505   2237.070348   3385.254258
0.587500   1107.536653   2152.725187   2737.025352   3927.538142
0.593750   1157.615481   2108.743919   2650.166061   3953.763535
0.600000   1174.454584   2070.250951   2412.219660   3955.867649
0.606250   1167.246300   2216.897876   2644.836638   3974.739894
0.612500   1119.710604   2326.467191   2894.284982   4124.380149
0.618750   346.906792   1407.558727   2432.093985   3516.675252
0.625000   392.662923   1513.956312   2414.777366   3308.934365
0.631250   322.220792   1615.599421   2319.584835   3334.581506
0.637500   220.216556   1369.426103   2299.026820   3524.297428
0.643750   250.538617   1373.810644   2295.654962   3346.747812
0.650000   363.127553   1601.116464   2398.850624   3456.475281
0.656250   327.526584   1480.247502   2437.951291   3708.510879
0.662500   304.076517   1414.193139   2382.054976   3575.963452
0.668750   340.266473   1466.985625   2365.090310   3544.408654
0.675000   317.551335   1523.537554   2340.729859   3505.601312
0.681250   296.262599   1514.601011   2431.709220   3847.043421
0.687500   288.641153   1488.015007   2420.457338   3762.736004
0.693750   309.489069   1400.318773   2443.466534   3577.051311
0.700000   312.488925   1445.105364   2458.163984   3795.171085
0.706250   325.179456   1447.315531   2431.263139   3675.465710
0.712500   365.631417   1485.424804   2335.855294   3532.225214
0.718750   449.990227   1588.681737   2345.986616   3472.943196
0.725000   365.668083   1534.042449   2527.514085   3886.952687
0.731250   357.809013   1439.885245   2413.804037   3922.509772
0.737500   517.698772   1392.928170   2462.683632   3933.051929
0.743750   852.687661   1535.385439   2477.945856   3773.049458
0.750000   938.275832   1352.785659   2389.440353   3859.019802
