Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   319.681298   1465.361236   2552.960732   3356.430353
0.031250   1249.235775   1696.639755   2960.414106   3931.613271
0.037500   1160.813979   1953.867910   2976.081686   4299.421810
0.043750   1098.388501   2002.740897   2993.945472   4035.982794
0.050000   700.829585   1976.757734   3107.197213   4153.730110
0.056250   1048.818103   2027.911992   2935.558188   3834.837341
0.062500   1054.302375   2070.337957   2936.329266   3843.119532
0.068750   1030.541078   2178.623062   3078.584457   3987.193339
0.075000   970.906862   2128.529816   3016.770880   3948.764217
0.081250   980.981909   2194.253280   3018.564777   3897.890628
0.087500   1135.086085   2194.972186   2954.659687   3857.935850
0.093750   1084.966023   2044.056547   2943.969779   3890.926592
0.100000   968.276072   2091.536848   2992.802283   3833.807096
0.106250   956.414037   2196.150333   2866.540176   3694.300374
0.112500   1007.252962   2135.968566   2889.650883   3790.152001
0.118750   1077.284819   2083.372034   2944.508557   3970.442380
0.125000   1180.686543   2129.216027   2893.955376   3944.474173
0.131250   1232.877598   2273.586899   2834.735823   3825.639590
0.137500   1206.057263   2322.213084   2714.513540   3806.659039
0.143750   1116.837847   2037.925594   2848.175126   3911.896173
0.150000   655.829097   1892.601049   2952.322372   3835.371186
0.156250   405.169508   1353.480079   2850.943847   3501.939251
0.162500   1308.395340   2690.124889   --undefined--   --undefined--
0.168750   1249.402683   2318.979914   3047.852360   4013.184672
0.175000   959.007427   2269.879208   2989.235100   3887.965529
0.181250   986.801017   2178.599569   2922.251806   3942.002028
0.187500   1014.193805   2126.431245   2821.004593   3926.202843
0.193750   995.568366   2163.793871   2951.810209   3939.517219
0.200000   1005.249376   2122.967532   3036.813954   4032.580718
0.206250   1123.012611   2105.317592   2998.261211   3876.748791
0.212500   1117.864259   2127.045943   2962.055555   3856.234651
0.218750   1119.469032   1863.291841   2924.693476   3913.747816
0.225000   1277.783082   2238.197972   2836.637238   3782.524525
0.231250   1340.771592   2480.528704   3123.706347   3559.848380
0.237500   966.458903   1973.718146   2852.566942   3763.630177
0.243750   943.643435   2043.474240   2833.361977   3713.333197
0.250000   896.846889   1965.382428   2905.471777   3719.470337
0.256250   873.824924   1949.286193   2956.687532   3678.537976
0.262500   972.460120   1983.797772   2936.247450   3659.679454
0.268750   1007.699960   1889.269039   2953.287631   3676.413210
0.275000   1037.627389   1892.032897   2922.111299   3696.746929
0.281250   1022.365067   1901.582269   2904.554849   3632.220614
0.287500   1018.989258   1972.533223   2856.205247   3606.350684
0.293750   1042.374621   2054.688285   2874.402042   3638.349588
0.300000   1083.486577   2121.207443   3222.944900   3366.906079
0.306250   1169.284338   2179.587536   3143.247545   3386.067813
0.312500   1286.370400   1841.052852   2812.510695   3497.146021
0.318750   1173.294154   1724.362798   2796.892164   3489.242090
0.325000   1001.927247   1630.922413   2785.738811   3481.487210
0.331250   1203.752794   2066.084631   2818.905625   3466.527385
0.337500   1300.960057   2059.907572   3252.057747   3273.699124
0.343750   1378.621497   1874.102301   2808.031143   3485.455310
0.350000   1467.119213   1919.665550   2914.307024   3545.543054
0.356250   1578.617379   2058.343571   3283.803671   3565.019792
0.362500   1256.591923   2149.511416   3123.932643   3759.258710
0.368750   1376.467177   2097.262340   3040.483299   3512.019334
0.375000   1368.934939   2126.575094   2998.648596   3434.381361
0.381250   1642.108643   1747.784886   3158.507912   3381.077507
0.387500   1268.937464   1831.313126   3107.407865   3620.542423
0.393750   1262.918490   1849.621376   3114.289120   3542.903151
0.400000   1199.395498   1861.695323   3223.300956   3628.618188
0.406250   946.617529   1875.966425   3117.823901   3793.408681
0.412500   1019.650802   1909.871580   3191.408009   3400.311853
0.418750   1374.772358   1903.660277   3057.972936   3411.424096
0.425000   1384.207593   1779.334837   2983.803354   3399.367711
0.431250   1089.875643   1915.546081   3240.044372   3423.482369
0.437500   1133.537385   1860.419085   3091.844427   3631.092329
0.443750   1586.797948   1681.361335   2968.486216   3418.813231
0.450000   1430.383653   1914.117804   3125.819477   3601.515797
0.456250   1389.985838   1795.148736   3006.511917   3654.478597
0.462500   1791.867033   2807.428947   --undefined--   --undefined--
0.468750   1759.272825   1868.245096   2903.547348   3344.100422
0.475000   1231.847416   2000.474830   3178.664822   3781.150737
0.481250   1189.679637   1901.503368   3013.379323   3754.639505
0.487500   1482.411716   1772.205643   2981.614639   3767.001751
0.493750   1520.673803   1768.540410   2971.100498   3862.443808
0.500000   1711.621203   1733.682458   3013.983079   3834.845114
0.506250   1610.846186   1749.169804   2909.047267   3823.932617
0.512500   1786.208031   2817.568931   --undefined--   --undefined--
0.518750   1810.467279   2971.461587   --undefined--   --undefined--
0.525000   1730.084128   1760.199476   2913.073820   3578.407403
0.531250   1771.390210   1872.429487   2963.812145   3510.405434
0.537500   1564.393121   1759.494789   2897.369432   3445.196938
0.543750   1337.254251   1789.337053   2929.787666   3583.388125
0.550000   1362.319692   1811.189217   2933.615230   3636.596295
0.556250   1603.121205   1861.270535   3067.600741   3492.521800
0.562500   1653.783778   1830.637068   2746.720032   3482.287784
0.568750   1542.737523   1767.552627   2765.337609   3371.195525
0.575000   1523.179977   1968.854939   2767.120293   3472.789561
0.581250   1407.188924   1753.974372   2785.005316   3446.434303
0.587500   1111.892514   1762.476622   2815.662659   3576.020949
0.593750   1171.285134   1831.319099   2739.939853   3599.821877
0.600000   1166.401893   1878.259006   2787.751666   3736.611160
0.606250   1225.422015   1686.342240   2737.716936   3751.608324
0.612500   1053.642271   1754.717955   2833.313414   3726.264750
0.618750   1293.819267   1783.762176   2766.400763   3911.686050
0.625000   1240.284071   2033.500776   2783.650738   3538.990469
0.631250   1165.307286   1897.654686   2848.793951   3733.432578
0.637500   984.813603   1889.351358   2987.091752   3813.355967
0.643750   1062.463806   1875.941028   2995.522190   3803.977233
0.650000   1239.508202   1981.282789   2964.139156   3863.741306
0.656250   1348.428994   2282.278435   3273.414127   3552.823939
0.662500   1282.143901   2089.871789   2910.944071   3866.961933
0.668750   1132.054831   2071.615531   2914.933582   3877.366188
0.675000   996.910962   1965.341004   2939.421539   3886.104361
0.681250   945.595346   2001.762722   3007.198509   3850.924125
0.687500   1009.767990   2054.441288   2828.718791   3775.905051
0.693750   1253.394508   2011.875667   2816.010224   3720.388021
0.700000   1262.157090   1915.588105   2958.806781   3892.290479
0.706250   1034.017393   1992.243499   2967.456595   3841.317413
0.712500   1023.388158   2023.284573   2938.822484   3771.097360
0.718750   1443.863672   2451.428502   2519.134083   3449.109415
0.725000   1384.677956   2310.098391   2787.620555   3716.092868
0.731250   1180.511402   1990.399404   2817.472332   3876.436234
0.737500   1051.907373   2047.744519   2890.387404   3935.319653
0.743750   1079.985985   2162.881282   2854.835506   3949.048849
0.750000   956.636485   2073.447076   2846.590538   3951.342487
0.756250   980.487033   2039.133202   2841.275578   3837.473652
0.762500   876.955884   2023.126426   2951.251410   3839.038123
