Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   538.681517   1951.077295   2678.590440   3656.695365
0.031250   255.495190   1707.944063   2510.206960   3625.642265
0.037500   351.781032   1673.933476   2538.290667   3661.794728
0.043750   991.417822   2123.878403   3244.257966   3867.027097
0.050000   1128.204600   2173.702993   3123.176185   3888.386573
0.056250   780.837121   1348.465860   2733.862091   3679.743096
0.062500   494.029250   1278.264248   2503.025649   3492.765840
0.068750   629.098044   1454.201549   2398.320723   3539.139290
0.075000   591.020279   1502.314419   2767.100631   3548.152576
0.081250   458.745009   1543.613964   2676.437060   3487.312814
0.087500   514.784637   1747.137009   2661.577642   3551.119428
0.093750   1164.959672   2015.409316   2983.103313   3960.005318
0.100000   1229.716139   2028.929319   2881.179582   4094.084850
0.106250   747.921989   1480.217833   2805.299797   3583.274880
0.112500   1251.046549   2019.102058   3196.012175   3980.256449
0.118750   1344.027012   2063.044251   3239.951184   4119.156578
0.125000   1342.493757   2511.381199   3530.995393   4439.519355
0.131250   1303.249865   2634.259411   3562.445174   4458.432250
0.137500   1307.652916   2558.655006   3421.573682   4442.027625
0.143750   979.734960   1901.193511   3039.650010   4188.741245
0.150000   806.890604   2027.857049   2960.256061   4121.849212
0.156250   760.728029   1524.219129   2489.066169   3436.512643
0.162500   697.636120   1466.310874   2418.423504   3473.866038
0.168750   1181.522463   2237.608522   3110.733487   4118.448286
0.175000   1347.772343   2148.870480   3143.150312   4275.823953
0.181250   1615.402617   3028.901859   3214.659145   4483.557322
0.187500   535.104229   1566.593265   2915.582455   3827.744760
0.193750   1448.388405   2545.876693   3623.597325   4489.664474
0.200000   1241.594352   2253.517083   3440.708057   4426.701463
0.206250   1181.441268   2226.028417   3417.680063   4178.680959
0.212500   1157.018477   2245.423317   3289.161458   4161.395414
0.218750   1148.133035   2294.044481   3225.981639   4107.718257
0.225000   1163.252896   2223.199836   2969.474842   4072.156070
0.231250   576.617900   1700.500356   2653.379502   3286.703342
0.237500   798.328511   1938.295577   3057.297453   3955.998286
0.243750   1031.691391   2187.786063   3326.707558   4095.642305
0.250000   721.586041   1614.762035   2180.966315   3365.734657
0.256250   543.095550   1600.827307   2832.523986   4035.012265
0.262500   1300.300172   2035.922110   3099.942580   4090.248115
0.268750   1122.683304   1986.613699   3108.255443   4153.977847
0.275000   1077.947452   1968.836429   3159.452479   4155.819971
0.281250   837.514803   2105.382854   3287.556345   4401.387773
0.287500   1202.458571   2523.140110   3031.284696   4108.764541
0.293750   1204.149420   1631.413348   2871.080145   3973.310256
0.300000   151.680431   1332.346761   2613.992287   3516.404367
0.306250   1255.352493   2468.537554   3257.111676   4503.566154
0.312500   1153.821561   2031.245196   3081.877471   3982.320790
0.318750   1230.050479   2136.910584   3138.388496   3983.221170
0.325000   1303.636323   2295.516596   3097.185430   4120.014543
0.331250   1485.283028   2390.590279   3030.590822   4313.163749
0.337500   1359.612505   1974.109519   3165.112641   4452.081031
0.343750   270.949242   1554.527024   2555.589810   3294.823775
0.350000   595.095355   1777.344908   2810.174287   3791.250005
0.356250   673.226954   2099.689131   2520.344707   3258.345499
0.362500   1230.619121   2123.210114   3221.201160   4094.134852
0.368750   1037.182872   1922.322072   3126.816177   3891.441496
0.375000   726.862007   1813.613300   2846.954983   3926.359022
0.381250   1187.011962   2639.026358   3254.850572   4111.710018
0.387500   1134.503263   2226.189468   3273.157308   3976.849641
0.393750   780.891889   1623.933876   2517.225195   3502.076310
0.400000   1242.043935   2557.816031   3245.746320   4462.892953
0.406250   1051.278815   2279.700538   3088.346059   4101.327347
0.412500   1135.926760   2443.244731   3353.594012   4446.604300
0.418750   1429.831315   2484.815995   3342.941402   4405.347828
0.425000   1268.428953   2257.963884   3262.202897   4166.482615
0.431250   1219.401195   2330.427478   3228.906586   4074.204574
0.437500   1236.682105   2247.665265   3199.562565   3967.991028
0.443750   1231.458187   2157.170224   3095.039780   3996.484333
0.450000   1293.084995   1977.800924   2983.562199   3998.979696
0.456250   1486.781800   2657.965506   3107.883310   4614.091392
0.462500   1042.656385   2247.149396   3259.196218   4184.935963
0.468750   955.890499   2156.711184   3242.268999   4212.158535
0.475000   1106.022738   2180.602643   3016.214319   4165.035555
0.481250   1139.029016   2270.013289   2982.546054   4074.820496
0.487500   1115.396651   2016.830395   3072.301935   3940.798920
0.493750   1208.556853   1962.597028   3237.464242   4494.355783
0.500000   1245.032074   2297.575797   3312.110373   4487.922628
0.506250   1331.249535   2581.582421   3343.976135   4521.423600
0.512500   1252.386395   2445.526234   3472.845571   3682.732319
0.518750   1255.800570   2280.401185   3448.945741   3704.181496
0.525000   985.899690   2293.605019   3056.152972   4017.051309
0.531250   841.552602   1980.706434   2827.035891   3983.650923
0.537500   814.362739   1753.671563   3063.454562   3723.173393
0.543750   1235.239071   2048.372046   2959.002707   3945.773164
0.550000   1153.909966   2077.943391   3033.875236   3981.902135
0.556250   1115.827991   2104.340054   3158.756574   3982.999563
0.562500   1371.058633   2216.137841   3171.567416   3740.767210
0.568750   1287.157569   2426.968466   --undefined--   --undefined--
0.575000   630.440652   1341.822818   2440.620264   3424.016965
0.581250   486.409684   1547.994097   2684.239627   3526.286726
0.587500   532.834896   1544.783880   2719.792681   3606.140942
0.593750   247.503010   1468.032376   2621.825471   3503.179469
0.600000   342.900704   1529.291745   2592.508102   3654.195309
0.606250   659.035904   1731.110930   2603.436691   3874.111497
0.612500   671.022935   1614.798898   2594.317662   3650.826814
0.618750   427.698451   1538.229208   2527.133198   3476.703865
0.625000   1362.521685   2261.978393   3424.776476   4481.699555
0.631250   1134.011520   2123.470433   3086.039550   4017.360987
0.637500   1154.277637   2157.948793   3180.863888   4271.004904
0.643750   1205.873485   2417.385475   3562.563322   4363.630071
0.650000   1181.419879   2309.695075   3497.579560   4566.205677
0.656250   1247.791499   2514.465644   3212.628319   4527.847153
0.662500   328.873271   1442.585819   2716.177222   3286.515581
0.668750   326.916383   1534.445540   2714.714005   3308.166409
0.675000   276.396483   1500.628718   2667.235633   3296.337803
0.681250   292.458714   1502.560942   2637.848641   3330.407106
0.687500   294.513729   1546.426992   2693.594438   3613.879016
0.693750   296.115518   1574.558272   2657.768730   3542.789014
0.700000   299.596408   1645.913537   2698.304159   3709.202302
0.706250   278.380040   1729.223880   2677.404644   3727.970384
0.712500   741.181295   2067.613224   2892.297833   3919.279823
0.718750   698.012326   2059.880344   2866.177957   3875.701730
0.725000   276.167190   2090.616817   2808.705966   3828.921720
0.731250   288.354798   2127.410962   2819.855383   3825.627101
0.737500   300.410041   2127.350258   2853.037202   3828.251284
0.743750   306.246354   2030.890078   2880.925748   3710.656346
0.750000   297.616873   2084.803178   2959.014763   3798.186607
0.756250   253.185946   2246.636157   3012.300634   3999.848194
0.762500   473.954638   2294.599502   3037.144703   3957.041427
0.768750   546.535334   2363.943312   2972.863114   3895.216557
0.775000   196.538237   2237.115750   2662.735355   3418.303294
0.781250   201.862960   1823.705453   2725.584572   3727.787669
0.787500   214.712665   1844.097858   2673.478148   3722.420590
0.793750   241.193508   2466.427616   2941.518174   3909.114020
0.800000   269.964890   2421.756440   2990.862952   3873.444423
0.806250   296.182550   2380.112581   2999.820057   3662.405867
0.812500   307.319680   2349.322887   2995.464031   3568.367776
0.818750   314.858107   2241.617512   2924.059895   3701.073360
0.825000   310.454734   2164.305835   2889.492352   3793.557291
0.831250   309.248571   2135.875708   2831.152756   3801.785288
0.837500   289.465826   2117.299949   2884.996517   3901.025861
0.843750   291.085540   2119.831257   2794.441761   3990.176608
0.850000   311.638257   2038.242778   3131.406351   3207.553976
