Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   764.635812   1739.131126   2561.663387   3822.907949
0.031250   731.880712   2236.254368   2368.535009   3677.881107
0.037500   717.623833   2136.778879   2242.217232   3657.439810
0.043750   683.129913   1730.073007   2320.101277   3669.055660
0.050000   554.868039   1518.564494   2457.059142   3799.937224
0.056250   669.182711   1696.739587   2579.120340   3766.367632
0.062500   671.580767   1695.984724   2526.678272   3660.515783
0.068750   758.402237   1653.709348   2386.767119   3748.851825
0.075000   414.413191   1550.195237   2408.063879   3794.348619
0.081250   553.190012   1700.259387   2408.656383   3553.928673
0.087500   594.616927   1628.353567   2339.292313   3550.648229
0.093750   697.215698   1520.387487   2620.379906   3763.175870
0.100000   644.654346   1480.663539   2832.659935   3896.217511
0.106250   944.735058   2117.387835   2937.801593   4052.530407
0.112500   742.834696   1691.751062   2377.914276   3422.679189
0.118750   702.987346   1676.558964   2755.962818   3363.367605
0.125000   729.741296   1544.689744   2487.268742   3305.065651
0.131250   595.051556   1486.639037   2400.124288   3596.756454
0.137500   517.943379   1666.610753   2494.332942   3711.879240
0.143750   543.434750   1770.132999   2447.528919   3398.595362
0.150000   662.709395   1742.787285   2532.956421   3975.370314
0.156250   953.499747   1837.900365   2803.471528   4023.282063
0.162500   1025.614801   2238.683817   2904.717412   3925.058685
0.168750   531.974814   1608.262365   2353.729253   3455.879816
0.175000   1261.433332   2250.401915   3263.521223   4321.479628
0.181250   1131.241419   2165.698006   3360.276698   4429.010431
0.187500   664.081866   1396.276716   2452.909288   3360.073199
0.193750   637.156994   1567.369439   2724.777229   3466.880752
0.200000   809.593089   1936.538778   2871.388840   3922.771266
0.206250   1092.233991   1831.277422   3021.985352   4181.039333
0.212500   1064.473669   1897.135322   2973.484992   4257.620382
0.218750   747.611414   1627.768121   2452.901435   3518.536858
0.225000   731.596525   1701.183715   2273.268154   3530.883114
0.231250   884.920634   1828.113749   2685.183592   4010.019740
0.237500   643.399117   1614.381241   2607.021740   3792.897847
0.243750   566.339922   1654.379417   2458.432688   3527.931759
0.250000   527.417576   1756.481965   2411.094838   3428.528050
0.256250   581.196917   1733.127758   2147.788956   3492.045689
0.262500   567.646031   1724.463660   2249.707439   3514.090790
0.268750   555.778071   1881.701671   2285.839666   3403.779866
0.275000   558.974454   1747.811671   2514.415242   3564.954894
0.281250   578.090361   1681.604725   2643.476077   3643.258008
0.287500   590.308858   1614.706910   2477.358919   3489.972966
0.293750   674.299088   1610.501093   2414.308339   3567.041127
0.300000   726.699429   1575.953177   2360.014560   3524.751638
0.306250   619.370216   1657.491341   2511.931692   3540.578159
0.312500   545.915727   1631.795048   2475.246719   3471.682162
0.318750   563.481711   1577.747575   2487.582682   3653.011858
0.325000   551.577048   1764.616229   2512.382256   3663.750294
0.331250   618.391204   1917.929498   2931.321239   3655.077682
0.337500   729.904372   2039.249608   3220.420671   4140.915844
0.343750   694.085022   1532.840237   2397.489391   3410.575773
0.350000   897.015587   2042.095494   2965.013063   4060.579059
0.356250   786.044924   1748.857959   2569.672571   3153.177068
0.362500   1000.683549   2161.159976   3119.507642   4361.707534
0.368750   1116.439515   2109.397612   3113.321605   4260.678588
0.375000   1102.551169   1949.887612   2937.850696   4171.098484
0.381250   912.242793   1634.270745   2768.579170   3967.428601
0.387500   646.157722   1563.813294   2575.912691   3814.231884
0.393750   613.479628   1587.960514   2560.936000   3362.153189
0.400000   666.045099   1666.190337   2708.851386   3404.197455
0.406250   681.025193   1791.949937   2851.615306   4077.677776
0.412500   675.245151   1688.659296   2945.263106   3454.738058
0.418750   736.750941   1596.538686   2710.889696   3442.930916
0.425000   682.582748   1511.073597   2616.794904   3375.964422
0.431250   705.476409   1625.177022   2762.465221   3697.930275
0.437500   660.860250   1602.384591   2674.932094   3917.482108
0.443750   598.718268   1587.964358   2506.245818   3481.772449
0.450000   712.024987   1608.344139   2485.223884   3390.485035
0.456250   698.712705   1485.961459   2620.055659   3472.620077
0.462500   655.947061   1595.873683   2575.411622   3651.680608
0.468750   593.190891   1653.548951   2603.049625   3352.731661
0.475000   731.532259   1783.888413   2012.433398   3195.096875
0.481250   710.145384   1526.685176   2740.811416   3778.021706
0.487500   699.734238   1573.765285   2717.348474   3548.229679
0.493750   631.621189   1588.843598   2718.976425   3739.519277
0.500000   680.902659   1673.350946   2777.016049   3738.850843
0.506250   839.311600   1353.194426   2381.142395   3437.241157
0.512500   673.491951   1557.335875   2381.932954   3518.525927
0.518750   774.935012   1693.818170   2288.972112   3683.831546
0.525000   960.523339   1812.466008   2576.877255   3500.973712
0.531250   1229.171380   1684.518398   2520.027293   3434.306670
0.537500   1315.395569   1640.265546   2500.919929   3427.996677
0.543750   1215.923223   1323.447252   2479.024927   3672.014243
0.550000   787.155419   1658.827272   2455.976701   3648.510634
0.556250   818.486203   2011.582353   2879.408144   3758.010643
