Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   553.053845   1640.148709   2606.951515   3561.374809
0.031250   486.442819   1645.137791   2831.797816   3638.427535
0.037500   540.317607   1628.738916   2762.346253   3522.133307
0.043750   624.886483   1678.142867   2773.572450   3676.507735
0.050000   577.111596   1742.684148   2745.713658   3758.871723
0.056250   643.021665   1711.745136   2825.323394   3609.456130
0.062500   583.533332   1463.177723   2734.092430   3600.298605
0.068750   1259.263733   2467.976626   3297.027789   4463.075968
0.075000   1544.807190   1847.468438   3038.255109   4090.917562
0.081250   1021.384301   1927.460068   2994.374613   4090.451103
0.087500   797.371942   1974.049174   3048.779614   4033.862951
0.093750   1064.592839   2445.516844   3285.673618   4032.870287
0.100000   370.579584   1422.669647   2576.603164   3410.084180
0.106250   780.792214   1408.363716   2451.179506   3485.307689
0.112500   913.551558   1298.081919   2397.657962   3492.297112
0.118750   630.002521   1462.528832   2566.871093   3380.132354
0.125000   738.684083   1548.651720   2630.898182   3439.763595
0.131250   787.747178   1462.247176   2565.695730   3529.392300
0.137500   1130.748213   2124.903416   3353.737959   4173.392031
0.143750   785.115642   1632.167467   2625.963294   3608.168555
0.150000   687.907500   1394.852032   2338.788222   3425.785942
0.156250   1322.760968   2166.059738   3135.749443   4393.520220
0.162500   1197.026350   1885.860855   2871.178347   4216.500335
0.168750   1290.968983   2021.854348   2987.675711   4200.026639
0.175000   1149.308923   1992.388070   3052.666158   4049.111316
0.181250   919.578192   1839.237421   2764.302526   3915.662538
0.187500   1055.941235   2088.276152   2749.836610   3931.333093
0.193750   812.858913   1578.040308   2610.782820   3892.154140
0.200000   589.075401   1548.625402   2645.549960   3729.535337
0.206250   812.344288   1635.492289   2737.459136   3668.501614
0.212500   834.047981   1729.614499   3083.812211   3277.530249
0.218750   811.555663   1618.363834   2710.182887   3203.208170
0.225000   776.382193   1666.973207   2549.879567   3298.253054
0.231250   666.246442   1682.140952   2496.620882   3468.985180
0.237500   748.486842   1747.460375   2727.964511   3489.428469
0.243750   860.314432   1894.636138   3002.894134   3886.596997
0.250000   721.004900   1760.212018   2702.348266   3668.183798
0.256250   787.563088   1459.402549   2598.676420   3709.507040
0.262500   1061.319444   2313.056579   3238.968568   4060.053664
0.268750   1170.929639   2189.417621   3197.801114   4358.351708
0.275000   1009.088242   2167.542875   3186.307247   4166.560488
0.281250   1090.027061   2057.401634   3083.013581   4223.405001
0.287500   1341.270861   1830.142015   2916.799849   4246.117955
0.293750   1199.716539   1995.123865   2874.998381   4189.081907
0.300000   1084.302350   2186.728694   3081.714731   4104.690558
0.306250   934.116051   2074.025600   3071.802591   3879.089835
0.312500   1140.378225   2268.555135   2873.051994   3852.056364
0.318750   1300.654807   2394.027330   3552.638669   4588.474376
0.325000   1064.978917   2097.394734   3125.821393   4143.941729
0.331250   1051.167788   2092.196754   3127.202592   4281.541866
0.337500   1138.344775   2302.835718   3080.719385   4056.911105
0.343750   1195.252087   2340.881382   3319.114006   3916.170635
0.350000   1346.912908   2386.930775   3347.048264   4598.502316
0.356250   1516.142401   2425.288721   3334.612546   4379.953675
0.362500   1360.793966   2249.717859   3404.300820   4263.177958
0.368750   1157.589775   2259.334709   3332.246121   4141.534138
0.375000   1180.036828   2163.493261   2865.183936   3899.450839
0.381250   1236.042421   2005.899049   3096.143566   4080.693032
0.387500   626.573954   1706.232812   2630.893394   3915.086165
0.393750   457.713736   1562.404427   2581.439139   3506.184748
0.400000   624.001138   1628.877715   2553.341394   3595.439339
0.406250   413.235333   1545.038322   2478.178812   3574.143171
0.412500   1216.078987   2102.133748   3190.402165   4341.940998
0.418750   1026.279772   2142.389122   2998.671588   4106.354212
0.425000   1015.839357   2237.269580   3055.182054   4060.055511
0.431250   564.848536   1484.935681   2541.947080   3492.406241
0.437500   1391.055359   2500.748405   3422.567586   4447.548520
0.443750   1227.237829   2217.840274   3286.444557   4292.441513
0.450000   1155.504766   1937.029538   3077.699876   3968.166529
0.456250   439.877165   1367.750189   2412.942048   3448.475056
0.462500   769.135361   1225.714649   2438.844379   3448.356314
0.468750   889.771644   1156.623190   2480.069509   3575.002376
0.475000   837.163642   1464.564306   2295.491310   3414.214559
0.481250   924.896216   994.991923   2425.411224   3462.751082
0.487500   708.407123   1978.057602   3107.892814   3849.803107
0.493750   706.327551   2061.001015   2816.718933   3346.872303
0.500000   735.063966   1931.084540   2254.199023   3288.987612
0.506250   1166.401763   2359.614027   3392.195071   4474.031157
0.512500   876.260710   1464.739400   2517.777437   3329.234244
0.518750   801.010510   1901.741102   3052.944583   4140.534256
0.525000   828.258976   2068.913064   3133.633254   4160.171345
0.531250   1121.239551   2267.609935   3590.500229   4572.885103
0.537500   1064.375721   2283.715402   2999.675403   3991.598501
0.543750   936.750173   2041.119700   2947.903383   4027.341040
0.550000   881.544153   1977.705683   2939.177146   4070.064489
0.556250   753.825234   1965.143977   2588.510613   4083.866732
0.562500   682.808960   1879.990368   2667.080633   3893.243884
0.568750   577.921272   1884.703301   2919.361721   3723.506741
0.575000   672.237709   1887.759890   2845.209868   3449.473753
0.581250   613.313026   1898.314309   2677.350365   3381.001102
0.587500   620.440421   1899.108068   2673.785322   3377.235255
0.593750   663.304216   1887.624072   2742.801642   3440.748155
0.600000   757.530162   1899.678787   2849.209078   3371.872503
0.606250   824.976976   1838.622918   2834.725150   3327.137433
0.612500   870.009026   1829.679878   2846.700175   3358.569088
0.618750   785.403460   1809.876766   2836.899785   3384.580127
0.625000   796.505926   1800.603103   2885.339722   3445.421882
0.631250   877.355721   1766.859472   3146.219151   3150.589798
0.637500   857.037394   1689.902262   2970.380178   3033.243959
0.643750   803.043450   1708.740742   2705.909041   3337.005337
0.650000   923.680280   1780.299193   3007.702120   3741.541768
0.656250   843.437504   1760.163641   2988.314486   3754.336070
