Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   592.808134   1554.858420   2644.784594   3686.096409
0.031250   463.481537   1475.680886   2378.982574   3453.637387
0.037500   401.875003   1435.215295   2391.591976   3447.874250
0.043750   220.348875   1573.353299   2435.326371   3422.386338
0.050000   1340.081459   2431.447856   3545.098753   4296.239236
0.056250   245.562832   2430.821980   2503.836486   3745.427884
0.062500   257.608070   2155.508232   2599.970826   3803.877125
0.068750   277.952019   2116.907918   2741.387857   3637.095188
0.075000   181.072800   2117.780089   2802.383310   3680.895150
0.081250   337.742264   2206.850612   2966.382013   3681.351863
0.087500   484.919460   2261.231285   2939.341094   3914.148284
0.093750   697.997382   2505.079733   2941.471556   4080.883279
0.100000   478.371654   2275.572987   2810.639322   3815.818809
0.106250   340.354500   2290.136710   2968.196627   3547.317290
0.112500   288.939903   1840.168104   2576.116243   3626.033731
0.118750   94.980822   2185.864752   2479.536104   3645.344231
0.125000   589.632721   2436.565271   2930.153083   3726.000763
0.131250   248.209143   2370.263484   3470.916497   3991.657204
0.137500   195.305902   2310.842704   2737.514622   3632.881082
0.143750   133.725334   2201.249707   2504.131984   3601.883304
0.150000   133.522235   1467.206279   2516.746560   3601.415595
0.156250   145.649887   1434.808230   2390.374971   3506.796701
0.162500   124.724882   1392.825111   2394.314709   3507.286972
0.168750   126.085915   1591.178776   2364.803347   3518.882437
0.175000   72.551901   2139.594188   3020.494776   3725.407591
0.181250   98.405514   1538.080666   2471.513869   3367.658897
0.187500   121.592217   1368.258589   2305.769713   3505.582328
0.193750   189.379432   1484.243089   2429.465624   3509.568098
0.200000   136.041976   1351.065956   2631.696323   3572.852992
0.206250   1334.928119   2595.038415   3460.012612   4635.366790
0.212500   193.733020   1400.156198   2548.911420   3488.096296
0.218750   251.112737   1366.059515   2582.299516   3631.293041
0.225000   354.358389   1361.528125   2447.588012   3528.652054
0.231250   881.618697   2270.621654   2968.088208   3663.955916
