Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027927   754.911336   1522.677304   2533.064488   3165.654607
0.034177   691.086456   1549.080012   2574.334271   3302.208545
0.040427   600.038885   1537.906569   2559.575671   3263.253551
0.046677   584.371741   1607.781227   2525.489664   3237.445790
0.052927   645.784104   1690.223891   2446.741699   3293.331386
0.059177   614.435463   1760.774118   2395.936105   3307.098917
0.065427   513.642460   1558.577931   2411.043651   3266.770492
0.071677   696.342442   2122.042676   2249.613969   3268.934172
0.077927   838.088237   1794.461729   2242.632302   3256.010755
0.084177   1245.675286   2382.060651   3278.798094   4514.956529
0.090427   485.708963   1651.018488   2446.668748   3249.960138
0.096677   634.074561   1508.817817   2621.756222   3265.984863
0.102927   1307.939832   2100.483624   3045.249649   4140.938515
0.109177   1120.289587   1971.087162   3067.217307   4173.851324
0.115427   512.545098   1750.030154   2916.636573   3945.690870
0.121677   525.700263   1651.351528   2759.195309   3669.874758
0.127927   495.872188   1499.816770   2484.307314   3401.933558
0.134177   554.318354   1441.508969   2475.360543   3479.796376
0.140427   639.576385   1650.128770   2450.244005   3535.572070
0.146677   978.836546   2110.178179   3270.292416   4162.399549
0.152927   979.389900   2127.167628   3170.505797   4233.679800
0.159177   965.096407   1762.534059   2960.970868   3820.624556
0.165427   704.611344   1717.666590   2895.444405   3920.604654
0.171677   292.779808   1945.775178   2904.072801   4328.162707
0.177927   966.312953   2049.660936   2952.992221   4299.741182
0.184177   1042.940591   1984.244913   2931.895607   4295.072427
0.190427   715.589877   1819.308395   2719.723819   4245.376669
0.196677   687.928055   1862.317766   2791.662021   4101.046365
0.202927   958.597616   2085.852755   3060.397710   4283.098317
0.209177   1181.877759   1956.441891   3143.637169   4375.140185
0.215427   1118.592861   2417.492736   3258.777474   4404.950452
0.221677   1270.687432   2051.987218   2931.632171   3814.687472
0.227927   532.850958   1488.444089   2627.819368   3471.861474
0.234177   659.930546   1711.873557   2768.360054   3408.255987
0.240427   665.628436   1762.757940   2958.284952   3972.868733
0.246677   670.269383   1787.741452   3110.075432   3984.389525
0.252927   330.960555   1572.266974   2502.777646   3624.779355
0.259177   540.178631   1640.349622   2496.751201   3715.103803
0.265427   853.849162   854.692857   2270.383315   3417.807039
0.271677   962.843173   2287.340410   2574.782210   4087.551479
0.277927   960.638566   1913.667846   2747.907934   4091.810999
0.284177   1182.808139   1586.308394   2902.883817   4258.103286
0.290427   1309.946967   2502.331069   3190.977448   4417.883785
0.296677   1436.633943   2435.229537   3373.897658   4441.286282
0.302927   211.863599   1616.812692   2473.032358   3632.866945
0.309177   1247.487766   2071.124929   3269.400724   3862.203212
0.315427   623.088664   2081.672425   2136.479294   3443.130953
0.321677   641.954970   2006.301984   3129.316679   3332.951813
0.327927   826.919948   2135.344279   3509.159842   4525.237532
0.334177   1134.838913   2166.346225   3250.725220   3820.566626
0.340427   1157.371260   2216.028926   3132.638696   4322.794482
0.346677   1135.529572   2207.141926   3162.400591   4305.582062
0.352927   909.496572   2199.543989   3106.965303   4016.651698
0.359177   1168.799226   2119.721925   3077.814221   3991.264519
0.365427   830.002506   1736.794434   2544.960886   3928.300574
0.371677   549.514016   1584.586983   2567.384032   3745.542060
0.377927   1029.289017   2293.602895   2845.468411   3739.973238
0.384177   714.683721   1801.161831   2801.523776   3799.338485
0.390427   1301.282793   1545.454763   2617.276013   3975.458721
0.396677   888.023990   1927.685134   2732.863328   4161.518285
0.402927   519.489161   1527.246080   2827.389251   3958.908321
