Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   665.896748   1563.957302   2736.711380   3670.626394
0.031250   549.776628   1648.069152   2830.882102   3703.584715
0.037500   847.834168   1566.865146   2767.192035   3691.010954
0.043750   1128.300821   1755.657135   2837.755856   3772.415634
0.050000   987.146695   1968.234259   2977.451657   3936.384639
0.056250   914.880240   1804.631288   2984.088530   4213.694699
0.062500   804.162421   1853.003330   2996.497997   4019.257269
0.068750   1435.091200   1675.209284   2811.702128   3817.719294
0.075000   1118.522897   1608.004164   2795.080311   3796.531243
0.081250   1224.827324   1877.082671   2887.723112   3888.301433
0.087500   800.864526   1860.273284   2837.569918   3726.880623
0.093750   984.233301   1869.447336   2863.900508   3848.583985
0.100000   979.343101   1941.351176   2875.289758   4009.518369
0.106250   311.405771   1512.606078   2690.558708   3173.548069
0.112500   267.292312   1586.806791   2744.959370   4042.529028
0.118750   692.799423   1822.902849   2845.931707   4041.160801
0.125000   961.045588   1856.102674   2838.582073   4051.505974
0.131250   672.788621   1765.599934   2839.764307   4092.587565
0.137500   794.321445   1777.884640   2769.239210   3911.771810
0.143750   677.989983   1700.697598   2942.766275   3736.109997
0.150000   612.528727   1662.114240   2711.213084   3767.637552
0.156250   1221.790754   2002.031529   3183.743701   3993.715011
0.162500   813.605884   1617.680553   2670.501640   3983.950313
0.168750   702.651943   1675.272420   2498.850107   3729.910010
0.175000   1150.691973   1754.697642   3021.966022   4342.040106
0.181250   472.955561   1638.811206   2719.582081   3842.842709
0.187500   542.787672   1531.794934   2624.647025   3748.625074
0.193750   580.205204   1703.482632   2695.917508   4016.730023
0.200000   480.161633   1557.165114   2554.095455   3999.996845
0.206250   1473.944310   2511.055114   --undefined--   --undefined--
0.212500   1327.001988   1936.149139   2543.683133   4065.835015
0.218750   552.531144   1556.779495   2557.031842   3947.171552
0.225000   564.699362   1617.914016   2683.918213   3785.108414
0.231250   482.981847   1647.849100   2727.328792   3723.245302
0.237500   468.201846   1671.542285   2743.245316   3743.947185
0.243750   498.248019   1595.910791   2676.564276   3809.448169
0.250000   423.656599   1532.727338   2548.769762   3547.596902
0.256250   728.378117   1632.295383   2716.203196   4276.472978
0.262500   540.523181   1600.597688   2638.652372   3865.317566
0.268750   531.397855   1610.217993   2626.086483   3586.095596
0.275000   690.098682   1687.325776   2583.347516   3572.141210
0.281250   657.640330   1392.981116   2576.192550   3372.675914
0.287500   730.870630   1480.648308   2546.876878   3448.754790
0.293750   573.273628   1836.447237   2751.995416   4191.283766
0.300000   1157.230962   2125.233820   3106.176549   4424.937554
0.306250   1121.952689   2194.048126   3084.874262   4285.333637
0.312500   1101.365841   2058.741184   2829.127776   4220.545001
0.318750   547.147356   1400.849398   2671.096211   4031.646182
0.325000   283.073438   1512.281128   2596.293697   4093.991191
0.331250   906.107728   1694.728967   2941.639733   4418.942998
0.337500   552.689888   1720.878992   2843.639799   3080.452988
0.343750   504.479168   1671.051417   2556.798705   3689.242375
0.350000   414.159004   1745.146654   2488.938928   3876.128446
0.356250   502.735521   1669.052338   2465.380484   3757.094898
0.362500   646.482039   1648.145178   2520.475607   3572.469506
0.368750   657.976747   1673.750638   2796.922429   3696.919123
0.375000   624.993245   1645.098677   2773.648715   3767.173198
0.381250   753.170504   1688.958486   2899.086960   4042.617651
0.387500   660.132821   1733.249693   2778.080417   3809.460788
0.393750   811.766063   1984.621475   3038.826217   3877.578675
0.400000   788.885832   1848.995616   3016.628943   3922.353302
0.406250   718.496699   1679.393071   2668.725895   3653.505641
0.412500   707.658614   1602.038410   2467.451265   3479.444404
0.418750   667.150455   1617.077933   2717.101716   3241.197780
0.425000   511.432922   1650.172326   2528.890065   3211.417756
0.431250   428.348272   1624.832764   2546.721740   3394.157340
0.437500   401.715877   1571.280279   2855.105654   3331.130386
0.443750   704.744227   1596.945371   3038.840380   3472.150660
0.450000   680.696372   1634.124621   --undefined--   --undefined--
0.456250   726.251120   1552.375301   3026.233226   3372.647281
0.462500   681.670311   1502.616249   2820.982836   3472.673316
0.468750   345.796049   1490.994502   2551.910768   3403.867185
0.475000   1488.601756   2461.384592   3286.878207   4526.099511
0.481250   1386.703971   2174.473260   3169.225246   4572.984798
0.487500   902.578721   1433.465244   2823.409457   3988.622774
0.493750   696.647052   1488.766947   2797.170949   3558.829021
0.500000   674.796685   1528.758011   2771.470368   3493.528039
0.506250   695.910407   1639.165131   2895.189238   4002.714480
0.512500   653.708626   1662.740157   2591.164031   3422.986390
0.518750   590.424491   1732.872204   2802.868644   3163.676181
0.525000   583.923215   1716.359828   2225.086581   3205.324811
0.531250   672.635577   1558.960471   2270.552376   3385.494842
0.537500   601.050331   1582.210362   2285.432683   3519.028562
0.543750   604.193307   1640.048636   2296.691693   3416.176494
0.550000   644.178933   1564.168428   2558.277248   3499.149295
0.556250   620.904015   1608.057552   2749.072770   3632.964881
0.562500   700.778756   1590.070021   3031.648275   3792.002676
0.568750   650.577929   1601.928132   2945.502814   3762.263726
0.575000   571.116139   1437.538820   2478.515045   3583.382137
0.581250   603.396632   1542.361980   2579.516609   3614.927272
0.587500   546.474075   1660.879369   2770.187710   3901.662484
0.593750   552.460721   1700.990101   2760.219655   3720.337796
0.600000   557.557445   1655.701245   2587.941788   3426.433719
0.606250   578.946344   1576.523355   2733.573617   3443.576944
0.612500   856.437089   1725.462384   3155.809489   3664.821127
0.618750   740.984556   1498.307548   1888.386706   3400.315225
0.625000   655.093754   1576.680242   2416.048092   3463.444118
0.631250   654.438725   1814.918936   2025.480865   3507.692411
0.637500   594.864103   1692.525603   2079.069007   3542.782108
0.643750   429.912103   1587.404742   2273.075362   3469.800209
0.650000   685.407260   1761.566326   2122.060093   3283.276869
0.656250   827.313223   1876.047414   3107.647380   3943.976816
0.662500   737.513073   1900.415614   2770.765886   3915.515532
0.668750   731.421441   1955.612698   2845.494470   3912.670801
0.675000   763.796869   1909.400565   2769.865193   3972.222377
0.681250   656.739149   1618.051309   2615.394769   3931.255069
0.687500   676.937521   1715.192378   2718.079908   3922.188186
0.693750   716.053674   1902.580181   2761.018397   3918.590979
0.700000   985.746494   1855.515824   2926.031383   3948.951866
0.706250   837.754366   1742.209042   2986.674873   3981.344604
0.712500   554.656748   1725.015944   3000.299986   3912.997405
0.718750   543.088977   1556.982080   2946.943105   3395.436946
0.725000   655.397875   1444.155894   2483.356114   3510.388985
0.731250   660.639367   1409.156648   2435.514819   3734.516198
0.737500   565.206176   1622.573406   2548.436251   3878.411641
0.743750   610.628347   1664.429110   2884.746961   3479.709931
0.750000   980.239103   1846.189013   2937.064961   3695.904181
0.756250   952.168957   1863.533827   2965.095995   3703.856545
0.762500   799.972574   1919.283474   2790.848800   3681.485972
0.768750   1174.503525   2100.138849   2137.332105   3687.563949
0.775000   1037.759035   2165.438686   2329.891069   3724.375259
0.781250   395.711321   1484.450948   2426.053560   3828.513616
0.787500   360.491893   1424.929986   2464.705133   3680.533385
0.793750   346.309846   1429.220968   2488.324087   3559.131776
0.800000   325.947869   1443.956842   2517.471502   3500.084008
0.806250   311.166100   1501.285434   2575.393210   3557.902221
0.812500   323.326296   1629.343585   2595.120106   3592.619400
0.818750   370.814734   1739.956929   2516.044271   3645.372105
0.825000   383.771531   1798.190645   2517.416221   3631.504736
0.831250   378.128752   1872.008291   2528.625120   3633.994929
0.837500   366.334224   1930.582103   2520.920213   3643.334659
0.843750   351.369959   1962.648947   2531.503695   3675.638865
0.850000   337.908705   1988.410160   2547.275586   3702.407124
0.856250   332.745064   2023.303879   2533.982886   3720.655359
0.862500   328.795349   2038.345694   2527.911683   3740.201059
0.868750   328.005801   2064.918921   2502.635965   3759.754175
0.875000   325.395506   2063.927589   2443.040750   3762.911658
0.881250   312.583666   2049.686852   2465.925064   3764.693593
0.887500   305.615635   1991.399237   2486.474815   3785.174872
0.893750   303.915801   1954.964147   2493.618991   3836.572064
0.900000   297.829501   1931.343041   2477.331316   3862.043385
0.906250   298.396880   1853.164301   2493.281709   3882.407199
0.912500   296.244487   1841.734141   2719.318942   3890.033815
0.918750   275.571875   1805.620794   2787.495665   3864.468764
0.925000   1801.433829   2899.407570   3867.623317   4502.452876
0.931250   1612.599237   2491.856761   3827.603415   4368.172656
0.937500   1606.263998   2556.096566   3797.590837   4295.873496
0.943750   1627.592131   2738.039623   3647.744300   4176.661255
