Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1127.278112   1749.184973   3103.753638   3651.475460
0.031250   1078.343526   1964.588846   3099.873630   4120.640650
0.037500   1091.902699   2011.095465   3093.964837   4128.855224
0.043750   1085.537016   2014.447428   3051.781795   3964.508170
0.050000   1087.152757   1631.974919   2816.481153   3761.611089
0.056250   1243.116548   2590.549643   --undefined--   --undefined--
0.062500   1351.263061   2452.814792   --undefined--   --undefined--
0.068750   1952.633577   2559.987258   --undefined--   --undefined--
0.075000   1979.218431   2965.679847   --undefined--   --undefined--
0.081250   1936.877514   2906.153606   --undefined--   --undefined--
0.087500   1896.653566   2768.559693   --undefined--   --undefined--
0.093750   1676.069324   2802.361636   --undefined--   --undefined--
0.100000   1603.820357   2758.652630   --undefined--   --undefined--
0.106250   1757.659706   2662.472603   --undefined--   --undefined--
0.112500   1794.124580   2759.734967   --undefined--   --undefined--
0.118750   1578.410806   2849.612862   --undefined--   --undefined--
0.125000   1727.931542   2771.785892   --undefined--   --undefined--
0.131250   1934.243014   2536.124346   --undefined--   --undefined--
0.137500   1949.887904   2425.286055   --undefined--   --undefined--
0.143750   2043.331843   2605.011571   --undefined--   --undefined--
0.150000   1809.828645   2697.526767   --undefined--   --undefined--
0.156250   1956.469820   2792.078941   --undefined--   --undefined--
0.162500   1874.269175   2656.039375   --undefined--   --undefined--
0.168750   1734.682099   2824.252457   --undefined--   --undefined--
0.175000   1880.098420   3042.535485   --undefined--   --undefined--
0.181250   1770.305776   2552.603072   --undefined--   --undefined--
0.187500   1749.745704   2613.279603   --undefined--   --undefined--
0.193750   1740.489004   2882.860706   --undefined--   --undefined--
0.200000   1818.270884   2968.199481   --undefined--   --undefined--
0.206250   1701.859176   2693.223995   --undefined--   --undefined--
0.212500   1699.606375   2701.885689   --undefined--   --undefined--
0.218750   1657.790830   2687.463010   --undefined--   --undefined--
0.225000   1685.176669   2597.209390   --undefined--   --undefined--
0.231250   1780.579523   2643.498730   --undefined--   --undefined--
0.237500   1845.111002   2767.433303   --undefined--   --undefined--
0.243750   2098.605009   3103.582615   --undefined--   --undefined--
