Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   808.675537   1633.720353   2630.660540   3337.740564
0.031250   1045.896462   2401.004370   3088.795004   4184.641406
0.037500   1115.136924   2404.018310   3212.538228   4192.566544
0.043750   1206.850029   2353.375417   3236.023794   4130.808389
0.050000   1292.327880   2255.272599   3237.376773   4061.322270
0.056250   1346.860091   2227.960234   3245.155191   4031.458079
0.062500   1335.183658   2312.317282   3289.222610   4060.329168
0.068750   1319.569334   2321.236159   3087.867227   3966.592375
0.075000   1223.188432   2293.793315   3145.713328   4029.939449
0.081250   1303.737003   2370.996074   3116.559055   4059.901134
0.087500   1481.679870   2440.281542   3289.103284   4100.661510
0.093750   1391.342858   2400.595110   3548.720098   4301.815886
0.100000   1358.388962   2409.736727   3472.463111   4063.286466
0.106250   1263.429821   2333.063063   3349.114016   4085.252984
0.112500   1280.705164   2269.944801   3223.961333   4175.437621
0.118750   1411.489282   2435.522450   3203.677100   4041.693241
0.125000   1496.878195   2382.824497   3109.012661   3912.358386
0.131250   1453.189742   2226.396907   3053.071717   3893.824941
0.137500   1391.148998   2311.253745   3158.172916   4037.329064
0.143750   1393.280429   2385.893631   3224.227146   4208.360730
0.150000   1302.780575   2283.175387   3173.304718   4258.907544
0.156250   1307.477548   2245.012752   3081.648630   4173.094373
0.162500   1329.152827   2441.358400   3003.747174   4107.575900
0.168750   1294.522456   2450.847921   3090.243584   4029.981871
0.175000   1505.377793   2628.139300   2926.435784   3921.041282
0.181250   1426.990878   2350.227937   3327.499291   3845.012008
0.187500   1400.633673   2418.992035   3560.221956   3740.033525
0.193750   1422.453824   2261.477424   3111.518188   4005.876222
0.200000   1356.817832   2230.378620   3205.984540   4068.437085
0.206250   1405.055065   2304.473806   3203.782535   4105.604209
0.212500   1479.871786   2629.252495   2930.054902   4137.556364
0.218750   1407.523586   2630.843980   3184.324274   4120.017152
0.225000   1571.108676   2277.862825   3254.504708   4005.143841
0.231250   1463.863999   2127.944332   3181.604885   3965.938886
0.237500   1402.682589   2457.873233   3260.733440   3994.289917
0.243750   1370.184006   2381.183621   3243.347614   4007.879188
0.250000   1325.540717   2289.565189   3342.873975   3994.426179
0.256250   1367.855062   2292.407864   3239.278300   4102.699084
0.262500   1377.808144   2323.929429   3179.392799   4125.065625
0.268750   1573.675398   2296.233749   3248.953620   4057.376930
0.275000   1440.081033   2366.746641   3318.409833   4058.601043
0.281250   1383.798283   2343.365325   3154.768689   4123.033644
0.287500   1321.914729   2409.744277   3109.207419   4055.061984
0.293750   1403.120657   2403.512306   3211.877306   4166.061309
0.300000   1322.841886   2306.399854   3283.926921   4185.431261
0.306250   1356.538534   2257.684711   3300.370629   4155.423930
0.312500   1361.064346   2372.718591   3278.507830   4076.027055
0.318750   1458.818352   2232.687870   3288.759294   3939.227426
