Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   841.429796   1940.021937   2733.728554   3859.568098
0.031250   944.531837   2183.253645   2663.041321   3947.673392
0.037500   967.934807   2222.512584   2903.486888   3940.936953
0.043750   1011.659259   2084.123076   3119.683800   3905.454502
0.050000   1143.010155   2148.136684   2570.039671   3554.996928
0.056250   1034.760021   1940.894383   2753.510831   3693.500786
0.062500   1008.346485   1936.444774   2972.548352   3757.203151
0.068750   1057.835487   2037.447391   3102.239784   3948.030821
0.075000   1325.646981   2025.975527   3202.667771   4044.410330
0.081250   1303.119888   2093.092815   2996.312412   3918.946768
0.087500   1097.185745   2003.794343   2862.985840   3770.458841
0.093750   1007.311862   1931.970001   3074.617259   3858.632401
0.100000   1137.735066   1917.776415   3088.152503   3915.609733
0.106250   1126.972527   2037.229125   3099.185047   4036.066854
0.112500   939.822950   2010.529677   3080.292367   4113.346736
0.118750   1142.178963   2000.600006   2952.924468   4106.339437
0.125000   958.051024   1841.268346   2750.330181   3885.470133
0.131250   1054.990629   2036.938215   3008.413944   3908.334591
0.137500   1341.164529   2213.429435   3160.774497   4009.983838
0.143750   1570.713928   2343.496222   3210.028815   4178.706417
0.150000   1547.591528   2154.874674   3274.155295   4150.195162
0.156250   1161.244659   2267.977175   3124.714808   4103.260570
0.162500   1083.710404   2051.647044   2895.412706   3881.229695
0.168750   1018.894680   1969.534654   2945.559412   3865.520182
0.175000   1075.892046   2179.714381   3104.575579   3721.181367
0.181250   1014.072035   1963.399258   2803.861040   3684.665319
0.187500   995.452754   1872.130535   2705.091884   3742.603412
0.193750   927.943201   1858.937387   2770.843266   3654.743540
0.200000   958.180124   1905.085682   3091.097913   3774.256813
0.206250   898.012357   2010.543635   3100.954545   3902.356995
0.212500   974.400038   1997.653409   3042.729019   3889.252679
0.218750   1334.585272   2380.964934   3271.271365   4356.909830
0.225000   1203.632344   2257.156080   3264.799692   4220.544415
0.231250   1069.214076   2118.163184   3212.183858   4001.197004
0.237500   1026.690509   2255.807467   3213.545291   3969.243188
0.243750   1180.901924   2459.716180   3051.525828   3742.541459
0.250000   1113.922568   2284.709212   2793.340120   3863.576116
0.256250   1063.927022   2188.822245   3039.876038   4096.966447
0.262500   1069.885158   2152.876948   3055.590624   3918.741329
0.268750   1277.961668   2200.734044   3136.418699   4021.833520
0.275000   1035.428245   1815.428866   2967.903110   3978.193377
0.281250   906.361627   1877.605662   2880.130107   3967.028505
0.287500   907.110814   2138.462796   2941.712073   3972.410773
0.293750   1229.503230   2363.945950   3278.237955   3823.416191
0.300000   1189.894095   2346.093811   2908.669881   3927.736518
0.306250   1155.357615   2138.168618   3052.834944   4012.704793
0.312500   1214.403655   2298.050461   3183.846663   4025.054685
0.318750   1202.977733   2261.584068   3189.458315   4060.524326
0.325000   1039.080836   2146.854497   2980.257984   3932.135738
0.331250   1028.576449   2070.973531   2886.279126   3883.933045
0.337500   1073.497731   2014.472612   3027.843776   3958.695936
0.343750   1145.773414   2096.961346   3190.817465   4102.216673
0.350000   1320.393638   2241.597894   3351.005237   4215.963067
0.356250   1185.614874   2143.838987   3161.246650   3937.071715
0.362500   953.294804   2038.351206   3129.433363   3898.289024
0.368750   1062.914506   2068.781494   3120.882617   3917.141491
0.375000   934.953719   2090.776116   2926.379523   3753.058588
0.381250   1096.671025   2075.187454   2988.538115   3772.257239
0.387500   1063.823309   1948.011573   2905.749560   3704.857139
0.393750   921.713454   2010.519609   2970.021109   3713.055243
0.400000   1112.299979   2025.578446   2987.208229   3804.918178
0.406250   1066.749924   2132.061538   3144.075799   3674.056963
0.412500   1054.780672   1985.096243   2791.256776   3607.931282
0.418750   959.186064   1896.789052   2782.789204   3882.168081
0.425000   958.425956   1873.033630   2772.276245   3864.143788
0.431250   1187.609200   1937.369282   2962.193172   3956.125837
0.437500   1112.798307   1895.047847   2968.183185   3916.464766
0.443750   1023.990160   1802.592703   3043.405945   3927.877832
0.450000   1114.182237   1880.412522   3067.645702   3956.207962
0.456250   1007.467905   2142.516993   3042.284518   3975.889599
0.462500   1231.491835   2304.011509   2952.793673   3978.551948
0.468750   1126.290359   1727.042821   2705.022908   3745.487164
0.475000   1005.097535   1828.943846   2736.923695   3829.783272
0.481250   1022.043125   1769.724356   2838.066944   3761.098235
0.487500   1339.548158   1632.535765   2725.417459   3858.756821
0.493750   1137.506699   2005.513274   3042.764554   3932.494553
0.500000   1070.693719   1873.128149   2935.959342   3696.613626
0.506250   1081.812541   2141.986052   2950.850033   3965.096210
0.512500   1109.805228   2124.103034   3072.163817   4058.775247
0.518750   998.399988   2006.049548   3066.611503   4016.495474
0.525000   1020.294703   2002.954776   2987.324834   3889.534323
0.531250   1045.239073   2039.147834   3050.382843   3974.302962
0.537500   1059.202164   2054.361033   3051.790764   3990.459079
0.543750   1114.975444   2187.868375   3100.802081   4145.283845
0.550000   1293.287740   2161.135169   3038.383214   4421.252344
0.556250   1127.493690   2069.244928   2968.817557   3975.568954
0.562500   1033.809263   2089.101172   2951.889609   3990.750813
0.568750   1717.931054   2153.573238   3004.733861   4026.620940
0.575000   1417.724912   2247.960896   2979.040976   3979.476063
0.581250   1390.424538   2412.247586   3025.456664   4053.605313
0.587500   1404.498867   2533.238803   3251.102354   4117.712006
0.593750   1209.475203   2647.460413   3386.016815   4328.856743
0.600000   278.625516   1193.710514   2730.193621   3555.984576
0.606250   332.512195   1147.916472   2633.805552   3516.509517
0.612500   341.750071   1106.322119   2654.427505   3505.877647
0.618750   360.048626   1116.035890   2668.275185   3542.617037
0.625000   375.632352   1137.416124   2703.874448   3569.398142
0.631250   392.853368   1145.633490   2712.874387   3589.078821
0.637500   397.582579   1192.639385   2791.104149   3584.981878
0.643750   394.153309   1229.008116   2923.801399   3573.379677
0.650000   387.459021   1240.598563   2977.117224   3576.065502
0.656250   392.488507   1289.559678   3029.802945   3583.804115
0.662500   407.255449   1415.863648   2930.626637   3580.235878
0.668750   408.520754   1472.865847   2708.473456   3501.247149
0.675000   414.189739   1526.765040   2596.756975   3399.793368
0.681250   419.636708   1629.402779   2548.221735   3324.278435
0.687500   418.997127   1724.966242   2536.580857   3242.708667
0.693750   417.903966   1753.499225   2505.471467   3198.944925
0.700000   416.174899   1766.229464   2495.897764   3187.039688
0.706250   418.469104   1779.990963   2465.086622   3195.166187
0.712500   426.281160   1836.862088   2434.263050   3184.134087
0.718750   440.726026   1837.084327   2466.598195   3174.574045
0.725000   442.141328   1862.920713   2468.350874   3186.420562
0.731250   442.563365   1887.586939   2459.085080   3215.780605
0.737500   449.382987   1886.590695   2427.018628   3258.961345
0.743750   445.936228   1894.033672   2440.071525   3268.160064
0.750000   442.758749   1906.720300   2458.824951   3307.379977
0.756250   457.990381   1883.647609   2486.938261   3315.423349
0.762500   454.118410   1814.289940   2528.683240   3352.132281
0.768750   432.210055   1778.107689   2590.420599   3502.827758
0.775000   380.692456   1775.238426   2627.838627   3599.018592
0.781250   336.628623   1737.993045   2604.397944   3714.175336
0.787500   326.489270   1662.511574   2606.581974   3738.522388
0.793750   344.488777   1620.690485   2691.287799   3689.761734
0.800000   343.475455   1656.379926   2795.235484   3683.948938
0.806250   386.611893   1808.873488   2852.539822   3761.295883
0.812500   358.851315   1816.503291   3089.968684   3772.760032
0.818750   325.585838   1819.182791   3159.497138   3784.977504
0.825000   1789.757018   3097.299622   3731.963837   4493.262649
0.831250   1775.253030   3061.094627   3695.425474   4544.359546
0.837500   1746.509640   3007.036601   3621.722849   4464.926189
0.843750   1759.439293   2980.587805   3580.999821   4411.684384
0.850000   1727.320274   2918.943612   3622.325225   4339.641225
0.856250   1749.500446   2861.666529   3565.169956   4317.636952
0.862500   1741.590807   2813.209888   3485.132148   4014.002853
0.868750   1727.251746   2571.216093   3576.954860   4090.840929
0.875000   1703.695313   2600.981166   3434.610180   3927.942051
0.881250   1613.549272   1704.878817   3213.667975   3824.239625
0.887500   1370.328237   1587.442077   3299.861557   3630.943797
0.893750   1456.788946   1815.107194   3204.895146   3607.107465
0.900000   1553.896674   2378.607930   3106.097821   3599.921123
0.906250   1584.952613   2998.385365   3528.815138   4790.921257
0.912500   1646.872061   3117.920988   --undefined--   --undefined--
0.918750   1630.980076   2939.740664   3535.451303   4565.801752
0.925000   1518.255087   1652.622582   3522.945388   4436.519540
0.931250   1011.626582   1703.761930   3290.665175   4162.806797
0.937500   986.688655   1724.073627   3275.253292   4161.997252
0.943750   927.785069   1960.490775   3289.764615   4182.798196
0.950000   911.466222   2164.801340   3316.377155   4159.850258
0.956250   904.377215   2050.032242   3205.715018   4017.156607
0.962500   995.565378   1728.809086   3281.400089   4080.387955
0.968750   863.944206   2028.993219   3309.269417   4206.667675
0.975000   838.531539   2616.474299   3217.937249   4173.207803
0.981250   795.831323   2986.019464   3473.428279   4178.427410
0.987500   680.686901   2966.368091   3458.993330   4186.306046
0.993750   274.461031   673.629277   2872.054647   3458.928654
1.000000   406.269049   687.152401   2891.474099   3422.872078
1.006250   407.188134   724.841772   2869.020791   3388.749054
1.012500   347.667476   719.040772   2922.756393   3423.920640
1.018750   307.643111   699.335830   2921.530693   3494.489211
1.025000   333.670645   688.203443   2914.803163   3519.247719
1.031250   383.967677   680.024552   2889.487155   3381.086253
1.037500   415.618013   689.498132   2881.532772   3423.125436
1.043750   433.791041   697.897692   2913.615041   3434.181455
1.050000   442.904785   703.745773   2945.842780   3427.120287
1.056250   439.786476   706.391325   2969.284622   3435.217328
1.062500   435.000946   710.002510   2975.723585   3456.130580
1.068750   424.319647   710.475820   2983.161060   3519.800651
1.075000   408.601733   710.277040   2983.729829   3568.947376
1.081250   401.462463   708.143494   2981.531034   3560.007086
1.087500   405.054464   709.537065   2981.776790   3550.897840
1.093750   419.584333   717.705836   2975.561460   3533.868208
1.100000   417.795108   750.788348   2976.595302   3529.453103
1.106250   417.335078   792.786235   2989.501024   3509.475520
1.112500   412.952064   836.788408   3001.453211   3501.802409
1.118750   392.812665   862.177742   3008.565412   3527.157449
1.125000   373.987503   891.728119   3004.511456   3519.083717
1.131250   368.817689   901.350851   3028.087854   3471.019347
1.137500   370.936888   1070.591422   3077.402151   3613.795359
1.143750   369.848315   1734.185961   3139.437236   3696.569897
1.150000   345.667537   1890.426663   3280.335260   3741.592573
1.156250   255.836335   1820.494650   3104.910681   3770.274391
1.162500   213.608656   1823.736212   3014.021978   3696.130429
1.168750   1709.797372   3058.115408   3668.578663   4605.219679
1.175000   1672.727471   3141.639550   3620.603223   4686.876086
1.181250   1549.998114   2907.377957   3603.752653   4497.787550
1.187500   1525.994167   2902.667065   3710.499620   4383.371484
1.193750   1555.547650   2942.812248   3838.707947   4482.198231
1.200000   1619.680710   2849.375174   3807.504933   4567.010025
1.206250   1614.061254   2867.578953   3811.602280   4629.604054
1.212500   1748.840110   2957.448952   3905.743576   4830.281630
1.218750   1600.616757   2921.880094   3964.282029   4604.244969
1.225000   1647.420669   2932.096208   3921.319362   4313.143550
1.231250   1589.017468   3075.091414   3828.942824   4477.390350
1.237500   1419.408032   2901.721099   3742.774297   4562.350140
1.243750   1330.910769   2709.378399   3716.276057   4460.112140
1.250000   1344.844489   2183.182220   3736.808330   3951.860373
1.256250   1578.997292   2587.829227   3735.875185   4632.167522
1.262500   1408.755896   2690.521258   3686.643116   4540.594817
1.268750   1396.601932   2903.026002   3633.608851   4336.810088
1.275000   1534.902812   2030.732363   2963.345383   3939.995983
1.281250   1630.114028   2094.610429   2937.790004   3854.116108
1.287500   1771.344290   2905.344964   --undefined--   --undefined--
1.293750   609.621604   1794.398500   2860.889511   3756.018841
1.300000   448.292774   1689.804010   2592.692171   3645.429424
1.306250   455.278098   1647.342638   2582.291407   3609.967630
1.312500   460.313043   1655.190530   2559.038635   3585.088874
1.318750   466.677578   1669.612500   2524.651514   3462.836955
1.325000   472.485174   1693.555502   2525.056745   3438.079094
1.331250   483.788139   1713.751193   2526.263977   3316.971557
1.337500   488.686740   1744.852508   2567.414072   3339.232365
1.343750   493.682188   1746.248963   2556.718046   3347.733101
1.350000   497.097095   1762.972782   2533.569968   3338.846956
1.356250   492.983956   1789.562014   2544.081783   3344.833244
1.362500   496.116630   1788.997263   2542.957389   3296.894258
1.368750   494.681932   1781.010292   2511.410075   3249.898900
1.375000   507.176051   1779.860138   2516.942618   3299.201545
1.381250   525.969327   1761.168467   2476.242615   3289.234638
1.387500   547.106030   1735.888962   2476.417228   3305.348584
1.393750   568.427552   1692.713275   2515.864336   3353.408232
1.400000   570.471300   1644.285665   2503.724995   3374.382729
1.406250   575.052516   1596.643119   2501.007221   3362.865623
1.412500   583.197561   1535.886219   2501.282513   3347.054161
1.418750   594.797842   1471.317117   2485.139508   3318.762284
1.425000   586.892442   1382.802078   2491.225397   3456.498719
1.431250   546.992961   1284.805157   2515.063750   3546.411169
1.437500   490.138953   1212.124563   2556.029586   3606.648286
1.443750   450.732587   1183.933943   2581.095297   3669.456554
1.450000   447.587495   1152.308764   2544.596876   3681.599990
1.456250   454.928206   1146.120818   2609.543212   3698.297202
1.462500   466.393975   1121.520662   2653.206495   3709.430937
1.468750   498.858307   1136.502267   2692.445996   3645.128398
1.475000   531.744884   1157.754151   2685.808346   3648.585589
1.481250   553.613290   1185.741146   2689.795667   3738.641145
1.487500   574.414915   1231.129117   2708.092496   3699.750517
1.493750   585.141211   1243.341158   2735.425759   3635.909087
1.500000   610.073597   1267.772154   2755.003646   3649.663582
1.506250   627.810648   1276.878805   2781.258337   3572.316561
1.512500   623.734656   1290.596911   2776.168425   3458.516610
1.518750   601.116128   1291.165630   2795.333338   3718.507953
1.525000   630.129575   1356.519374   2908.117933   3860.817683
1.531250   874.303755   1317.492611   2898.360040   3859.893986
1.537500   823.111202   1304.600514   2880.661622   3851.211806
1.543750   841.706919   1309.315242   2924.224176   3860.041081
1.550000   879.397544   1298.772214   2918.773699   3875.787650
1.556250   891.957956   1339.278406   2936.624303   3902.390724
1.562500   754.544053   1313.445682   2949.682929   3920.752095
1.568750   709.197804   1425.542546   2853.316076   3966.158426
1.575000   826.704200   1393.075095   2872.680366   3921.602380
1.581250   801.619037   1375.748960   2913.960707   3885.497972
1.587500   876.676060   1428.154249   2928.644356   3909.895089
1.593750   967.226828   1491.388262   2876.026300   3966.025487
1.600000   968.366327   1660.066727   2950.319319   3996.771253
1.606250   858.213126   1517.858126   3003.697090   3998.452390
1.612500   1227.222851   1369.513643   2936.677027   3878.576210
1.618750   1319.299541   1399.096951   2920.585226   3865.804808
1.625000   1133.295669   1311.220554   3028.726516   3946.851349
1.631250   1091.367100   1473.386015   3062.919785   4098.785071
1.637500   1310.864344   2238.371387   3524.485526   4401.361921
1.643750   590.351185   1394.971098   3025.916429   4143.120655
1.650000   1132.740391   1660.408108   2997.513909   4025.909216
1.656250   1346.613110   1458.178910   2871.060963   3968.329305
1.662500   802.211978   1432.510182   2908.286390   3905.116555
1.668750   1489.332182   2928.036723   --undefined--   --undefined--
1.675000   1270.472557   2232.126510   3106.015567   4072.466977
1.681250   1162.243223   2112.598877   3075.369061   4119.786284
1.687500   1164.841562   2071.343043   2985.527778   3961.441083
1.693750   1525.794712   2828.879716   --undefined--   --undefined--
1.700000   1517.836075   2730.107077   3336.268484   4633.406578
1.706250   1500.553993   2559.076551   3527.663251   4413.634293
1.712500   1578.020349   2702.266004   3621.447859   4294.064662
1.718750   1596.067085   2685.518274   --undefined--   --undefined--
1.725000   1302.544590   2595.040586   --undefined--   --undefined--
1.731250   1391.080103   2624.136381   --undefined--   --undefined--
1.737500   1543.296350   2607.640715   3385.659571   4419.634830
1.743750   1487.227964   2603.892421   3351.777595   4440.991026
1.750000   1466.176996   2573.453833   3412.883720   4449.553334
1.756250   1493.295694   2566.803595   3552.288557   4449.209335
1.762500   1311.090657   2708.136344   3504.221776   4452.884066
1.768750   1320.788733   2569.667316   3493.341371   4475.359528
1.775000   1424.525021   2652.142045   4021.176354   4594.831347
1.781250   1418.126391   2605.831910   3446.448108   4394.045452
1.787500   1402.660502   2348.692838   3436.282397   4439.971798
1.793750   1614.227311   2445.527189   3612.123736   4480.458619
1.800000   1435.834111   2573.531839   3722.087286   4558.640582
1.806250   1337.757296   2548.499524   3541.653512   4601.924401
1.812500   1451.711860   2520.408916   3538.994139   4522.625395
1.818750   1544.399574   2665.561123   3665.417691   4852.662971
1.825000   1762.269624   2588.509377   3435.348377   4609.064408
1.831250   1630.454762   2478.158856   3423.018379   4459.428621
