Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   728.324956   1980.402347   3200.060773   4081.022047
0.031250   209.150567   2015.839487   3137.782015   3486.845621
0.037500   234.962315   1926.753392   2514.196257   3597.414077
0.043750   1478.630020   1879.940186   2956.180472   3963.722653
0.050000   1266.535709   2210.548197   3099.063090   4055.019431
0.056250   1270.893325   2370.910676   3218.932343   4326.957777
0.062500   1397.251193   2551.962204   3662.175737   3816.143706
0.068750   1438.650833   2511.100144   3061.939423   3934.867913
0.075000   1571.356853   2287.586809   3105.924258   3997.669445
0.081250   1672.068576   1967.040474   3205.887011   4003.246366
0.087500   1406.329310   2186.462760   3075.784144   4027.976897
0.093750   1209.741694   2312.037253   3116.102685   3998.578241
0.100000   1348.104260   2310.552559   3232.294892   3971.410011
0.106250   1326.746432   2095.177965   3190.944555   4024.970718
0.112500   1429.708124   2078.314328   3150.830329   4028.600311
0.118750   1147.555740   2144.722450   2994.045164   3980.374651
0.125000   1260.063565   2026.777910   2976.872132   3984.873818
0.131250   1532.722007   2272.506218   2918.415927   3982.036321
0.137500   1531.011608   2443.229233   2881.487729   4008.209033
0.143750   1590.478934   2681.837342   3683.151654   4732.275244
0.150000   1470.185047   2739.480483   3456.092207   4529.886123
0.156250   1638.651669   2314.572680   3294.248754   4453.065692
0.162500   1640.028928   2337.213219   3577.418782   4506.604084
0.168750   1424.776533   2287.251772   3490.026769   4256.268918
0.175000   1246.928864   2311.895867   3373.529454   4139.716940
0.181250   1231.908321   2209.634759   3395.667545   4102.602278
0.187500   1204.357015   2306.090390   3256.998608   4194.155277
0.193750   1342.321190   2196.705835   3002.288837   4184.436327
0.200000   1456.744034   2182.647082   2896.381977   4087.953395
0.206250   1526.714661   2097.241267   2829.674008   4039.173525
0.212500   1423.355144   2557.755941   2861.863301   4060.706817
0.218750   1413.533649   2251.518799   3437.613036   4508.952689
0.225000   1437.052054   2172.907553   3247.912260   4174.451595
0.231250   1275.464909   2292.114519   3119.042948   4026.421749
0.237500   1210.027857   2288.767040   3133.895316   3940.589852
0.243750   1455.210653   2415.012584   3101.165514   3858.803000
0.250000   1507.417186   2521.065916   2600.750933   3789.874621
0.256250   571.266785   1630.875354   2521.547335   3635.724198
0.262500   478.296091   1836.624455   2464.514744   3825.493501
0.268750   1919.945064   2427.396743   --undefined--   --undefined--
0.275000   1171.991886   1976.863756   2431.077179   3785.863970
0.281250   1730.477428   2445.160963   --undefined--   --undefined--
0.287500   1182.268962   2157.834509   2985.485792   4018.598605
0.293750   517.233582   1895.727371   2728.182669   3847.584209
0.300000   685.161409   1805.041433   2631.641262   3827.160250
0.306250   873.310958   1706.831882   2638.297247   3973.531186
0.312500   1369.928133   1710.145438   2666.406298   3925.429898
0.318750   1271.313406   2405.145607   3122.894574   4009.094870
0.325000   1303.397126   2435.923932   3325.589294   4030.593986
0.331250   1284.368425   2333.150947   3391.976010   4127.838455
0.337500   1252.982990   2283.269073   3273.536179   4141.462985
0.343750   1017.427978   1746.109534   3144.885729   4048.273042
0.350000   387.596048   1721.860487   2917.506794   3709.059287
0.356250   1475.297599   2206.971549   3175.029715   4070.012240
0.362500   1351.592871   2241.059985   3137.880511   3998.224347
0.368750   1538.283143   2463.058929   2856.524629   3909.029361
0.375000   508.693414   1775.174805   2935.074979   3907.804890
0.381250   1046.637972   2092.216705   3083.234605   4050.400623
0.387500   1293.782692   2261.981445   3177.137661   4106.173018
0.393750   1250.707136   2206.081074   3113.511740   4096.860702
0.400000   1152.135865   2327.006756   3115.045880   4140.235082
0.406250   1313.613297   2299.972930   3148.303226   4144.070787
0.412500   1569.199076   2187.801811   3052.285911   4038.477945
0.418750   1346.444687   2279.483475   3048.860149   4000.496073
0.425000   1123.767827   2322.480257   3067.186659   4080.247929
0.431250   1291.573701   2348.107949   3234.412614   3896.554619
0.437500   1461.162497   2075.603579   3203.359711   4011.509759
0.443750   1465.976365   2503.029468   3558.334431   4107.454822
