Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1142.174111   1884.841943   3475.548382   4133.680129
0.034375   520.366995   2032.725717   3613.622948   4092.901053
0.040625   834.750016   2051.461526   3580.438134   4313.874022
0.046875   558.233345   2053.099298   2498.739168   3724.384669
0.053125   646.211654   2055.143433   2253.554442   3620.518667
0.059375   1066.454661   2131.445404   3517.387331   4814.195128
0.065625   1228.931778   2307.462142   3521.309426   4838.970447
0.071875   749.928954   2158.444712   3444.873890   4612.482886
0.078125   797.115840   2045.691458   3529.817257   3723.906230
0.084375   818.392623   1946.034137   3425.329895   4323.849556
0.090625   828.085503   2030.660029   3239.416236   3672.106620
0.096875   1052.161035   2325.487022   3612.813120   4757.124259
0.103125   1061.669836   1303.490893   2566.501630   3726.017356
0.109375   835.521674   1927.268764   2951.162211   4325.807621
0.115625   946.003532   2211.644722   2992.455491   4237.534981
0.121875   749.837990   2117.766283   3045.948828   3839.922465
0.128125   764.982175   1766.499884   2768.161371   3667.880031
0.134375   1095.518958   2706.915873   3685.449361   4782.828268
0.140625   1052.639936   2552.953195   3012.854347   4361.837135
0.146875   864.148249   2216.747964   3105.833275   4556.546946
0.153125   631.511954   1787.453057   2838.307127   3703.641053
0.159375   421.564289   1685.429993   2785.051051   3758.307241
0.165625   688.395528   1816.995397   2875.747014   3745.781283
0.171875   792.989280   1831.546059   2851.570864   3712.651837
0.178125   702.574416   1687.332543   3170.194502   4494.207530
0.184375   1187.319727   1977.653460   3142.643668   4551.109221
0.190625   818.191962   2103.090237   3225.979718   4601.133552
0.196875   620.545353   1988.573534   3002.492606   3693.802924
0.203125   912.725514   2241.802077   3274.447312   4401.872690
0.209375   897.015445   2168.424100   3131.766850   4211.392907
0.215625   863.844025   2100.315849   3191.358342   3257.536679
0.221875   1087.976113   2328.822296   3348.294014   4518.865134
0.228125   1110.782714   2305.405157   3363.368234   4532.077576
0.234375   713.304732   1725.212931   2758.096736   3890.035926
0.240625   856.059266   1932.039563   3046.360487   4070.027660
0.246875   906.971441   2113.043292   3364.331054   4519.532098
0.253125   1067.899857   2447.337031   3260.952447   4541.819120
0.259375   1285.318688   2910.648720   3160.162695   4633.313821
0.265625   770.908717   1707.312979   2835.956700   3750.328239
0.271875   571.056825   1594.874903   2736.634242   3604.362347
0.278125   512.490110   1419.967313   2768.840836   3643.389411
0.284375   955.893982   2337.030838   3458.319868   4139.162188
0.290625   786.711111   2088.790209   2755.596234   3526.107108
0.296875   815.382132   1804.665164   2861.625965   3718.799416
0.303125   797.657088   1766.221744   2937.365195   3808.204719
0.309375   759.603114   1809.607890   3081.647693   4068.092717
0.315625   625.025693   1716.852685   2983.979033   4018.142148
0.321875   663.541263   1728.720151   3093.628250   4121.626868
0.328125   308.050985   1344.643301   2625.568248   3572.323546
0.334375   314.022623   1491.733929   2670.915910   3617.405352
0.340625   849.937290   1645.102393   3028.578498   4654.251522
0.346875   724.408327   1716.683504   2941.212761   4395.391679
0.353125   604.498997   1791.373941   2604.005797   4042.910806
0.359375   686.070620   1591.815821   2629.869212   4041.781260
0.365625   911.274527   2121.316317   3603.492671   4612.056221
0.371875   768.225558   1846.804947   3223.788363   3889.994619
0.378125   901.638559   1883.417425   2929.453358   4079.606167
0.384375   879.700340   2073.229429   3151.868871   4422.157454
0.390625   958.551356   2209.160774   2484.961635   3512.732033
0.396875   1133.371316   2249.465826   3426.005558   4657.937464
0.403125   1227.665384   2480.052647   3819.350261   4817.658030
0.409375   449.397916   1580.615359   2615.090051   3829.083384
0.415625   562.643190   1826.043093   2294.096909   3669.585240
0.421875   1169.727858   2256.786090   3463.903752   4514.430330
0.428125   1147.312190   2432.328769   3525.097810   4742.536886
0.434375   849.689291   1595.288074   2894.534859   3710.686064
0.440625   670.957259   1657.740395   2957.263408   3801.123553
0.446875   669.458400   1715.401688   2877.464614   3938.615026
0.453125   934.312145   1793.530230   2911.207758   4036.705876
0.459375   912.312186   1837.146806   2953.854573   4152.732249
0.465625   852.717238   1862.100917   2968.966665   4227.158111
0.471875   694.140422   2050.351128   2906.511441   4177.448531
0.478125   781.887151   2278.263842   2864.128841   4255.827512
0.484375   851.204916   2861.161846   3439.979443   4592.699043
0.490625   845.007022   2803.941167   3413.962808   4581.506522
0.496875   1060.514757   2725.709834   3433.632256   4616.354055
0.503125   255.209665   2010.361497   3381.195380   3685.874180
0.509375   290.268313   1973.623864   3412.644667   4260.074499
0.515625   446.936242   2318.931026   3439.761439   4421.086504
0.521875   506.520826   2465.228449   3410.530610   4366.203280
0.528125   471.396978   2595.746027   3310.407457   4312.144424
0.534375   462.180989   2614.310308   3339.408813   4414.842256
0.540625   430.909953   2633.677967   3419.419119   4411.006387
0.546875   422.626315   2666.130328   3459.835254   4425.065568
0.553125   415.447166   2685.972811   3449.480177   4455.476152
0.559375   380.225925   2697.468114   3444.935291   4462.397055
0.565625   358.230452   2709.854394   3433.394557   4406.907032
0.571875   351.207066   2711.147933   3452.815077   4386.929937
0.578125   339.471358   2727.191903   3441.190078   4394.763469
0.584375   335.909636   2749.269022   3428.391108   4419.255701
0.590625   338.990314   2769.006999   3412.228070   4452.127000
0.596875   347.158369   2790.440219   3436.496046   4471.614216
0.603125   362.637758   2809.937990   3451.388174   4447.850324
0.609375   367.281115   2783.178953   3408.411272   4436.790706
0.615625   406.774580   2725.945614   3375.354588   4493.378048
0.621875   422.894947   2707.913079   3382.672143   4533.087805
0.628125   356.398721   2701.932173   3395.001538   4544.692327
0.634375   348.772852   2665.256636   3287.731119   4506.973712
0.640625   354.479625   2617.186569   3198.077349   4495.119828
0.646875   365.337534   2650.707896   3293.660867   4474.104827
0.653125   361.566660   2647.921222   3247.717797   4403.539353
0.659375   343.775764   2535.736128   3146.892155   4414.499765
0.665625   334.808164   2467.887581   3248.234069   4472.841844
0.671875   329.350729   2496.799112   3274.464786   4408.261494
0.678125   334.430223   2586.777940   3251.206173   4391.739365
0.684375   343.273228   2567.111806   2950.412134   4342.677062
0.690625   376.065522   2235.190388   3085.730593   4339.149051
0.696875   440.941369   2269.882839   3151.626497   4236.290533
0.703125   361.493614   2172.054448   3176.517324   4315.309691
0.709375   349.140645   2215.099972   3162.999259   4386.738080
0.715625   339.693766   2571.290304   3174.329449   4494.650723
0.721875   340.185586   2292.979590   3031.200822   4466.944089
0.728125   721.684015   2031.093101   2884.402629   4200.615326
0.734375   1072.506279   1413.439935   2891.793830   4224.062157
0.740625   1119.612384   1199.885217   3173.694919   4519.543707
0.746875   1165.758058   1643.213355   3139.831502   4546.067383
0.753125   1401.639732   2392.479346   3441.180415   4478.561636
0.759375   1713.979857   2878.156455   4032.457756   4770.574175
0.765625   307.355820   1664.008237   2961.617444   4199.032153
0.771875   366.236647   1686.157107   2960.724407   4119.922878
0.778125   1662.588881   2766.134519   3753.227221   4932.624739
0.784375   1206.366010   2227.508616   3502.938070   4636.415333
0.790625   1175.227417   2343.160871   3212.153286   4486.408151
0.796875   824.873655   1410.998637   2977.370478   4052.959823
0.803125   854.780550   1451.555737   2952.211554   3672.531876
0.809375   820.566617   1415.354766   3194.658536   3972.751089
0.815625   698.455966   1346.300296   3132.627945   4197.341480
0.821875   654.614220   1252.344410   3197.778714   4358.802547
0.828125   453.921841   1115.190352   2856.731963   4181.248246
0.834375   503.004330   1047.384049   2790.046451   4117.181855
0.840625   567.290956   1017.207942   2801.733569   3966.461219
0.846875   673.005078   1025.802438   2819.905404   3924.062392
0.853125   729.224598   1041.048315   2812.695833   3935.023091
0.859375   757.150092   1065.477188   2791.454060   3899.477839
0.865625   775.230330   1087.226126   2797.773301   3868.222937
0.871875   788.735497   1109.881140   2837.993686   3796.287684
0.878125   786.492577   1117.345158   2877.748950   3757.918986
0.884375   779.439957   1118.222439   2905.911722   3742.581394
0.890625   777.055198   1109.790748   2932.913256   3735.173741
0.896875   771.916716   1105.119746   2953.990887   3732.003390
0.903125   750.804474   1102.886067   2962.712366   3755.963986
0.909375   739.559853   1095.033020   2980.038392   3720.953670
0.915625   737.863672   1087.491691   2985.131658   3562.437255
0.921875   757.720909   1080.398981   3010.265734   3449.026210
0.928125   768.433706   1052.969276   3027.869690   3428.349112
0.934375   775.048287   960.415436   3041.831923   3412.723853
0.940625   738.500686   842.389440   3037.982591   3530.031725
0.946875   622.663125   831.023400   3018.768041   3934.510416
0.953125   572.329647   833.316246   3013.202718   3953.414307
0.959375   583.995070   819.137902   3005.468150   3971.096135
0.965625   594.442338   1002.035429   3018.125727   4120.231830
0.971875   524.554216   1184.298408   3025.702092   4192.500598
0.978125   513.519686   1258.268925   3071.160059   4336.729720
0.984375   575.714660   1301.388351   3108.653425   4398.273667
0.990625   573.991320   1365.974664   3079.153823   4264.525282
0.996875   554.493562   1620.096868   3080.051816   4305.931737
1.003125   584.624234   1729.597037   3067.510165   4321.514637
1.009375   575.052141   1797.798501   3028.261427   4341.923242
1.015625   547.805649   1831.695295   3086.470462   4390.248350
1.021875   536.108635   1840.815457   3106.790718   4508.039836
1.028125   512.548005   1845.552399   3059.985608   4488.662688
1.034375   528.464045   1822.903518   3051.218807   4473.469243
1.040625   586.211766   1844.942360   3067.471336   4427.407415
1.046875   709.590211   1949.657281   3127.576869   4471.260862
1.053125   815.254758   2282.420350   3252.849010   4440.116390
1.059375   828.475746   2409.601077   3546.022437   4404.675292
1.065625   574.146713   2086.832964   2340.727770   3811.873350
1.071875   318.277229   1687.335544   2839.582957   3890.816773
1.078125   431.852009   1734.065758   2971.431463   4019.752933
1.084375   399.060797   1705.950048   2991.335539   4008.020723
1.090625   430.554175   1821.810008   2990.027200   4236.755506
1.096875   501.537085   2214.648768   3133.880316   4376.205164
1.103125   689.671941   2135.224484   3290.757612   4496.344996
1.109375   730.530307   1758.371255   2926.252573   4248.901249
1.115625   649.845198   1381.992717   2750.245813   3886.526816
1.121875   607.153091   1631.511143   2785.277836   3924.817926
1.128125   607.745529   1685.118135   2710.367449   3972.902073
1.134375   565.665168   1495.394146   2662.702055   4030.488310
1.140625   668.873585   1650.641572   2583.986132   3899.849033
1.146875   699.737955   1855.669148   2782.905026   3877.611978
1.153125   632.915583   1676.786679   2934.295916   4120.044444
1.159375   621.044965   1832.756119   2875.980972   4131.126692
1.165625   645.267468   1959.456094   2939.707877   4156.492038
1.171875   879.575146   1824.563585   3184.686803   3731.948519
1.178125   1023.846571   1839.946432   3170.537392   3857.012826
1.184375   981.707382   1896.835588   3168.888647   4163.975219
1.190625   712.446911   1478.164147   2828.028970   3503.521290
1.196875   620.604006   1640.486631   2534.552268   3418.767880
1.203125   578.517882   1935.945344   2958.778237   4378.315936
1.209375   575.267217   1936.772473   2943.044505   4314.318507
1.215625   591.633615   1912.779928   2931.449826   4270.512189
1.221875   656.994533   1911.711353   2936.973840   4254.503611
1.228125   737.442517   1924.829287   2997.508256   3191.712304
1.234375   806.693432   1899.054000   2971.614352   3276.678361
1.240625   863.224903   1932.408007   2958.819495   3824.672528
1.246875   891.695750   1900.258911   2882.083967   3776.488175
1.253125   894.927162   1851.589229   2829.540520   3838.636026
1.259375   899.857404   1781.286020   2813.203787   4013.403279
1.265625   921.625918   1760.651446   2829.574473   3609.203033
1.271875   949.735373   1677.872018   2915.713823   3095.711979
1.278125   966.918015   1636.586175   2883.269197   4018.782274
1.284375   956.714901   1594.777139   2852.675636   4038.330118
1.290625   959.989712   1627.722577   2861.368570   4042.173484
1.296875   941.957210   1565.559577   2834.598289   4036.897648
1.303125   892.969061   1555.546710   2840.999704   4057.092695
1.309375   835.215377   1490.114916   2831.119917   4119.513469
1.315625   795.766013   1494.111396   2860.018644   4079.431725
1.321875   758.543704   1512.004114   2857.199083   4051.990069
1.328125   737.655085   1433.865855   2800.662781   4092.383914
1.334375   706.293678   1298.981451   2856.260215   4111.818234
1.340625   701.768979   1425.483562   2899.636916   4114.939102
1.346875   707.175526   1500.902643   2918.311013   4120.726022
1.353125   706.962025   1557.751181   2923.918251   4076.304520
1.359375   656.240950   1395.883848   2803.549504   4070.323351
1.365625   652.935961   1352.864871   2895.299188   4120.033421
1.371875   674.771717   1423.021773   2915.061532   4199.832086
1.378125   768.834582   1484.424115   2960.276608   4067.828545
1.384375   858.653673   1624.789885   3049.846247   4109.457040
1.390625   866.298988   1639.815273   3051.315187   4127.916662
1.396875   861.796412   1640.560333   3082.217282   4124.597716
1.403125   865.272524   1589.301591   3039.128173   3983.390282
1.409375   874.126030   1599.464775   3006.811873   3984.857257
1.415625   876.977751   1646.094786   3013.713705   3926.987319
1.421875   886.383192   1615.434746   2993.366960   3865.299526
1.428125   876.761458   1645.950805   2996.482505   3864.281196
1.434375   912.013004   1624.373695   3013.636852   3881.082686
1.440625   971.871549   1619.224236   3077.836515   3884.989732
1.446875   954.127560   1623.153972   3068.748666   3934.346038
1.453125   849.266243   1581.753390   3040.567452   4029.762408
1.459375   989.071339   1613.750861   3227.696674   3930.734130
1.465625   1020.414625   1648.083085   3227.902788   3927.000485
1.471875   1019.107920   1719.727203   3291.423901   4045.417607
1.478125   1049.858575   1726.444996   3249.349429   4062.838508
1.484375   1076.984056   1604.756164   3199.842242   3928.197798
1.490625   1080.814247   1630.614342   3242.059764   3959.989084
1.496875   951.875301   1557.309994   3293.111234   4056.944261
1.503125   968.371435   1493.641399   3343.677687   4331.503201
1.509375   968.258014   1628.900272   3444.375464   4000.124278
1.515625   969.821895   1692.831132   3383.616541   3932.145804
1.521875   1152.239033   1773.449322   3429.151707   4121.965548
1.528125   1136.444178   1826.045128   3384.865733   4163.941383
1.534375   949.272635   1863.564333   3347.175863   4122.196712
1.540625   780.833504   1758.894613   3561.956067   3757.272871
1.546875   860.944136   1687.652953   3266.090989   3836.621941
1.553125   843.964988   1738.609029   3387.725720   3912.872706
1.559375   926.328447   1710.702838   3441.502182   3834.107106
1.565625   884.068239   1654.430008   2924.197307   3609.825379
1.571875   921.564506   1725.845049   2993.013544   3604.626065
1.578125   930.210314   1836.749613   3430.237802   3582.921304
1.584375   935.694378   1778.738205   3427.434195   4455.191105
1.590625   853.723024   1654.909635   3437.424560   4604.679283
1.596875   908.160320   1650.154849   2802.874341   3717.877988
1.603125   971.504876   1831.459712   2415.084982   3627.599677
1.609375   901.668978   1862.176837   2778.423805   3815.231688
1.615625   900.298576   1801.993731   2876.132010   4075.932006
1.621875   865.054590   1805.197224   2767.383007   3862.513107
1.628125   906.248380   2058.206059   2621.165122   3693.801138
1.634375   1089.676418   1449.605207   2717.385188   3981.253404
1.640625   889.242714   1570.065414   2830.916093   4189.953352
