Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   711.662362   1746.131264   3018.181270   4301.222417
0.034375   1314.550274   2015.185676   2975.114843   4285.302403
0.040625   1294.911595   2461.822540   3077.106872   4331.574882
0.046875   1329.741010   2573.124195   3519.511733   4422.658235
0.053125   1464.945967   2573.963687   3490.876167   4481.998326
0.059375   1546.944742   2601.441018   3407.775791   4541.469934
0.065625   1577.858036   2560.554325   3531.756934   4552.102819
0.071875   1621.096638   2482.557955   3610.557350   4361.276326
0.078125   1550.488166   2533.556824   3675.375203   4433.614195
0.084375   1518.488518   2579.439868   3547.753600   4499.942881
0.090625   1635.472541   2502.811542   3637.560566   4550.704475
0.096875   1799.135536   2551.784225   3532.036886   4615.926139
0.103125   1673.797653   2744.748231   3606.172456   4409.555408
0.109375   1599.021097   2636.213885   3760.690940   4606.461574
0.115625   1566.181108   2578.343888   3629.752120   4743.555053
0.121875   1548.183127   2590.237645   3612.164576   4560.518731
0.128125   1552.244425   2642.028349   3607.979863   4517.214259
0.134375   1594.215794   2544.861398   3472.128976   4496.617368
0.140625   1631.810162   2515.468158   3681.817031   4465.410060
0.146875   1596.316394   2485.691685   3645.805340   4347.481237
0.153125   1487.496340   2617.389197   3549.963296   4470.766223
0.159375   1622.181066   2653.576863   3488.271627   4555.795727
0.165625   1623.852729   2500.664519   3526.944135   4677.564269
0.171875   1667.846384   2444.385732   3655.491442   4648.284509
0.178125   1745.340064   2494.999767   3680.106431   4573.992070
0.184375   1623.143787   2500.990863   3669.479524   4549.220600
0.190625   1578.867995   2463.540162   3687.342534   4603.500393
0.196875   1536.266225   2457.580123   3721.637947   4617.687800
0.203125   1540.520795   2667.865868   3852.475161   4546.014036
0.209375   1677.002975   2822.265316   4057.269169   4339.758488
0.215625   1604.257266   2609.842559   3399.426200   4446.868717
0.221875   1710.432186   2758.272328   3334.314034   4380.562890
0.228125   1645.785446   2692.492204   3492.126276   4433.764539
0.234375   1700.286314   2484.933546   3468.387213   4519.811992
0.240625   1671.694194   2470.858233   3448.035870   4509.123612
0.246875   1447.974546   2576.212223   3572.186861   4586.371254
0.253125   1427.361545   2697.325853   3516.991939   4512.236252
0.259375   1410.359617   2699.238418   3369.902510   4473.466621
0.265625   1484.327338   2613.299434   3588.067388   4533.995330
0.271875   1693.136323   2508.567623   3496.073264   4528.671512
0.278125   1716.875820   2686.034197   3148.997690   4502.544601
0.284375   1678.686418   2568.466518   3361.621379   4526.707141
0.290625   1582.232491   2520.210965   3379.122874   4580.436664
0.296875   1640.141527   2498.594957   3502.207576   4551.807075
0.303125   1686.233210   2628.126588   3597.352661   4497.436732
0.309375   1567.836961   2642.460367   3578.402268   4446.205328
0.315625   1544.902934   2564.912837   3731.246765   4384.306374
0.321875   1662.521234   2482.361966   3629.825075   4451.900668
0.328125   1669.663843   2552.323128   3398.744492   4482.125941
0.334375   1539.368392   2562.015638   3494.598752   4443.226701
0.340625   1719.582458   2607.635204   3546.627092   4366.780602
0.346875   1733.079337   2639.287176   3529.357471   4372.650201
0.353125   1675.681354   2712.295979   3487.137651   4378.089770
0.359375   1575.145772   2701.506939   3474.163305   4406.782432
0.365625   1423.395807   2459.163924   3422.796565   4499.184361
0.371875   1548.584691   2442.971639   3401.781799   4549.065281
0.378125   1570.330189   2610.639034   3602.260498   4528.740164
0.384375   1629.448375   2531.217774   3601.008254   4508.692703
0.390625   1617.409861   2588.588797   3574.569764   4500.513311
0.396875   1547.625113   2533.721070   3580.632471   4385.803676
0.403125   1477.006995   2534.636291   3659.019942   4460.118128
0.409375   1575.826602   2630.383646   3473.447682   4506.431243
0.415625   1717.948652   3099.935288   3147.250483   4456.282811
0.421875   1591.230498   2740.708908   3329.676165   4438.960772
0.428125   1625.281016   2824.794974   3801.205234   4209.775787
0.434375   1579.111300   2644.046056   4173.740402   4222.224902
0.440625   1499.478413   2557.861059   3657.281869   4564.629216
0.446875   1582.167032   2661.376492   3617.174753   4562.098350
0.453125   1732.286332   2940.336412   --undefined--   --undefined--
0.459375   1738.085079   2883.086296   3159.345828   4256.803479
0.465625   1420.826538   2696.975525   3610.018196   4430.941027
0.471875   1670.277751   2556.312072   3652.549278   4526.101223
0.478125   1677.143992   2523.325978   3605.135305   4520.297538
0.484375   1626.699403   2623.753670   3690.890230   4519.669357
0.490625   1549.756354   2503.556279   3739.045440   4484.068301
0.496875   1450.315401   2562.439003   3640.034083   4517.254480
0.503125   1425.709207   2172.377520   3438.759653   4474.158207
0.509375   1426.492798   1651.639326   3545.036110   4567.118329
0.515625   1415.910588   1573.757084   3444.434095   4596.574094
0.521875   1432.446162   1581.574920   3220.513754   4430.629872
0.528125   1457.647371   3091.403828   --undefined--   --undefined--
0.534375   1471.197615   2883.599157   3453.444890   5116.477517
0.540625   1457.757383   2889.360033   3434.288796   5249.631205
0.546875   1462.775472   2812.302005   3503.047156   5292.478257
0.553125   178.809693   1545.374878   2895.494827   3527.315105
0.559375   379.202962   2030.484693   2932.393146   3960.326284
0.565625   353.667484   2053.429345   2937.297314   3211.645123
0.571875   319.145330   1940.220887   2958.899729   3462.806223
0.578125   315.771021   2030.763969   2931.872433   3263.771966
0.584375   326.582397   1411.211242   2315.775767   2981.996870
0.590625   340.719761   2382.045378   3013.275469   4620.358637
0.596875   341.294817   2474.568132   3064.734133   4553.904535
0.603125   322.103027   2136.427856   2550.664483   3178.608090
0.609375   335.382905   2557.687363   3183.075813   4425.906460
0.615625   349.665617   2562.884558   3189.703266   4315.517379
0.621875   347.852984   2560.981655   3233.971225   4297.518634
0.628125   357.165563   2537.668072   3224.760278   4206.773613
